,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal inhibitory postsynaptic currents:-log(OR_p),abnormal inhibitory postsynaptic currents:log_OR,abnormal inhibitory postsynaptic currents:num_genes,abnormal inhibitory postsynaptic currents:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C200,16.65066686347379,3.900011764479129,7,DNAJC6 DNM1 PACSIN1 SH3GL2 SNAP91 STON2 SYN1,12.444186250589096,4.0218167933689,5,RAB3A SH3GL2 SYN1 SYNJ1 SYT1,11.489929626359789,2.8869069315804596,7,DNAJC6 DNM1 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,10.360399597030595,2.7003207679617818,7,DNAJC6 DNM1 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,10.3454318927376,2.50502805298742,8,DNM1 KCNA2 PACSIN1 SCN1A SNAP91 SYN1 SYT1 SYT2,10.237556186420717,2.213443502582084,10,CUL3 DNM1 JADE2 MAPT PACSIN1 SCN1A SH3GL2 SNAP91 SYT1 SYT2,10.04360720464332,1.302205803277932,31,AAK1 ATP1A3 CCSAP CUL3 DNM1 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D NALCN PACSIN1 PANX1 RAB3A SCN1A SH3GL2 SLC1A3 SLC8A2 SLC8A3 SNAP91 STON2 SYN1 SYNJ1 SYT1 SYT2 TMEM51 UNC80,9.944545054459036,1.2951759541378962,31,AAK1 ATP1A3 CCSAP CUL3 DNM1 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D NALCN PACSIN1 PANX1 RAB3A SCN1A SH3GL2 SLC1A3 SLC8A2 SLC8A3 SNAP91 STON2 SYN1 SYNJ1 SYT1 SYT2 TMEM51 UNC80,7.619548101427769,2.088546308672756,8,MAPT PACSIN1 RAB3A SH3GL2 SLC8A2 SYN1 SYNJ1 SYT1,7.347794240290947,1.1783580779284026,26,AAK1 ATP1A3 CCSAP CUL3 DNM1 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D PACSIN1 RAB3A SCN1A SH3GL2 SLC1A3 SLC8A2 SNAP91 SYN1 SYNJ1 SYT1 SYT2 TMEM51,CD_4_notcateg-AD systems map,8,1,0.046511627906976744,0.005813953488372093,0.0,0.9476744186046512
C201,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.379360519597961,1.4708738504445122,2,KCNA2 SCN1A,2.9584103110640356,1.6869777001290451,4,CUL3 JADE2 MAPT SCN1A,6.074277306164956,1.2531597151778193,19,ATP1A3 CUL3 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D NALCN PANX1 SCN1A SLC1A3 SLC8A2 SLC8A3 TMEM51 UNC80,6.014241360398461,1.2462055679492092,19,ATP1A3 CUL3 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D NALCN PANX1 SCN1A SLC1A3 SLC8A2 SLC8A3 TMEM51 UNC80,0.8749917076741864,1.0801741664124371,2,MAPT SLC8A2,3.8170195798234507,1.060272646224579,15,ATP1A3 CUL3 FAM53B ITPKA ITPR1 JADE2 KCNA2 KCNIP3 LYST MAPT MEF2D SCN1A SLC1A3 SLC8A2 TMEM51,Ion homeostasis,5,1,0.045871559633027525,0.009174311926605505,0.0,0.944954128440367
C204,23.568040989763716,5.084243038677007,6,DNAJC6 DNM1 PACSIN1 SH3GL2 SNAP91 STON2,11.726399491037288,4.669051531005459,3,SH3GL2 SYNJ1 SYT1,22.262648612299568,4.310669464752969,7,DNAJC6 DNM1 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,20.85584439688562,4.124086531420838,7,DNAJC6 DNM1 EPS15L1 PACSIN1 SH3GL2 SNAP91 STON2,11.321624246143216,3.364027748515742,5,DNM1 PACSIN1 SNAP91 SYT1 SYT2,11.111002175071476,3.0516546556547066,6,DNM1 PACSIN1 SH3GL2 SNAP91 SYT1 SYT2,3.59862287613615,1.3617565623317773,9,AAK1 DNM1 PACSIN1 SH3GL2 SNAP91 STON2 SYNJ1 SYT1 SYT2,3.5674272943527434,1.3548644389588436,9,AAK1 DNM1 PACSIN1 SH3GL2 SNAP91 STON2 SYNJ1 SYT1 SYT2,6.4582910049047735,2.705480744091963,4,PACSIN1 SH3GL2 SYNJ1 SYT1,3.102804161054922,1.3073767660762936,8,AAK1 DNM1 PACSIN1 SH3GL2 SNAP91 SYNJ1 SYT1 SYT2,Clathrin-mediated endocytosis,2,0,0.0425531914893617,0.0,0.0,0.9574468085106383
C205,2.326468266479972,2.919318513462308,1,SYN1,7.116933976480303,4.161017555888305,2,RAB3A SYN1,-0.0,0.0,0,,-0.0,0.0,0,,5.331383636167683,2.7809326980253566,3,KCNA2 SCN1A SYN1,1.921979315196618,1.8292006508074543,2,MAPT SCN1A,11.408151180726229,2.1476541106238765,16,ATP1A3 CCSAP ITPR1 KCNA2 KCNIP3 MAPT NALCN PANX1 RAB3A SCN1A SLC1A3 SLC8A2 SLC8A3 SYN1 TMEM51 UNC80,11.340034573846298,2.1407196624765783,16,ATP1A3 CCSAP ITPR1 KCNA2 KCNIP3 MAPT NALCN PANX1 RAB3A SCN1A SLC1A3 SLC8A2 SLC8A3 SYN1 TMEM51 UNC80,6.4582910049047735,2.705480744091963,4,MAPT RAB3A SLC8A2 SYN1,7.2504984556966106,1.825341248811302,12,ATP1A3 CCSAP ITPR1 KCNA2 KCNIP3 MAPT RAB3A SCN1A SLC1A3 SLC8A2 SYN1 TMEM51,Ion homeostasis,3,0,0.06382978723404255,0.0,0.0,0.9361702127659575
C219,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.756737765428413,2.2875842519806886,3,PANX1 SLC1A3 TMEM51,2.742917588609383,2.2807288405131274,3,PANX1 SLC1A3 TMEM51,-0.0,0.0,0,,1.543603636873478,1.7886776300141314,2,SLC1A3 TMEM51,C219,1,0,0.125,0.0,0.0,0.875
C202,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4769959026352468,1.5407135333638529,2,CUL3 JADE2,0.7216821424838413,0.5647189970146052,6,CUL3 FAM53B ITPKA JADE2 LYST MEF2D,0.7094084212331153,0.5578445085712627,6,CUL3 FAM53B ITPKA JADE2 LYST MEF2D,-0.0,0.0,0,,0.8912639611529753,0.6549240918152677,6,CUL3 FAM53B ITPKA JADE2 LYST MEF2D,C202,3,1,0.04838709677419355,0.016129032258064516,0.0,0.935483870967742
C203,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.7774662209221246,2.296770347742183,2,KCNA2 SCN1A,0.5314551866448578,1.0638633202218628,1,SCN1A,6.312693261845091,1.678960585257947,12,ATP1A3 ITPR1 KCNA2 KCNIP3 NALCN PANX1 SCN1A SLC1A3 SLC8A2 SLC8A3 TMEM51 UNC80,6.266171288816725,1.672050345787838,12,ATP1A3 ITPR1 KCNA2 KCNIP3 NALCN PANX1 SCN1A SLC1A3 SLC8A2 SLC8A3 TMEM51 UNC80,0.6136033008412292,1.18338415390879,1,SLC8A2,2.9244333654636363,1.25725389118608,8,ATP1A3 ITPR1 KCNA2 KCNIP3 SCN1A SLC1A3 SLC8A2 TMEM51,Ion homeostasis,2,0,0.04081632653061224,0.0,0.0,0.9591836734693877
C236,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C236,1,1,0.2,0.2,0.0,0.6
C239,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C239,0,1,0.0,0.2,0.0,0.8
C209,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.01274792471937169,-0.0373305793035712,1,LYST,0.01512481911881521,-0.0441743547365796,1,LYST,-0.0,0.0,0,,0.01801565530342935,0.052452522802536095,1,LYST,C209,1,0,0.05555555555555555,0.0,0.0,0.9444444444444444
