Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C241,SYT8 CABIN1 UNC13A GBA2 DNM2 SYN1 DNM3 FAM193B SLC2A4RG MEGF8 ZMIZ2 CALM1 TGOLN2 ACER2 TMEM51 CD63 FXYD7 VSNL1 CYB5D2 SNAP91 CD81 SLC3A2 PKN1 DNAJC5 MBNL1 KRT10 AGL NTRK2 YWHAB PRSS1 PEPD CERK SLC25A12 M6PR MAPT ELAVL4 SESN1 LRRC14 DNAJC14 DYNC1I1 AKAP17A SNX18 ANXA11 SPI1 KCNV1 PPARG HMSD SGMS2 CPTP SYNJ1 CHKB ASAH1 ELANE SLC25A22 HSPD1 ZNF142 AP2B1 VPS16 VAMP1 NTRK1 EPN2 KCNF1 KIAA1191 GAPDH TPD52L1 FRK SERPINB8 CLEC16A IGF2R CCT4 PPP3CA SYNJ2 CTNS RBM38 SYT9 STEAP3 SYT2 GDPD5 YWHAH NISCH KIAA0319 PELI3 ACER1 IL11RA SQSTM1 VAMP7 DVL2 DNAJC6 CACFD1 SRI SMARCD3 NAP1L2 PACSIN1 SGMS1 DGKB AC023055.1 SERPINI1 ACD REPS1 ENPP7 STUB1 STAM GUCY1B1 SMPD3 FNBP1L AMY1C CEBPA ANK2 MTM1 UGCG KLC1 AAK1 KCTD2 SLC2A8 SYP CAT PREB SERPINA5 GABARAP CHD3 SLC6A15 GTPBP6 SAP30BP SIRT2 VEGFB FCMR DEGS2 AMPH MT1P3 EPS15L1 FAM160B2 SLC18A3 SREBF1 TAF1C UGT2A2 VPS18 FNBP1 VGLL4 SYT11 ATL1 PLD2 HGS PLD3 ATP6V0A1 SLC9A8 NUFIP1 UGT8 SCO2 NT5E LGI1 SNAP25 RTN2 LEKR1 ATP6V1B2 EPHX1 REPS2 TBCB KIAA0930 ZSWIM8 TECPR1 DEGS1 ZGRF1 BAG5 VAMP2 CUX1 CDKN1C NDUFA11 SMPD4 RXRA ABHD14B AKR1B1 PACSIN3 DNM1 PRKCSH TMEM53 PLCH1 DCAF12 MOGS ASAH2B GPS1 TBC1D13 TMUB2 SNCA ATP5PF MAP1B HIP1 PPP1R12C SNCB HKDC1 SLC7A7 RAB3A PPP3CB STON2 AMY1B NECAP2 USF1 CBX4 VAMP4 GAK CDS2 MPRIP MAFB PAH TFPI AMY2B NRGN CLTCL1 VPS11 SERPINA9 PLCH2 SDR39U1 SLC1A3 SLC38A9 ASAH2 ZBED1 PANX1 MEF2D RUFY4 PACSIN2 SH3GL2 PNPLA6 GADD45B SYT1 STXBP1 SNX9 LDLRAP1 ZFYVE27 AP2A2 PPP6R2 USF2 SGIP1 DNAJC28 CCSAP FAM53B NEFM,presynaptic endocytosis,6.302309754509487e-29,0.3424657534246575,25.0,6,1,1,0.02553191489361702,0.00425531914893617,0.0,0.9702127659574468
C248,GBA2 DEGS2 STEAP3 ACER2 UGT2A2 TMEM51 ACER1 UGT8 SGMS1 DEGS1 CERK ENPP7 SLC1A3 SMPD4 SMPD3 SLC38A9 ASAH2 PANX1 UGCG SGMS2 CPTP PACSIN2 ASAH1 SLC6A15 ASAH2B,Sphingolipid metabolism,5.527284072560905e-29,0.2777777777777778,15.0,2,0,0,0.08,0.0,0.0,0.92
C242,CABIN1 UNC13A SYN1 FAM193B SLC2A4RG MEGF8 ZMIZ2 CALM1 TMEM51 CD63 FXYD7 VSNL1 CYB5D2 CD81 SLC3A2 PKN1 DNAJC5 MBNL1 KRT10 AGL NTRK2 YWHAB PRSS1 PEPD ELAVL4 SLC25A12 MAPT LRRC14 SESN1 DYNC1I1 AKAP17A ANXA11 SPI1 KCNV1 PPARG HMSD CHKB ELANE SLC25A22 HSPD1 ZNF142 VPS16 VAMP1 NTRK1 KCNF1 KIAA1191 GAPDH FRK SERPINB8 CLEC16A CCT4 PPP3CA CTNS RBM38 PELI3 STEAP3 GDPD5 YWHAH NISCH IL11RA SQSTM1 CACFD1 SRI SMARCD3 NAP1L2 DGKB SERPINI1 ACD STUB1 GUCY1B1 AMY1C CEBPA ANK2 MTM1 KLC1 KCTD2 SLC2A8 SYP CAT PREB SERPINA5 GABARAP CHD3 SLC6A15 GTPBP6 SAP30BP SIRT2 VEGFB FCMR MT1P3 EPS15L1 FAM160B2 SREBF1 TAF1C VPS18 VGLL4 ATL1 PLD2 HGS PLD3 ATP6V0A1 SLC9A8 NUFIP1 SCO2 NT5E LGI1 SNAP25 RTN2 LEKR1 ATP6V1B2 EPHX1 TBCB KIAA0930 ZSWIM8 TECPR1 ZGRF1 BAG5 VAMP2 CUX1 CDKN1C NDUFA11 RXRA ABHD14B AKR1B1 PRKCSH TMEM53 PLCH1 DCAF12 MOGS GPS1 TBC1D13 TMUB2 SNCA ATP5PF MAP1B HIP1 PPP1R12C SNCB HKDC1 SLC7A7 RAB3A PPP3CB AMY1B USF1 CBX4 CDS2 MPRIP MAFB PAH TFPI AMY2B NRGN VPS11 SERPINA9 PLCH2 SDR39U1 SLC1A3 SLC38A9 ZBED1 PANX1 MEF2D RUFY4 PACSIN2 PNPLA6 GADD45B SYT1 STXBP1 ZFYVE27 AP2A2 PPP6R2 USF2 CCSAP FAM53B NEFM,Synaptic vesicle cycle,2.6669442968285316e-06,0.1282051282051282,10.0,3,1,1,0.017241379310344827,0.005747126436781609,0.0,0.9770114942528736
C246,SYT8 DNM2 HIP1 TPD52L1 FRK DNM3 AMPH EPS15L1 IGF2R SYT9 SLC18A3 SYNJ2 TGOLN2 SYT2 KIAA0319 FNBP1 SYT11 STON2 NECAP2 VAMP7 VAMP4 DVL2 SNAP91 DNAJC6 GAK PACSIN1 ATP6V1B2 AC023055.1 REPS2 CLTCL1 REPS1 M6PR STAM DNAJC14 FNBP1L PACSIN3 SNX18 DNM1 SYNJ1 AAK1 PACSIN2 SH3GL2 SLC2A8 SNX9 AP2B1 LDLRAP1 SGIP1 AP2A2 SLC6A15 DNAJC28 EPN2,Clathrin-mediated endocytosis,3.656453384090205e-77,0.2986111111111111,43.0,2,0,0,0.0392156862745098,0.0,0.0,0.9607843137254902
C258,PACSIN2 PLD3 MEGF8 SLC1A3 CDS2 SLC38A9 STEAP3 PANX1 TMEM51,C258,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C243,CABIN1 FAM193B SLC2A4RG MEGF8 ZMIZ2 CD63 CYB5D2 CD81 SLC3A2 PKN1 KRT10 AGL PEPD LRRC14 AKAP17A ANXA11 SPI1 PPARG CHKB ELANE SLC25A22 HSPD1 ZNF142 VPS16 NTRK1 KIAA1191 GAPDH CLEC16A CCT4 CTNS RBM38 PELI3 GDPD5 NISCH IL11RA SQSTM1 SRI SMARCD3 NAP1L2 ACD STUB1 AMY1C CEBPA KCTD2 PREB CAT SERPINA5 GABARAP CHD3 GTPBP6 SAP30BP SIRT2 VEGFB FAM160B2 SREBF1 TAF1C VPS18 VGLL4 PLD2 HGS PLD3 SLC9A8 SCO2 RTN2 LEKR1 ATP6V1B2 EPHX1 TBCB KIAA0930 ZSWIM8 TECPR1 ZGRF1 VAMP2 CDKN1C NDUFA11 RXRA ABHD14B AKR1B1 PRKCSH TMEM53 DCAF12 MOGS GPS1 TBC1D13 TMUB2 ATP5PF PPP1R12C HKDC1 AMY1B USF1 CBX4 CDS2 MPRIP PAH AMY2B VPS11 SDR39U1 ZBED1 MEF2D RUFY4 GADD45B PNPLA6 ZFYVE27 AP2A2 PPP6R2 USF2 FAM53B,C243,,,,1,0,0,0.009345794392523364,0.0,0.0,0.9906542056074766
C245,SAP30BP GAPDH ATP5PF HIP1 FRK SERPINB8 MT1P3 EPS15L1 HKDC1 CCT4 PPP3CA PELI3 PPP3CB YWHAH CD63 AMY1B SLC9A8 SQSTM1 CYB5D2 NT5E CD81 SLC3A2 LEKR1 SRI MBNL1 PAH TFPI KRT10 ATP6V1B2 AMY2B AGL SERPINI1 TBCB ACD ZSWIM8 YWHAB TECPR1 SERPINA9 PRSS1 CUX1 PEPD SLC25A12 NDUFA11 SESN1 AMY1C AKR1B1 ANXA11 HMSD MTM1 GADD45B ELANE SLC2A8 HSPD1 CAT SERPINA5 GABARAP ZFYVE27 NTRK1,melanosome,9.486118705915976e-06,0.05357142857142857,6.0,2,0,0,0.034482758620689655,0.0,0.0,0.9655172413793104
C247,KCNF1 SNCA UNC13A MAP1B SYN1 MEGF8 SNCB RAB3A CALM1 YWHAH ATL1 FXYD7 VSNL1 ATP6V0A1 NUFIP1 LGI1 SNAP25 CACFD1 NAP1L2 DNAJC5 NTRK2 SERPINI1 NRGN ELAVL4 MAPT DYNC1I1 ANK2 KCNV1 SYT1 SYP STXBP1 CCSAP NEFM VAMP1,synaptic vesicle exocytosis,1.1048285101127194e-11,0.09375,9.0,1,1,1,0.029411764705882353,0.029411764705882353,0.0,0.9411764705882353
C281,BAG5 SQSTM1 PELI3 NEFM NTRK2,C281,,,,1,0,0,0.2,0.0,0.0,0.8
C259,SERPINI1 SERPINA9 PRSS1 HIP1 SERPINB8 MT1P3 SERPINA5 EPS15L1 HMSD,serine-type endopeptidase inhibitor activity,1.2460132382929594e-08,0.04854368932038835,5.0,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
