Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C264,SYP KIFAP3 MFN2 MCRIP2 FLJ44635 SMIM10 ALG1L2 UNC13A AP2B1 KCNF1 IRF2BP1 TXNDC11 TAFA3 WBP1L EPDR1 CASP8 SYN1 PSD2 TP53INP1 CHRNA7 ZNF878 SOD1 RAB40B SH3GL2 CT83 SOWAHD SLC12A5 NBPF9 AP2A2 KCNA2 CTNS MAPT NRGN KIF1A TECPR2 DGKI TSPAN7 PARP10 PLEKHD1 TRIM49B POTEB3 TRAPPC1 STARD7 CLCN6 VSNL1 PPP1R2C PEX10 BEX4 PTPRS LGI3 PRADC1 WASHC1 C1QTNF2 GPR158 SLC44A2 NOXA1 KCNJ10 AMER2 PHPT1 OLIG1 AP1S1 TRPT1 GPRASP1 TMEM59L ZHX1-C8orf76 SQSTM1 GOLGA8H ZNF735 DOCK10 PGBD3 SLC4A10 GRIA2 TRIM50 NFKBIA KCNQ3 THRAP3 RAB3A SNCB RAB6C CACFD1 FIG4 ATXN7 KIF4B CEND1 TTI2 NOVA1 PLD4 RPL36A-HNRNPH2 ZNF727 HEPN1 CD63 IRF2BP2 ATG16L1 DNM2 LHFPL3 STUB1 ATP1B2 GOLGA6L10 CPTP KCNV1 RRAGC SYT1 RNF31 RTN1 KIAA1191 NAPSB NBPF20 SERPINI1 HSPE1-MOB4 ERCC2 SNAP91 IRF2 GOLGA8J DNM1 CHN1 FIZ1 LGALS8 ATRN POTEM TUBB2B KCNB1 LYST PEPD PPP3CB NAP1L3 PCBD1 MAFB KCNH2 MAP1LC3C ZNF532 KCNB2 SCAMP5 DCP1B KCNJ6 KIF13A DYNC1I1 NBEA DMXL2 HINFP ELAVL4 ABHD14B FKBP7 AP3B2 CC2D1B SLC6A8 HINT2 GNPTG CTAGE15 CHFR MEGF8 PLCH1 CCSAP LMBRD1 RSAD1 SEC11A SUPT20HL2 C16orf47 TUBA3D FAM234A SLC9A9 VAMP1 NDUFA11 TMEM159 OPALIN ASTN1 C4orf51 PELI3 TMUB2 TSPY8 CHDH GRIA1 PIK3R4 KCND2 GRIK5 CALM3 FXYD7 MPND GPR180 CHCHD10 KCNIP4 GABBR2 KCNA1 ZNF181 FASTK VAMP2 TMEM144 ZFAND2B STXBP1 KLC1 APBB2 HPCAL4 ABTB2 RETREG1 SYT11 XKR4 NUTM2A SNCA ZNF90 TMEM183B TRIM77 YWHAH KCNC2 IST1 ETV6 ZFYVE1 PPP1CA SNAP25 FAIM2 ARHGEF3 C2orf40 NELL2 FER1L6 DGKB WDR45 SERPINB8 ATL1 DOCK5 CALM1 USP3 GUCY1B1 SEZ6 PRAMEF2 UBC SYNE3 PNMA8A KHNYN RAB6B KIAA0930 GPR179 BIVM-ERCC5 NTRK2 MIEN1 NAXE BLOC1S5 SYT4 TCEAL2 SEC11C USF1 IRF2BPL ARRDC3 ATG7 SMIM24 SLC1A2 AC011448.1 RTN2 TAOK3 HTRA2 NEFM AP1S3 KLHL32 CREG2 MAP1LC3B2 KCNJ18 ZNF730 RBFOX1 IQCJ RTN3,calcium-ion regulated exocytosis,1.1337086270561157e-08,0.16666666666666666,11.0,7,4,4,0.027237354085603113,0.01556420233463035,0.0038910505836575876,0.9533073929961089
C328,CHCHD10 THRAP3 USF1 FIZ1,C328,,,,0,1,1,0.0,0.25,0.0,0.75
C265,FLJ44635 SMIM10 ALG1L2 IRF2BP1 TXNDC11 WBP1L EPDR1 CASP8 TP53INP1 ZNF878 CT83 NBPF9 AP2A2 CTNS PARP10 TECPR2 TSPAN7 PLEKHD1 TRIM49B POTEB3 PTPRS WASHC1 C1QTNF2 SLC44A2 NOXA1 ZHX1-C8orf76 SQSTM1 GOLGA8H ZNF735 DOCK10 NFKBIA TRIM50 THRAP3 FIG4 ATXN7 PLD4 TTI2 RPL36A-HNRNPH2 ZNF727 CD63 IRF2BP2 ATG16L1 GOLGA6L10 RRAGC RNF31 HSPE1-MOB4 NBPF20 IRF2 GOLGA8J POTEM LGALS8 ATRN LYST PEPD MAP1LC3C MAFB DCP1B DMXL2 HINFP FKBP7 CC2D1B SLC6A8 CTAGE15 CHFR MEGF8 LMBRD1 SEC11A SUPT20HL2 C16orf47 FAM234A SLC9A9 TMEM159 C4orf51 PELI3 TSPY8 CHDH PIK3R4 ZNF181 KLC1 APBB2 ABTB2 RETREG1 NUTM2A ZNF90 TMEM183B TRIM77 IST1 ETV6 ZFYVE1 ARHGEF3 FER1L6 WDR45 SERPINB8 USP3 SEZ6 PRAMEF2 UBC SYNE3 KHNYN GPR179 BIVM-ERCC5 BLOC1S5 SEC11C USF1 IRF2BPL ARRDC3 ATG7 SMIM24 MAP1LC3B2 TAOK3 HTRA2 KCNJ18 ZNF730 IQCJ,Autophagy - animal,8.271379002691322e-07,0.06060606060606061,10.0,2,1,1,0.017543859649122806,0.008771929824561403,0.008771929824561403,0.9649122807017544
C266,SYP KIFAP3 MFN2 UNC13A AP2B1 KCNF1 SYN1 PSD2 CHRNA7 SH3GL2 SOWAHD SLC12A5 AP2A2 KCNA2 MAPT NRGN KIF1A DGKI TSPAN7 CLCN6 VSNL1 LGI3 GPR158 AMER2 KCNJ10 OLIG1 AP1S1 TMEM59L PGBD3 SLC4A10 GRIA2 KCNQ3 RAB3A SNCB KIF4B CEND1 NOVA1 HEPN1 DNM2 LHFPL3 ATP1B2 KCNV1 RTN1 SYT1 NAPSB KIAA1191 SERPINI1 ERCC2 SNAP91 DNM1 CHN1 TUBB2B KCNB1 NAP1L3 KCNH2 KCNB2 SCAMP5 KCNJ6 NBEA ELAVL4 DYNC1I1 AP3B2 PLCH1 CCSAP LMBRD1 TUBA3D VAMP1 OPALIN ASTN1 KCND2 GRIA1 GRIK5 CALM3 FXYD7 KCNIP4 GABBR2 KCNA1 VAMP2 TMEM144 STXBP1 KLC1 APBB2 HPCAL4 SYT11 XKR4 SNCA YWHAH KCNC2 SNAP25 FAIM2 C2orf40 NELL2 DGKB ATL1 DOCK5 CALM1 PNMA8A RAB6B KIAA0930 NTRK2 BLOC1S5 SYT4 SLC1A2 RTN2 CREG2 KLHL32 NEFM AP1S3 RBFOX1 RTN3,voltage-gated potassium channel complex,4.019700690687405e-18,0.16666666666666666,15.0,4,2,2,0.03636363636363636,0.01818181818181818,0.0,0.9454545454545454
C299,KIF13A CHFR KIF4B TAFA3 KIF1A,C299,,,,1,0,0,0.2,0.0,0.0,0.8
C270,PHPT1 MCRIP2 ABHD14B TRPT1 TAFA3 HINT2 GNPTG RSAD1 FAM234A NDUFA11 MIEN1 NAXE TRAPPC1 STUB1 TMUB2 CPTP MPND PEX10 CHCHD10 FASTK PRADC1 FIZ1 AC011448.1 ZFAND2B PCBD1,C270,,,,1,1,1,0.04,0.04,0.0,0.92
C276,RAB6C LGI3 RAB40B OLIG1 TMEM144 DOCK5 KLHL32 CEND1 PGBD3 FAIM2 KIAA0930 ERCC2,C276,,,,1,0,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C289,IRF2 HINFP FKBP7 ETV6 PARP10 KHNYN CASP8,C289,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C267,FLJ44635 SMIM10 ALG1L2 IRF2BP1 TXNDC11 WBP1L CASP8 ZNF878 CT83 NBPF9 CTNS TRIM49B PLEKHD1 POTEB3 PTPRS C1QTNF2 SLC44A2 ZHX1-C8orf76 ZNF735 GOLGA8H DOCK10 THRAP3 ATXN7 TTI2 RPL36A-HNRNPH2 ZNF727 CD63 IRF2BP2 GOLGA6L10 RRAGC RNF31 HSPE1-MOB4 NBPF20 IRF2 GOLGA8J POTEM LGALS8 PEPD MAFB DCP1B DMXL2 HINFP FKBP7 CC2D1B CTAGE15 CHFR SEC11A SUPT20HL2 C16orf47 SLC9A9 C4orf51 TSPY8 ZNF181 NUTM2A ZNF90 TMEM183B TRIM77 IST1 ETV6 ZFYVE1 ARHGEF3 FER1L6 SERPINB8 USP3 PRAMEF2 UBC KHNYN GPR179 BIVM-ERCC5 SEC11C USF1 IRF2BPL ARRDC3 SMIM24 KCNJ18 IQCJ HTRA2 ZNF730,C267,,,,2,1,1,0.02564102564102564,0.01282051282051282,0.0,0.9615384615384616
C273,TP53INP1 ATG16L1 ATG7 PELI3 WDR45 MAP1LC3B2 TAOK3 WASHC1 SQSTM1 FIG4 LYST PIK3R4 TECPR2 MAP1LC3C EPDR1 NOXA1 ABTB2 RETREG1,autophagosome,2.574437407328989e-10,0.059322033898305086,7.0,0,0,0,0.0,0.0,0.05555555555555555,0.9444444444444444
