,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SYNJ1,1,1,CD_4_notcateg,PD,12.125100943974875,14.733791615894472,178.64871063021116,2
DNAJC6,1,1,CD_4_notcateg,PD,11.239666342349363,11.276401432763482,126.74298964665184,2
ZNF608,0,1,CD_4_notcateg,PD,4.934590396652288,10.092150169184437,49.800627306430286,1
TUBG1,0,1,CD_4_notcateg,PD,2.393619729156297,20.16051449015216,48.25660523356961,1
KLHL7,0,1,CD_4_notcateg,PD,3.409026418793588,13.536875873345029,46.14756748016273,1
CHD9,0,1,CD_4_notcateg,PD,2.3210421680452873,19.76636312783903,45.878562328609924,1
ACVR1,0,1,CD_4_notcateg,PD,2.5003450844374955,16.88073575135222,42.207664657581816,1
KCND3,0,1,CD_4_notcateg,PD,3.608088916782826,11.565745233794162,41.73023719238651,1
GTF2H2C_2,0,0,CD_4_notcateg,PD,8.44527588477197,4.4358061061413965,37.46160633772019,0
MED13,0,1,CD_4_notcateg,PD,2.0273742660203427,17.738079811231074,35.96172653790486,1
DNAJC13,0,1,CD_4_notcateg,PD,2.2185610298920055,15.23272706016174,33.79473463465625,1
SREBF1,0,1,CD_4_notcateg,PD,2.5309701176059267,12.883423445794369,32.60755975376913,1
NCOR1,0,1,CD_4_notcateg,PD,2.027095085464473,15.92498764648688,32.281464194276,1
DYNC1I1,0,1,CD_4_notcateg,PD,2.3479143698081453,13.558220503037735,31.833540748109716,1
SH3GL2,0,1,CD_4_notcateg,PD,3.3603307650267995,9.42429213748482,31.668738808190415,1
KIF1A,1,0,CD_4_notcateg,PD,11.058048624798914,2.803825056781433,31.004833813318665,1
ASPSCR1,0,1,CD_4_notcateg,PD,2.2944802795649974,13.127063923754818,30.11978930164455,1
SNCA,0,1,CD_4_notcateg,PD,1.7445362243079086,15.30312244512172,26.696851450534254,1
AAK1,0,1,CD_4_notcateg,PD,1.8522871341062996,14.24383442230079,26.38367124076819,1
ELL,0,1,CD_4_notcateg,PD,1.9488594113270736,13.500680119114746,26.31092750945309,1
ATP1A3,1,0,CD_4_notcateg,PD,9.358091905932882,2.802764222702554,26.22852518671104,1
LMBRD1,0,1,CD_4_notcateg,PD,1.8634752148937404,14.073777410198247,26.226135383835846,1
ATN1,1,0,CD_4_notcateg,PD,10.69089495815352,2.4020603935923917,25.680175351037157,1
KCNIP3,0,1,CD_4_notcateg,PD,3.006461696240177,8.353802048068742,25.115385875491413,1
JAKMIP3,0,0,CD_4_notcateg,PD,5.795196513601188,4.249520748269816,24.626807824849152,0
ZNHIT3,1,0,CD_4_notcateg,PD,12.950955327109515,1.837015095301765,23.791100434478988,1
CCDC73,0,0,CD_4_notcateg,PD,6.233471876158225,3.815955722973038,23.786652679817458,0
KCND1,0,0,CD_4_notcateg,PD,7.080465876404911,3.2564295559084924,23.057038349526476,0
VAMP4,0,1,CD_4_notcateg,PD,1.5204052690746033,14.283247159497458,21.716324240794794,1
ATP1A2,1,0,CD_4_notcateg,PD,9.152719632286331,2.1453952244014847,19.63620098939281,1
PLCH1,0,1,CD_4_notcateg,PD,2.1490981445659925,8.926053027295831,19.18296399925913,1
KCNS3,0,1,CD_4_notcateg,PD,2.931676398844962,6.368863152876597,18.67144579276163,1
VPS13C,0,1,CD_4_notcateg,PD,1.591336667936463,10.403420840712055,16.555345055799478,1
ZNF609,0,1,CD_4_notcateg,PD,1.5502525401939597,10.66459995442438,16.532823169498783,1
SERPINI1,1,0,CD_4_notcateg,PD,9.442464184803056,1.7048879123937901,16.09834305188201,1
SNAP23,0,0,CD_4_notcateg,PD,5.017861979045026,3.0164034195789355,15.135896032566542,0
RTTN,0,0,CD_4_notcateg,PD,4.269884662850644,3.4833328066968146,14.873429326919215,0
CLCN3,0,1,CD_4_notcateg,PD,1.6471113828033455,8.465801432242799,13.94411790359998,1
AFF1,0,0,CD_4_notcateg,PD,2.434144031341453,5.5396773650172895,13.484372593614182,0
FBRS,0,0,CD_4_notcateg,PD,2.5854981181785033,4.931568897368506,12.750562103813909,0
VAMP2,0,0,CD_4_notcateg,PD,4.006419172890287,3.1685250677895165,12.694439581375416,0
CERS6,0,0,CD_4_notcateg,PD,3.454071618118078,3.600116217057985,12.435059247266608,0
SPPL2B,0,1,CD_4_notcateg,PD,1.7576227001681417,6.95648209459376,12.226870842771214,1
ASAH2,0,0,CD_4_notcateg,PD,5.361246805904133,2.270250624374815,12.17137390853134,0
TCP11X2,0,0,CD_4_notcateg,PD,2.0880919420127944,5.7625623375874655,12.0327599824628,0
PCBD2,0,0,CD_4_notcateg,PD,5.53992718845672,1.9704085380697636,10.915919832419942,0
ACER2,0,0,CD_4_notcateg,PD,5.354314311192525,2.0315302415801715,10.877451446113119,0
AUTS2,0,0,CD_4_notcateg,PD,2.68683175034678,4.003271023920167,10.756115692311969,0
KCND2,0,0,CD_4_notcateg,PD,3.9096749573951723,2.7011703321285276,10.560698003181704,0
DNM1,0,0,CD_4_notcateg,PD,3.44800241212014,3.0365176396839084,10.46992014607547,0
DOP1B,0,0,CD_4_notcateg,PD,3.0466383665210044,3.397878914692539,10.35210826629504,0
CAMK2N1,0,0,CD_4_notcateg,PD,3.5721540075844533,2.8348161376677745,10.126399826935023,0
KCNG3,0,0,CD_4_notcateg,PD,3.2608180604756245,3.071510311741181,10.015636297462757,0
TDO2,0,0,CD_4_notcateg,PD,3.52676471586012,2.75989089196812,9.73348581741688,0
KCNK5,0,0,CD_4_notcateg,PD,3.639960227255063,2.6592288402220197,9.67948721357776,0
KCNA7,0,0,CD_4_notcateg,PD,2.9406655365485777,3.276622189257962,9.63544994824124,0
MED23,0,0,CD_4_notcateg,PD,2.309877836373255,4.116522925227612,9.508665067905657,0
YAF2,0,0,CD_4_notcateg,PD,2.2069018662184043,4.227303772555949,9.329244584725824,0
FTO,0,0,CD_4_notcateg,PD,2.53184060724309,3.681842710824837,9.3218388847483,0
ELOVL5,0,0,CD_4_notcateg,PD,2.987182474508755,3.0844580948871085,9.213839164403433,0
ASAH2B,0,0,CD_4_notcateg,PD,4.691253170710747,1.9451592400980857,9.125234452647453,0
PLD6,0,0,CD_4_notcateg,PD,3.6963294008429473,2.4432019220195222,9.030879096556758,0
KCNK17,0,0,CD_4_notcateg,PD,3.342749718657361,2.6935685725181,9.003925587969189,0
ATL1,0,0,CD_4_notcateg,PD,2.8877313154880655,3.09938842864405,8.95020102425677,0
YWHAE,0,0,CD_4_notcateg,PD,2.813903732293022,3.171419455255782,8.924069041810949,0
GK5,0,0,CD_4_notcateg,PD,3.3936395866712017,2.6026212570255134,8.832358526953747,0
AC023055.1,0,0,CD_4_notcateg,PD,3.750854280722439,2.349821140723602,8.813836684615207,0
LHFPL3,0,0,CD_4_notcateg,PD,2.7634579362086646,3.1690723161832803,8.75759804257586,0
KCNQ5,0,0,CD_4_notcateg,PD,3.5079534348992993,2.4945865278008554,8.750893378852528,0
KCNB1,0,0,CD_4_notcateg,PD,2.44744705899196,3.57088712751936,8.739557198239506,0
KCNS2,0,0,CD_4_notcateg,PD,3.200571684741852,2.712642356290621,8.68200631637518,0
GTF2H2C,0,0,CD_4_notcateg,PD,3.70626050183119,2.341542043296556,8.678364788447123,0
KCNK6,0,0,CD_4_notcateg,PD,3.101203927713054,2.7403871545492904,8.498499407142658,0
