Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C436,PPARG AMPD3 PTGDS ACER2 TMEM51 CTSH MCOLN3 KLC1 MAGED2 HSP90B1 AC010422.3 HLA-DRB1 POMK MAGEA11 CEBPD GAMT CASP3 ACAP3 ASAH2B A2M CTSD UCP2 ENC1 APOC1 HLA-C SLC7A7 GAA PEBP4 CPVL TMEM246 NPC1 MMP3 PKD2L2 SNCG DDAH2 SLC38A7 SLC25A6 SGMS1 GALC CTNS B3GALT6 GLG1 B4GALNT1 VLDLR TOR1A BAX FCGRT VDAC1 LYZ SRI PDXK MT1L ENPP7 PON2 TGM2 IGF2R TNS3 VPS9D1 HLA-DMA ARSI AMDHD2 CTSA GLB1L3 GABARAP GALNS PINK1 XG NUCB1 PEPD PLAAT3 NAGLU MPO HLA-DPB1 FAM102A PLD2 ATP6V1B2 DDIT3 SLC25A14 ACP5 TK2 CHID1 PLA2G15 ATP7A FTL ATP5F1B PLD3 NAGPA SLC25A22 PPIL3 ATP6V1B1 MS4A4A LGALS9 KL SGSH GK PSEN1 B4GALT7 GLUL IGFBP7 GRN RNF20 AGRN OR8D2 RGS4 PROS1 GRINA HOOK1 CHI3L1 NOTCH3 DERL1 TREM2 GLB1L2 VAMP3 IGFBP2 PCBP2 PKIG OR2T6 CXorf40A SCARB2 DEGS1 BNIP3L TMEM175 ATP6V0D1 MXD4 FAM160B2 VAMP8 BLVRB AGAP11 MAN2B1 SLC1A3 SH3GLB2 HLA-DMB ALPL TFAP2A PLA2G7 CLIP1 CANX ADAM15 SLC3A1 CABIN1 HBA1 CYBC1 ADAP2 M6PR CYBA CAT ATP6V1A OPN3 HLA-DQA1 MT1X OGA SNAPIN SREBF1 FUCA2 TRPV6 TMEM176A CD81 NEU1 HNMT STX4 TOP3B GPM6B FTH1 ASAH1 BDH2 PLTP LCTL VEGFB IQSEC1 OAZ2 EVA1B SLC18A2 HMOX1 B2M HEXA DHRS3 AMY1C GAPDH AMY1A HFE BIN3 DAB2 SMPD1 ORAI3 LGALS1 SLC2A4 GANAB DYSF TGFBI CFB MAN2B2 CST3 TMEM53 GLB1L SLC39A1 ANXA11 FXYD5 IDH1 MAFB SIPA1 HEXB PKD1L3 ARSH TCTA FAAP100 ACD TMEM134 ABCA7 GBA ETS2 VAMP2 PORCN CCS TGOLN2 CHKB SLC25A5 CIAO3 ZBTB17 CD99 SMPD3 SPATA31A7 RAD23A MALAT1 SLC40A1 MPST DNM2 ZFP91 GGT5 KIAA0930 CERK RFNG FUCA1 MITF FUOM SPHK2 CAPG TNFRSF14 LMBR1L MANBA SPHK1 AMY2A NPL HSPB2 PCSK9 SGMS2 HYI CD68 MOGS UGT8 C8orf58 DEGS2 HGSNAT TIMP2 CTDSP1 PICALM PLPP1 SLC31A1 AMY1B AOAH COMT PKD1L1 RENBP SLC11A2 GLB1 GANC MTCH1 HYOU1 SMPD2 FCSK PLXND1 RABEP2 CD74 PILRA PRXL2A PLIN2 DEFB104B METTL7A LRP10 NAGA ATF5 TYMP ARSA ACER1 CLU CHIT1 ZNF276 CDS2 H6PD GPX1 IGDCC4 ACO2 TCN2 ANXA6 ARHGAP17 DDOST SCAMP3 RAB27B FADS1 MAOA CYP19A1 NCEH1 NPEPL1 CCDC92 FADS2 GALM USF2 FAM193B CAPNS1 MTX1 HERPUD1 LTBP2 GUSB CYP27A1 CTSG GBA2 SLC25A13 NECAP2 PKD2L1 MYORG HLA-A SLURP1 PSAPL1 MCOLN1 GCH1 HYAL1 LAMP2 PRNP TOM1 ACP2 FOS KLB TSPAN4 SIDT2 MAN2C1 HEXD TLCD2 THBS3 CYBB KIAA0513 AZU1 PKD1 SERAC1 JPH1 PLPPR2 FBXO6 CTSF FGD6 AC138894.1 TMEM94 TMEM127 TFRC HSPA5 CLN3 INPP1 UGT2A2 SMPD4 NDST2 MYZAP AKR7A2 ATP6V0C HMGCS1 NUDCD1 RIN2 NINJ1 CTSB KIR2DS4 AP2A2 AMY2B ARL8B SPATA20 MAP7D1 APOE SLC2A8 PBXIP1 AP2S1 STEAP3 LINC00846 UGCG SLC35E1 RDH11 CYP11A1 HCCS GM2A ESYT1 FMR1 NDFIP1 SUMF1 CKMT1B B3GALT4 LRPAP1 STS IDUA AGA NAMPTP1 MMRN1 STK10 LAMP1 CD14 MT1HL1 CD63 APOD PATJ HYAL3 NEU4 G6PC2 PDE4DIP NR1H3 AIF1 LCT SLC3A2 CAPN1 DHCR24 SLCO2B1 MAN1B1 NPC2 MT2A IGFBP4 MT1G ASAH2 SLC31A2 PIK3IP1 TCF25 TRPC6 ZMYND11 MT1E ATP5F1A SERPINA1 TFPI EPHX1 ADIPOR1,Sphingolipid metabolism,9.672048020799957e-31,0.5740740740740741,31.0,26,2,2,0.06046511627906977,0.004651162790697674,0.002325581395348837,0.9325581395348838
C437,MCOLN1 CCS HYAL1 CHKB TOM1 ACP2 MCOLN3 CIAO3 PKIG ZBTB17 PCBP2 KLC1 MAGED2 MAN2C1 TMEM175 GAMT THBS3 ACAP3 MXD4 FAM160B2 MPST KIAA0513 DNM2 PKD1 CTSD PLPPR2 MAN2B1 KIAA0930 TMEM94 TMEM127 RFNG CLN3 SH3GLB2 ALPL GAA TNFRSF14 ADAM15 NDST2 LMBR1L CYBC1 CABIN1 AKR7A2 PKD2L2 DDAH2 SLC38A7 HYI CTNS B3GALT6 GLG1 C8orf58 HGSNAT B4GALNT1 OPN3 CTDSP1 AP2A2 SNAPIN SPATA20 PKD1L1 MAP7D1 APOE PBXIP1 STX4 TOP3B LINC00846 UGCG VPS9D1 VEGFB ARSI RABEP2 IQSEC1 OAZ2 CTSA EVA1B GABARAP LRP10 GALNS PINK1 NUCB1 HEXA NAGLU SUMF1 ARSA B3GALT4 LRPAP1 ZNF276 FAM102A IDUA PLD2 TK2 CHID1 ARHGAP17 PLA2G15 BIN3 ORAI3 DYSF PLD3 NAGPA NPEPL1 CCDC92 PPIL3 TMEM53 USF2 CAPN1 MAN1B1 ANXA11 FAM193B CAPNS1 SGSH LTBP2 SIPA1 PKD1L3 B4GALT7 ARSH TCTA TRPC6 TCF25 FAAP100 PKD2L1 GRN AGRN TMEM134 ABCA7 RGS4 SLURP1 VAMP2 GRINA,lysosomal lumen,6.285196458562259e-17,0.16,16.0,12,2,2,0.09523809523809523,0.015873015873015872,0.0,0.8888888888888888
C438,CHI3L1 PTGDS PSAPL1 NOTCH3 CTSH TREM2 FOS IGFBP2 TSPAN4 CXorf40A CD99 HLA-DRB1 CEBPD MALAT1 VAMP8 SLC40A1 BLVRB CYBB ZFP91 MAN2B1 SLC1A3 CTSF GGT5 UCP2 ENC1 APOC1 HLA-C HLA-DMB FUCA1 SLC7A7 TFAP2A MITF PLA2G7 CAPG CPVL MYZAP MMP3 HBA1 SNCG NPL ADAP2 CYBA CD68 RIN2 NINJ1 CTSB OPN3 TIMP2 KIR2DS4 FCGRT HLA-DQA1 MT1X TMEM176A AOAH LYZ CD81 APOE HNMT SLC11A2 MT1L MTCH1 TGM2 GPM6B TNS3 FTH1 PLXND1 PLTP HLA-DMA CD74 PILRA PRXL2A GM2A PLIN2 ATF5 XG HMOX1 PLAAT3 B2M TYMP DHRS3 CLU HLA-DPB1 GPX1 MMRN1 TCN2 ACP5 CD14 HFE MT1HL1 DAB2 FTL FADS1 LGALS1 DYSF TGFBI PDE4DIP CST3 NR1H3 AIF1 SLC39A1 MS4A4A SLCO2B1 FXYD5 NPC2 LGALS9 MT2A IGFBP4 MAFB MT1G CYP27A1 GLUL PIK3IP1 IGFBP7 MT1E SERPINA1 TFPI HLA-A PROS1,Mineral absorption,7.239888140590926e-09,0.16666666666666666,10.0,4,1,1,0.03389830508474576,0.00847457627118644,0.0,0.9576271186440678
C440,UGCG SMPD4 ACER2 NCEH1 ASAH1 SPHK1 SGMS1 SGMS2 GALC UGT8 DEGS2 DEGS1 SMPD3 POMK TLCD2 ASAH2B ASAH2 MTX1 PLPP1 GBA2 ACER1 JPH1 FGD6 CERK ENPP7 UGT2A2 SPHK2 PEBP4 SMPD1 SMPD2,Sphingolipid metabolism,3.860921976652575e-43,0.3888888888888889,21.0,3,0,0,0.1,0.0,0.0,0.9
C445,KLB AMY1A LCT GLB1L MANBA GANC GLB1L3 SLC3A1 MYORG AMY1C AMY1B AMY2A LCTL AMY2B KL GLB1L2,"hydrolase activity, hydrolyzing O-glycosyl compounds",5.882924155352577e-31,0.15217391304347827,14.0,1,0,0,0.0625,0.0,0.0,0.9375
C446,PLAAT3 HMGCS1 NPC1 PPARG GK NCEH1 CYP27A1 RDH11 DHCR24 SLC31A1 VLDLR SREBF1 FADS2 INPP1 PCSK9 FADS1,PPAR signaling pathway,8.595022015428703e-06,0.06666666666666667,5.0,1,0,0,0.0625,0.0,0.0,0.9375
C447,AMPD3 NDST2 OR2T6 IGDCC4 OR8D2 APOE CHKB CFB SPATA31A7 SLC25A13 DERL1 IQSEC1 CST3 AGA,C447,,,,1,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C449,PATJ MTX1 RNF20 PEBP4 POMK JPH1 GBA TOP3B TLCD2 FGD6,C449,,,,0,0,0,0.0,0.0,0.1,0.9
C461,HOOK1 GALM LCT GLB1 AMDHD2 G6PC2 H6PD,carbohydrate metabolic process,6.981712239612525e-07,0.01054481546572935,6.0,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C463,FCSK GANAB AC010422.3 FUCA1 MAN2B2 FUCA2 FUOM,"hydrolase activity, hydrolyzing O-glycosyl compounds",2.7027109319423645e-07,0.043478260869565216,4.0,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C466,HEXA HEXB NEU4 CHIT1 HEXD RENBP,"hydrolase activity, hydrolyzing O-glycosyl compounds",3.676966870692373e-10,0.05434782608695652,5.0,2,0,0,0.3333333333333333,0.0,0.0,0.6666666666666667
C501,HGSNAT AC010422.3 NAGLU MAN2B2,lysosomal lumen,3.8576943146283534e-06,0.03,3.0,2,0,0,0.5,0.0,0.0,0.5
C451,MCOLN1 PKD1L3 PKD2L1 PKD2L2 PKD1 MCOLN3 PKD1L1 TRPC6 GRINA,detection of mechanical stimulus,1.820611594369966e-09,0.09090909090909091,5.0,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C452,PPIL3 ALPL HYAL1 SUMF1 ARSA ARSH ARSI GALNS SLURP1,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",4.542898189435972e-07,0.06666666666666667,4.0,2,0,0,0.2222222222222222,0.0,0.0,0.7777777777777778
C453,FAM160B2 VPS9D1 ABCA7 NPEPL1 IDUA FAM193B RABEP2 ZNF276 THBS3,C453,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C456,OPN3 MXD4 TCTA CCDC92 TMEM175 FAM102A LINC00846 CTDSP1,C456,,,,0,1,1,0.0,0.125,0.0,0.875
C496,KIAA0513 APOE RGS4 IQSEC1,C496,,,,0,1,1,0.0,0.25,0.0,0.75
C439,PTGDS CHI3L1 DYSF TGFBI PLTP CTSH PDE4DIP NPL ADAP2 HLA-DMA SNCG TREM2 CD74 CD68 NR1H3 CYBA RIN2 PILRA AIF1 PRXL2A GM2A CTSB OPN3 MS4A4A SLCO2B1 TIMP2 HLA-DRB1 LGALS9 KIR2DS4 MAFB B2M TYMP CYBB FCGRT CYP27A1 HLA-DQA1 HLA-DPB1 TMEM176A AOAH MAN2B1 LYZ SLC1A3 CTSF UCP2 APOC1 HNMT TCN2 HLA-C ACP5 CD14 SERPINA1 HLA-A HLA-DMB SLC7A7 PLA2G7 TGM2 DAB2 CAPG FTL CPVL,antigen processing and presentation of peptide antigen,1.9273415091783337e-12,0.14705882352941177,10.0,2,0,0,0.03333333333333333,0.0,0.0,0.9666666666666667
C444,PSAPL1 TYMP MAN2B1 CAPG CTSH HLA-A HLA-DRB1 HLA-DMB HLA-DMA NPC2 MTCH1 CD74 LGALS9 HLA-DPB1 CD81 CYBA UCP2,antigen processing and presentation of peptide antigen,2.106746962583649e-09,0.08823529411764706,6.0,2,0,0,0.11764705882352941,0.0,0.0,0.8823529411764706
C448,TYMP CTSH HLA-A HLA-DRB1 HLA-DMB HLA-DMA LGALS9 MAN2B1 CD74 HLA-DPB1 CYBA UCP2,antigen processing and presentation of peptide antigen,1.6058403094204425e-10,0.08823529411764706,6.0,1,0,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C441,UGCG SMPD4 ACER2 SPHK1 SGMS2 SGMS1 UGT8 DEGS2 DEGS1 SMPD3 ASAH2B ASAH2 GBA2 ACER1 CERK ENPP7 UGT2A2 SPHK2 SMPD1 SMPD2,Sphingolipid metabolism,6.225478053486724e-39,0.3333333333333333,18.0,1,0,0,0.05,0.0,0.0,0.95
