,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0003634,2.9036719070301025e-08,1.3545731629084372,0.8759642121119172,1.8331821137049573,410,abnormal glial cell morphology,brain
MP:0003224,4.827820697663055e-07,1.2576586351789363,0.767901060375157,1.7474162099827155,424,neuron degeneration,brain
MP:0009823,3.603096617903559e-06,3.032420549731876,1.749587575700918,4.315253523762834,14,abnormal sphingomyelin level,brain
MP:0000952,6.880132488116478e-06,1.2640790127624069,0.7131897251538506,1.8149683003709631,324,abnormal CNS glial cell morphology,brain
MP:0002882,0.00012319256828600056,0.6774283086355215,0.3316355437622478,1.0232210735087952,1654,abnormal neuron morphology,brain
MP:0001081,0.0002825032595307212,1.3360852455731482,0.6148524391820156,2.057318051964281,170,abnormal cranial ganglia morphology,brain
MP:0011452,0.00031839162245394603,2.8236438930400656,1.2862940556527593,4.360993730427372,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0000921,0.0008578251236304486,1.5511445167130908,0.6391145201051828,2.463174513320999,86,demyelination,brain
MP:0014062,0.0021947034577852955,1.592218961693936,0.5732294063233492,2.6112085170645227,66,nervous system inclusion bodies,brain
MP:0000920,0.0031303465552946714,1.1556958220656082,0.3890634688000779,1.9223281753311383,176,abnormal myelination,brain
MP:0003202,0.0074802856516334865,0.9775090703454214,0.2612029004557457,1.6938152402350972,239,abnormal neuron apoptosis,brain
MP:0008917,0.007818860798424058,1.9756994112271613,0.5198345448957704,3.431564277558552,23,abnormal oligodendrocyte physiology,brain
MP:0009808,0.00926272283031071,1.9291254915952747,0.4761190655090788,3.3821319176814706,24,decreased oligodendrocyte number,brain
MP:0004811,0.01165933434344141,0.6598690455203915,0.14711307579316824,1.1726250152476148,658,abnormal neuron physiology,brain
MP:0000811,0.012656405520415168,1.8420062978939509,0.3940157191284077,3.289996876659494,26,hippocampal neuron degeneration,brain
MP:0000953,0.015875022158059676,1.4390125278726398,0.2695786832502607,2.6084463724950187,57,abnormal oligodendrocyte morphology,brain
MP:0000136,0.023706385937114813,1.163692140409493,0.1553184596873214,2.172065821131665,99,abnormal microglial cell morphology,brain
MP:0008236,0.024344846789974152,1.6524947056082766,0.21406497666664537,3.090924434549908,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0003204,0.03944708351235168,1.2226017267929166,0.05908432570478328,2.3861191278810496,70,decreased neuron apoptosis,brain
MP:0000937,0.06463666094525483,0.8473992596977755,-0.051456376364129475,1.7462548957596806,168,abnormal motor neuron morphology,brain
MP:0004191,0.06573976574575717,1.9256449504246058,-0.1253316435330496,3.9766215443822612,12,neuronal intranuclear inclusions,brain
MP:0002752,0.07786425827433954,0.41516762042293465,-0.04632666572027416,0.8766619065661434,1041,abnormal somatic nervous system morphology,brain
MP:0006069,0.09558410659394784,0.5439685344563578,-0.09573327041042434,1.18367033932314,454,abnormal retina neuronal layer morphology,brain
MP:0003243,0.12637368381018843,1.106634446709796,-0.31232481948044977,2.525593712900042,52,abnormal dopaminergic neuron morphology,brain
MP:0011731,0.13323272653149534,1.5506820971721957,-0.473514704490853,3.5748788988352445,17,decreased myelin sheath thickness,brain
MP:0014376,0.16396369407689892,1.432791279666171,-0.5848052897227536,3.4503878490550957,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0013438,0.16396369407689892,1.432791279666171,-0.5848052897227536,3.4503878490550957,19,dysmyelination,brain
MP:0010281,0.25046961445665084,0.8281385458665422,-0.584242537097333,2.2405196288304174,68,increased nervous system tumor incidence,brain
MP:0010055,0.2591036892155756,0.8130466334332276,-0.599026884300111,2.225120151166566,69,abnormal sensory neuron physiology,brain
MP:0003203,0.26706199526578955,0.5658987309122647,-0.43345906496854436,1.5652565267930738,176,increased neuron apoptosis,brain
MP:0003871,0.27659995166039386,0.7835246693292337,-0.6279602763513301,2.1950096150097975,71,abnormal myelin sheath morphology,brain
MP:0000965,0.3277038353799342,0.3353742626043683,-0.33621899839219005,1.0069675236009266,498,abnormal sensory neuron morphology,brain
MP:0006092,0.3314168132218416,0.9904194438161262,-1.0081992310194456,2.989038118651698,29,abnormal olfactory sensory neuron morphology,brain
MP:0014374,0.3485766148559726,0.9552741996606962,-1.0421605947581873,2.95270899407958,30,abnormal miniature excitatory postsynaptic current frequency,brain
