Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C149,SUSD2 DGKG GLRA2 AIF1 MIGA2 KLC4 ZNF767P TEX37 DGKQ SCAMP2 AGPAT4 FAM173A PAQR7 VAMP3 CERS5 SESN2 GADL1 SYNE2 CETP AC129492.3 TMEM143 SPINT2 CFAP65 PAQR9 SNX14 GSTM2 OMG SLC22A9 BSCL2 SLC39A3 CHRNB2 MMD2 IL20RB SLC9A3R2 GIMAP1-GIMAP5 EVA1C ZNF287 PCYT1A ACBD4 GGA1 ACCS CPT1C SLC25A52 PAQR8 RMDN2 DCTN1 AC011479.1 IL2RG MCOLN3 CFAP410 KIF1A GPR89B NEMP2 C8orf88 RIPK1 DNAJC13 STX1A ZNF835 CPT1B ZNF783 PHYHIP DOC2A FITM2 DERL1 ITGA2 PLD3 HPCAL4 PCYT1B GRN MFSD12 PAQR6 DMRT2 C3orf33 ENPP2 CSF2RA VAPB MICAL3 PINK1 NDUFV1 ERGIC3 BCL2L13 CT47A11 TRPT1 ERMP1 CST8 DYNC1I1 VAMP2 SPTBN4 ZNF213 PTPRN LGALS3 CYB561A3 TUBG2 FKRP PCSK2 SNX25 AQP6 ZC3H7B FBRS GSTT2B FAM131C ABHD14B TMEM120A MYO1A ZDBF2 EVC2 SCRN2 ITPRIPL1 PITPNM2 PLLP CERS4 FAM234A MSANTD1 C8orf82 CSAD LRP11 CERS3 GSTM4 ZNF384 TMEM192 GLG1 CARNS1 CYB561D1 HDGFL3 SLC39A4 SPTLC3 SLC39A9 REEP6 MGST1,C149,,,,1,3,3,0.007751937984496124,0.023255813953488372,0.0,0.9689922480620154
C161,PITPNM2 CFAP65 SNX25 MIGA2 MSANTD1 VAPB NEMP2 ZDBF2,C161,,,,0,1,1,0.0,0.125,0.0,0.875
C163,ZNF213 DCTN1 TUBG2 FBRS KLC4 FITM2 MICAL3 SLC22A9,C163,,,,0,1,1,0.0,0.125,0.0,0.875
C150,DGKG AIF1 HPCAL4 FKRP GGA1 GRN KLC4 SLC25A52 TEX37 SCAMP2 FAM173A MFSD12 AC011479.1 VAMP3 C3orf33 IL2RG SESN2 MCOLN3 CFAP410 CSF2RA SYNE2 AC129492.3 GPR89B C8orf88 NDUFV1 PINK1 RIPK1 DNAJC13 ERGIC3 EVC2 BCL2L13 ITPRIPL1 TMEM143 SPINT2 CT47A11 PLLP FAM234A SNX14 ERMP1 SLC22A9 LRP11 CST8 BSCL2 VAMP2 SLC39A3 ZNF213 TMEM192 GLG1 LGALS3 HDGFL3 DOC2A SLC39A4 FITM2 SLC39A9 SLC9A3R2 REEP6 IL20RB EVA1C DERL1 ITGA2 PLD3,C150,,,,1,1,1,0.01639344262295082,0.01639344262295082,0.0,0.9672131147540983
C154,ZNF287 TUBG2 DCTN1 FBRS HPCAL4 PCSK2 PTPRN ZNF835 KIF1A MICAL3 PHYHIP OMG CETP DYNC1I1 SPTBN4,C154,,,,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C151,GGA1 GRN TEX37 SCAMP2 AC011479.1 VAMP3 MCOLN3 CFAP410 SYNE2 AC129492.3 C8orf88 GPR89B PINK1 ERGIC3 BCL2L13 DNAJC13 EVC2 ITPRIPL1 SPINT2 CT47A11 PLLP FAM234A SNX14 ERMP1 LRP11 CST8 BSCL2 VAMP2 GLG1 LGALS3 HDGFL3 IL20RB PLD3,C151,,,,1,1,1,0.030303030303030304,0.030303030303030304,0.0,0.9393939393939394
C153,ITPRIPL1 GPR89B AC011479.1 SPINT2 CT47A11 GLG1 C8orf88 CST8 HDGFL3 MCOLN3 IL20RB SNX14 ERMP1 TEX37 LRP11 BSCL2,C153,,,,1,0,0,0.0625,0.0,0.0,0.9375
C155,EVC2 SYNE2 VAMP3 GLG1 GGA1 SCAMP2 GRN FAM234A LGALS3 CFAP410 PLD3 AC129492.3 PINK1 VAMP2 DNAJC13,C155,,,,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C160,GPR89B CT47A11 GLG1 C8orf88 CST8 HDGFL3 IL20RB TEX37 BSCL2,C160,,,,1,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C181,MICAL3 TUBG2 DCTN1 FBRS,C181,,,,0,1,1,0.0,0.25,0.0,0.75
C165,EVC2 GLG1 GRN LGALS3 CFAP410 PINK1 PLD3,C165,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C169,GLG1 HDGFL3 IL20RB BSCL2 GPR89B C8orf88,C169,,,,1,0,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C187,CFAP410 LGALS3 PINK1 GRN,C187,,,,0,1,1,0.0,0.25,0.0,0.75
C188,GPR89B IL20RB BSCL2 GLG1,C188,,,,1,0,0,0.25,0.0,0.0,0.75
