z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,306,332.87,15.00576889066335,0.963324832609998,0.9192777961366299
2,1.5,159,168.5,14.327944723511463,0.746347521406299,0.9436201780415431
2,2.0,57,66.99,8.167612870355695,0.8893584906024335,0.8508732646663681
3,1.0,229,236.79,11.815494064997875,0.7451496449437194,0.9671016512521644
3,1.5,149,155.52,10.556969262056228,0.7315809705970125,0.9580761316872427
3,2.0,57,66.61,8.068326964123354,0.8831883531618985,0.8557273682630235
4,1.0,162,167.42,12.311116927395336,0.6701228801676347,0.967626328992952
4,1.5,119,125.93,9.499742101762552,0.7671500751023602,0.9449694274596998
4,2.0,57,67.29,7.431413055402047,0.9169221756261563,0.8470798038341506
5,1.0,117,119.88,10.07996031738221,0.6124519496836005,0.975975975975976
5,1.5,98,99.88,9.280387922926499,0.580267454429151,0.9811774128954747
5,2.0,52,60.96,7.722590239032496,0.8770229161834315,0.8530183727034121
9,1.0,42,36.46,5.591815447598391,0.16090781578693492,1.151947339550192
9,1.5,38,34.29,5.407947854778187,0.24634793879283617,1.1081948089822107
9,2.0,32,29.48,4.655061761137009,0.2941344906853701,1.0854816824966078
12,1.0,22,18.99,4.304637034640669,0.2421991703520433,1.1585044760400212
12,1.5,20,16.66,3.852843106071152,0.19300051297348708,1.2004801920768307
12,2.0,16,15.42,3.7126271022013504,0.4379283844656677,1.0376134889753568
