,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
VAPB,0,1,CD_1B_otherlipid,ALS,4.495630988399707,9.851115495121364,44.28698009017213,1
DCTN1,0,1,CD_1B_otherlipid,ALS,2.8374436214614094,13.34337315910951,37.86106905909465,1
GRN,0,1,CD_1B_otherlipid,ALS,3.175068993147247,11.724636889114844,37.22653104253894,1
MSANTD1,0,0,CD_1B_otherlipid,ALS,4.495630988399667,6.816572204364683,30.6447932366057,0
PAQR6,0,0,CD_1B_otherlipid,ALS,5.286328297145766,3.8970781275523745,20.601234381867954,0
FIZ1,0,0,CD_1B_otherlipid,ALS,5.449970212822841,3.4424456227086058,18.761226103024278,0
ZNF491,0,0,CD_1B_otherlipid,ALS,4.85028749902329,3.854221901957354,18.694084309525522,0
MFSD12,0,0,CD_1B_otherlipid,ALS,1.9955916122658406,9.272253671769537,18.50363165418443,0
ZNF213,0,0,CD_1B_otherlipid,ALS,5.035656026360032,3.6251349312082013,18.254932562706838,0
NCKAP5L,0,0,CD_1B_otherlipid,ALS,4.1207193631750325,4.14906409805715,17.09712876791845,0
BSCL2,1,0,CD_1B_otherlipid,ALS,10.122013400242196,1.536127724130954,15.548705408137064,1
MCOLN3,0,0,CD_1B_otherlipid,ALS,5.433931485921996,2.715537557145529,14.756045032976793,0
FBRS,0,0,CD_1B_otherlipid,ALS,4.325124049025734,3.4030462596192974,14.718597217426495,0
ACBD4,0,0,CD_1B_otherlipid,ALS,5.9935640480252514,2.439884671258159,14.623605046980812,0
GLRA2,0,0,CD_1B_otherlipid,ALS,5.5779073021994074,2.3129951321104643,12.901672437350642,0
SLC39A3,0,0,CD_1B_otherlipid,ALS,6.116034413897909,2.0870641241431866,12.764556007271427,0
ERMP1,0,0,CD_1B_otherlipid,ALS,8.11476931828968,1.5716258115408566,12.753380915323861,0
IL20RB,0,0,CD_1B_otherlipid,ALS,4.7224331191990485,2.696836831286621,12.735631569143756,0
SPTLC3,0,0,CD_1B_otherlipid,ALS,5.8306760059335625,2.09901843992373,12.238696453675391,0
GPR89B,0,0,CD_1B_otherlipid,ALS,6.138100918111821,1.985699756874834,12.188425500767838,0
ZNF767P,0,0,CD_1B_otherlipid,ALS,4.517466599759886,2.6255663304133674,11.860908203096516,0
ZNF783,0,0,CD_1B_otherlipid,ALS,4.517466599759851,2.625566330413354,11.860908203096365,0
ERGIC3,0,0,CD_1B_otherlipid,ALS,4.161024538429952,2.7814745408394645,11.573783817451195,0
ZNF287,0,0,CD_1B_otherlipid,ALS,3.733133467613827,3.0825579543196673,11.507600265129964,0
ABHD14B,0,0,CD_1B_otherlipid,ALS,5.3845632684425215,2.135756373565088,11.500115319440576,0
C8orf88,0,0,CD_1B_otherlipid,ALS,4.753302950580605,2.2892665585679826,10.881577487506698,0
HDGFL3,0,0,CD_1B_otherlipid,ALS,4.7533029505806095,2.289266558567976,10.881577487506677,0
SLC39A4,0,0,CD_1B_otherlipid,ALS,2.3775986003914125,4.519565363377503,10.745712282343858,0
SLC25A52,0,0,CD_1B_otherlipid,ALS,2.377598600391384,4.519565363377504,10.745712282343732,0
