,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0002912,1.3158801918729446e-11,2.5667254134704987,1.8232973547069675,3.31015347223403,104,abnormal excitatory postsynaptic potential,brain
MP:0003635,2.0873457753729352e-11,1.4890067670621878,1.0534103818571035,1.9246031522672722,1052,abnormal synaptic transmission,brain
MP:0021009,2.5958429563056283e-11,1.4818110262185336,1.0462436657937497,1.9173783866433174,1059,abnormal synaptic physiology,brain
MP:0002206,1.0641042492006634e-10,1.4795166988867514,1.0304611447650471,1.9285722530084557,966,abnormal CNS synaptic transmission,brain
MP:0002945,7.25848738301314e-09,2.510364943771439,1.6598259901344108,3.360903897408467,81,abnormal inhibitory postsynaptic currents,brain
MP:0002272,1.943088924496804e-08,1.7315772274232586,1.1273698182896852,2.335784636556832,351,abnormal nervous system electrophysiology,brain
MP:0002882,2.1453484620892123e-08,1.178858114201482,0.766254453737914,1.5914617746650501,1654,abnormal neuron morphology,brain
MP:0014385,4.106244976469991e-08,3.548590077384369,2.280848677061952,4.816331477706786,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0002910,1.5674499581323774e-07,2.089288731900661,1.3084772451699551,2.870100218631366,141,abnormal excitatory postsynaptic currents,brain
MP:0014380,8.674758190951002e-07,3.068588639865987,1.8460510640229244,4.291126215709049,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0003243,1.5749510924058831e-06,2.536242287452504,1.500948850122818,3.57153572478219,52,abnormal dopaminergic neuron morphology,brain
MP:0009435,2.64356449148707e-06,2.4754567516442494,1.4424393924432781,3.5084741108452207,55,abnormal miniature inhibitory postsynaptic currents,brain
MP:0003634,4.231465561965377e-06,1.4696720810184516,0.8434315086799107,2.0959126533569927,410,abnormal glial cell morphology,brain
MP:0000136,7.692376601985798e-06,2.092985180245967,1.176005215432709,3.0099651450592253,99,abnormal microglial cell morphology,brain
MP:0014062,1.3466285445104214e-05,2.279557759722735,1.253029008378368,3.306086511067102,66,nervous system inclusion bodies,brain
MP:0004494,4.14884370023186e-05,3.13509279757894,1.6360385761376843,4.634147019020196,15,abnormal synaptic glutamate release,brain
MP:0000937,4.548541261093412e-05,1.7355728727629387,0.9013602271093979,2.5697855184164795,168,abnormal motor neuron morphology,brain
MP:0004859,6.12126226877401e-05,2.0885060258875994,1.0672216095707436,3.109790442204455,79,abnormal synaptic plasticity,brain
MP:0000920,7.290315048822761e-05,1.6869389687037746,0.8533953672512725,2.5204825701562767,176,abnormal myelination,brain
MP:0003244,0.00010644411203371793,2.92729282033147,1.446834129322147,4.407751511340793,18,loss of dopaminergic neurons,brain
MP:0000952,0.00022541050183249803,1.3634309966768186,0.6389801214383535,2.0878818719152834,324,abnormal CNS glial cell morphology,brain
MP:0001900,0.0002862201941955149,2.1796774689598486,1.0019701339677216,3.357384803951976,54,impaired synaptic plasticity,brain
MP:0021010,0.00036119561366740945,2.141103897750533,0.9646039095919055,3.3176038859091603,56,impaired synaptic physiology,brain
MP:0003224,0.0005235315472360547,1.2117148624720038,0.5269885015464532,1.8964412233975545,424,neuron degeneration,brain
MP:0000811,0.0006720884298180475,2.521399286147025,1.0682208277929972,3.974577744501053,26,hippocampal neuron degeneration,brain
MP:0002885,0.0009590962654868155,2.4412494432687577,0.9923135282417392,3.890185358295776,28,abnormal AMPA-mediated synaptic currents,brain
MP:0004753,0.002634066349577496,1.5511131084390382,0.5402647547554726,2.5619614621226035,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0014381,0.003042229661002664,2.1725568010387306,0.7356674382596566,3.609446163817805,36,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0004811,0.008980130938803798,0.8671443789209032,0.21666769001592046,1.517621067825886,658,abnormal neuron physiology,brain
MP:0010050,0.0104153112898015,2.6965022985143143,0.6334225415229349,4.759582055505694,11,hypermyelination,brain
MP:0004793,0.0104153112898015,2.6965022985143143,0.6334225415229349,4.759582055505694,11,abnormal synaptic vesicle clustering,brain
MP:0003247,0.0104153112898015,2.6965022985143143,0.6334225415229349,4.759582055505694,11,abnormal glutaminergic neuron morphology,brain
MP:0021105,0.0104153112898015,2.6965022985143143,0.6334225415229349,4.759582055505694,11,abnormal ventral interneuron 3 morphology,brain
MP:0003202,0.010917683370093492,1.1734030877517423,0.2698524639112486,2.076953711592236,239,abnormal neuron apoptosis,brain
MP:0004792,0.011999138399442647,1.8269657249626743,0.40158945723859274,3.252341992686756,50,abnormal synaptic vesicle number,brain
MP:0014382,0.013089302032057491,2.601138592682946,0.5465399112373155,4.655737274128576,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0011003,0.016102439468726713,2.5140736868010833,0.4665694030345304,4.561577970567637,13,reduced AMPA-mediated synaptic currents,brain
MP:0011451,0.016102439468726713,2.5140736868010833,0.4665694030345304,4.561577970567637,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011267,0.01731394800298667,1.7276066179451046,0.30488123233245723,3.150332003557752,55,abnormal excitatory postsynaptic current amplitude,brain
MP:0014325,0.019450278438538037,2.433977447369818,0.3924953712739816,4.475459523465655,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0002752,0.022350427203081905,0.6727210228451757,0.09553116778246462,1.2499108779078867,1041,abnormal somatic nervous system morphology,brain
MP:0004769,0.02247095067357928,1.6546326483597813,0.23369590578764954,3.0755693909319133,59,abnormal synaptic vesicle morphology,brain
MP:0002915,0.022918419221204654,1.3457824922029893,0.18625433021835258,2.505310654187626,120,abnormal synaptic depression,brain
MP:0002917,0.023126077865124047,2.3598159405925667,0.32350993180292553,4.3961219493822075,15,decreased synaptic depression,brain
