z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,484,348.54,16.901136056490405,5.513762173608279e-16,1.3886497962931084
2,1.5,241,168.61,11.271109084735185,6.69762668795816e-11,1.429333965956942
2,2.0,112,66.16,7.234251861802988,1.1750440581823541e-10,1.6928657799274487
3,1.0,382,243.19,14.027612056226818,2.1775100179851182e-23,1.5707882725441014
3,1.5,227,157.52,11.064791005708152,1.6996562259646844e-10,1.441086846114779
3,2.0,112,64.65,8.00421763822049,1.6530257437787793e-09,1.7324052590873935
4,1.0,293,171.98,10.561230988857313,1.0610671268788303e-30,1.7036864751715317
4,1.5,202,128.33,9.938868144814075,6.205777204878308e-14,1.5740668588794513
4,2.0,112,66.19,7.301636802799767,1.76016938303402e-10,1.6920985043057863
5,1.0,226,120.89,11.661813752585829,1.0008525360329668e-19,1.869468111506328
5,1.5,176,99.67,8.69603932833793,8.353028869773277e-19,1.7658272298585331
5,2.0,108,62.3,7.164495795239188,8.93125291074052e-11,1.7335473515248796
9,1.0,82,37.19,6.157426410441297,1.7016879843576356e-13,2.2048937886528637
9,1.5,79,33.07,4.919867884405027,5.020258411475089e-21,2.3888720895071063
9,2.0,69,28.89,5.444070168541181,8.683142278021608e-14,2.3883696780893042
12,1.0,40,18.52,3.978642984737384,3.353925130720566e-08,2.159827213822894
12,1.5,39,16.93,3.9629660609195225,1.2805785917326931e-08,2.303603071470762
12,2.0,39,14.74,3.36339114585265,2.73745974393992e-13,2.645861601085482
