z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,293,344.39,14.654620431795564,0.9997731872012553,0.8507796393623509
2,1.5,139,178.75,11.469415852605573,0.999735611682242,0.7776223776223776
2,2.0,57,68.83,8.168298476427022,0.9262309061063875,0.8281272700857184
3,1.0,211,242.95,16.12412788339264,0.9762325263595723,0.8684914591479729
3,1.5,127,165.44,10.5539755542639,0.9998648564771024,0.7676499032882012
3,2.0,57,69.07,7.302403713846559,0.9508223969729689,0.8252497466338498
4,1.0,138,169.74,11.699247839070683,0.9966660936014311,0.8130081300813008
4,1.5,102,131.25,11.632175205007876,0.9940412359023576,0.7771428571428571
4,2.0,57,69.6,7.262231062146123,0.958629952352486,0.8189655172413793
5,1.0,96,119.84,9.12986308769195,0.9954888911320016,0.8010680907877169
5,1.5,81,100.7,9.322553298319082,0.9827062477428432,0.8043694141012909
5,2.0,51,63.63,7.062088926089786,0.9631460800079534,0.8015087223008015
9,1.0,31,35.53,5.084201018842587,0.813534195731753,0.8725021108922038
9,1.5,29,32.18,5.210335881687476,0.7291768417311156,0.9011808576755749
9,2.0,25,26.66,5.150184462715874,0.626394310100017,0.9377344336084021
12,1.0,13,18.09,4.166761332257945,0.8890652853100243,0.7186290768380321
12,1.5,12,15.23,4.187732083120887,0.7797355926071452,0.7879185817465528
12,2.0,11,13.8,3.6,0.7816499846386211,0.7971014492753623
