,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,0.0007808218062102708,2.009150881078406,0.8369951238926034,3.181306638264208,66,nervous system inclusion bodies,brain
MP:0000921,0.00358760698550352,1.7323711740667989,0.5664996373437701,2.8982427107898276,86,demyelination,brain
MP:0020393,0.01174095430392354,2.6418975555271427,0.5869923236681229,4.696802787386162,12,increased neuronal precursor proliferation,brain
MP:0003243,0.011951289148027637,1.8271266130653476,0.4024242785282972,3.251828947602398,52,abnormal dopaminergic neuron morphology,brain
MP:0014345,0.01447580430903257,2.55483266396816,0.5070207677823939,4.602644560153926,13,abnormal neuron mitochondrial morphology,brain
MP:0000953,0.017023438332043953,1.7315482720408895,0.3092992338269622,3.1537973102548165,57,abnormal oligodendrocyte morphology,brain
MP:0014385,0.02452892376028071,2.3315285517608864,0.29940914545317954,4.363647958068594,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0002882,0.04642811075976829,0.5231828525024671,0.008279663692326356,1.0380860413126078,1654,abnormal neuron morphology,brain
MP:0014383,0.05772180805039507,1.948161557135771,-0.06380858887102692,3.960131703142569,23,decreased miniature inhibitory postsynaptic current frequency,brain
MP:0014380,0.06342630640216954,1.9036562484751265,-0.10642635270961298,3.913738849659866,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0000937,0.07759977634650359,1.0408515274533112,-0.11511399340852657,2.196817048315149,168,abnormal motor neuron morphology,brain
MP:0001081,0.08109693460252315,1.0286952675038332,-0.1271496557498113,2.1845401907574775,170,abnormal cranial ganglia morphology,brain
MP:0003203,0.09209357073534143,0.9930736512230887,-0.16242614133629618,2.1485734437824737,176,increased neuron apoptosis,brain
MP:0000920,0.09209357073534143,0.9930736512230887,-0.16242614133629618,2.1485734437824737,176,abnormal myelination,brain
MP:0006092,0.09485988212595318,1.7066781807638218,-0.295971845533896,3.7093282070615397,29,abnormal olfactory sensory neuron morphology,brain
MP:0011448,0.10165750302826866,1.6715332976541113,-0.3299352327592149,3.6730018280674375,30,decreased dopaminergic neuron number,brain
MP:0000136,0.10667720926727103,1.1619150809714665,-0.24966231838774466,2.5734924803306773,99,abnormal microglial cell morphology,brain
MP:0014381,0.14524409870359475,1.4831596260969757,-0.5126279912179046,3.478947243411856,36,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0003634,0.15229657590916384,0.6576506625211032,-0.24280468069648153,1.5581060057386877,410,abnormal glial cell morphology,brain
MP:0004793,0.18045544190304508,1.9405198758306819,-0.8991692103967135,4.780208962058078,11,abnormal synaptic vesicle clustering,brain
MP:0004562,0.18045544190304508,1.9405198758306819,-0.8991692103967135,4.780208962058078,11,abnormal inner hair cell synaptic ribbon morphology,brain
