,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SOD1,0,1,CD_1C_aminoacids,ALS,3.467958840676648,15.610735184559026,54.13738709275348,1
HNRNPA2B1,0,1,CD_1C_aminoacids,ALS,1.570780381376115,24.580619083402723,38.61075421828834,1
CHCHD10,0,1,CD_1C_aminoacids,ALS,2.546198995387842,10.080722487944975,25.66752547158912,1
DHFR,0,0,CD_1C_aminoacids,ALS,3.788699264486035,6.103356854260986,23.1237836246344,0
GCH1,1,0,CD_1C_aminoacids,ALS,13.534291452419534,1.5746042343674864,21.311152630143475,1
MMUT,1,0,CD_1C_aminoacids,ALS,11.9448998917227,1.6278952068081154,19.44504527953816,1
GPX3,0,1,CD_1C_aminoacids,ALS,1.5026171141482556,12.360028285323061,18.57239003288295,1
MCCC1,1,0,CD_1C_aminoacids,ALS,11.074257772928574,1.6626946434206031,18.41310907890732,1
CLPB,1,0,CD_1C_aminoacids,ALS,10.23210139097461,1.6920401027145824,17.3131258885707,1
C11orf54,0,0,CD_1C_aminoacids,ALS,6.112547827130841,2.3195669784012702,14.178464093711135,0
CKB,0,0,CD_1C_aminoacids,ALS,3.700648948773844,3.762925199613977,13.925265184266072,0
ACBD4,0,0,CD_1C_aminoacids,ALS,5.615535487473608,2.439884671258159,13.701258956793069,0
GOT2,0,0,CD_1C_aminoacids,ALS,5.926179209942057,2.2572817936204093,13.377056436333985,0
CARNS1,0,0,CD_1C_aminoacids,ALS,3.832280009367728,3.4860532026458695,13.359532000092111,0
GADL1,0,0,CD_1C_aminoacids,ALS,4.327296629032744,2.9694080321857297,12.849509367900062,0
PAQR6,0,0,CD_1C_aminoacids,ALS,3.043827103930373,3.8970781275523745,11.862032030778145,0
ALDH4A1,0,0,CD_1C_aminoacids,ALS,4.447501536052568,2.6455713933127463,11.76618283549517,0
KIAA1191,0,0,CD_1C_aminoacids,ALS,3.52353068316245,3.2982928013548385,11.621635887627606,0
ACCSL,0,0,CD_1C_aminoacids,ALS,3.688599078363332,3.095012944586716,11.416261894925142,0
ERMN,0,0,CD_1C_aminoacids,ALS,3.7149468686744562,3.0324345302014306,11.2653331624321,0
TUBB7P,0,0,CD_1C_aminoacids,ALS,2.9102317963494064,3.8332113377162127,11.155533517148765,0
AADAT,0,0,CD_1C_aminoacids,ALS,4.119087458053388,2.584017291219295,10.643793215654487,0
SLC5A6,0,0,CD_1C_aminoacids,ALS,2.1250771790926293,4.907052838802699,10.427866004341316,0
OXCT1,0,0,CD_1C_aminoacids,ALS,3.9242050331362686,2.483182735411927,9.744518188500571,0
TMEM144,0,0,CD_1C_aminoacids,ALS,2.645199589723178,3.5683299633122743,9.438944954950552,0
AHCY,0,0,CD_1C_aminoacids,ALS,4.515005799615584,2.0153240257486655,9.099199664359851,0
ACCS,0,0,CD_1C_aminoacids,ALS,3.238092790083126,2.7595957881788133,8.935827225245577,0
PRSS56,0,0,CD_1C_aminoacids,ALS,4.108958521971292,2.168860664363022,8.911758509802757,0
KIR3DL2,0,0,CD_1C_aminoacids,ALS,2.747890253495159,3.2395384095802595,8.901896021508804,0
CMAS,0,0,CD_1C_aminoacids,ALS,2.729412440117785,3.195892858246507,8.7229097245816,0
DLST,0,0,CD_1C_aminoacids,ALS,5.165299862328105,1.5934430116563778,8.23061096873637,0
TXNDC11,0,0,CD_1C_aminoacids,ALS,2.4687785948214,3.3034443616869873,8.155472729316278,0
ZDHHC3,0,0,CD_1C_aminoacids,ALS,2.7962319467814085,2.8970249359485525,8.100753676521705,0
COPB2,0,0,CD_1C_aminoacids,ALS,2.3736653677064172,3.4009365104756144,8.072685212684279,0
IMMT,0,0,CD_1C_aminoacids,ALS,3.440846703591826,2.2983514790473065,7.908275110375323,0
KCMF1,0,0,CD_1C_aminoacids,ALS,1.6259773073980288,4.715839022669168,7.6678472362021655,0
SLC25A35,0,0,CD_1C_aminoacids,ALS,2.893780150632131,2.626236192905608,7.599750165901944,0
RDH10,0,0,CD_1C_aminoacids,ALS,2.307435662426671,3.2727212427538603,7.551593708711592,0
NDUFV1,0,0,CD_1C_aminoacids,ALS,3.174906261723901,2.3526814110947054,7.469542943926003,0
GOLT1B,0,0,CD_1C_aminoacids,ALS,4.653262134212447,1.5574365903341725,7.247160712238948,0
PITRM1,0,0,CD_1C_aminoacids,ALS,3.7432009836274864,1.930460088489155,7.2261001020862095,0
UQCRFS1,0,0,CD_1C_aminoacids,ALS,2.9630940134669514,2.427245722150011,7.192157268515965,0
AIMP1,0,0,CD_1C_aminoacids,ALS,3.331790751052165,2.1359427359923604,7.116514252556403,0
ISOC1,0,0,CD_1C_aminoacids,ALS,2.6524083799949523,2.68213361320808,7.1141136719392515,0
PCBD1,0,0,CD_1C_aminoacids,ALS,2.906135335763623,2.3858804012492256,6.933691340976266,0
PHYKPL,0,0,CD_1C_aminoacids,ALS,2.8435301928450265,2.4205946758564845,6.883034045437833,0
SLC19A1,0,0,CD_1C_aminoacids,ALS,2.3029935033492355,2.9805337262585923,6.864149808086826,0
VSTM2A,0,0,CD_1C_aminoacids,ALS,1.5619251327719441,4.371551961016771,6.8280368771305735,0
NAP1L5,0,0,CD_1C_aminoacids,ALS,2.2412038090173563,3.018214788100018,6.764434479522273,0
DNPEP,0,0,CD_1C_aminoacids,ALS,2.4110191466320012,2.7927825122024785,6.733452109299196,0
PDIA6,0,0,CD_1C_aminoacids,ALS,2.7988146167293877,2.389211278624436,6.686959449068781,0
AACS,0,0,CD_1C_aminoacids,ALS,3.921633939333217,1.6526471085223438,6.481076990522129,0
GHR,0,0,CD_1C_aminoacids,ALS,2.358192600615796,2.730172235822117,6.4382719649224,0
P4HB,0,0,CD_1C_aminoacids,ALS,2.1023189114649736,3.0595339935364545,6.432116174881643,0
DUT,0,0,CD_1C_aminoacids,ALS,2.803634071381871,2.2870063794682203,6.411929006944798,0
UQCRC2,0,0,CD_1C_aminoacids,ALS,3.6993104303310846,1.7153812600509948,6.345727787301124,0
IBTK,0,0,CD_1C_aminoacids,ALS,1.840156276412973,3.4480156769542085,6.344887689117613,0
INSYN2A,0,0,CD_1C_aminoacids,ALS,3.538483690312818,1.7372859740391222,6.147358084546651,0
TAT,0,0,CD_1C_aminoacids,ALS,3.624851271674864,1.6927384035514774,6.135924954726452,0
CLCN6,0,0,CD_1C_aminoacids,ALS,2.7052104173622893,2.2544383967497708,6.098730236189017,0
SLC25A1,0,0,CD_1C_aminoacids,ALS,2.6423275157815342,2.28211861916763,6.030104821703989,0
CLDND1,0,0,CD_1C_aminoacids,ALS,1.5991119079505725,3.7544361536644253,6.003763560964928,0
ATL3,0,0,CD_1C_aminoacids,ALS,3.3646234378954256,1.782201492077733,5.996436911296939,0
PCDHB16,0,0,CD_1C_aminoacids,ALS,3.8340261446997976,1.5591076323222903,5.97765942472466,0
VSIG2,0,0,CD_1C_aminoacids,ALS,3.6964105100917997,1.5927991087262547,5.887639365960579,0
RDH5,0,0,CD_1C_aminoacids,ALS,2.329065367088422,2.475923623103557,5.766587962126581,0
KYAT3,0,0,CD_1C_aminoacids,ALS,2.517411107892333,2.2772131594443596,5.732681702623825,0
PDIA3,0,0,CD_1C_aminoacids,ALS,2.0276215985132353,2.7932003042738685,5.663553265919436,0
GGTLC2,0,0,CD_1C_aminoacids,ALS,2.3666056268467153,2.335523931391914,5.527264077667265,0
UGT8,0,0,CD_1C_aminoacids,ALS,3.378607440392634,1.5932684030859152,5.383028481208563,0
SERTAD3,0,0,CD_1C_aminoacids,ALS,3.5164528998405533,1.5184267797205866,5.33947625274401,0
LRBA,0,0,CD_1C_aminoacids,ALS,2.493809142902347,2.1363523283473884,5.327654968893434,0
SLC7A11,0,0,CD_1C_aminoacids,ALS,2.1742592200473183,2.4224647075208927,5.2670662255665315,0
CPT1C,0,0,CD_1C_aminoacids,ALS,2.5377621654172766,2.0248233977368058,5.138520210428124,0
GOLGA1,0,0,CD_1C_aminoacids,ALS,2.320892630841816,2.2029806681550417,5.112881598608016,0
DIDO1,0,0,CD_1C_aminoacids,ALS,1.5576410081562295,3.2518595310784235,5.065229758371439,0
TNIP3,0,0,CD_1C_aminoacids,ALS,2.9558267071527142,1.6999716095529325,5.024821484917944,0
ABHD11,0,0,CD_1C_aminoacids,ALS,1.6748929687734382,2.9554394848542604,4.950044812817793,0
KTN1,0,0,CD_1C_aminoacids,ALS,1.5097034162661447,3.239077410423894,4.89004623206745,0
SPTLC3,0,0,CD_1C_aminoacids,ALS,2.3227624871649564,2.09901843992373,4.875521292122349,0
MICU1,0,0,CD_1C_aminoacids,ALS,2.371258092395131,2.05531759221202,4.873688472974829,0
EIF2B2,0,0,CD_1C_aminoacids,ALS,1.925239707169394,2.5285842803943694,4.868130859539589,0
NOX5,0,0,CD_1C_aminoacids,ALS,2.4609283094885344,1.9454141570915635,4.787524772866403,0
HINT2,0,0,CD_1C_aminoacids,ALS,1.783996605573418,2.6388641820494665,4.707724743345523,0
SELENOK,0,0,CD_1C_aminoacids,ALS,2.6466856859768604,1.7678146195520468,4.678849649029031,0
