,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TOR2A,0,0,CD_1C_aminoacids,DLB,5.911445667295865,7.432347366428992,43.9359176371145,0
MTHFR,1,0,CD_1C_aminoacids,DLB,13.478052541014959,2.575652614479025,34.714781265350844,1
GLDC,1,0,CD_1C_aminoacids,DLB,12.833747073407057,2.4502539425753582,31.445939364630608,1
CBS,1,0,CD_1C_aminoacids,DLB,11.895161612314286,2.3795549844011874,28.305191104840123,1
SLC25A13,1,0,CD_1C_aminoacids,DLB,13.38955272552596,1.940576576009342,25.983452382397722,1
GCH1,1,0,CD_1C_aminoacids,DLB,13.534291452419534,1.687095371498692,22.833640465891307,1
CKMT1B,0,0,CD_1C_aminoacids,DLB,2.7628294915508174,7.979110127751568,22.044920777283842,0
MAGEA11,0,0,CD_1C_aminoacids,DLB,3.1396146382274637,6.809521611476795,21.37927373071881,0
ASS1,1,0,CD_1C_aminoacids,DLB,11.519943940367126,1.7003088497796288,19.587462630771434,1
PTS,1,0,CD_1C_aminoacids,DLB,12.70128373343422,1.5193804128052215,19.298081722061532,1
HBG2,0,0,CD_1C_aminoacids,DLB,3.6881200626138195,5.216098630429841,19.237598007460765,0
KIAA1191,0,0,CD_1C_aminoacids,DLB,3.52353068316245,4.742962989198091,16.711975621543367,0
GATM,0,0,CD_1C_aminoacids,DLB,3.61851140921897,4.427177926189748,16.019793836559984,0
APOE,0,1,CD_1C_aminoacids,DLB,1.8322980052291915,8.55737509556318,15.679661317598379,1
UGT8,0,0,CD_1C_aminoacids,DLB,3.378607440392634,4.458170397675491,15.062407676124602,0
PAH,1,0,CD_1C_aminoacids,DLB,9.420270698122755,1.543935790004084,14.544293082358479,1
NAA60,0,0,CD_1C_aminoacids,DLB,2.4045240524836013,5.2188766068298715,12.548914328066429,0
ACO2,0,0,CD_1C_aminoacids,DLB,3.7608089059778598,3.305569825554225,12.431616439276011,0
ECHDC2,0,0,CD_1C_aminoacids,DLB,3.57222931114429,3.3909096559465985,12.11310686441464,0
GALC,0,0,CD_1C_aminoacids,DLB,2.3086758871019892,5.181182391914167,11.961670854889645,0
VDAC1,0,0,CD_1C_aminoacids,DLB,3.06386299014782,3.8715066742512203,11.861766015348586,0
ATP5F1A,0,0,CD_1C_aminoacids,DLB,4.630214248267876,2.3503660633019,10.882698434945734,0
GAPDH,0,0,CD_1C_aminoacids,DLB,4.2002213227530865,2.534265031323197,10.64447402207121,0
HSPD1,0,0,CD_1C_aminoacids,DLB,4.762578999638137,2.228657704603252,10.614158381325183,0
GK,0,0,CD_1C_aminoacids,DLB,3.201125789194247,3.3039530191009754,10.576369215730326,0
STS,0,0,CD_1C_aminoacids,DLB,1.9222812833137357,5.254375389972804,10.100387467649032,0
ZFP3,0,0,CD_1C_aminoacids,DLB,3.2692623671910104,3.0536579734518843,9.98320909487901,0
GM2A,0,0,CD_1C_aminoacids,DLB,2.5638772215816,3.867945955539255,9.916938529715772,0
ASMTL,0,0,CD_1C_aminoacids,DLB,2.4969464568910573,3.8082889895263365,9.509093699215011,0
PKLR,0,0,CD_1C_aminoacids,DLB,3.026956932156388,3.0499749170361445,9.232142718025662,0
CMBL,0,0,CD_1C_aminoacids,DLB,1.628189247787516,5.586865977204102,9.096475112913613,0
MANBA,0,0,CD_1C_aminoacids,DLB,1.9724115303263519,4.585778693298847,9.045042770187557,0
GLUL,0,0,CD_1C_aminoacids,DLB,3.932118036066143,2.2788373393754284,8.960657403419104,0
MT-CO3,0,0,CD_1C_aminoacids,DLB,2.6785847705733064,3.2637386620397275,8.742200675270913,0
PRKN,0,0,CD_1C_aminoacids,DLB,2.1912050680707984,3.9828745777862054,8.727294960335474,0
FAAH2,0,0,CD_1C_aminoacids,DLB,4.9706235815698365,1.730330942264734,8.600823785541042,0
PODXL,0,0,CD_1C_aminoacids,DLB,4.603196664856206,1.8200215952205798,8.377917337085645,0
IDH1,0,0,CD_1C_aminoacids,DLB,4.618709455883385,1.7978806159763765,8.303888201559536,0
IREB2,0,0,CD_1C_aminoacids,DLB,3.8894201271470674,2.1297685628414844,8.283564714480754,0
GALNS,0,0,CD_1C_aminoacids,DLB,2.9714744602084133,2.748614744584849,8.167438514486149,0
IDH2,0,0,CD_1C_aminoacids,DLB,4.802691200014626,1.6931724987716839,8.13178465995754,0
FAXDC2,0,0,CD_1C_aminoacids,DLB,3.3442356250300214,2.385394779635749,7.9773222018185095,0
FBP1,0,0,CD_1C_aminoacids,DLB,2.6975143503098624,2.875988117239592,7.758019217574442,0
THBS3,0,0,CD_1C_aminoacids,DLB,2.360410181668531,3.2543410917322264,7.681579847547029,0
SERPINI1,0,0,CD_1C_aminoacids,DLB,1.8243775274961782,4.167291026348885,7.60271209900739,0
RDH11,0,0,CD_1C_aminoacids,DLB,2.1249270023820674,3.5612257173455037,7.567344688364909,0
ALDH4A1,0,0,CD_1C_aminoacids,DLB,4.447501536052568,1.69801882752158,7.551941343648407,0
DHCR24,0,0,CD_1C_aminoacids,DLB,1.5168445457173856,4.967692417787348,7.535217148722351,0
ATP5F1B,0,0,CD_1C_aminoacids,DLB,3.334019379038843,2.2567027857242143,7.523890820335472,0
SELENBP1,0,0,CD_1C_aminoacids,DLB,2.5398401913139934,2.9507817634550726,7.494514118619574,0
CAT,0,0,CD_1C_aminoacids,DLB,4.793151154037688,1.5628151092424014,7.490809044412752,0
HSD17B14,0,0,CD_1C_aminoacids,DLB,2.8444982270202717,2.574632412500599,7.323537332586878,0
CCT5,0,0,CD_1C_aminoacids,DLB,3.7118066003768906,1.9646230312840605,7.29230073477263,0
ATP5PF,0,0,CD_1C_aminoacids,DLB,3.145688650873272,2.289255640420527,7.201285487018476,0
NDUFV1,0,0,CD_1C_aminoacids,DLB,3.174906261723901,2.2665699444448384,7.196147109253111,0
PLAAT3,0,0,CD_1C_aminoacids,DLB,1.8319052604103043,3.833085141540002,7.021848834387706,0
APOD,0,0,CD_1C_aminoacids,DLB,1.9669201374713141,3.565757131068565,7.013559506430701,0
H6PD,0,0,CD_1C_aminoacids,DLB,2.095096471330336,3.3465952653473017,7.011439931399941,0
SDR39U1,0,0,CD_1C_aminoacids,DLB,2.507656771342083,2.790140561181396,6.996714871242728,0
GAS2,0,0,CD_1C_aminoacids,DLB,3.648389435829574,1.8981434027824677,6.925166338401156,0
BDH2,0,0,CD_1C_aminoacids,DLB,3.546063997587423,1.9475280198205076,6.906058995378228,0
NAA80,0,0,CD_1C_aminoacids,DLB,3.2490612633788536,2.11724017885982,6.879043050402757,0
PEPD,0,0,CD_1C_aminoacids,DLB,3.7920656794953027,1.7886515812591788,6.782684273867935,0
