z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,231,310.42,12.925308506956421,0.9999999995990074,0.7441530829199149
2,1.5,120,159.67,10.563195539229595,0.9999134994758531,0.7515500720235486
2,2.0,49,63.33,7.452590153765334,0.9727487596250444,0.7737249328912048
3,1.0,162,226.54,12.703873425062138,0.9999998116203158,0.715105500132427
3,1.5,110,147.63,11.892564904174371,0.9992223485713488,0.745106008263903
3,2.0,49,62.85,7.855412147048682,0.961059505879923,0.7796340493237868
4,1.0,108,161.12,12.152596430392972,0.9999938183930642,0.6703078450844091
4,1.5,82,121.39,9.243262411075433,0.9999898462321167,0.6755086909959634
4,2.0,49,63.53,7.765893380674242,0.9693275798298723,0.7712891547300488
5,1.0,79,113.61,9.183566845186025,0.9999179461356391,0.6953613238271279
5,1.5,67,94.16,9.440042372786259,0.9979932945129963,0.7115548003398471
5,2.0,47,59.02,6.660300293530315,0.9644410143531325,0.796340223652999
9,1.0,26,35.71,5.69788557273661,0.9558226188958387,0.7280873704844582
9,1.5,24,34.18,5.433930437537823,0.9694943636502735,0.7021650087770626
9,2.0,22,28.7,5.292447448959697,0.8972353927226773,0.7665505226480837
12,1.0,15,18.51,4.001237308633418,0.8098187710489826,0.8103727714748784
12,1.5,13,16.85,3.7453304260105007,0.8480125465403263,0.7715133531157269
12,2.0,12,14.99,4.001237308633418,0.7725493540686234,0.800533689126084
