,hippocampal neuron degeneration:-log(OR_p),hippocampal neuron degeneration:log_OR,hippocampal neuron degeneration:num_genes,hippocampal neuron degeneration:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal dopaminergic neuron morphology:-log(OR_p),abnormal dopaminergic neuron morphology:log_OR,abnormal dopaminergic neuron morphology:num_genes,abnormal dopaminergic neuron morphology:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,neuronal intranuclear inclusions:-log(OR_p),neuronal intranuclear inclusions:log_OR,neuronal intranuclear inclusions:num_genes,neuronal intranuclear inclusions:gene_ids,increased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),increased susceptibility to dopaminergic neuron neurotoxicity:log_OR,increased susceptibility to dopaminergic neuron neurotoxicity:num_genes,increased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C182,4.783667982166131,2.6654794010636476,3,FOLH1 PRKN PRNP,3.782750738229433,1.9653598847888256,4,HDAC6 PINK1 PRKN PRNP,3.286187782260387,2.617395832834079,2,PARK7 PRKN,2.8331668687338225,1.9077563704495368,3,PARK7 PINK1 PRKN,1.9683921420473742,1.1740625378698386,5,GPX1 PARK7 PINK1 PRKN PRNP,1.544560451503159,2.2933453017796346,1,PRNP,1.4619621550455195,2.2062802666460275,1,PARK7,1.424744240155294,0.7598234245198938,8,FOLH1 GPX1 GRID1 PARK7 PRKN PRNP PRSS56 TYRP1,1.3183868393921414,2.0520222618924517,1,ASS1,1.2099640544845602,0.8569895085074339,5,GPX1 PARK7 PINK1 PRKN PRNP,CD_1C_aminoacids-PD systems map,4,5,0.023255813953488372,0.029069767441860465,0.005813953488372093,0.9418604651162791
C206,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C206,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C209,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C209,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C183,3.927932496731082,2.8630031272621075,2,PRKN PRNP,6.211781167192088,2.627764395452812,4,HDAC6 PINK1 PRKN PRNP,4.7978192098548575,3.2688958370658128,2,PARK7 PRKN,4.65869644466373,2.5646638878621095,3,PARK7 PINK1 PRKN,4.106286260461483,1.8420833015910576,5,GPX1 PARK7 PINK1 PRKN PRNP,2.2916908941025196,2.9395359635885665,1,PRNP,2.193821063503989,2.852471160660631,1,PARK7,2.9713212616121876,1.2973189900456,7,GPX1 GRID1 PARK7 PRKN PRNP PRSS56 TYRP1,-0.0,0.0,0,,2.9863443016050715,1.525025205089447,5,GPX1 PARK7 PINK1 PRKN PRNP,protein folding,1,3,0.01098901098901099,0.03296703296703297,0.01098901098901099,0.945054945054945
C184,1.7965337232234342,2.4759246330361595,1,FOLH1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14820355706800334,-0.3740489118747856,1,FOLH1,2.4712353787787937,3.0563302176769778,1,ASS1,-0.0,0.0,0,,alpha-amino acid catabolic process,2,1,0.03125,0.015625,0.0,0.953125
C187,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C187,0,0,0.0,0.0,0.0625,0.9375
C194,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C194,0,0,0.0,0.0,0.1,0.9
C202,4.959927912148287,4.83033835305063,1,PRKN,7.746803411423416,4.763721881409124,2,HDAC6 PRKN,5.610387279257282,5.216426546938434,1,PRKN,3.802778409716881,4.116003724733515,1,PRKN,2.1025888165932405,2.8764123431940316,1,PRKN,-0.0,0.0,0,,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,PRKN,-0.0,0.0,0,,1.7509398551539537,2.5655417266864298,1,PRKN,C202,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C212,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C212,1,0,0.2,0.0,0.0,0.8
C185,2.0930632544735515,2.7279862061911855,1,PRKN,3.191556289287615,2.4996626932868793,2,HDAC6 PRKN,6.448410222165377,3.888519789391843,2,PARK7 PRKN,3.727357198758733,2.747270914255491,2,PARK7 PRKN,1.4025739950034741,1.493592653248001,2,PARK7 PRKN,-0.0,0.0,0,,3.008185676900446,3.4626486591702577,1,PARK7,0.3857530925901259,0.5942167113331038,2,PARK7 PRKN,-0.0,0.0,0,,0.986768222775786,1.1811942343142334,2,PARK7 PRKN,chaperone-mediated protein folding,0,2,0.0,0.04,0.0,0.96
C188,8.949765094301902,4.7907449922314,2,PRKN PRNP,10.244650828213945,4.309093186172346,3,PINK1 PRKN PRNP,4.401127238945982,4.368702973475411,1,PRKN,6.814875327908398,4.055390480186251,2,PINK1 PRKN,9.354230267534973,3.6735940927354793,4,GPX1 PINK1 PRKN PRNP,5.0785572008065,4.804340346529381,1,PRNP,-0.0,0.0,0,,5.633651829831614,2.767434770779478,4,GPX1 PRKN PRNP TYRP1,-0.0,0.0,0,,7.9608734328851245,3.3581162285241124,4,GPX1 PINK1 PRKN PRNP,C188,1,2,0.06666666666666667,0.13333333333333333,0.0,0.8
C196,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,NAD metabolic process,0,1,0.0,0.1,0.0,0.9
C210,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,6.15229088267077,5.593116906768682,1,ASS1,-0.0,0.0,0,,C210,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C186,2.7703290062948027,3.2535770567144473,1,FOLH1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.16001103499142574,0.40364284609578327,1,FOLH1,3.574012588140598,3.8339815779291273,1,ASS1,-0.0,0.0,0,,non-proteinogenic amino acid metabolic process,1,1,0.03333333333333333,0.03333333333333333,0.0,0.9333333333333333
C226,-0.0,0.0,0,,-0.0,0.0,0,,6.26098037155307,5.909733323189636,1,PARK7,4.449094723190623,4.809310790176687,1,PARK7,2.691037327039821,3.569720472277621,1,PARK7,-0.0,0.0,0,,6.836582388473344,6.258305953687912,1,PARK7,1.684050985540706,2.6737409687164098,1,PARK7,-0.0,0.0,0,,2.3155063778874005,3.258850401607882,1,PARK7,C226,0,1,0.0,0.25,0.0,0.75
C201,4.959927912148287,4.83033835305063,1,PRKN,7.746803411423416,4.763721881409124,2,HDAC6 PRKN,5.610387279257282,5.216426546938434,1,PRKN,3.802778409716881,4.116003724733515,1,PRKN,2.1025888165932405,2.8764123431940316,1,PRKN,-0.0,0.0,0,,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,PRKN,-0.0,0.0,0,,1.7509398551539537,2.5655417266864298,1,PRKN,C201,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C189,3.9072813173828314,4.0567758171512,1,FOLH1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6101691568750024,1.2068600669750573,1,FOLH1,4.820964042168074,4.637179839261954,1,ASS1,-0.0,0.0,0,,L-amino acid metabolic process,1,0,0.07142857142857142,0.0,0.0,0.9285714285714286
C191,9.765058045901622,5.15868273088385,2,PRKN PRNP,11.120258759535822,4.714771695903172,3,PINK1 PRKN PRNP,4.90762505041087,4.705388089288487,1,PRKN,7.588239611715517,4.423328514030987,2,PINK1 PRKN,10.193218109131463,4.12579386633179,4,GPX1 PINK1 PRKN PRNP,5.607889871091233,5.141025394387831,1,PRNP,-0.0,0.0,0,,6.517048916865297,3.219637439528017,4,GPX1 PRKN PRNP TYRP1,-0.0,0.0,0,,8.828566963698291,3.810316730256371,4,GPX1 PINK1 PRKN PRNP,C191,0,2,0.0,0.18181818181818182,0.0,0.8181818181818181
C229,5.613178055813225,5.523645197252842,1,PRKN,7.759744946467565,5.680172609017068,2,PINK1 PRKN,6.26098037155307,5.909733323189636,1,PRKN,8.358681063041745,5.927778995421848,2,PINK1 PRKN,5.501331452539856,4.674117079406573,2,PINK1 PRKN,-0.0,0.0,0,,-0.0,0.0,0,,1.684050985540706,2.6737409687164098,1,PRKN,-0.0,0.0,0,,4.870850809179475,4.361727048471039,2,PINK1 PRKN,C229,0,2,0.0,0.5,0.0,0.5
C208,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C208,0,0,0.0,0.0,0.16666666666666666,0.8333333333333334
