,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CD2AP,0,1,CD_1D_vitaminreposn,AD,2.5944287430882964,18.33282310831231,47.56320321415878,1
UNC5CL,0,1,CD_1D_vitaminreposn,AD,2.653209946179352,12.599829037261474,33.42999172182155,1
TMEM106B,0,1,CD_1D_vitaminreposn,AD,2.683212182840841,9.826220177603176,26.365833691821333,1
NDUFAF6,0,1,CD_1D_vitaminreposn,AD,2.321457252739952,9.86807015815743,22.908303039201254,1
MT-ND4,0,0,CD_1D_vitaminreposn,AD,7.491011812027209,2.921734806139319,21.88674994440067,0
MT-ND3,0,0,CD_1D_vitaminreposn,AD,6.926959371538823,3.0123131005207475,20.866170461661362,0
MT-ND5,0,0,CD_1D_vitaminreposn,AD,6.352500506291039,3.0792311256076728,19.560817284409868,0
ECHDC3,0,1,CD_1D_vitaminreposn,AD,1.9459166003791621,9.80178036907471,19.07344713345307,1
AFAP1L2,0,0,CD_1D_vitaminreposn,AD,5.225618345061968,3.577528385974733,18.6947979637295,0
MT-ND2,0,0,CD_1D_vitaminreposn,AD,6.2307729546075015,2.9120139776333693,18.14409793527701,0
FLVCR1,0,0,CD_1D_vitaminreposn,AD,4.884976403388294,3.1835869766091864,15.551747258870158,0
ANK3,0,1,CD_1D_vitaminreposn,AD,1.6861159015649327,8.959197181946799,15.10624483373623,1
IVNS1ABP,0,0,CD_1D_vitaminreposn,AD,6.178565904978407,2.1363812561015747,13.199772388984131,0
ATP5F1B,0,0,CD_1D_vitaminreposn,AD,3.0130701091486656,4.128766363539042,12.44026251763792,0
FOLR2,0,0,CD_1D_vitaminreposn,AD,4.377548026298843,2.7379651950513417,11.985574135671929,0
SPPL2C,0,0,CD_1D_vitaminreposn,AD,2.6279994100059616,4.537259518995112,11.923915338963088,0
XKRX,0,0,CD_1D_vitaminreposn,AD,3.6819804224224977,3.2203038773465535,11.85709583064127,0
MT-ND1,0,0,CD_1D_vitaminreposn,AD,3.5278942787627874,3.220759257711675,11.362498158553299,0
MT-ND6,0,0,CD_1D_vitaminreposn,AD,3.487255692274932,3.2309364178018987,11.267101414358049,0
SNX7,0,0,CD_1D_vitaminreposn,AD,3.050660718018302,3.6287578197206796,11.070108935823615,0
SNX4,0,0,CD_1D_vitaminreposn,AD,2.2057419695221276,4.907173209452644,10.823957899804295,0
HPN,0,0,CD_1D_vitaminreposn,AD,3.3313243484570245,3.248019803928689,10.820207457098252,0
QPRT,0,0,CD_1D_vitaminreposn,AD,5.456067813320552,1.9619799799369446,10.704695818913267,0
HM13,0,0,CD_1D_vitaminreposn,AD,4.301958281056086,2.4626210192365154,10.594092886807307,0
NME7,0,0,CD_1D_vitaminreposn,AD,3.5491957194675914,2.965847132646835,10.526371947785377,0
TPK1,0,0,CD_1D_vitaminreposn,AD,4.786299550191249,2.1832796960906,10.449830627340125,0
POT1,0,0,CD_1D_vitaminreposn,AD,2.7018792105351914,3.8373643197352365,10.368094878742152,0
XKR9,0,0,CD_1D_vitaminreposn,AD,3.6819804224225283,2.7468746896884535,10.113938830280844,0
LYN,0,0,CD_1D_vitaminreposn,AD,2.0792637803517575,4.8234680488448705,10.029262409647101,0
SLC39A14,0,0,CD_1D_vitaminreposn,AD,3.155546902121991,3.1498580905021067,9.939524939607812,0
