,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0011269,0.0010867986490787015,2.4474348719047887,0.9791669296662859,3.9157028141432915,20,increased excitatory postsynaptic current amplitude,brain
MP:0008948,0.0013704589349014243,1.0079828833923443,0.3907593130765039,1.6252064537081847,441,decreased neuron number,brain
MP:0002882,0.0017154753624895403,0.6496213353571516,0.2435537939651931,1.0556888767491102,1654,abnormal neuron morphology,brain
MP:0004753,0.0021090079620059215,1.4209412803708155,0.5150861850156094,2.3267963757260217,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0000966,0.005239571079356082,1.1764683300673902,0.35057342407145853,2.0023632360633217,201,decreased sensory neuron number,brain
MP:0006092,0.005584162521308461,2.0414863216794004,0.597646744838203,3.485325898520598,29,abnormal olfactory sensory neuron morphology,brain
MP:0008946,0.008676919567534212,0.8249210500158188,0.2088805127172303,1.4409615873144075,525,abnormal neuron number,brain
MP:0003648,0.011935183419748316,1.8404932015812143,0.40563976633280063,3.275346636829628,35,abnormal radial glial cell morphology,brain
MP:0000939,0.01425697539328047,1.4554565271875113,0.29145603976100953,2.619457014614013,76,decreased motor neuron number,brain
MP:0000940,0.02170853804066052,1.6731165882908385,0.2445174323641981,3.101715744217479,41,abnormal motor neuron innervation pattern,brain
MP:0010050,0.02624827888592386,2.336932841405452,0.27607080109502036,4.397794881715884,11,hypermyelination,brain
MP:0000938,0.027997148095498085,1.5988473128058516,0.17271269687184332,3.0249819287398596,44,motor neuron degeneration,brain
MP:0004191,0.032302872091474547,2.241568980413687,0.18919717994796947,4.293940780879405,12,neuronal intranuclear inclusions,brain
MP:0020393,0.032302872091474547,2.241568980413687,0.18919717994796947,4.293940780879405,12,increased neuronal precursor proliferation,brain
MP:0011003,0.03895686734413942,2.1545039193547915,0.10923424088814482,4.199773597821438,13,reduced AMPA-mediated synaptic currents,brain
MP:0002272,0.05073907246434223,0.7605962699206934,-0.0024464455806885166,1.5236389854220753,351,abnormal nervous system electrophysiology,brain
MP:0001038,0.05393198284860352,2.0002458627422914,-0.033813238457407024,4.03430496394199,15,abnormal cholinergic neuron morphology,brain
MP:0011267,0.059343986505929314,1.3656333492843533,-0.05383032227304185,2.7850970208417483,55,abnormal excitatory postsynaptic current amplitude,brain
MP:0004297,0.06218442414554386,1.9311992985387434,-0.09835823383055908,3.960756830908046,16,abnormal proprioceptive neuron morphology,brain
MP:0001081,0.07144374095549882,0.9222223257481552,-0.08048258122436058,1.924927232720671,170,abnormal cranial ganglia morphology,brain
