,increased excitatory postsynaptic current amplitude:-log(OR_p),increased excitatory postsynaptic current amplitude:log_OR,increased excitatory postsynaptic current amplitude:num_genes,increased excitatory postsynaptic current amplitude:gene_ids,decreased neuron number:-log(OR_p),decreased neuron number:log_OR,decreased neuron number:num_genes,decreased neuron number:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,abnormal olfactory sensory neuron morphology:-log(OR_p),abnormal olfactory sensory neuron morphology:log_OR,abnormal olfactory sensory neuron morphology:num_genes,abnormal olfactory sensory neuron morphology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,abnormal radial glial cell morphology:-log(OR_p),abnormal radial glial cell morphology:log_OR,abnormal radial glial cell morphology:num_genes,abnormal radial glial cell morphology:gene_ids,decreased motor neuron number:-log(OR_p),decreased motor neuron number:log_OR,decreased motor neuron number:num_genes,decreased motor neuron number:gene_ids,abnormal motor neuron innervation pattern:-log(OR_p),abnormal motor neuron innervation pattern:log_OR,abnormal motor neuron innervation pattern:num_genes,abnormal motor neuron innervation pattern:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C188,2.9638509100940715,2.4474348719047887,2,GABRB3 SPTBN2,2.8631339733407586,1.0079828833923443,11,ANK3 ARCN1 BCAP31 CARNS1 DYNC1H1 NTRK1 NXNL1 NXNL2 PFN2 SLC7A14 SOD1,2.7656155148632293,0.6496213353571516,28,ANK3 ARCN1 ATG7 ATL1 BCAP31 CARNS1 CYFIP2 DYNC1H1 DYNC1LI1 EPB41L3 GABRB3 GLRB GRIA1 HOMER1 MICU1 NTRK1 NXNL1 NXNL2 PFN2 ROCK2 SLC23A2 SLC7A14 SOD1 SPTAN1 SPTBN2 SPTBN4 TMEM59 VASP,2.6759217806926094,1.4209412803708155,5,CYFIP2 GRIA1 HOMER1 PFN2 TMEM59,2.280704263682903,1.1764683300673902,6,CARNS1 NTRK1 NXNL1 NXNL2 SLC7A14 SOD1,2.2530419505066117,2.0414863216794004,2,CARNS1 NXNL2,2.0616344283103185,0.8249210500158188,11,ANK3 ARCN1 BCAP31 CARNS1 DYNC1H1 NTRK1 NXNL1 NXNL2 PFN2 SLC7A14 SOD1,1.923170902373819,1.8404932015812143,2,DYNC1H1 VASP,1.845972599963453,1.4554565271875113,3,DYNC1H1 PFN2 SOD1,1.6633694230795626,1.6731165882908385,2,DYNC1H1 SOD1,CD_1D_vitaminreposn-ALS systems map,2,7,0.011049723756906077,0.03867403314917127,0.0,0.9502762430939227
C193,-0.0,0.0,0,,4.308741287013527,2.755480449920764,3,NXNL1 NXNL2 SOD1,1.3500109099474829,1.3602541192010555,3,NXNL1 NXNL2 SOD1,-0.0,0.0,0,,6.777790852119119,3.5624117990377027,3,NXNL1 NXNL2 SOD1,4.100600334070625,4.205811396311688,1,NXNL2,3.8326050508444744,2.5754488629802683,3,NXNL1 NXNL2 SOD1,-0.0,0.0,0,,2.640121935825673,3.2180221272387195,1,SOD1,3.5447283342708347,3.8484973045482676,1,SOD1,C193,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C189,1.5341407165051975,2.2472349979108817,1,GABRB3,0.9656072448737347,0.7401336220135768,5,CARNS1 NTRK1 PFN2 SLC7A14 SOD1,2.072100910089848,0.7008023166744266,17,ATG7 ATL1 CARNS1 CYFIP2 EPB41L3 GABRB3 GLRB GRIA1 HOMER1 NTRK1 PFN2 ROCK2 SLC23A2 SLC7A14 SOD1 TMEM59 VASP,4.69640491512063,1.990352130192286,5,CYFIP2 GRIA1 HOMER1 PFN2 TMEM59,1.9718043881480696,1.314468626548635,4,CARNS1 NTRK1 SLC7A14 SOD1,1.1609282782988202,1.858987964605678,1,CARNS1,0.6489497662391381,0.5593410249167956,5,CARNS1 NTRK1 PFN2 SLC7A14 SOD1,0.9893264178200747,1.664510819783029,1,VASP,1.5497872179381078,1.5874718339953837,2,PFN2 SOD1,0.8542942155604767,1.5016706567457092,1,SOD1,water-soluble vitamin metabolic process,1,6,0.009523809523809525,0.05714285714285714,0.0,0.9333333333333333
C190,1.9151044347380324,2.5891641391282247,1,SPTBN2,1.017000511752481,0.8587746907565172,4,ANK3 ARCN1 DYNC1H1 SLC7A14,0.48490078708329626,0.3489079146010745,9,ANK3 ARCN1 DYNC1H1 DYNC1LI1 GRIA1 SLC7A14 SPTAN1 SPTBN2 SPTBN4,0.2852185704999336,0.652406848340334,1,GRIA1,0.08452604291567731,0.22557303017148556,1,SLC7A14,-0.0,0.0,0,,0.7247716544806289,0.6783591280121719,4,ANK3 ARCN1 DYNC1H1 SLC7A14,1.305808138858215,2.0064412473738997,1,DYNC1H1,0.6359037618499216,1.213120029795288,1,DYNC1H1,1.1521577166635748,1.8436015994641402,1,DYNC1H1,COPI-mediated anterograde transport,1,1,0.013333333333333334,0.013333333333333334,0.0,0.9733333333333334
C196,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C196,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C197,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,SLC23A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C197,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C199,-0.0,0.0,0,,1.1381688594397417,1.9401032784793735,1,PFN2,1.05146764253172,1.424361960447225,2,PFN2 VASP,2.4610717407016693,3.168358980003589,1,PFN2,-0.0,0.0,0,,-0.0,0.0,0,,0.985682882495614,1.7608039116554792,1,PFN2,4.449854403678484,4.52237450936399,1,VASP,3.223749850377579,3.7290612437467683,1,PFN2,-0.0,0.0,0,,C199,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C215,-0.0,0.0,0,,1.644166871080029,2.6334137287885175,1,SOD1,0.5491384224666892,1.2415517964475047,1,SOD1,-0.0,0.0,0,,2.524723428462612,3.434847049765981,1,SOD1,-0.0,0.0,0,,1.472499636302254,2.454115111788794,1,SOD1,-0.0,0.0,0,,3.8584961642821844,4.422368513957259,1,SOD1,4.837051230131584,5.052842994748814,1,SOD1,C215,0,1,0.0,0.25,0.0,0.75
C222,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C222,0,1,0.0,0.25,0.0,0.75
C226,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C226,0,1,0.0,0.25,0.0,0.75
C191,3.6909228501438665,3.9003765000418227,1,SPTBN2,0.32471168091854574,0.7353681959939085,1,ANK3,0.4210208812167637,0.5487409145696844,3,ANK3 SPTBN2 SPTBN4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.2308369686271275,0.5560653267429476,1,ANK3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,COPI-mediated anterograde transport,0,1,0.0,0.047619047619047616,0.0,0.9523809523809523
C194,-0.0,0.0,0,,0.7607581218948153,1.4290599202397107,1,ANK3,0.0124515108249942,0.03717105482169991,1,ANK3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6310898369049516,1.2497595532683938,1,ANK3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,vesicle tethering complex,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C209,-0.0,0.0,0,,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,SLC23A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C209,0,1,0.0,0.2,0.0,0.8
C205,-0.0,0.0,0,,1.442800254709537,2.3456772360488394,1,PFN2,0.40481136954526753,0.953811457426152,1,PFN2,2.842127203647401,3.5739311373009564,1,PFN2,-0.0,0.0,0,,-0.0,0.0,0,,1.276958482738835,2.1663783691349927,1,PFN2,-0.0,0.0,0,,3.629626152920987,4.1346330811362115,1,PFN2,-0.0,0.0,0,,C205,0,1,0.0,0.2,0.0,0.8
