z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,331,249.74,13.249618862442798,4.3116783082707346e-10,1.3253783935292704
2,1.5,191,125.54,10.338684635871239,1.2134753786095785e-10,1.5214274334873346
2,2.0,99,55.23,7.08357960356203,3.223825561238471e-10,1.7925040738728952
3,1.0,258,183.77,11.460239962583682,4.6727344834565863e-11,1.4039288240735701
3,1.5,178,118.7,9.481033698917013,1.9927789759430914e-10,1.4995787700084247
3,2.0,99,56.41,6.892162215154254,3.2155906864373096e-10,1.755007977308988
4,1.0,202,131.55,11.010336053000382,7.843835434347772e-11,1.5355378183200303
4,1.5,159,99.38,8.305155025645217,3.519539640084135e-13,1.5999195009056149
4,2.0,99,55.78,6.552220997493904,2.1086285139275433e-11,1.7748296880602366
5,1.0,166,96.12,9.464966983566294,7.737187564212395e-14,1.7270079067831876
5,1.5,136,78.59,7.944929200439737,2.487273272539098e-13,1.7305000636213257
5,2.0,95,52.56,7.058781764582327,9.141583514673441e-10,1.8074581430745813
9,1.0,68,32.49,5.6630292247171035,1.7995032705991825e-10,2.092951677439212
9,1.5,66,29.25,5.204565303654091,8.258981051888752e-13,2.2564102564102564
9,2.0,59,25.73,5.14753338988685,5.122541137799313e-11,2.293043140303148
12,1.0,42,17.8,4.654030511288038,9.975475141291963e-08,2.359550561797753
12,1.5,41,15.92,3.6102077502548244,1.8660932057990313e-12,2.5753768844221105
12,2.0,36,14.18,3.705077597028165,1.9401672326531725e-09,2.538787023977433
