Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C166,SLC39A3 GSTM3 VMA21 ABCC4 OSBPL11 SESN2 NIPBL CCDC177 HM13 VPS13A DCTN4 STX5 PKN2 PDXDC1 PXDNL CASK NEK1 CLCN3 BAX SLC46A1 GOSR1 HERC4 FAM13B MPZL1 COG5 TMEM147 MAN1A2 ATP7A LEPR ATP2B1 KDELR3 GOLIM4 STEAP1B KDM5A SLC25A52 IFNG MARK3 ANO10 YIF1A SLC5A6 SOD1 COG8 SPPL2C TRHDE CLEC19A SLC9A9 GOLT1B SEC24A SEC22B LRBA LTN1 LZTS2 RIC3 MLLT11 COPG2 ATP2C1 TNIK ATP8B2 OSBPL8 SLC31A1 EVC2 SPTA1 SLC7A14 GPR180 PSEN1 UBXN4 NUMB CASP7 EXOC4 TMEM266 GCH1 FKRP C3orf33 PCDHAC2 COG3 SEC61A1 SLC7A11 BET1L UAP1 DOP1A LMAN1 GOSR2 ARCN1 SNAP23 SELENOK PHF3 ITPR2 SEC23B PHF20L1 SLC39A4 PDIA4 DUOX2 P4HB ATRX NOX5 KIAA1109 RICTOR MT1A NAMPT ARF1 UBE3C TNFRSF1A NPIPB15 USP33 INTS6 ERGIC1 SNCA IL10 SLC9A7 CALR SLC26A7 AKR1B15 SEPT9 ALG2 SPTAN1 MSRA UBXN7 COPA PDIA6 VSIG2 TXNDC11 YWHAH SPTLC3 HMOX1 PIGW SCAF11 VPS45 KDSR SLC52A2 ATP11B SCAPER ARFIP1 ADRB2 SFT2D3 PDIA5 TRIP11 SCAMP1 KDELR2 COG6 AKR1E2 HOMER2 SLC22A5 FOLR1 SLC39A9 IL19 BEST3 PDIA3 LYSMD3 RESF1 CCL15 EVA1C MFSD6 SP3 BBC3 SEPT3,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",8.454730702882327e-10,0.18181818181818182,10.0,1,7,7,0.0064516129032258064,0.04516129032258064,0.0,0.9483870967741935
C167,GSTM3 VMA21 ABCC4 HM13 DCTN4 STX5 PDXDC1 PXDNL BAX GOSR1 MPZL1 COG5 TMEM147 LEPR GOLIM4 KDELR3 IFNG ANO10 YIF1A SLC5A6 SOD1 COG8 SPPL2C GOLT1B SEC24A SEC22B LZTS2 COPG2 SLC31A1 EVC2 SPTA1 SLC7A14 GPR180 PSEN1 CASP7 TMEM266 GCH1 FKRP PCDHAC2 COG3 SEC61A1 SLC7A11 BET1L UAP1 LMAN1 GOSR2 ARCN1 SELENOK SEC23B DUOX2 PDIA4 P4HB NOX5 MT1A NAMPT ARF1 TNFRSF1A NPIPB15 ERGIC1 SNCA IL10 CALR AKR1B15 SEPT9 ALG2 SPTAN1 MSRA COPA PDIA6 VSIG2 TXNDC11 YWHAH SPTLC3 HMOX1 VPS45 KDSR SLC52A2 ADRB2 SFT2D3 PDIA5 TRIP11 KDELR2 COG6 AKR1E2 HOMER2 SLC22A5 FOLR1 SLC39A9 IL19 PDIA3 BBC3,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",6.0421228669275365e-12,0.18181818181818182,10.0,0,4,4,0.0,0.04395604395604396,0.0,0.9560439560439561
C169,KDM5A OSBPL11 NIPBL MARK3 UBXN7 VPS13A DOP1A CLEC19A PKN2 TRHDE SLC9A9 ATP2B1 SEC24A SNAP23 LRBA CASK LTN1 SCAF11 RIC3 SCAPER ATP11B PHF3 ARFIP1 PHF20L1 ITPR2 NEK1 ATP2C1 TNIK ATP8B2 SCAMP1 CLCN3 ATRX OSBPL8 KIAA1109 RICTOR HERC4 FAM13B UBE3C USP33 INTS6 BEST3 SLC9A7 ATP7A UBXN4 MAN1A2 NUMB MFSD6 SLC26A7 RESF1 CCL15 SP3,C169,,,,1,2,2,0.0196078431372549,0.0392156862745098,0.0,0.9411764705882353
C175,ATP2C1 C3orf33 SLC25A52 ATP8B2 SLC39A3 SESN2 SLC46A1 SEC22B EVA1C FKRP PIGW STEAP1B SLC39A9 SLC39A4 MLLT11,transition metal ion transport,2.6673250129765116e-06,0.050505050505050504,5.0,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C168,GSTM3 PCDHAC2 ABCC4 ALG2 SEC61A1 IFNG SLC7A11 MSRA HM13 UAP1 YIF1A SLC5A6 SOD1 SPPL2C PDIA6 GOLT1B VSIG2 TXNDC11 PXDNL YWHAH SPTLC3 HMOX1 SELENOK KDSR SLC52A2 SEC23B DUOX2 ADRB2 PDIA4 P4HB PDIA5 BAX KDELR2 SLC31A1 NOX5 AKR1E2 MT1A NAMPT SLC22A5 TNFRSF1A ARF1 MPZL1 TMEM147 SLC7A14 IL19 ERGIC1 SNCA PDIA3 IL10 CALR LEPR CASP7 AKR1B15 GCH1 BBC3,"oxidoreductase activity, acting on a sulfur group of donors",5.291366050055537e-07,0.1111111111111111,6.0,0,3,3,0.0,0.05454545454545454,0.0,0.9454545454545454
C174,SFT2D3 COG3 TRIP11 COG6 GOSR1 BET1L SPTA1 VPS45 GOLIM4 KDELR3 STX5 FOLR1 COG8 GOSR2 COPG2,COPI-mediated anterograde transport,2.6175703313622705e-19,0.10784313725490197,11.0,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C170,ALG2 SEC61A1 SLC7A11 MSRA HM13 UAP1 YIF1A SLC5A6 PDIA6 GOLT1B VSIG2 TXNDC11 SPTLC3 SELENOK KDSR SLC52A2 SEC23B PDIA4 P4HB PDIA5 KDELR2 AKR1E2 SLC31A1 SLC22A5 ARF1 MPZL1 TMEM147 SLC7A14 ERGIC1 PDIA3 AKR1B15,"oxidoreductase activity, acting on a sulfur group of donors",1.0854199918500224e-08,0.1111111111111111,6.0,0,2,2,0.0,0.06451612903225806,0.0,0.935483870967742
C172,GSTM3 PCDHAC2 ABCC4 IFNG SOD1 PXDNL HMOX1 DUOX2 BAX NOX5 MT1A NAMPT TNFRSF1A IL19 SNCA IL10 LEPR CASP7 GCH1,cellular detoxification,9.341308352545016e-06,0.04310344827586207,5.0,0,1,1,0.0,0.05263157894736842,0.0,0.9473684210526316
C198,NEK1 CASK SCAPER TNIK,C198,,,,0,1,1,0.0,0.25,0.0,0.75
C171,KDM5A NIPBL UBXN7 VPS13A DOP1A CLEC19A PKN2 SCAF11 SCAPER PHF3 ITPR2 PHF20L1 NEK1 ATRX KIAA1109 RICTOR FAM13B USP33 INTS6 RESF1,C171,,,,0,1,1,0.0,0.05,0.0,0.95
