,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SOD1,0,1,CD_1E_mineral_abs,ALS,2.6529867872065718,15.610735184559026,41.415074183215836,1
NEK1,0,1,CD_1E_mineral_abs,ALS,3.152377086319306,13.136937384076644,41.41258039397469,1
ERGIC1,0,1,CD_1E_mineral_abs,ALS,1.7764452654844545,21.286648598615926,37.81456612104256,1
CLCN3,0,1,CD_1E_mineral_abs,ALS,4.299367981335914,8.71789169535355,37.481424419757325,1
SLC46A1,0,1,CD_1E_mineral_abs,ALS,2.2448061713439773,15.223748859532474,34.17436539086933,1
ATP7A,1,0,CD_1E_mineral_abs,ALS,14.027640690317696,2.323254480119948,32.58977907929347,1
HOMER2,0,0,CD_1E_mineral_abs,ALS,4.035025021679334,6.658705606131784,26.868043732738204,0
SLC52A2,0,1,CD_1E_mineral_abs,ALS,2.5213365782689863,10.452807546119478,26.355046011637125,1
SLC5A6,0,0,CD_1E_mineral_abs,ALS,4.791660843903051,4.907052838802699,23.5129329466542,0
MLLT11,0,0,CD_1E_mineral_abs,ALS,5.984239197718757,3.6075532500730327,21.588461566944737,0
ADRB2,0,0,CD_1E_mineral_abs,ALS,3.9450840418690976,5.173733951994454,20.410815250889662,0
COG3,0,1,CD_1E_mineral_abs,ALS,1.81668409276474,10.915288028241987,19.82963012885262,1
HMOX1,0,0,CD_1E_mineral_abs,ALS,3.018580796529924,6.387724637718067,19.28186292493682,0
COPA,0,0,CD_1E_mineral_abs,ALS,3.296766502205449,4.409594389295468,14.537403070942394,0
ATP11B,0,0,CD_1E_mineral_abs,ALS,3.1742022581894638,4.546398204388574,14.431187446998733,0
TMEM147,0,0,CD_1E_mineral_abs,ALS,2.611498362103453,5.504808529533856,14.375798458570783,0
STX5,0,0,CD_1E_mineral_abs,ALS,4.8423022401834315,2.830482616952164,13.706052316867725,0
C3orf33,0,0,CD_1E_mineral_abs,ALS,3.5703999583167154,3.8372856813012004,13.700644636567135,0
