,z
UBE2Q1,0.6665429736455845
RNF14,1.6576615644267825
UBE2Q2,-0.846276638537505
TMCO1,-0.279383902875227
UBAC1,-0.46991575273213093
RAB4A,0.9449885928275354
ZNF706,-1.0306380233749974
MIB2,1.1260661052115701
RNF114,-0.5367668878093961
RNF115,-0.6330746464193957
RNF111,0.9257948099897161
EEF1AKNMT,-1.5110434452490962
UNKL,-0.6925897226691379
MMAB,-0.10935819363282714
UBE4A,2.237191547086173
DDX41,0.6815940479992776
ATMIN,1.1946200166258047
TSG101,0.6998815467277528
FBXW11,3.4888964410407066
UBE2D4,-0.9559305415395661
RPS27A,-0.048042852235919
UBE2D2,-0.4475792959333419
ATP6V1H,0.8886505388009668
UBE2D1,-0.5144568065014449
MFSD11,2.119032004558002
CCT3,-0.4858042761226359
LNX1,-1.1562279861642752
MRFAP1L1,0.5959661096341847
GTF2B,-0.9305805404422869
FBXL13,-0.6941138472263884
FBXL12,-0.24706655259198987
FBXL15,0.6900196184004488
FBXL14,-0.27430404931782326
FBXL16,-0.46102615359856336
FBXL19,-0.613724696795094
FBXL18,-0.5929258571995195
CCDC51,-1.2534184718396661
PPP1R11,0.5403896172945202
AKTIP,0.16068878393167157
RNF41,0.04831559364298623
ANAPC1,-1.659654001788887
ANAPC2,-0.8791438396966391
ANAPC5,-0.9942432339385227
ANAPC4,-0.5304660690459954
ANAPC7,-0.8688755817032553
ZNRF1,-0.5825547090706688
LRR1,-1.827169684202241
ZNRF2,-0.43001761025094937
FBXO30,-0.7653600036748396
FBXO5,-1.895158906890133
FBXO32,0.9560728543196262
EMC7,-0.18696093722790577
KLHL25,-0.8176273406170134
KLHL21,-0.7852807670322738
KLHL20,-0.8392576986681707
KLHL22,-0.9857313562882831
MKRN1,1.7539590305515258
SPSB2,-0.7417407120226492
SPSB1,-0.8562723395839641
TRIM50,1.0334216009307922
SPSB4,-0.6895664584303249
ARF1,1.7114841194329604
CDC34,-0.6057464523422527
AREL1,3.679214677568061
LONRF1,-0.8967922626263034
CIAO2B,-0.9538625574568157
RNF25,-0.7728837875074542
UBE2V1,-0.0273801525690182
UBE2V2,-0.9246371597921441
RNF26,-0.6147966842813273
PSMD8,-1.0582855499026855
LMO7,-0.979145799386341
MGRN1,0.0032999757785924047
DHX8,0.9096897733393062
SPCS1,-0.3179003034622535
ITCH,-0.5774995100245811
PSMD4,-0.1821192353666112
FLAD1,-1.7302049795371837
CBLL2,-0.25840474438211786
ARIH2,0.17615168685746851
TRIP12,0.6710881698342798
MEX3C,-0.6910866509988108
E2F6,-1.6870572571321378
SNW1,0.41158648925111035
PRCC,0.8308495590177515
C3AR1,1.0157033602157068
BTRC,3.3409314119725075
TRIM11,3.2543920265106303
HUWE1,-0.961551047025481
UFC1,-0.5594161624259636
LRRC41,-1.0283010569716582
USP25,-0.35752686653584453
MOAP1,-0.0539906750278303
