Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C145,JTB GOLPH3 NME4 DRAP1 HIBADH COMTD1 NDUFAF1 CLN3 C2orf74 ECHDC3 SS18 PDK4 ECHS1 ETAA1 ACAD9 TMEM106B HMGCR POMGNT1 MEN1 ACADS PRUNE1 SQSTM1 BLVRB COMT XKR9 GLCE SYPL1 ANAPC13 SNX5 ANKRD13B KLHL30-AS1 CDY2A MOB4 ABCD4 GAS7 ZHX2 ECI2 HS2ST1 MTX1 ZBTB48 NDUFB8 AC008982.1 ECI1 NFKBIL1 LLCFC1 FAM8A1 TSTA3 ATP13A3 SCAMP1 RMND1 OSBPL11 GRHPR CDY2B TSSC4 ACADM POT1 PARP1 TOMM20L ADD3 ARHGEF2 DEDD ARHGAP32 OARD1 STAM2 DTX3 COX19 DTX4 SMARCD1 UBE4A CCDC186 CPTP HIBCH SERINC3 VPS13A CLEC10A NDUFA5 SOCS6 IRF3 MAP6 ACADSB SLC39A6 COQ9 C3AR1 TERF2 ECHDC1 GGPS1 CDY1 RNF167 SYMPK ACE NDUFC2 ZNF644 ECSIT ZNF304 CREB3L4 EHHADH UBXN4 CHST7 ETFRF1 TMEM222 ODR4 B4GALT2 B3GALT6 PNKD CDY1B ATP13A2 AC138894.1 TSR3 AUH SNX4 ECHDC2 TOMM40 HMGCL BORCS7 FAM173A WDR7 TIMMDC1 CD2AP ZDHHC11 CLYBL XKRX SAFB LONP2 MKKS GBF1 SLC35B3 ECH1 ATP6V1C1 ETFA HOMER3 EPHB4 ANKIB1 ATAD3C PSEN2,fatty acid beta-oxidation,5.109381217490878e-13,0.17105263157894737,13.0,0,6,6,0.0,0.04477611940298507,0.0,0.9552238805970149
C160,AC138894.1 NME4 POMGNT1 EPHB4 B4GALT2 B3GALT6 PSEN2 CLN3,C160,,,,0,1,1,0.0,0.125,0.0,0.875
C161,C2orf74 OARD1 ACE PARP1 POT1 TERF2 GGPS1,C161,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C146,GOLPH3 HIBADH NDUFAF1 C2orf74 ECHDC3 SS18 PDK4 ECHS1 ETAA1 ACAD9 TMEM106B HMGCR ACADS XKR9 BLVRB COMT GLCE SYPL1 ANAPC13 SNX5 ANKRD13B CDY2A MOB4 ABCD4 ZHX2 ECI2 HS2ST1 NDUFB8 AC008982.1 ECI1 FAM8A1 ATP13A3 SCAMP1 RMND1 OSBPL11 GRHPR CDY2B ACADM POT1 ADD3 ARHGAP32 OARD1 STAM2 UBE4A CCDC186 HIBCH SERINC3 VPS13A CLEC10A NDUFA5 SOCS6 MAP6 ACADSB SLC39A6 C3AR1 TERF2 ECHDC1 GGPS1 CDY1 NDUFC2 ZNF644 ECSIT ZNF304 EHHADH UBXN4 CHST7 ETFRF1 ODR4 CDY1B AUH SNX4 ECHDC2 HMGCL BORCS7 WDR7 TIMMDC1 CD2AP CLYBL XKRX LONP2 MKKS SLC35B3 ECH1 ATP6V1C1 ETFA ATAD3C ANKIB1,fatty acid beta-oxidation,9.877195200292518e-16,0.17105263157894737,13.0,0,3,3,0.0,0.034482758620689655,0.0,0.9655172413793104
C147,TMEM222 JTB NME4 DRAP1 COMTD1 B4GALT2 B3GALT6 MTX1 IRF3 ZBTB48 ATP13A2 TSR3 NFKBIL1 LLCFC1 COQ9 ETAA1 TOMM40 TSTA3 RNF167 SYMPK FAM173A POMGNT1 MEN1 TSSC4 ZDHHC11 PRUNE1 TOMM20L SAFB ARHGEF2 SQSTM1 COMT DEDD GBF1 COX19 HOMER3 EPHB4 CREB3L4 SMARCD1 CPTP KLHL30-AS1,C147,,,,0,1,1,0.0,0.025,0.0,0.975
C151,GAS7 NDUFAF1 CLEC10A CLN3 AC138894.1 NDUFB8 C3AR1 ACAD9 RMND1 TIMMDC1 NDUFC2 MKKS ARHGAP32 ECSIT DTX3 ATAD3C DTX4 EPHB4 SNX5 PSEN2,Complex I biogenesis,1.0684931778945628e-07,0.08771929824561403,5.0,0,1,1,0.0,0.05,0.0,0.95
C187,ATAD3C ECSIT TOMM40 TOMM20L,C187,,,,0,1,1,0.0,0.25,0.0,0.75
C148,CHST7 ETFRF1 MOB4 GOLPH3 ODR4 SERINC3 ZHX2 HS2ST1 SOCS6 MAP6 SNX4 SLC39A6 FAM8A1 SS18 ETAA1 TMEM106B ATP13A3 BORCS7 SCAMP1 HMGCR OSBPL11 WDR7 CD2AP ADD3 SLC35B3 STAM2 ZNF304 GLCE ATP6V1C1 SYPL1 ANKRD13B ANAPC13 ANKIB1 UBXN4 UBE4A CCDC186,C148,,,,0,2,2,0.0,0.05555555555555555,0.0,0.9444444444444444
C149,CDY2A HIBCH ABCD4 HIBADH ECI2 CDY1B AC008982.1 ECHDC3 AUH ACADSB ECI1 PDK4 ECHDC2 ECHS1 ECHDC1 HMGCL CDY1 GRHPR CDY2B ACADM CLYBL ACADS LONP2 COMT BLVRB ECH1 GLCE EHHADH,fatty acid beta-oxidation,3.9653329500099156e-22,0.15789473684210525,12.0,0,1,1,0.0,0.03571428571428571,0.0,0.9642857142857143
C150,TMEM222 JTB NME4 COMTD1 B4GALT2 B3GALT6 MTX1 IRF3 TSR3 COQ9 TOMM40 TSTA3 RNF167 SYMPK FAM173A POMGNT1 TSSC4 ZDHHC11 TOMM20L COMT COX19 EPHB4 CREB3L4 KLHL30-AS1,C150,,,,0,1,1,0.0,0.041666666666666664,0.0,0.9583333333333334
