,abnormal postsynaptic density morphology:-log(OR_p),abnormal postsynaptic density morphology:log_OR,abnormal postsynaptic density morphology:num_genes,abnormal postsynaptic density morphology:gene_ids,abnormal olfactory sensory neuron morphology:-log(OR_p),abnormal olfactory sensory neuron morphology:log_OR,abnormal olfactory sensory neuron morphology:num_genes,abnormal olfactory sensory neuron morphology:gene_ids,increased miniature excitatory postsynaptic current frequency:-log(OR_p),increased miniature excitatory postsynaptic current frequency:log_OR,increased miniature excitatory postsynaptic current frequency:num_genes,increased miniature excitatory postsynaptic current frequency:gene_ids,decreased excitatory postsynaptic current frequency:-log(OR_p),decreased excitatory postsynaptic current frequency:log_OR,decreased excitatory postsynaptic current frequency:num_genes,decreased excitatory postsynaptic current frequency:gene_ids,loss of GABAergic neurons:-log(OR_p),loss of GABAergic neurons:log_OR,loss of GABAergic neurons:num_genes,loss of GABAergic neurons:gene_ids,abnormal neuronal stem cell self-renewal:-log(OR_p),abnormal neuronal stem cell self-renewal:log_OR,abnormal neuronal stem cell self-renewal:num_genes,abnormal neuronal stem cell self-renewal:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,abnormal neuronal stem cell physiology:-log(OR_p),abnormal neuronal stem cell physiology:log_OR,abnormal neuronal stem cell physiology:num_genes,abnormal neuronal stem cell physiology:gene_ids,abnormal miniature excitatory postsynaptic current amplitude:-log(OR_p),abnormal miniature excitatory postsynaptic current amplitude:log_OR,abnormal miniature excitatory postsynaptic current amplitude:num_genes,abnormal miniature excitatory postsynaptic current amplitude:gene_ids,impaired neuronal migration:-log(OR_p),impaired neuronal migration:log_OR,impaired neuronal migration:num_genes,impaired neuronal migration:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C222,2.0553437490420174,1.9333666915115497,2,PPFIA3 TMEM59,1.9330129429057177,1.8562979903656265,2,B3GNT2 CARNS1,1.3920504487644618,2.1526769441018514,1,CHMP4C,1.3920504487644618,2.1526769441018514,1,CLSTN1,1.3066694148071898,2.057312979169101,1,CLCN3,1.3066694148071898,2.057312979169101,1,VCP,1.2854103676567674,1.4136574183480128,2,SACS VCP,1.0387897660581005,1.7469428814184926,1,VCP,0.8905218135553165,1.564459917151023,1,CHMP4C,0.8085096478920577,1.4589917820354952,1,KIF2A,CD_1F_perox-ALS systems map,1,7,0.004608294930875576,0.03225806451612903,0.0,0.9631336405529954
C224,1.2770450501146857,1.9827415075864572,1,TMEM59,1.2075204960262065,1.9085265435105239,1,B3GNT2,-0.0,0.0,0,,-0.0,0.0,0,,2.172217040514134,2.8437448475524585,1,CLCN3,-0.0,0.0,0,,0.836325029017628,1.478728133485454,1,SACS,-0.0,0.0,0,,-0.0,0.0,0,,1.5346352349965855,2.2454266791540967,1,KIF2A,COPI-mediated anterograde transport,1,4,0.01,0.04,0.0,0.95
C223,1.1673212857485218,1.8676890330989782,1,PPFIA3,1.1005945209873818,1.793474000295296,1,CARNS1,2.1350788998352073,2.8240565509448814,1,CHMP4C,2.1350788998352073,2.8240565509448814,1,CLSTN1,-0.0,0.0,0,,2.032676298696442,2.72869288805457,1,VCP,0.7458282656266926,1.3636750743427868,1,VCP,1.7051105038691683,2.4183239987977885,1,VCP,1.5194116298739846,2.2358419412411106,1,CHMP4C,-0.0,0.0,0,,C223,0,3,0.0,0.026785714285714284,0.0,0.9732142857142857
C226,-0.0,0.0,0,,2.490050384803345,3.041488503260477,1,CARNS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C226,0,1,0.0,0.030303030303030304,0.0,0.9696969696969697
C236,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C236,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C229,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.767445878597284,5.246439105779372,1,CLCN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C229,1,1,0.1,0.1,0.0,0.8
C234,4.7013161819936515,4.636860503477665,1,TMEM59,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C234,0,1,0.0,0.125,0.0,0.875
C268,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C268,1,0,0.25,0.0,0.0,0.75
C243,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C243,0,1,0.0,0.2,0.0,0.8
C259,-0.0,0.0,0,,5.423766071309778,5.410156848303572,1,CARNS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C259,0,1,0.0,0.25,0.0,0.75
