,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014379,0.018327897897762277,2.48132116980098,0.41966276404839054,4.542979575553569,11,decreased excitatory postsynaptic current frequency,brain
MP:0014375,0.018327897897762277,2.48132116980098,0.41966276404839054,4.542979575553569,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0012205,0.02274788748885752,2.3859573778803034,0.3327859188598312,4.4391288369007755,12,abnormal neuronal stem cell self-renewal,brain
MP:0001025,0.02274788748885752,2.3859573778803034,0.3327859188598312,4.4391288369007755,12,abnormal sympathetic neuron morphology,brain
MP:0014345,0.027655108795845616,2.2988923858999097,0.2528202731883482,4.344964498611471,13,abnormal neuron mitochondrial morphology,brain
MP:0001038,0.03885757165560947,2.144634467466652,0.10976851122352427,4.179500423709779,15,abnormal cholinergic neuron morphology,brain
MP:0012204,0.04511102495059748,2.075587972363847,0.04522179606154797,4.105954148666146,16,abnormal neuronal stem cell physiology,brain
MP:0014371,0.06621024954162635,1.8931055274672204,-0.12672217984652256,3.9129332347809633,19,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0014062,0.06738043991729904,1.3217020750961535,-0.09454025969817681,2.737944409890484,66,nervous system inclusion bodies,brain
MP:0014551,0.08199771796143746,1.7876377386919327,-0.2269000622545727,3.802175539638438,21,impaired neuronal migration,brain
MP:0014377,0.08199771796143746,1.7876377386919327,-0.2269000622545727,3.802175539638438,21,abnormal excitatory postsynaptic current frequency,brain
MP:0002888,0.09895699042272459,1.6922202742613912,-0.317979068364175,3.7024196168869574,23,abnormal NMDA-mediated synaptic currents,brain
MP:0020551,0.1357490624268258,1.5249515858096458,-0.47855486362474187,3.5284580352440336,27,abnormal postsynaptic density morphology,brain
MP:0008571,0.1454397081952267,1.4871575996828206,-0.5149827401593341,3.4892979395249752,28,abnormal synaptic bouton morphology,brain
MP:0014374,0.1652984496581822,1.41559131077436,-0.5840971167549049,3.4152797383036253,30,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008948,0.1866899632721365,-1.3261909226757886,-3.2946992278957437,0.6423173825441661,441,decreased neuron number,brain
MP:0002752,0.20273950237915916,-0.5803779348116507,-1.473401126981642,0.3126452573583406,1041,abnormal somatic nervous system morphology,brain
MP:0002913,0.22771420065601422,1.2272170353633172,-0.7667854076230929,3.2212194783497274,36,abnormal PNS synaptic transmission,brain
MP:0000954,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,decreased oligodendrocyte progenitor number,brain
MP:0010050,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,hypermyelination,brain
MP:0010160,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,increased oligodendrocyte number,brain
MP:0006277,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal parasympathetic nervous system physiology,brain
MP:0005192,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,increased motor neuron number,brain
MP:0011452,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003247,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal glutaminergic neuron morphology,brain
MP:0004793,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal synaptic vesicle clustering,brain
MP:0003407,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal central nervous system regeneration,brain
MP:0020387,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal radial glial cell number,brain
MP:0004562,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0021105,0.2442293181479398,1.6864203992215874,-1.1520325271765168,4.524873325619692,11,abnormal ventral interneuron 3 morphology,brain
MP:0008946,0.2595087319235967,-0.8039846767550962,-2.2015074237928864,0.5935380702826942,525,abnormal neuron number,brain
MP:0004191,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,neuronal intranuclear inclusions,brain
MP:0012203,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,abnormal neuronal stem cell morphology,brain
MP:0001045,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,abnormal enteric ganglia morphology,brain
MP:0014382,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0020393,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,increased neuronal precursor proliferation,brain
MP:0003246,0.2685699733720065,1.5993554072411946,-1.2339665062832221,4.432677320765611,12,loss of GABAergic neurons,brain
MP:0001105,0.2707876311306858,1.118788697151981,-0.8723890359350828,3.1099664302390444,40,abnormal PNS glial cell morphology,brain
MP:0011451,0.29253795821571404,1.519259081702172,-1.309713937022341,4.348232100426685,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011003,0.29253795821571404,1.519259081702172,-1.309713937022341,4.348232100426685,13,reduced AMPA-mediated synaptic currents,brain
MP:0000965,0.29324861593750673,-0.7494918226454832,-2.1471574997176046,0.6481738544266382,498,abnormal sensory neuron morphology,brain
MP:0002110,0.3055784277624959,-1.029401219493188,-2.998657233791688,0.939854794805312,330,abnormal digit morphology,neg_ctrl
MP:0000938,0.31437014416362763,1.0209354278879577,-0.9679401631371842,3.0098110189130995,44,motor neuron degeneration,brain
MP:0004101,0.31437014416362763,1.0209354278879577,-0.9679401631371842,3.0098110189130995,44,abnormal brain interneuron morphology,brain
MP:0000952,0.31447735078242234,-1.0106685846617385,-2.97997965100945,0.9586424816859731,324,abnormal CNS glial cell morphology,brain
MP:0010170,0.3160960385202344,1.445097488807935,-1.380142578003904,4.270337555619774,14,abnormal glial cell apoptosis,brain
MP:0010149,0.3160960385202344,1.445097488807935,-1.380142578003904,4.270337555619774,14,abnormal synaptic dopamine release,brain
MP:0014325,0.3160960385202344,1.445097488807935,-1.380142578003904,4.270337555619774,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0009823,0.3160960385202344,1.445097488807935,-1.380142578003904,4.270337555619774,14,abnormal sphingomyelin level,brain
MP:0002916,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,increased synaptic depression,brain
MP:0020338,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0002917,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,decreased synaptic depression,brain
MP:0004494,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,abnormal synaptic glutamate release,brain
MP:0002948,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,abnormal neuron specification,brain
MP:0010387,0.3392194926706873,1.37605099370513,-1.44594985411794,4.1980518415281995,15,abnormal Bergmann glial cell morphology,brain
MP:0014385,0.3618929024020493,1.311458846076059,-1.5077046322880165,4.130622324440134,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0004297,0.3618929024020493,1.311458846076059,-1.5077046322880165,4.130622324440134,16,abnormal proprioceptive neuron morphology,brain
MP:0011827,0.3618929024020493,1.311458846076059,-1.5077046322880165,4.130622324440134,16,impaired neuron differentiation,brain
MP:0003240,0.3618929024020493,1.311458846076059,-1.5077046322880165,4.130622324440134,16,loss of hippocampal neurons,brain
MP:0002882,0.3658123736309604,0.23344721051977935,-0.2724968834063042,0.7393913044458629,1654,abnormal neuron morphology,brain
MP:0011731,0.38410779957369356,1.2507805948921682,-1.565876948796821,4.067438138581157,17,decreased myelin sheath thickness,brain
MP:0000966,0.3860904578589186,-1.229228049417232,-4.008923237960371,1.5504671391259062,201,decreased sensory neuron number,brain
MP:0004753,0.3953395966943969,0.6094958189824258,-0.7959471629858654,2.014938800950717,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0003243,0.4014618783268905,0.8498801729906766,-1.135469336688527,2.83522968266988,52,abnormal dopaminergic neuron morphology,brain
MP:0003241,0.4058609215171781,1.1935685488085053,-1.620859624457602,4.007996722074612,18,loss of cortex neurons,brain
MP:0003244,0.4058609215171781,1.1935685488085053,-1.620859624457602,4.007996722074612,18,loss of dopaminergic neurons,brain
MP:0021101,0.42715290523741667,1.1394476924179386,-1.6729842832557487,3.951879668091626,19,abnormal ventral interneuron morphology,brain
MP:0013438,0.42715290523741667,1.1394476924179386,-1.6729842832557487,3.951879668091626,19,dysmyelination,brain
MP:0014376,0.42715290523741667,1.1394476924179386,-1.6729842832557487,3.951879668091626,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0011269,0.4479873020857694,1.0881007600332175,-1.7225334258195213,3.8987349458859564,20,increased excitatory postsynaptic current amplitude,brain
MP:0020448,0.4479873020857694,1.0881007600332175,-1.7225334258195213,3.8987349458859564,20,increased microglial cell activation,brain
MP:0001081,0.4549013317346411,-1.0600438618736394,-3.8403657989125213,1.7202780751652424,170,abnormal cranial ganglia morphology,brain
MP:0004858,0.46836982909773694,1.0392569549894262,-1.769749667859979,3.848263577838831,21,abnormal nervous system regeneration,brain
MP:0020394,0.46836982909773694,1.0392569549894262,-1.769749667859979,3.848263577838831,21,decreased neuronal precursor proliferation,brain
MP:0014489,0.488307796866322,0.9926832956026761,-1.8148429059373852,3.8002094971427374,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0008917,0.5078096702863493,0.9481778864021795,-1.8579959441967664,3.7543517170011254,23,abnormal oligodendrocyte physiology,brain
MP:0014383,0.5078096702863493,0.9481778864021795,-1.8579959441967664,3.7543517170011254,23,decreased miniature inhibitory postsynaptic current frequency,brain
