,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
BIN3,0,1,CD_1F_perox,PD,6.58966701971116,11.731870288986759,77.30911872286528,1
PEX11B,1,0,CD_1F_perox,PD,9.946458201632403,3.5087779600262285,34.89991331820989,1
TMEM230,0,1,CD_1F_perox,PD,3.075486314471868,11.098127428170853,34.132139021604324,1
TMEM9,0,0,CD_1F_perox,PD,4.9040720938870335,4.8578612477792475,23.82330178120945,0
SMIM15,0,1,CD_1F_perox,PD,2.063043267840931,11.178034625963498,23.060769082786816,1
ACBD7,0,0,CD_1F_perox,PD,7.108108986557921,3.2311488150171566,22.967357928929427,0
DCUN1D1,0,1,CD_1F_perox,PD,2.0379951161267758,10.95850159792887,22.333372736646503,1
PINK1,0,1,CD_1F_perox,PD,1.855261044847088,10.91151477871987,20.243708309232268,1
TMEM53,0,0,CD_1F_perox,PD,5.765067978897125,3.2878330036398165,18.954580769245062,0
TP53TG3C,0,0,CD_1F_perox,PD,2.319950929385105,7.968541184409433,18.486624526614147,0
ATP13A2,0,1,CD_1F_perox,PD,2.0181825120167614,8.882788805593227,17.927089025386508,1
TMEM246,0,0,CD_1F_perox,PD,4.1455551811469205,4.313472433718021,17.881737996334156,0
SMIM8,0,0,CD_1F_perox,PD,4.981473474526846,3.380414680363758,16.839446063133206,0
PEX16,1,0,CD_1F_perox,PD,8.688634729783796,1.7157656239816133,14.90766078869581,1
FAM234B,0,0,CD_1F_perox,PD,6.581200669114306,2.025145967034001,13.327891993298307,0
EXOG,0,0,CD_1F_perox,PD,4.276473785755041,2.816622883816682,12.045213926999805,0
MUL1,0,0,CD_1F_perox,PD,4.279671038857925,2.7937059885486066,11.956142610275423,0
GALNT16,0,0,CD_1F_perox,PD,3.569157083925744,3.2343662136770464,11.543961083555516,0
CPTP,0,0,CD_1F_perox,PD,4.109385946262721,2.784391752972481,11.442140338554935,0
IRAK1BP1,0,0,CD_1F_perox,PD,1.7304419878138741,6.562373838783762,11.355807230362737,0
ITPRIPL1,0,0,CD_1F_perox,PD,3.110299597443331,3.601403136590159,11.201442725967523,0
SMIM17,0,0,CD_1F_perox,PD,2.037995116126785,5.407862727005806,11.021197826321911,0
NAA60,0,0,CD_1F_perox,PD,1.8333314885099938,5.664407701029048,10.384737002055056,0
SZRD1,0,0,CD_1F_perox,PD,4.3300640337633975,2.2649446959571033,9.807355566427027,0
VPS4A,0,0,CD_1F_perox,PD,2.930657166219791,3.175913896965476,9.307514821438895,0
FIS1,0,0,CD_1F_perox,PD,4.235567268537384,2.1864882064450666,9.261017880261734,0
ALDH4A1,0,0,CD_1F_perox,PD,2.313374405629362,3.897565843887403,9.016529067504324,0
ZNF112,0,0,CD_1F_perox,PD,2.799082196987795,3.1655492851084026,8.86063264763437,0
CRACR2B,0,0,CD_1F_perox,PD,2.63322895003296,3.3247691838403837,8.754878467065955,0
SPATA5,0,0,CD_1F_perox,PD,4.589323990935785,1.8834619073969863,8.643816917630664,0
ERI3,0,0,CD_1F_perox,PD,3.561427639737102,2.418091768374558,8.611858859309917,0
RDH11,0,0,CD_1F_perox,PD,2.118931726282082,4.043485068481116,8.567868796352514,0
BHMT2,0,0,CD_1F_perox,PD,2.468556119079768,3.46952174906432,8.564709143933067,0
XKR9,0,0,CD_1F_perox,PD,5.093370708606331,1.679468264194296,8.554154462881145,0
XKRX,0,0,CD_1F_perox,PD,5.09337070860633,1.6794682641942922,8.554154462881126,0
SMIM7,0,0,CD_1F_perox,PD,2.947670297900075,2.8221675220587015,8.31881938047069,0
TANC1,0,0,CD_1F_perox,PD,2.649661116138825,3.1042580028450786,8.22523172460137,0
ACYP2,0,0,CD_1F_perox,PD,4.701398305549905,1.7353787095620299,8.158706524622307,0
AC010132.3,0,0,CD_1F_perox,PD,2.84018284027257,2.8721615720342535,8.157464011381975,0
COX19,0,0,CD_1F_perox,PD,2.7776674962975174,2.9284004742395684,8.134122813437484,0
AGPS,0,0,CD_1F_perox,PD,3.6558169878368894,2.1830763607460706,7.980927645360619,0
PIGY,0,0,CD_1F_perox,PD,1.9244583942862072,4.074092655631751,7.84042181023031,0
EHHADH,0,0,CD_1F_perox,PD,2.4542798705539184,3.1382529681263422,7.702151088378569,0
SPTSSA,0,0,CD_1F_perox,PD,1.916434909027921,4.004819538194282,7.6749759673526,0
TMEM208,0,0,CD_1F_perox,PD,3.313971726580425,2.250125903839878,7.456853626571581,0
HCN1,0,0,CD_1F_perox,PD,3.6515045170065332,2.01226796648825,7.347805569059396,0
B3GAT3,0,0,CD_1F_perox,PD,2.730669118488516,2.6398742446139227,7.208623076460437,0
FAM174A,0,0,CD_1F_perox,PD,4.198083684367664,1.7078203716643998,7.169572838115037,0
HACL1,0,0,CD_1F_perox,PD,3.988179142715838,1.7963541013539985,7.164181959952069,0
GALNT15,0,0,CD_1F_perox,PD,2.0916352487801926,3.364582111336706,7.037478541487137,0
B3GNT2,0,0,CD_1F_perox,PD,2.837415484321233,2.464875048465162,6.993874629432099,0
DECR1,0,0,CD_1F_perox,PD,2.224051824527722,3.142380608630774,6.9888173259858055,0
VAMP7,0,0,CD_1F_perox,PD,3.5732076116263727,1.923748569256307,6.873953030521981,0
FUZ,0,0,CD_1F_perox,PD,4.2635479641333385,1.5951836803774198,6.801142132891874,0
DSTN,0,0,CD_1F_perox,PD,3.7775683913821174,1.7996618129210886,6.798345579668142,0
SCARF2,0,0,CD_1F_perox,PD,2.1731423073036016,3.1031646522395766,6.743618392310892,0
ACSM3,0,0,CD_1F_perox,PD,1.7291954779550784,3.84818441317685,6.654263085602626,0
TMEM222,0,0,CD_1F_perox,PD,3.0207284417075555,2.1828598976036218,6.5938269769541025,0
SCOC,0,0,CD_1F_perox,PD,3.1180086378622747,2.112784308105085,6.587679722611525,0
CDK20,0,0,CD_1F_perox,PD,1.6579238366498164,3.9444861652552454,6.539657636712098,0
PLCH2,0,0,CD_1F_perox,PD,2.2548166317005096,2.8969848291111884,6.532169574463966,0
RPL28,0,0,CD_1F_perox,PD,2.4654418302530674,2.6389817990069484,6.506256116548223,0
WWP2,0,0,CD_1F_perox,PD,2.1351813220047062,3.0305810159581004,6.470839980095782,0
DNAJC19,0,0,CD_1F_perox,PD,2.516507371519383,2.5368976505882603,6.384121638495562,0
DIP2B,0,0,CD_1F_perox,PD,3.9071131934354217,1.618516342979154,6.323726557444703,0
KDSR,0,0,CD_1F_perox,PD,1.5351325176583326,4.100444514895228,6.294725711669412,0
TPD52,0,0,CD_1F_perox,PD,2.51611165534154,2.4981870788073888,6.285717626210905,0
ESS2,0,0,CD_1F_perox,PD,4.116695636562946,1.5226044851395133,6.2680992401850055,0
WIPI2,0,0,CD_1F_perox,PD,2.9200946519858046,2.1012580721564933,6.135872458946178,0
SH3GLB2,0,0,CD_1F_perox,PD,2.6964983134077603,2.262991383554238,6.102152449010297,0
HAO2,0,0,CD_1F_perox,PD,2.296924025676695,2.637350877355767,6.057794594337972,0
MIEF2,0,0,CD_1F_perox,PD,1.7751153135110045,3.368798636016815,5.980006046928433,0
PNPLA3,0,0,CD_1F_perox,PD,3.033095804902111,1.9384471184766057,5.879495823075978,0
HMGCLL1,0,0,CD_1F_perox,PD,1.7591112367273252,3.338186416364826,5.872241235317887,0
RWDD4,0,0,CD_1F_perox,PD,2.347857769469983,2.499131580101846,5.867605497269914,0
STAM2,0,0,CD_1F_perox,PD,2.798131404416402,2.0890713479436784,5.8454961447477105,0
C1GALT1C1,0,0,CD_1F_perox,PD,1.8050640746773976,3.227185631267991,5.8252768453169494,0
SPHK2,0,0,CD_1F_perox,PD,2.6927567408281257,2.1392158255533675,5.7603878343450345,0
OGFOD2,0,0,CD_1F_perox,PD,3.4303868721095214,1.6691014343650168,5.725663648664925,0
NHLRC3,0,0,CD_1F_perox,PD,3.298861624895069,1.7321221827551645,5.714031398320496,0
ACSM2A,0,0,CD_1F_perox,PD,1.752125375543502,3.2568352802447205,5.706383738482107,0
CLEC10A,0,0,CD_1F_perox,PD,2.2511751674242744,2.5249728222928844,5.6841561159669265,0
PHOSPHO2-KLHL23,0,0,CD_1F_perox,PD,1.908618373831103,2.9778761612765283,5.683629156406015,0
LANCL1,0,0,CD_1F_perox,PD,3.1810692904406133,1.785396435647435,5.679469772700186,0
FBXW4,0,0,CD_1F_perox,PD,2.8811402058833093,1.968050315855802,5.670228892213498,0
ARFGAP2,0,0,CD_1F_perox,PD,2.7119769503741815,2.087277839314427,5.660649389247551,0
ETFRF1,0,0,CD_1F_perox,PD,2.4427497058896614,2.3112162679684345,5.645722858827295,0
CIB1,0,0,CD_1F_perox,PD,2.0388934636106693,2.767226473105767,5.642079968345754,0
FAM8A1,0,0,CD_1F_perox,PD,3.6597535398567893,1.5068422272746667,5.51467117527415,0
GON7,0,0,CD_1F_perox,PD,2.1928713972123837,2.50086620984487,5.484077979823759,0
SH3GLB1,0,0,CD_1F_perox,PD,2.353776519167882,2.320396231083883,5.461694163890894,0
TCTA,0,0,CD_1F_perox,PD,3.413595638308116,1.586226108654132,5.414734525872201,0
DMGDH,0,0,CD_1F_perox,PD,1.6059757590660582,3.356692779117665,5.3907672338950485,0
OGFOD3,0,0,CD_1F_perox,PD,1.7837727613284053,2.993920548265162,5.340473923576801,0
WDR5B,0,0,CD_1F_perox,PD,3.372380213971834,1.579597735538846,5.327004149365918,0
ZNF639,0,0,CD_1F_perox,PD,2.7065935001531907,1.9647038334675095,5.317654625389218,0
GALNT2,0,0,CD_1F_perox,PD,1.585465201269699,3.3023125342976294,5.235701606845641,0
ACSF3,0,0,CD_1F_perox,PD,3.1479547965083854,1.6463991634160207,5.182790143442856,0
MEX3A,0,0,CD_1F_perox,PD,3.148090981533615,1.6443929943743654,5.1766987556869966,0
SLC35E3,0,0,CD_1F_perox,PD,3.1899647459124374,1.619196170644614,5.165178701072738,0
ATG4A,0,0,CD_1F_perox,PD,2.715590958755541,1.8842290642591426,5.116795411126541,0
COA5,0,0,CD_1F_perox,PD,3.1463738539786616,1.6016366100462158,5.039347553424431,0
