,z
UBE2Q1,1.1613986876025568
RNF14,2.6570182653146466
UBE2Q2,1.6448079399097384
TMCO1,2.7957324414586644
UBAC1,0.3417074477539053
RAB4A,2.0379852789721657
ZNF706,2.4284083465711133
MIB2,0.09176148797888214
RNF114,0.022625808106467513
RNF115,0.23175780951654945
RNF111,1.452411904595282
EEF1AKNMT,1.5053693479797905
UNKL,-0.057001640669609416
MMAB,-0.792510928272292
UBE4A,2.742653121125035
DDX41,1.6447472838962582
ATMIN,0.2350304497289798
TSG101,2.0884766649809783
FBXW11,0.38338111875330755
UBE2D4,3.1583630183919786
RPS27A,0.0806605145712868
UBE2D2,3.933323929445229
ATP6V1H,1.6416848604871825
UBE2D1,3.4564809070929567
MFSD11,-0.7712098678037728
CCT3,1.2757752846010448
LNX1,-1.076787191503443
MRFAP1L1,1.088241750825782
GTF2B,0.26096375075885037
FBXL13,0.16348954548512826
FBXL12,0.004706268604701627
FBXL15,2.159458124672688
FBXL14,0.1256604504492474
FBXL16,0.03733579959734756
FBXL19,-0.09183881624519749
FBXL18,-0.27483474628347565
CCDC51,0.2569644504181105
PPP1R11,0.8545922617267374
AKTIP,2.0337055577505962
RNF41,2.2687013736378647
ANAPC1,-0.31412097140851036
ANAPC2,0.011027353449060279
ANAPC5,-0.09220580252122608
ANAPC4,-0.05418621986562782
ANAPC7,2.3158267791288205
ZNRF1,0.20280616329065893
LRR1,-0.5053682266841195
ZNRF2,2.1572268996373163
FBXO30,1.5190086752168772
FBXO5,0.5582155087710732
FBXO32,-0.2805092047656892
EMC7,0.4341708092277834
KLHL25,0.15265534794462352
KLHL21,-0.0014537640442328944
KLHL20,0.05628861942613287
KLHL22,0.04990864056568579
MKRN1,1.18473519739925
SPSB2,0.27682779374920424
SPSB1,-0.24924683292087624
TRIM50,0.5231844818646058
SPSB4,0.2911109503967117
ARF1,-0.6355206379174524
CDC34,1.6327990313267353
AREL1,-0.14661533398887236
LONRF1,-0.11940100721299399
CIAO2B,0.22666921316669209
RNF25,1.2396155805531748
UBE2V1,0.8501466819465175
UBE2V2,1.363895240424378
RNF26,1.0822024954208607
PSMD8,0.12795092474811476
LMO7,-0.4370518632608847
MGRN1,-0.23680033744906095
DHX8,-1.0674694442546049
SPCS1,1.853331519564989
ITCH,1.2570827553594666
PSMD4,0.0032558791803226125
FLAD1,2.876070923792097
CBLL2,-0.7057397764393009
ARIH2,-0.1650103556752899
TRIP12,0.556509087853892
MEX3C,0.35526027446749187
E2F6,-0.28908396470713177
SNW1,-0.554757963672106
PRCC,-0.19305753303348014
C3AR1,2.1004675229146272
BTRC,-0.625525519095543
TRIM11,0.06467990523882243
HUWE1,-0.2025731956356832
UFC1,2.7696028328399835
LRRC41,0.11317616995210229
USP25,2.3288003890882396
MOAP1,0.09687899468867452
ASB2,-0.2607977858354271
ASB1,-0.26554226884925863
ASB6,-0.132952288033608
ASB7,-0.31528904226605725
ASB4,-0.9633286235945097
ASB5,-0.11424583408086124
ASB8,-0.1908401347002239
ASB9,-0.5350015120373592
PIP4K2C,-1.2125787877985403
ZMPSTE24,0.16385268161230773
MRPL34,0.4259888012778054
UBE2R2,0.6024628924680853
IMPA1,1.5855411526756278
RNF19B,-0.35579216596923374
RNF19A,0.2144759776542834
RFX5,-0.1373611079343058
TRAIP,-0.15702420759399124
UBA52,-0.049574545768329085
KAT7,-0.5711901377876331
EXOSC7,0.04661411965463411
ADAR,-0.5912872205175564
STK24,0.17014257380072023
GPR161,-1.3281653141090748
UBE2E1,3.1765715135239083
UBE2E3,3.974022070400804
UBE2E2,3.0591918181311417
DLGAP3,0.7211741648798848
JTB,2.233953202509182
TRIM9,-0.4579183157949943
FBXL20,-0.042788707261489874
TRIM4,1.022768955720634
FBXW12,-0.32291904156369144
PI4KB,-0.2536088953251066
RNPEP,0.05320522176292666
ELOB,-0.010493367717697964
FBXW8,0.1054038768212731
SKP2,-0.516986891168694
ZBTB16,-1.020536162616236
SKP1,0.8527654369460647
DEDD,1.9649494167420944
WDR26,0.9756933254559081
FBXW9,0.1879506867108511
FBXO21,0.03923119523971094
FBXO27,0.16669181712193248
HNRNPAB,-0.6360252759643112
DDX19B,1.8877103836148506
FBXO28,2.0949827261363434
FBXW4,2.8811402058833093
FBXW5,-0.12863242117547083
FBXW7,1.0823046085041879
KLHL11,0.25732604350439287
KLHL12,2.2261826933614737
LRSAM1,0.1847740764906564
SH3RF1,0.25092007009153083
CSTB,0.13153639105107728
GNB1,-1.5484235054078634
UBE2D3,3.4873074403620814
TRIM69,-0.14070248933691912
JOSD1,-0.7892155709387294
TRIM63,-0.32833769476409996
PIP5K1A,-1.0482851364786487
KEAP1,-0.16561109606610072
ATP6V0C,-0.2730235570881874
ERCC3,0.42137074171072664
RNF34,0.5060682096399657
TOR1A,0.004820293893199969
TOR1B,-0.22206382201559724
RLIM,0.12643323624567399
TMEM248,0.2666329618796271
MFSD5,2.410877485985146
PSME3,-0.35237376151172856
KBTBD13,0.30986503698019374
DDX23,-0.441337078132644
ERP44,-0.14274987715012816
ILF2,1.9612926662360335
ASB10,-0.1256296846511926
UBE2J1,1.5306256170035013
UBE2J2,0.053463268625504295
WWP1,1.246177453766595
BTBD1,0.1351372551013951
FBXO10,0.14608493089120891
FBXO17,-0.01603147607748318
FBXO15,0.10433938519835469
ASB13,-0.2775002539963774
CAPRIN1,2.478373552102232
PPP1R7,0.005659437514005471
CERS2,2.268449264937972
ASB17,-0.6183573377476411
EIF4ENIF1,-0.3053319164210758
CUL5,1.7813856173818428
CUL7,0.11120327548303628
CUL1,0.06751505954788743
CUL2,0.3619773160674296
CUL3,1.0029735318108568
TRIM27,-0.5478944203241334
TRIM21,-0.6564866020426862
IRF2BPL,0.3613090851269376
RNF138,2.163670677717218
TOR1AIP1,1.3352892072868994
DZIP3,0.05958806551336646
RBBP6,-0.36173052554760865
RNF182,0.2556363609248785
RBX1,0.4174323890186105
RNF217,0.4613387608166661
RNF213,-0.4763718924298902
SLBP,-0.12661252513689783
SMURF1,-0.6273025056794265
UBE2F-SCLY,1.427197375309371
SMURF2,-0.2610204231173875
CDC16,1.7557603771692778
UBAP2L,-0.17648104330007117
RNF130,1.3212267474539179
B4GALT1,1.6301673734045203
B4GALT3,0.4345803171997324
PJA2,1.3650656449874086
RIC8A,0.09282285577906221
HERC1,0.45765727570364084
HERC3,0.03407115448767267
HERC2,0.7011131178020782
HERC5,-0.34067529740408403
HERC4,1.4974744298867133
HERC6,-0.24645910678269364
MRPL9,-0.01778318694589763
UBE2I,1.3054402506583989
UBE2H,-0.3088941792948047
UBE2K,2.3868991035264315
UBE2M,1.111941204931613
UBE2O,-0.2483974171603262
UBE2N,3.344114999070825
UBE2A,0.5604647090780472
UBE2C,-0.42570056784867905
UBE2B,0.5894221947646441
UBE2F,0.05719298163313573
UBA5,2.038188010969604
RBCK1,-0.3928298398777195
UBE2S,-0.4967193646369474
UBE2U,-0.540724885564946
UBE2T,-0.31273814783386683
UBE2W,1.7494257393785115
DPF2,-0.40670290437052514
UBA1,1.4496369733961854
FBXO2,-0.1340023268908647
FBXO4,0.0972620858564657
FBXO6,-0.5739168650724903
FBXO7,-0.14697695475493713
FBXO9,1.7223375260798826
HACE1,0.9069519025338594
SRPRB,-0.24953478213178057
ASB11,-0.26749867265322724
FHL3,-1.100038411745127
FBXO44,0.07560561699233674
FBXO41,0.05819762264080297
FBXO40,-1.0186009781053327
NDUFA8,1.3285786025991675
DET1,4.146544014009572
TP53,-1.495830992171769
MAEA,-0.047959851052668874
TRIM71,0.46132005384437547
BIRC6,0.8101796537321407
PEX19,7.809286308583624
MAP2K1,-1.2661771713542114
ADPGK,0.6596534828977503
ANGEL2,3.652492389117988
RCHY1,1.283759129985087
LYPD3,2.5965096524907016
NSF,2.257715560861948
APEX1,0.4502514630220782
UBE2Z,-0.2796945601687536
MAD2L1BP,0.13122663828625913
POGK,0.45256302620799416
PPP1CA,-0.8503343968903673
MYLIP,-0.15765918741180054
M6PR,1.0152576705323832
HECTD2,0.5165306905602837
HECTD3,0.010008746440211894
ASB12,-0.4124908384874759
HECTD1,-0.2780299322479611
ASB14,-0.111775551802129
ASB15,-0.37993790593606747
ASB16,-0.16294378731012052
UBE2QL1,0.20153864379253242
ASB18,0.2903488640963044
DHX16,0.16247850484859033
AC022826.2,0.47475674332587064
STUB1,2.4681677820811236
ANAPC11,-0.2655461550336151
ANAPC10,1.9743589492089983
ANAPC13,2.4546119282513215
CSNK1D,-0.8944283409686121
UBR4,0.023970974322312027
WSB1,-0.37633989370832455
SCAMP3,1.0837791122392697
CHTOP,-0.2774800751889349
KLHL5,0.24078906649649723
KLHL2,-0.2451461113327348
KLHL3,0.18840646894232027
UBR2,0.2795679837481713
UBR1,1.7272714430933402
FBXO22,0.001048993768399639
KLHL9,0.42594349063174186
FBXL8,0.17529065900058072
SOCS1,-1.1274888858419998
SOCS3,-1.5771132744552407
FBXL3,0.06837800081136904
FZR1,-1.3893815482030936
FBXL5,1.1275482716335699
FBXL4,1.5251725123495115
FBXL7,-0.7095484547995397
SUPT4H1,0.09637097188722996
TMEM189-UBE2V1,1.4738756108181377
UBB,1.9940014413665077
UBC,2.0531919011606377
RNF6,1.9023321437169374
RNF7,0.12753864579651827
RNF4,-0.17983901485597753
TRIM39,0.32139083833248444
TRIM32,0.02526291923284844
TRIM37,1.4916995366416759
TRIM36,-0.543924464579368
UBE2L6,-0.6897831579369414
UBE2L3,3.479806789098243
KBTBD7,-0.18770989826067483
KBTBD6,0.0005142666703815506
UBE3B,0.07811998176698955
UBE3C,0.42052439591881047
UBE3A,0.527923488705826
CCNF,-0.5558088639282901
UBE3D,1.2460388881584106
KBTBD8,0.1637145522647053
NGRN,0.5148308520946372
HTR2C,-1.272182171426802
PCBP1,-0.33022961466266676
RNF220,0.4082948734971265
ECPAS,1.6519418692268584
ARPC5,0.14489235687023572
TRIM41,-0.3290985645310538
TAF7,0.9974791478794399
SLC25A44,-0.09803933971301325
CDC27,1.1553829622490497
CDC26,0.15027755255144384
CDC23,1.2868701470037092
CDC20,-0.7678958965803063
KLHL42,0.04042720072414836
KLHL41,-0.13665673933936726
HECW2,3.3752254855458457
RNF126,0.02148588350683928
BTBD6,0.19953369274477406
RNF123,2.1245834793266165
DTX3L,-0.36319666262839095
COP1,2.975687419833701
NEDD4,0.5815531542226126
PFDN2,1.2169613227012157
SIAH1,-0.2560368631339538
SIAH2,-0.38817896854283407
TCEAL1,0.3488890804663512
RNF144B,0.2910961399068127
PSMB4,1.79546489005068
KCTD6,0.2085086808894113
HAX1,1.1884365966572858
VHL,-0.6202345817431651
UBOX5,0.5967361152856463
LTN1,0.6283255800758955
UBE2G2,0.023125431598129333
UBE2G1,3.6942111789848773
