,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,2.2414385422846375e-05,2.556847399598902,1.3747557292278463,3.738939069969957,66,nervous system inclusion bodies,brain
MP:0010050,0.00192958582920672,3.2730438564757716,1.2042483698252258,5.341839343126317,11,hypermyelination,brain
MP:0000954,0.00192958582920672,3.2730438564757716,1.2042483698252258,5.341839343126317,11,decreased oligodendrocyte progenitor number,brain
MP:0014345,0.0031758951861766225,3.0906155590081816,1.0373521872530134,5.14387893076335,13,abnormal neuron mitochondrial morphology,brain
MP:0014325,0.003949687193312267,3.0105194767249355,0.9632613716719729,5.0577775817778985,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0013438,0.009434484687099029,2.6848301605006544,0.6577180891026222,4.7119422318986866,19,dysmyelination,brain
MP:0020448,0.01086376114106755,2.6307095475220974,0.6063698958763206,4.655049199167874,20,increased microglial cell activation,brain
MP:0009808,0.0176890723955695,2.439440715414954,0.42380459384652003,4.455076836983388,24,decreased oligodendrocyte number,brain
MP:0006092,0.02862780371010772,2.242463362815064,0.2342392621424727,4.2506874634876555,29,abnormal olfactory sensory neuron morphology,brain
MP:0011448,0.031119706612055823,2.20731862277354,0.20027273668421808,4.214364508862863,30,decreased dopaminergic neuron number,brain
MP:0003690,0.0340993621437292,1.5324092913747478,0.1149405800749852,2.9498780026745104,117,abnormal glial cell physiology,brain
MP:0010762,0.04203176922982764,2.077893181830733,0.07485125053832631,4.0809351131231395,34,abnormal microglial cell activation,brain
MP:0021105,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal ventral interneuron 3 morphology,brain
MP:0003247,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal glutaminergic neuron morphology,brain
MP:0003407,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal central nervous system regeneration,brain
MP:0004793,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal synaptic vesicle clustering,brain
MP:0014375,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0005192,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,increased motor neuron number,brain
MP:0011452,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0006277,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal parasympathetic nervous system physiology,brain
MP:0004562,0.08859174570358978,2.470546885224141,-0.37298960745976073,5.314083377908043,11,abnormal inner hair cell synaptic ribbon morphology,brain
