,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal synaptic bouton morphology:-log(OR_p),abnormal synaptic bouton morphology:log_OR,abnormal synaptic bouton morphology:num_genes,abnormal synaptic bouton morphology:gene_ids,abnormal olfactory sensory neuron morphology:-log(OR_p),abnormal olfactory sensory neuron morphology:log_OR,abnormal olfactory sensory neuron morphology:num_genes,abnormal olfactory sensory neuron morphology:gene_ids,ectopic neuron:-log(OR_p),ectopic neuron:log_OR,ectopic neuron:num_genes,ectopic neuron:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,decreased oligodendrocyte progenitor number:-log(OR_p),decreased oligodendrocyte progenitor number:log_OR,decreased oligodendrocyte progenitor number:num_genes,decreased oligodendrocyte progenitor number:gene_ids,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C181,3.6310116682262388,1.9184093449841146,4,ABCC1 APOE APP NR1H3,2.415801449192974,1.7271671398093762,3,APOE B2M CDH2,2.410605409346704,1.4898889644048907,4,APOE APP ARSA CNTF,2.327272643793516,2.084936356992035,2,B2M NLGN1,2.2631875356442714,2.0471423045618646,2,ATF5 LGALS1,2.0942796887563926,1.5776471557846055,3,CDH2 CTNNA2 SUN2,1.9980488087925479,1.324349875159367,4,APOE CD36 CNTF PLG,1.5868443205911331,2.342557564760834,1,CNTF,1.5868443205911331,2.342557564760834,1,CDH2,1.5614308069916418,1.604503339022635,2,BCL2 CNTF,CD_1G_mito-DLB systems map,3,1,0.016666666666666666,0.005555555555555556,0.0,0.9777777777777777
C197,3.259523322628966,3.7184915996462413,1,APOE,3.428218480913024,3.8328091823778374,1,APOE,6.378346617757218,4.163757353167037,2,APOE CNTF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.949106401136853,4.0013611081886555,2,APOE CNTF,6.279920276471531,5.593223284089137,1,CNTF,-0.0,0.0,0,,3.8871841850036493,4.132851586907375,1,CNTF,C197,0,1,0.0,0.125,0.0,0.875
C199,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C199,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C201,3.4339890611417556,3.872695619918904,1,APOE,3.605346944581899,3.9870131827415136,1,APOE,2.8463876833363466,3.4603536724399024,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.630836751274337,3.2994802476599556,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C201,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C182,0.721852418608657,1.3299810294876941,1,APP,0.810244152369201,1.444299991086833,1,CDH2,0.438460217834141,0.9176324736560186,1,APP,1.508596420161514,2.2105638456954466,1,NLGN1,-0.0,0.0,0,,2.2646823896422217,2.0210524243108168,2,CDH2 CTNNA2,-0.0,0.0,0,,-0.0,0.0,0,,2.6222753568509622,3.204723520180681,1,CDH2,-0.0,0.0,0,,proton motive force-driven mitochondrial ATP synthesis,1,0,0.012987012987012988,0.0,0.0,0.987012987012987
C183,-0.0,0.0,0,,1.1917972785233522,1.8846569996069693,1,B2M,2.368512327877385,2.082069100367752,2,ARSA CNTF,2.0025300365544227,2.650918464244029,1,B2M,5.177206948778666,3.3646849320067105,2,ATF5 LGALS1,-0.0,0.0,0,,2.07849275655273,1.9196708104077764,2,CD36 CNTF,3.24101275183572,3.645076831455544,1,CNTF,-0.0,0.0,0,,4.123828694088733,2.9220515605394324,2,BCL2 CNTF,C183,1,0,0.02,0.0,0.0,0.98
C185,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9279754491974562,1.5932871071356054,1,PLG,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Cholesterol metabolism,1,0,0.029411764705882353,0.0,0.0,0.9705882352941176
C208,-0.0,0.0,0,,4.020351119504806,4.392584923394032,1,CDH2,-0.0,0.0,0,,5.264765937878809,5.1588424200226655,1,NLGN1,-0.0,0.0,0,,7.902600915858843,5.243775846508361,2,CDH2 CTNNA2,-0.0,0.0,0,,-0.0,0.0,0,,6.925709235282623,6.152998616790501,1,CDH2,-0.0,0.0,0,,C208,1,0,0.2,0.0,0.0,0.8
C190,-0.0,0.0,0,,-0.0,0.0,0,,2.1848044058193246,2.853950667799193,1,ARSA,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C190,1,0,0.08333333333333333,0.0,0.0,0.9166666666666666
C200,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C200,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
