,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ZNF181,0,0,CD_1G_mito,FTLD,3.6017944690698713,6.806708549148706,24.516365204894417,0
CHMP2B,0,1,CD_1G_mito,FTLD,1.8968084242999845,11.772613596612143,22.33039264608245,1
REEP6,0,0,CD_1G_mito,FTLD,4.182966287817596,3.9016528609946746,16.320482384307798,0
COA3,0,0,CD_1G_mito,FTLD,4.381214748041026,3.390095695786204,14.85273725964892,0
COX19,0,0,CD_1G_mito,FTLD,2.8149357555710504,4.549365042828626,12.806170324203322,0
CHCHD6,0,0,CD_1G_mito,FTLD,2.2991729870431517,5.336902199946592,12.270461372608374,0
GPD2,0,0,CD_1G_mito,FTLD,3.1459071759687935,3.776230044494154,11.879669195083116,0
EDEM2,0,0,CD_1G_mito,FTLD,2.7720713370780032,3.9899001688353986,11.060287895831294,0
SLC22A3,0,0,CD_1G_mito,FTLD,5.646455761461046,1.953099319482156,11.028088905195668,0
IRAK1BP1,0,0,CD_1G_mito,FTLD,2.14561312542531,5.106142822751423,10.955807060791695,0
CTNNA2,0,0,CD_1G_mito,FTLD,5.324373800174387,1.9028117984592574,10.131281286379176,0
EEF2,0,0,CD_1G_mito,FTLD,2.796514723525588,3.480531188415494,9.733356714093942,0
DPH1,0,0,CD_1G_mito,FTLD,4.71932156039408,2.0513790732332873,9.68111748885108,0
SEC11A,0,0,CD_1G_mito,FTLD,2.649987051525934,3.563232306844246,9.442519474716136,0
ATP5MD,0,0,CD_1G_mito,FTLD,3.6036498730478113,2.618331242521762,9.435549049710666,0
ERAL1,0,0,CD_1G_mito,FTLD,2.6756054637633335,3.4684574288758974,9.280223647530875,0
RIMS1,0,0,CD_1G_mito,FTLD,2.3625184402778423,3.6888039001894954,8.714867236766509,0
YME1L1,0,0,CD_1G_mito,FTLD,3.2591856935610344,2.647920169426698,8.630063533887204,0
SMIM11A,0,0,CD_1G_mito,FTLD,1.7199372295568962,4.953231182802181,8.519246717903611,0
ALDH18A1,0,0,CD_1G_mito,FTLD,2.2083084517006193,3.815249543193584,8.425247811581318,0
OTC,0,0,CD_1G_mito,FTLD,2.5760051371361694,3.246562623661971,8.363161996587518,0
KRTAP9-7,0,0,CD_1G_mito,FTLD,1.6319951931803496,4.993250320989885,8.14896052220173,0
MCM7,0,0,CD_1G_mito,FTLD,1.6319951931803351,4.99325032098979,8.148960522201502,0
CHCHD4,0,0,CD_1G_mito,FTLD,3.6608955811929866,2.207768172515077,8.082408747058961,0
MOB1B,0,0,CD_1G_mito,FTLD,4.232228929801833,1.8906748222211671,8.001768679452361,0
GK3P,0,0,CD_1G_mito,FTLD,2.7344808559571905,2.9201978325506057,7.9852250687173125,0
DNAJA3,0,0,CD_1G_mito,FTLD,2.2499827300324844,3.5042439809384303,7.884488438931751,0
EPB41L3,0,0,CD_1G_mito,FTLD,2.6454063748771968,2.973219789802836,7.865374585855461,0
BCS1L,0,0,CD_1G_mito,FTLD,1.9221469865846332,4.077412929390292,7.837386975288771,0
PPARGC1B,0,0,CD_1G_mito,FTLD,4.294655214196833,1.7336303652435645,7.445344687583235,0
C9orf163,0,0,CD_1G_mito,FTLD,2.432462425661686,3.047906124010644,7.413917123600039,0
NDUFA5,0,0,CD_1G_mito,FTLD,3.175258572666303,2.3148920228615766,7.3503807403880606,0
HSPA6,0,0,CD_1G_mito,FTLD,2.397705253619626,3.040084000790362,7.289225380140022,0
RNASEH1P1,0,0,CD_1G_mito,FTLD,3.337205215286573,2.1656630824273138,7.227262133230027,0
HLA-B,0,0,CD_1G_mito,FTLD,2.9408178559255624,2.432417787301123,7.153297661966089,0
RIMBP2,0,0,CD_1G_mito,FTLD,3.563330922010831,2.0074355821403262,7.153157283785438,0
ATP5F1A,0,0,CD_1G_mito,FTLD,3.5541540939337035,1.9569708334353042,6.955375899362938,0
RFX5,0,0,CD_1G_mito,FTLD,3.600781765871485,1.8961637022372158,6.827671684123135,0
IMMT,0,0,CD_1G_mito,FTLD,3.741149392819096,1.7895161372708424,6.694847210390786,0
LMBRD1,0,0,CD_1G_mito,FTLD,3.1999494975761182,2.0761065967967736,6.6434362613343,0
FKBP15,0,0,CD_1G_mito,FTLD,2.5974857554972663,2.544579801130201,6.609509787161764,0
TRAFD1,0,0,CD_1G_mito,FTLD,2.793221056726729,2.35997307860029,6.591926496454533,0
RICTOR,0,0,CD_1G_mito,FTLD,1.9724936433475002,3.2963290838440367,6.501988164263851,0
LOC102724985,0,0,CD_1G_mito,FTLD,1.7597672643860889,3.664279315122012,6.448278786318794,0
B2M,0,0,CD_1G_mito,FTLD,2.6511321108817856,2.3858974300951377,6.325329290195549,0
IFI6,0,0,CD_1G_mito,FTLD,2.6515608255181817,2.368259175739377,6.2795832550645105,0
IFI27L1,0,0,CD_1G_mito,FTLD,2.6515608255181693,2.368259175739339,6.279583255064382,0
COX6C,0,0,CD_1G_mito,FTLD,3.417684484604722,1.808858781438916,6.182108592164788,0
CHMP7,0,0,CD_1G_mito,FTLD,3.8234359758372074,1.6145241899973626,6.173029871895343,0
PLIN2,0,0,CD_1G_mito,FTLD,3.3095938990582225,1.8381870555989341,6.08365266453803,0
AC026464.4,0,0,CD_1G_mito,FTLD,1.9353681044382511,3.1199305689213284,6.038214111152226,0
HSPA1L,0,0,CD_1G_mito,FTLD,2.086523577283392,2.887994759008873,6.025869155742881,0
CGGBP1,0,0,CD_1G_mito,FTLD,4.000056260712067,1.5006433699087787,6.002657906899664,0
HLA-DRB5,0,0,CD_1G_mito,FTLD,2.022163333173483,2.961675030948072,5.988990652358632,0
TRIM14,0,0,CD_1G_mito,FTLD,2.580358699343605,2.318950166653638,5.983723235869018,0
HLA-C,0,0,CD_1G_mito,FTLD,3.224680195185306,1.834272771771024,5.914943079697678,0
HSPA1A,0,0,CD_1G_mito,FTLD,2.1526167322599807,2.7421882473494397,5.902880304251075,0
KIR2DS4,0,0,CD_1G_mito,FTLD,2.582986947933929,2.2561833622027194,5.8276921767153125,0
SPOPL,0,0,CD_1G_mito,FTLD,1.9631652400928183,2.958189445462855,5.807414692942127,0
COX6A1,0,0,CD_1G_mito,FTLD,3.650838558402198,1.5828088336134558,5.778579520335613,0
TRAC,0,0,CD_1G_mito,FTLD,1.7454679553734067,3.2955352955376767,5.752251254163044,0
SPAST,0,0,CD_1G_mito,FTLD,1.6323530084087685,3.497000413559378,5.708339145480359,0
UBXN8,0,0,CD_1G_mito,FTLD,2.4270798015979635,2.3508922434083153,5.7058030797096455,0
PRLR,0,0,CD_1G_mito,FTLD,2.2958991313679604,2.4713268922915193,5.67391726533838,0
HSPA2,0,0,CD_1G_mito,FTLD,2.1499797724894543,2.6112780529651114,5.614194994220635,0
TUT7,0,0,CD_1G_mito,FTLD,2.624334314229277,2.128854312312908,5.586825421797735,0
PITRM1,0,0,CD_1G_mito,FTLD,1.7331097260443327,3.2214752949035717,5.583170165808915,0
MICB,0,0,CD_1G_mito,FTLD,2.9882022481813046,1.866741145577392,5.5782000879869065,0
UQCRC2,0,0,CD_1G_mito,FTLD,3.301444185562435,1.681505654631683,5.5513970664741255,0
TOM1,0,0,CD_1G_mito,FTLD,2.351044620516772,2.3332830291387894,5.485652513799829,0
COA4,0,0,CD_1G_mito,FTLD,2.644338857474994,2.0385238168867605,5.3905477408819005,0
MRPS12,0,0,CD_1G_mito,FTLD,1.8591410634946088,2.8975050584851507,5.386870635913092,0
PRRC2A,0,0,CD_1G_mito,FTLD,2.5033756561316993,2.1307360526220456,5.334032763776181,0
RAB31,0,0,CD_1G_mito,FTLD,1.9366425401253982,2.7501223852928565,5.3260040019092765,0
RNASEH2A,0,0,CD_1G_mito,FTLD,1.6643929705704266,3.1682200777020086,5.273163226547314,0
SLC25A6,0,0,CD_1G_mito,FTLD,3.0306640278080472,1.7114000941844452,5.1866787026321015,0
OXA1L,0,0,CD_1G_mito,FTLD,3.233621415672593,1.593943589896173,5.154210127662318,0
NXPE3,0,0,CD_1G_mito,FTLD,1.5317676025464466,3.345453132401567,5.1244567240502485,0
BST2,0,0,CD_1G_mito,FTLD,2.09095485066329,2.4505253532440774,5.1239378740390755,0
COX4I1,0,0,CD_1G_mito,FTLD,3.2439072123886494,1.5728455100054448,5.102164893879766,0
TUBA3C,0,0,CD_1G_mito,FTLD,1.8753425417364178,2.688426478200723,5.041720544900429,0
SAR1B,0,0,CD_1G_mito,FTLD,2.422680149350242,2.065215889354479,5.003357539261803,0
ISM2,0,0,CD_1G_mito,FTLD,2.5956520655839412,1.9078083837667343,4.952006772062484,0
APOBEC3A,0,0,CD_1G_mito,FTLD,3.2612861636564947,1.5183702376559336,4.95183984737512,0
GSDMD,0,0,CD_1G_mito,FTLD,2.174700807448094,2.2484604028867934,4.889728653672976,0
DHX58,0,0,CD_1G_mito,FTLD,3.0979621803793944,1.5752544355088378,4.880078665681271,0
CDA,0,0,CD_1G_mito,FTLD,2.7511127730695213,1.7714966077754601,4.873586945100397,0
DRAM1,0,0,CD_1G_mito,FTLD,2.2074264420600693,2.1785793468205172,4.809053656297564,0
NINJ1,0,0,CD_1G_mito,FTLD,2.2711298828222235,2.1085950486510274,4.788893225762329,0
SLITRK1,0,0,CD_1G_mito,FTLD,1.7367523263724325,2.733600788211034,4.747587528299028,0
KATNAL2,0,0,CD_1G_mito,FTLD,1.8284556923775448,2.5942537859606167,4.743478102411687,0
COX7A2,0,0,CD_1G_mito,FTLD,2.9985377379237,1.558784636432392,4.674074557638202,0
IFI35,0,0,CD_1G_mito,FTLD,2.044238291440795,2.2781513118239065,4.657084145326508,0
AC011448.1,0,0,CD_1G_mito,FTLD,2.2824024077802716,2.0344533967605987,4.643441331283142,0
IFI44L,0,0,CD_1G_mito,FTLD,2.2645114715756978,2.0410100243707605,4.621890613788581,0
RTP4,0,0,CD_1G_mito,FTLD,2.680157194669089,1.7235761089434478,4.619454908944536,0
IFI44,0,0,CD_1G_mito,FTLD,2.451793740622689,1.8820716256118957,4.614451431078814,0
MYO1F,0,0,CD_1G_mito,FTLD,2.3114953538296357,1.9790851725325065,4.574646181142012,0
HSPA12B,0,0,CD_1G_mito,FTLD,2.137062721684793,2.1263434019648346,4.544129217839472,0
IL15RA,0,0,CD_1G_mito,FTLD,1.9951186517564092,2.2542736645678816,4.497543434342652,0
SECTM1,0,0,CD_1G_mito,FTLD,2.1043010732638296,2.100743888465329,4.420597619150023,0
TUBB2B,0,0,CD_1G_mito,FTLD,1.9351413836891782,2.279086430254598,4.410354468190112,0
TREX1,0,0,CD_1G_mito,FTLD,2.5984147754279547,1.6784805570096386,4.361388679602388,0
NDUFA13,0,0,CD_1G_mito,FTLD,2.8476625457123856,1.5143584120410196,4.312381730753696,0
SLC22A20P,0,0,CD_1G_mito,FTLD,2.84766254571236,1.514358412041009,4.312381730753627,0
PTPRC,0,0,CD_1G_mito,FTLD,1.721478607028107,2.4724451578274507,4.256261446250188,0
NOTCH3,0,0,CD_1G_mito,FTLD,2.0692279803776668,2.05534528391169,4.252977970807349,0
PSMB8,0,0,CD_1G_mito,FTLD,1.775766839319353,2.3774093913370526,4.221724760622745,0
RSAD2,0,0,CD_1G_mito,FTLD,2.2006694415399717,1.91601856788335,4.216523511764068,0
XAF1,0,0,CD_1G_mito,FTLD,2.458627845183544,1.6905604876119427,4.156459088809792,0
PILRA,0,0,CD_1G_mito,FTLD,1.9927082175698874,2.0415566814343977,4.068226775729033,0
BABAM2,0,0,CD_1G_mito,FTLD,2.4676429104341593,1.6480446315311519,4.066785651076923,0
ELF4,0,0,CD_1G_mito,FTLD,2.4320485879834535,1.6522014167498182,4.018234122670656,0
HLA-DQB1,0,0,CD_1G_mito,FTLD,1.524955590584813,2.6184937534305965,3.993086688205399,0
GMIP,0,0,CD_1G_mito,FTLD,2.441758031764152,1.6155892275929622,3.9448779725067578,0
TNFAIP8L2,0,0,CD_1G_mito,FTLD,2.5197981449755456,1.5643773190659285,3.941915066624144,0
HSPA8,0,0,CD_1G_mito,FTLD,1.5297035736731166,2.5629025425632554,3.9204811783349287,0
TMEM129,0,0,CD_1G_mito,FTLD,1.8864554460108787,2.0651426837981606,3.8957996626405618,0
CTSC,0,0,CD_1G_mito,FTLD,1.5599745422136826,2.4721196929572495,3.856443786318415,0
COX6B1,0,0,CD_1G_mito,FTLD,2.5101998200627564,1.5307645047918532,3.8425247844869643,0
ISG20,0,0,CD_1G_mito,FTLD,2.460045520268825,1.5583660956749523,3.8336515326039855,0
HLA-DMA,0,0,CD_1G_mito,FTLD,1.5676834783666571,2.434041039248834,3.8158059228968053,0
NUCB1,0,0,CD_1G_mito,FTLD,1.9232473869173414,1.9709119661888754,3.790551288816874,0
AL359922.1,0,0,CD_1G_mito,FTLD,2.4387853457537148,1.540153657144658,3.756104169253383,0
UPP1,0,0,CD_1G_mito,FTLD,2.438785345753729,1.5401536571446404,3.756104169253362,0
PARP12,0,0,CD_1G_mito,FTLD,1.8391544696117528,2.0386371332518283,3.7493685955365903,0
MX1,0,0,CD_1G_mito,FTLD,1.9844313380978567,1.874396936199641,3.7196120202291767,0
HLA-DMB,0,0,CD_1G_mito,FTLD,1.54526610042493,2.3952230017585285,3.7012569075754964,0
IFIT3,0,0,CD_1G_mito,FTLD,1.9408020718836887,1.8943071020620494,3.676475148466012,0
TAPBP,0,0,CD_1G_mito,FTLD,1.5786628657128028,2.312237340938448,3.650243226854041,0
ISG15,0,0,CD_1G_mito,FTLD,1.5943516931749755,2.2618957242591065,3.6062572777577437,0
C19orf66,0,0,CD_1G_mito,FTLD,2.2350633096599406,1.5881755847141397,3.5496729786922963,0
IRF7,0,0,CD_1G_mito,FTLD,1.68262098856219,2.0820811664902927,3.503353470626614,0
MFN2,0,0,CD_1G_mito,FTLD,1.5505383846521688,2.2317352070970005,3.4603911029835563,0
