,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SQSTM1,0,1,CD_1H_other_IEMs,ALS,1.5488541615768638,14.693971666016266,22.758819165001817,1
SPTLC2,0,1,CD_1H_other_IEMs,ALS,1.9168808067892196,10.610771627335001,20.33958447766208,1
C3orf33,0,0,CD_1H_other_IEMs,ALS,4.70887948145667,3.8372856813012004,18.0693158091667,0
SLC25A35,0,0,CD_1H_other_IEMs,ALS,6.862166585292259,2.626236192905608,18.021670248042017,0
CMAS,0,0,CD_1H_other_IEMs,ALS,4.648600317690188,3.195892858246507,14.856428556148515,0
MYO1H,0,0,CD_1H_other_IEMs,ALS,3.7776399200132293,3.5529095564983897,13.421612972824814,0
ST8SIA3,0,0,CD_1H_other_IEMs,ALS,5.336059090204398,2.5022100824213114,13.351940855905335,0
TUBG2,0,0,CD_1H_other_IEMs,ALS,5.6588810064397395,2.333056719421441,13.2024903564806,0
IL21R,0,0,CD_1H_other_IEMs,ALS,4.163072240750653,2.6521780880929824,11.041208976067034,0
B4GALT6,0,0,CD_1H_other_IEMs,ALS,4.39825115349471,2.458322056621495,10.812317821196979,0
BEX4,0,0,CD_1H_other_IEMs,ALS,5.50830837425195,1.8787097728104323,10.348512774360682,0
SLC35A1,0,0,CD_1H_other_IEMs,ALS,3.0848387461206146,3.2709989455977166,10.090504285899513,0
ALDH4A1,0,0,CD_1H_other_IEMs,ALS,3.1293351363174757,2.6455713933127463,8.278879516729956,0
EPHA6,0,0,CD_1H_other_IEMs,ALS,3.1466823504308747,2.6056562256917024,8.199172456674408,0
ARCN1,0,0,CD_1H_other_IEMs,ALS,1.755254871826833,4.61250058839895,8.09611412909139,0
SLC5A6,0,0,CD_1H_other_IEMs,ALS,1.6497611490164548,4.907052838802699,8.095465129627597,0
ADRB2,0,0,CD_1H_other_IEMs,ALS,1.5093324740057437,5.173733951994454,7.808884665611303,0
SLC47A2,0,0,CD_1H_other_IEMs,ALS,3.709919974101719,2.1047503066753652,7.808455203231656,0
CYLD,0,0,CD_1H_other_IEMs,ALS,3.4231650111282153,2.270248063704757,7.771433738255704,0
SGCG,0,0,CD_1H_other_IEMs,ALS,3.3643876830420374,2.2640269647292834,7.61706443421025,0
NKX6-2,0,0,CD_1H_other_IEMs,ALS,2.1577834692064224,3.4877497403771383,7.52580873451478,0
SDF2,0,0,CD_1H_other_IEMs,ALS,2.0020616683221544,3.5903573843152614,7.1881168947149785,0
AADAT,0,0,CD_1H_other_IEMs,ALS,2.7641830204108597,2.584017291219295,7.142696720836439,0
ALG10,0,0,CD_1H_other_IEMs,ALS,4.386830499156779,1.5319633878825079,6.7204637135545315,0
PRXL2A,0,0,CD_1H_other_IEMs,ALS,1.5595094361549682,4.223867799470364,6.5871616903451535,0
OXCT1,0,0,CD_1H_other_IEMs,ALS,2.604823411172929,2.483182735411927,6.468252523421421,0
PHYKPL,0,0,CD_1H_other_IEMs,ALS,2.655299182064673,2.4205946758564845,6.427403062911825,0
SYNE2,0,0,CD_1H_other_IEMs,ALS,3.249837164772417,1.964082812018424,6.38294931718819,0
AACS,0,0,CD_1H_other_IEMs,ALS,3.5933542909450313,1.6526471085223438,5.938546578826663,0
ALG2,0,0,CD_1H_other_IEMs,ALS,2.5274020523444904,2.3454969331136892,5.928013762519246,0
KYAT3,0,0,CD_1H_other_IEMs,ALS,2.5341449424885494,2.2772131594443596,5.7707882109742945,0
HIGD1A,0,0,CD_1H_other_IEMs,ALS,1.8569182339127637,3.0932058778710854,5.743830395864956,0
ISOC1,0,0,CD_1H_other_IEMs,ALS,2.0649030785416707,2.68213361320808,5.538345954973459,0
PITRM1,0,0,CD_1H_other_IEMs,ALS,2.823454136801387,1.930460088489155,5.450565522774676,0
TLR1,0,0,CD_1H_other_IEMs,ALS,3.390407562336177,1.5717346729506696,5.328821121157928,0
CNDP1,0,0,CD_1H_other_IEMs,ALS,3.1537226838722283,1.6529748757371634,5.21302436148317,0
APOOL,0,0,CD_1H_other_IEMs,ALS,3.038018878364862,1.6971932209004343,5.156105045328385,0
MCCC1,0,0,CD_1H_other_IEMs,ALS,3.002140434186518,1.6626946434206031,4.9916428187183275,0
DUSP3,0,0,CD_1H_other_IEMs,ALS,2.8457971977836864,1.7494576124742527,4.978601571220567,0
GOT2,0,0,CD_1H_other_IEMs,ALS,2.1655262643639057,2.2572817936204093,4.888203010155461,0
SUSD2,0,0,CD_1H_other_IEMs,ALS,1.9744194225029525,2.4158175476618,4.76983708732691,0
LDHC,0,0,CD_1H_other_IEMs,ALS,1.949077684004258,2.366588276900582,4.612664397733014,0
CASP1,0,0,CD_1H_other_IEMs,ALS,2.717052649450442,1.6896149187856606,4.590772691637572,0
SGPL1,0,0,CD_1H_other_IEMs,ALS,1.9137600429096724,2.369119292740175,4.5339258393325705,0
NPIPB15,0,0,CD_1H_other_IEMs,ALS,2.9536875701672907,1.503716930297315,4.441510006069294,0
IMMT,0,0,CD_1H_other_IEMs,ALS,1.9161675361127704,2.2983514790473065,4.404026490727219,0
SPTLC3,0,0,CD_1H_other_IEMs,ALS,2.0385701997389454,2.09901843992373,4.278996440331047,0
BLCAP,0,0,CD_1H_other_IEMs,ALS,2.3564022148184938,1.8031900864117538,4.249041113359408,0
TMEM246,0,0,CD_1H_other_IEMs,ALS,1.539844058344272,2.7468579425833117,4.2297328820026845,0
FAM217B,0,0,CD_1H_other_IEMs,ALS,2.075249602256297,1.9890302732368677,4.127734283410543,0
NDUFV1,0,0,CD_1H_other_IEMs,ALS,1.7531761421904721,2.3526814110947054,4.124664920106252,0
UQCRFS1,0,0,CD_1H_other_IEMs,ALS,1.679632280494321,2.427245722150011,4.076880267614908,0
CIAO2A,0,0,CD_1H_other_IEMs,ALS,2.1922828909180354,1.7840812225271867,3.9112107401544836,0
KYAT1,0,0,CD_1H_other_IEMs,ALS,2.2246171132002748,1.757496580915794,3.909756970296247,0
COA6,0,0,CD_1H_other_IEMs,ALS,2.001125964306744,1.919590389112744,3.841342168487197,0
