,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,9.285642860980076e-11,3.114586202437583,2.172267721296371,4.056904683578796,66,nervous system inclusion bodies,brain
MP:0011448,7.531582700950015e-05,2.935557123144756,1.4822042275486362,4.388910018740876,30,decreased dopaminergic neuron number,brain
MP:0003243,0.0012743769832548894,2.354562660255759,0.9221279849074582,3.7869973356040596,52,abnormal dopaminergic neuron morphology,brain
MP:0003691,0.003312539181592202,2.1388092603931224,0.7115744976738902,3.5660440231123545,64,abnormal microglial cell physiology,brain
MP:0014345,0.003313619543688637,3.076575942423732,1.0234955675590736,5.12965631728839,13,abnormal neuron mitochondrial morphology,brain
MP:0001038,0.0050310926353957855,2.922318504829745,0.8804058242975747,4.964231185361915,15,abnormal cholinergic neuron morphology,brain
MP:0014385,0.006054984966578006,2.8532722501851673,0.8158437864558539,4.89070071391448,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0003244,0.00844209086167408,2.728002332365863,0.6979812295389434,4.758023435192783,18,loss of dopaminergic neurons,brain
MP:0020448,0.011286854321635923,2.616669910988251,0.5925158711245522,4.640823950851949,20,increased microglial cell activation,brain
MP:0008947,0.011987118579024677,1.822060696822282,0.40071135860803087,3.2434100350365336,87,increased neuron number,brain
MP:0014380,0.018342568393020554,2.4254010674747564,0.4099513592341095,4.440850775715403,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0000136,0.01966057635121264,1.6893577500872077,0.2699765085743755,3.10873899160004,99,abnormal microglial cell morphology,brain
MP:0003690,0.03576307113496128,1.5181709867195572,0.10097494197532542,2.935367031463789,117,abnormal glial cell physiology,brain
MP:0008946,0.04196291887050147,0.9467606859074529,0.03441098160878242,1.8591103902061232,525,abnormal neuron number,brain
MP:0010762,0.043418991728962436,2.063853505353322,0.06099915957497881,4.066707851131665,34,abnormal microglial cell activation,brain
MP:0003648,0.046454415195816175,2.0339471048455717,0.03194765897079055,4.035946550720353,35,abnormal radial glial cell morphology,brain
MP:0009967,0.049646793809336655,1.4182717678910972,0.0021896800103990977,2.8343538557717953,129,abnormal neuron proliferation,brain
