Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C101,ST3GAL6 MUCL1 EPHB4 GALNT2 TNN HADH POMGNT1 ROS1 MUC21 B4GALT5 LARGE2 MAP3K5 EPHA1 GALNT6 ADRB2 CD200 B4GALT3 SLC35D2 RXYLT1 MUC13 B4GAT1 MUC3A EPHA5 EPHA2 MTUS2 GCNT2 GYG2 HCRTR1 ZNF630 MUC19 DPM2 PCDHGA5 DUSP9 FLT4 EPHA8 EPHA4 B4GALT6 MUC16 ACTR1A CHRM5 TUBB2B EPHA3 DDR1 TCP11X2 BCAT1 GALNT4 GHSR SLC25A22 CRELD2 HEATR9 PTP4A3 MUC17 MAEA EDNRB CRIPT DST SGCG GOLGA2P11 EPHA7 GCNT1 WEE1 ARCN1 EPHB3 ATP2A2 POMT1 MUC20 GXYLT2 LPAR4 AC139530.2 MUC12 EDIL3 MATK TMEM128 MYCBP2 MAPK9 TUBG2 MUC7 GYG1 MUC15 EPHB2 FUT4 PIGH COPG2 UST EVL MUC3B EPHB1 HEMK1 ABL2,O-linked glycosylation of mucins,1.813323806402586e-20,0.25806451612903225,16.0,0,3,3,0.0,0.033707865168539325,0.0,0.9662921348314607
C102,ZNF630 PTP4A3 PCDHGA5 DUSP9 EPHB4 TNN FLT4 EPHA8 EDIL3 MATK MAEA EPHA4 ROS1 MYCBP2 MAPK9 DST ACTR1A TUBG2 MAP3K5 TUBB2B EPHA7 EPHB2 EPHA1 EPHA3 WEE1 DDR1 TCP11X2 ARCN1 EPHB3 ATP2A2 ADRB2 COPG2 UST EPHB1 ABL2 EPHA5 EPHA2,transmembrane receptor protein tyrosine kinase activity,3.819450617964192e-25,0.2222222222222222,14.0,0,1,1,0.0,0.02702702702702703,0.0,0.972972972972973
C103,GCNT2 CRELD2 MUC19 ST3GAL6 DPM2 MUCL1 MUC17 MUC12 GALNT2 POMGNT1 B4GALT6 TMEM128 MUC21 MUC16 B4GALT5 MUC7 MUC15 PIGH FUT4 GCNT1 GALNT6 CD200 POMT1 B4GALT3 GALNT4 RXYLT1 MUC20 EVL MUC13 MUC3B B4GAT1 MUC3A,O-linked glycosylation of mucins,2.541565132151674e-29,0.25806451612903225,16.0,0,2,2,0.0,0.0625,0.0,0.9375
C104,GCNT2 ST3GAL6 DPM2 PCDHGA5 HADH MATK MAEA POMGNT1 B4GALT6 TMEM128 CRIPT B4GALT5 MAPK9 SGCG PIGH GCNT1 FUT4 CD200 POMT1 B4GALT3 BCAT1 RXYLT1 EVL B4GAT1,glycolipid biosynthetic process,1.5784080279234013e-08,0.07792207792207792,6.0,0,2,2,0.0,0.08333333333333333,0.0,0.9166666666666666
C106,COPG2 TCP11X2 PTP4A3 TUBB2B EPHA7 ABL2 ACTR1A ARCN1 TUBG2 ADRB2 ATP2A2,C106,,,,0,1,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C111,POMGNT1 GCNT2 TMEM128 RXYLT1 DPM2 PIGH GCNT1,protein O-linked glycosylation,6.068443612214062e-07,0.04,4.0,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C112,POMGNT1 BCAT1 SGCG TMEM128 RXYLT1 MAPK9 HADH,C112,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C109,COPG2 TCP11X2 TUBB2B EPHA7 ABL2 ACTR1A ARCN1 TUBG2,C109,,,,0,1,1,0.0,0.125,0.0,0.875
C118,TCP11X2 ACTR1A TUBG2 TUBB2B,C118,,,,0,1,1,0.0,0.25,0.0,0.75
C117,TMEM128 RXYLT1 DPM2 PIGH GCNT1,C117,,,,0,1,1,0.0,0.2,0.0,0.8
