Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C169,EFNA3 SYT4 GIMAP8 TREM2 IFIT3 CTSA TRANK1 NTRK2 SELL BMX SLAMF8 LRRC25 GLYCAM1 TREX1 AARS2 STAT1 NFKBID SECTM1 KANSL3 ABCA2 EIF2S2 MS4A4A IRF5 P2RX4 STAT6 CSF1R TMEM176B MVP TERF2 TIMD4 GPC3 IL18 MYD88 CTSD C11orf68 GFAP JPH1 IFI27 ENTPD1 NDUFAF7 MR1 SLC25A28 IL32 APOL3 GSDMD TNFSF10 RPP38 EVI2A MX2 DGKA TFEC ATP5F1B CFLAR IRF7 CCL8 ZFP36L1 SYT1 BRCA2 RABEP2 CARS2 IFI44L MKNK1 ATP8B4 GYPB PYGL FOXI2 HLX CYBA ISG20 CXCL10 IFI30 IFIT1 PTPN18 HLA-DQB1 CD74 NDUFV3 HAX1 MYO1F OSBPL11 IRF9 NEFL NDUFA11 GRHPR CORO1A IRF3 LRMP PDSS1 MS4A2 NAGA HPSE TNFRSF14 IRF8 HLA-DRB5 SLC31A2 GAA CD1C PLD4 HHEX HLA-DQA1 MTX1 SH2B3 MARCH1 PLAAT4 SIGLEC10 PIWIL4 POT1 C2orf74 HIBADH HVCN1 CHEK1 TRIML2 SEMA4D GPR183 SLFN11 HLA-DPA1 EFNB2 CTSH OAS2 SLC15A3 TNFSF13 DYSF GAS7 LY75 TOMM40 LAIR1 SKAP1 NME7 AHNAK GIMAP1 TLR7 FRAT1 MAN2B1 STK10 GMFG ENPP2 SLC39A10 WDFY4 POLR3D HIST1H4I MRPL16 LGALS9 KIAA0408 TMEM176A TRADD TMEM222 PGAM4 RAB23 CNTN1 HLA-DMB MPEG1,Interferon alpha/beta signaling,1.2698586770728577e-09,0.15789473684210525,12.0,3,6,6,0.02,0.04,0.0,0.94
C200,ENPP2 ATP8B4 IFIT1 PIWIL4,C200,,,,0,1,1,0.0,0.25,0.0,0.75
C170,GIMAP8 TREM2 IFIT3 CTSA TRANK1 SELL SLAMF8 LRRC25 GLYCAM1 TREX1 STAT1 SECTM1 MS4A4A IRF5 P2RX4 STAT6 CSF1R TMEM176B MVP TIMD4 GPC3 IL18 MYD88 CTSD C11orf68 JPH1 IFI27 ENTPD1 MR1 SLC25A28 IL32 APOL3 GSDMD TNFSF10 EVI2A MX2 DGKA TFEC IRF7 CFLAR CCL8 IFI44L MKNK1 FOXI2 HLX CYBA ISG20 CXCL10 IFI30 IFIT1 HLA-DQB1 CD74 MYO1F IRF9 GRHPR CORO1A IRF3 LRMP MS4A2 NAGA HPSE TNFRSF14 IRF8 HLA-DRB5 SLC31A2 GAA CD1C PLD4 HHEX HLA-DQA1 SH2B3 MARCH1 PLAAT4 SIGLEC10 HIBADH HVCN1 SEMA4D GPR183 SLFN11 HLA-DPA1 CTSH OAS2 SLC15A3 TNFSF13 DYSF GAS7 LY75 LAIR1 SKAP1 GIMAP1 TLR7 MAN2B1 STK10 GMFG ENPP2 WDFY4 LGALS9 KIAA0408 TMEM176A TRADD TMEM222 HLA-DMB MPEG1,Interferon alpha/beta signaling,2.4437488964859604e-12,0.15789473684210525,12.0,2,3,3,0.019417475728155338,0.02912621359223301,0.0,0.9514563106796117
C202,ABCA2 ATP8B4 BMX PIWIL4,C202,,,,0,1,1,0.0,0.25,0.0,0.75
C172,NDUFAF7 TOMM40 SYT4 PDSS1 RPP38 GRHPR NME7 NTRK2 BMX ATP5F1B SYT1 MTX1 BRCA2 AARS2 CARS2 NFKBID HIST1H4I KANSL3 MRPL16 ABCA2 KIAA0408 EIF2S2 POT1 C2orf74 HIBADH CHEK1 TRIML2 NDUFV3 HAX1 PGAM4 TERF2 CNTN1 OSBPL11 GFAP NEFL NDUFA11,C172,,,,1,2,2,0.027777777777777776,0.05555555555555555,0.0,0.9166666666666666
C176,PTPN18 GYPB ABCA2 RAB23 FRAT1 BMX ZFP36L1 SLC39A10 TREX1 RABEP2 POLR3D,C176,,,,1,0,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C171,LY75 GAS7 MR1 CORO1A APOL3 GIMAP8 LRMP TREM2 LAIR1 MS4A2 IRF8 HLA-DRB5 EVI2A CD1C GIMAP1 SELL PLD4 TFEC HHEX HLA-DQA1 GMFG ENPP2 SLAMF8 LRRC25 GLYCAM1 WDFY4 SH2B3 MARCH1 KIAA0408 SIGLEC10 MS4A4A HLX TMEM176A IRF5 HVCN1 CSF1R TMEM176B SEMA4D GPR183 HLA-DQB1 CD74 TIMD4 HLA-DPA1 GPC3 IL18 HLA-DMB MPEG1 ENTPD1,antigen processing and presentation of peptide antigen,9.746455310065158e-09,0.10294117647058823,7.0,1,2,2,0.020833333333333332,0.041666666666666664,0.0,0.9375
C185,GAS7 TIMD4 KIAA0408 TREM2 PLD4 IRF5,C185,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C186,GIMAP1 APOL3 GIMAP8 MS4A4A LRRC25 MPEG1,C186,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C180,NTRK2 SYT4 CNTN1 SYT1 NFKBID GFAP NEFL TRIML2,C180,,,,1,1,1,0.125,0.125,0.0,0.75
