,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0004101,4.957130047419662e-10,2.592930214277149,1.775940257870639,3.409920170683659,44,abnormal brain interneuron morphology,brain
MP:0002206,0.00011666707566147254,0.7800501724106201,0.38325287337510583,1.1768474714461346,966,abnormal CNS synaptic transmission,brain
MP:0003691,0.00015041004366175972,1.781044850490181,0.8600888513718381,2.702000849608524,64,abnormal microglial cell physiology,brain
MP:0000136,0.0003893989316797042,1.5102591037225572,0.6757750884059343,2.34474311903918,99,abnormal microglial cell morphology,brain
MP:0010050,0.00048361656969337095,2.736467652990404,1.1995379764928598,4.273397329487949,11,hypermyelination,brain
MP:0004753,0.0004924761769500814,1.370769897660793,0.5998081353113642,2.1417316600102216,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0003635,0.0006757008459048518,0.6874335991582718,0.29106859130981744,1.0837986070067263,1052,abnormal synaptic transmission,brain
MP:0021009,0.0007685990635248311,0.6802214571579714,0.2838884701056319,1.076554444210311,1059,abnormal synaptic physiology,brain
MP:0004859,0.0008603797178718377,1.5537057104387682,0.6399430196352972,2.467468401242239,79,abnormal synaptic plasticity,brain
MP:0002910,0.0009244013988608126,1.3007552754389131,0.5311332425819754,2.0703773082958508,141,abnormal excitatory postsynaptic currents,brain
MP:0001900,0.0010120422489422035,1.7201215933651248,0.6945010066918087,2.745742180038441,54,impaired synaptic plasticity,brain
MP:0021010,0.0012975503286418708,1.6807927721036293,0.6566137633689411,2.7049717808383176,56,impaired synaptic physiology,brain
MP:0010170,0.0013953488637748037,2.4486237726042877,0.9468096447706977,3.9504379004378776,14,abnormal glial cell apoptosis,brain
MP:0000778,0.001526462195087217,1.0967418903455144,0.4185581706778789,1.7749256100131499,221,abnormal nervous system tract morphology,brain
MP:0003690,0.0016638549697632452,1.3323527328485412,0.5018917143349663,2.162813751362116,117,abnormal glial cell physiology,brain
MP:0002915,0.002047962941351639,1.305521782726185,0.4756092528510809,2.135434312601289,120,abnormal synaptic depression,brain
MP:0011270,0.002335753396215032,1.8451069294279225,0.65702312105635,3.033190737799495,36,decreased excitatory postsynaptic current amplitude,brain
MP:0014385,0.0024853453032496068,2.294365206273527,0.8078545119663585,3.780875900580696,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0003240,0.0024853453032496068,2.294365206273527,0.8078545119663585,3.780875900580696,16,loss of hippocampal neurons,brain
MP:0002912,0.0063933595322546635,1.2612970038309061,0.3547356184558119,2.1678583892060006,104,abnormal excitatory postsynaptic potential,brain
MP:0014377,0.007675053145416889,1.9887137895297942,0.5266925080047724,3.450735071054816,21,abnormal excitatory postsynaptic current frequency,brain
MP:0002945,0.0127262841713735,1.2868787304325409,0.27447673989256405,2.2992807209725177,81,abnormal inhibitory postsynaptic currents,brain
MP:0004792,0.01277516930814927,1.4907105820876279,0.31731013210805425,2.6641110320672015,50,abnormal synaptic vesicle number,brain
MP:0014380,0.012941712789332618,1.8419484200837948,0.3893865513235397,3.29451028884405,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0002882,0.014535639402769314,0.4474235940948894,0.08857534178006543,0.8062718464097134,1654,abnormal neuron morphology,brain
MP:0000811,0.017500278504763017,1.7548290983617623,0.30728461732660883,3.202373579396916,26,hippocampal neuron degeneration,brain
MP:0000921,0.01766627825858186,1.2236942177453258,0.21279569171078938,2.2345927437798623,86,demyelination,brain
MP:0009939,0.017680224877514607,1.0932669390436374,0.19000390107442533,1.9965299770128495,122,abnormal hippocampus neuron morphology,brain
MP:0009435,0.019948644170428978,1.3893442168563723,0.21929733154948594,2.559391102163259,55,abnormal miniature inhibitory postsynaptic currents,brain
MP:0011267,0.019948644170428978,1.3893442168563723,0.21929733154948594,2.559391102163259,55,abnormal excitatory postsynaptic current amplitude,brain
MP:0002885,0.022954388442458125,1.6746784343025016,0.23139305748141603,3.1179638111235874,28,abnormal AMPA-mediated synaptic currents,brain
MP:0008571,0.022954388442458125,1.6746784343025016,0.23139305748141603,3.1179638111235874,28,abnormal synaptic bouton morphology,brain
MP:0004769,0.027309290106874093,1.315019993417815,0.1472301880255389,2.4828097988100915,59,abnormal synaptic vesicle morphology,brain
MP:0004811,0.029565940491458734,0.5676695885890393,0.05632539188509933,1.0790137852929793,658,abnormal neuron physiology,brain
MP:0014062,0.04396876770568975,1.1968584054490954,0.032336543861797296,2.3613802670363935,66,nervous system inclusion bodies,brain
MP:0002913,0.0541741463091863,1.4059825055813508,-0.02520875882609208,2.8371737699887936,36,abnormal PNS synaptic transmission,brain
MP:0014381,0.0541741463091863,1.4059825055813508,-0.02520875882609208,2.8371737699887936,36,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0003871,0.058956572951013614,1.120214944392984,-0.04238031061533554,2.282810199401304,71,abnormal myelin sheath morphology,brain
MP:0003247,0.06562277646742264,1.9341677015929513,-0.12499370334457538,3.993329106530478,11,abnormal glutaminergic neuron morphology,brain
MP:0010160,0.06562277646742264,1.9341677015929513,-0.12499370334457538,3.993329106530478,11,increased oligodendrocyte number,brain
MP:0002272,0.07501935840127917,0.6114034655899303,-0.06168412161449843,1.2844910527943592,351,abnormal nervous system electrophysiology,brain
MP:0014382,0.07883705622288663,1.838803585810619,-0.21186053828285045,3.8894677099040886,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0014345,0.09294115741382072,1.7517382699337354,-0.29181779738067926,3.79529433724815,13,abnormal neuron mitochondrial morphology,brain
MP:0003224,0.10699468087342483,0.5256003870866177,-0.11351498416977801,1.1647157583430134,424,neuron degeneration,brain
MP:0014325,0.10783284740863366,1.6716416204633848,-0.3658805696992218,3.7091638106259914,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0000952,0.11657017682660158,0.5702770240130111,-0.1419503026983553,1.2825043507243774,324,abnormal CNS glial cell morphology,brain
MP:0003203,0.12058248870249341,0.7108436486948033,-0.18666201596609788,1.6083493133557045,176,increased neuron apoptosis,brain
MP:0000920,0.12058248870249341,0.7108436486948033,-0.18666201596609788,1.6083493133557045,176,abnormal myelination,brain
MP:0004494,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,abnormal synaptic glutamate release,brain
MP:0002917,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,decreased synaptic depression,brain
MP:0002916,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,increased synaptic depression,brain
MP:0011827,0.13960062950727162,1.5284328844991464,-0.49939775934555497,3.5562635283438477,16,impaired neuron differentiation,brain
MP:0003634,0.1902449128140813,0.44900735870711905,-0.2228519628058777,1.1208666802201157,410,abnormal glial cell morphology,brain
MP:0013438,0.19097225326099598,1.3459494673902892,-0.6713294617311352,3.3632283965117136,19,dysmyelination,brain
MP:0014376,0.19097225326099598,1.3459494673902892,-0.6713294617311352,3.3632283965117136,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0014371,0.19097225326099598,1.3459494673902892,-0.6713294617311352,3.3632283965117136,19,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0020394,0.22688986545630652,1.2404810302991613,-0.7715012912820547,3.2524633518803774,21,decreased neuronal precursor proliferation,brain
MP:0002888,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,abnormal NMDA-mediated synaptic currents,brain
MP:0014383,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,decreased miniature inhibitory postsynaptic current frequency,brain
MP:0004980,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,increased neuronal precursor cell number,brain
MP:0004770,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,abnormal synaptic vesicle recycling,brain
MP:0008917,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,abnormal oligodendrocyte physiology,brain
MP:0009808,0.28217952361151144,1.1005571839327164,-0.9051895357733706,3.1063039036388034,24,decreased oligodendrocyte number,brain
MP:0000966,0.28588731800398426,-1.071864999148218,-3.0404201161730207,0.8966901178765843,201,decreased sensory neuron number,brain
MP:0002752,0.2993846905105182,-0.32122295285984137,-0.9279038615199103,0.2854579558002276,1041,abnormal somatic nervous system morphology,brain
MP:0006009,0.33591509920196805,-1.364668930017089,-4.144250614877942,1.4149127548437632,134,abnormal neuronal migration,brain
MP:0003245,0.375486400154051,0.9035769914366636,-1.0947210265611762,2.9018750094345034,29,abnormal GABAergic neuron morphology,brain
MP:0000939,0.3840174196945665,0.6261154233106794,-0.7835783048271203,2.035809151448479,76,decreased motor neuron number,brain
MP:0003202,0.3880720360728175,0.39375256329030073,-0.5003777159010325,1.287882842481634,239,abnormal neuron apoptosis,brain
MP:0009452,0.39406021888658105,0.8684316832328847,-1.128682264270951,2.8655456307367206,30,abnormal synaptonemal complex,brain
MP:0011448,0.39406021888658105,0.8684316832328847,-1.128682264270951,2.8655456307367206,30,decreased dopaminergic neuron number,brain
MP:0014374,0.39406021888658105,0.8684316832328847,-1.128682264270951,2.8655456307367206,30,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0009967,0.3944025789331541,0.5002977899924694,-0.6510597166734666,1.6516552966584055,129,abnormal neuron proliferation,brain
MP:0005192,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,increased motor neuron number,brain
MP:0006277,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal parasympathetic nervous system physiology,brain
MP:0021105,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal ventral interneuron 3 morphology,brain
MP:0011452,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0004562,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0000954,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,decreased oligodendrocyte progenitor number,brain
MP:0014375,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,increased miniature excitatory postsynaptic current frequency,brain
