z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,519,318.0,14.63693957082559,3.2482444329403447e-43,1.6320754716981132
2,1.5,293,158.97,12.010374681915632,3.216949668935095e-29,1.8431150531546834
2,2.0,95,55.76,7.832138916030537,2.719725604269637e-07,1.7037302725968437
3,1.0,376,218.01,13.477755747898089,4.900037066596024e-32,1.7246915279115638
3,1.5,272,146.47,10.825391447887693,2.1618514201752097e-31,1.8570355704239776
3,2.0,95,57.03,5.847144602282382,4.185784220590491e-11,1.6657899351218657
4,1.0,228,147.54,11.699931623731823,3.0570933867186396e-12,1.5453436356242376
4,1.5,184,114.8,8.80113629027525,1.880887794378105e-15,1.602787456445993
4,2.0,95,56.18,6.909963820455213,9.660454627690585e-09,1.6909932360270559
5,1.0,156,98.83,8.733905197561969,2.9597860722913196e-11,1.5784680764949914
5,1.5,132,84.28,7.84866867691585,6.008676437704762e-10,1.5662078785002373
5,2.0,88,52.39,7.244163167681965,4.4237033620992643e-07,1.6797098682954763
9,1.0,46,29.02,5.1941890608640735,0.0005395695595952323,1.5851137146795313
9,1.5,41,27.52,4.201142701694385,0.0006667967096136338,1.489825581395349
9,2.0,30,21.7,4.836320915737499,0.0430644988737234,1.3824884792626728
12,1.0,24,15.23,3.6382825618689925,0.007965816505891461,1.5758371634931057
12,1.5,20,13.39,3.8023545337067133,0.04107048216989908,1.4936519790888723
12,2.0,13,11.13,3.543035421781725,0.29882045936539714,1.1680143755615453
