,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CSF1R,1,1,CD_2_leukodys,FTLD,12.563339713987665,13.128007663961837,164.93162005018618,2
EIF2B2,1,0,CD_2_leukodys,FTLD,15.813002582526988,3.8073325791302044,60.20535990632506,1
TARDBP,0,1,CD_2_leukodys,FTLD,2.1968652496664802,20.603166983795642,45.262381579776395,1
RNASEH2A,1,0,CD_2_leukodys,FTLD,11.568169263042341,3.1682200777020086,36.65050612142599,1
IMMP2L,0,1,CD_2_leukodys,FTLD,2.5344475522667667,12.600729768354883,31.935888718182014,1
ADAR,1,0,CD_2_leukodys,FTLD,15.043401416194534,1.8435770391379533,27.733669441431612,1
CYB561A3,0,0,CD_2_leukodys,FTLD,4.557797980801204,4.627587649697214,21.09160964577055,0
IL34,0,0,CD_2_leukodys,FTLD,5.476405464267355,3.5598153129556116,19.494992031652714,0
PLP1,1,0,CD_2_leukodys,FTLD,10.951943746538147,1.7162494151076682,18.79626704928818,1
C9orf72,0,1,CD_2_leukodys,FTLD,1.7373985764903734,10.496693595435342,18.236940510564985,1
IRF2,0,1,CD_2_leukodys,FTLD,1.7531556372812824,10.347091933896564,18.14006255337845,1
TIMD4,0,0,CD_2_leukodys,FTLD,4.211003021747535,4.281116721976858,18.02779545269845,0
SAMHD1,1,0,CD_2_leukodys,FTLD,11.509696308735336,1.503463899762398,17.304412897412103,1
NDRG3,0,0,CD_2_leukodys,FTLD,5.583945496188025,3.0490253529177886,17.02559138718839,0
TREX1,1,0,CD_2_leukodys,FTLD,9.88229272945859,1.6784805570096386,16.587236205073953,1
INSM1,0,0,CD_2_leukodys,FTLD,3.733416035291537,4.181058989935181,15.609632677523841,0
DPP6,0,1,CD_2_leukodys,FTLD,1.5860447341528674,9.537716545648964,15.127245103069216,1
OTUD5,0,0,CD_2_leukodys,FTLD,3.0355892072878103,4.5911087697307975,13.936720230879226,0
LHFPL3,0,0,CD_2_leukodys,FTLD,2.0118343709559667,6.781088122136595,13.642426156595654,0
SYT4,0,0,CD_2_leukodys,FTLD,2.9594441151122113,4.6073230330018475,13.635115036438263,0
REEP6,0,0,CD_2_leukodys,FTLD,2.9217777964620284,3.9016528609946746,11.399762698756788,0
DPP9,0,0,CD_2_leukodys,FTLD,3.434709682612685,3.1735989473697663,10.90039103326036,0
ATP1B2,0,0,CD_2_leukodys,FTLD,3.8137651397969123,2.8066416343612124,10.703872025029424,0
SLC10A7,0,0,CD_2_leukodys,FTLD,4.099530567742439,2.577011422940782,10.564537101767176,0
GKN1,0,0,CD_2_leukodys,FTLD,3.1498941048743423,3.332663610353117,10.497537459780526,0
