,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0008236,1.6244392313275906e-05,2.6440212751157386,1.4419648006373278,3.8460777495941496,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0011452,1.842703871229005e-05,3.3675369390895096,1.8265543576223329,4.908519520556686,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0014062,4.1757226835072685e-05,2.142015625994964,1.1174305914537752,3.1666006605361527,66,nervous system inclusion bodies,brain
MP:0003204,6.757683968108388e-05,2.0792803423565243,1.0565294217228578,3.1020312629901907,70,decreased neuron apoptosis,brain
MP:0003244,0.00021619665459380425,2.791797710457505,1.312645990034494,4.270949430880516,18,loss of dopaminergic neurons,brain
MP:0003243,0.0005241528347206396,2.0832786660378257,0.9059332787321774,3.260624053343474,52,abnormal dopaminergic neuron morphology,brain
MP:0001081,0.0026517816097534445,1.3879164214917594,0.4828087712271356,2.293024071756383,170,abnormal cranial ganglia morphology,brain
MP:0008235,0.003264463003474616,2.1624384612508045,0.721658319216421,3.603218603285188,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0003247,0.014889961311573165,2.562006998778637,0.4998510126945921,4.624162984862682,11,abnormal glutaminergic neuron morphology,brain
MP:0000136,0.01743226093974972,1.4082242292051834,0.2472932407279731,2.5691552176823937,99,abnormal microglial cell morphology,brain
MP:0006069,0.01773306771531354,0.8699106753645669,0.15085152081288922,1.5889698299162447,454,abnormal retina neuronal layer morphology,brain
MP:0011451,0.022674421682108262,2.3795782838191286,0.3330048013075637,4.426151766330694,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003202,0.02443202049940932,1.0348061000422142,0.13349840720523432,1.936113792879194,239,abnormal neuron apoptosis,brain
MP:0001038,0.03212296993295559,2.2253204343422137,0.1899503479077045,4.260690520776723,15,abnormal cholinergic neuron morphology,brain
MP:0003691,0.04729610410984295,1.4347837055532793,0.017124311419231875,2.852443099687327,64,abnormal microglial cell physiology,brain
MP:0002882,0.0677233456973843,0.4520777892669159,-0.03294258704230485,0.9370981655761366,1654,abnormal neuron morphology,brain
MP:0000778,0.08511157895610379,0.8808902770267864,-0.1218658189867281,1.8836463730403008,221,abnormal nervous system tract morphology,brain
