,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SQSTM1,0,1,CD_3_NBIA,FTLD,3.310846298271369,15.99518938454731,52.95761356397796,1
WDR45,1,0,CD_3_NBIA,FTLD,14.156596465257573,3.0788195581935534,43.58560607468874,1
TMEM41A,0,0,CD_3_NBIA,FTLD,5.677246899984121,7.016931345790105,39.83685173028828,0
ATP8B4,0,0,CD_3_NBIA,FTLD,7.967409625658744,4.209864189119767,33.54171246310887,0
LRRK2,0,1,CD_3_NBIA,FTLD,1.9078208634484088,11.546131087681578,22.027949781189186,1
GRN,0,1,CD_3_NBIA,FTLD,2.0709753735275003,10.19780068256599,21.1193940777361,1
HSP90AA2P,0,0,CD_3_NBIA,FTLD,3.8203032201854352,5.2180938552727625,19.93470075852837,0
IMMP2L,0,1,CD_3_NBIA,FTLD,1.5516184944170552,12.600729768354883,19.551525351730973,1
SNAP29,0,0,CD_3_NBIA,FTLD,7.0603201869745735,2.6470090710790664,18.688731579644347,0
CMTM6,0,0,CD_3_NBIA,FTLD,4.250768744756222,3.93374614824893,16.721445176781728,0
SALL2,0,0,CD_3_NBIA,FTLD,4.9632515186663175,3.355981978991103,16.656582653844385,0
NPY1R,0,0,CD_3_NBIA,FTLD,5.032968221270795,3.2179534977503206,16.195857691704564,0
GUF1,0,0,CD_3_NBIA,FTLD,4.040148638436864,3.9601343227915176,15.999531292253241,0
ULK1,0,0,CD_3_NBIA,FTLD,4.407706307882424,3.0391986026245763,13.395894851695793,0
SPAST,0,0,CD_3_NBIA,FTLD,3.7319385785637498,3.497000413559378,13.050590752615632,0
ATP8B2,0,0,CD_3_NBIA,FTLD,4.042094088761284,3.1161445917409343,12.595749634001475,0
USP3,0,0,CD_3_NBIA,FTLD,4.423580466524243,2.823793569786691,12.491278076805166,0
CHCHD5,0,0,CD_3_NBIA,FTLD,1.6961646906052263,6.978398974792553,11.83651393799884,0
DTX4,0,0,CD_3_NBIA,FTLD,5.312418052219602,2.2226516443880837,11.807654719442839,0
WIPI1,0,0,CD_3_NBIA,FTLD,5.795215649585003,1.9547806767096227,11.32837556917397,0
PEPD,0,0,CD_3_NBIA,FTLD,6.351876577947564,1.7283203088767944,10.978077289145611,0
MRNIP,0,0,CD_3_NBIA,FTLD,1.9078208634484344,5.400481743129986,10.303151742215755,0
CLSTN1,0,0,CD_3_NBIA,FTLD,3.6661541699402407,2.8039122748350107,10.279574678533,0
SYT11,0,0,CD_3_NBIA,FTLD,4.384702192064152,2.331817385836144,10.224324803169042,0
IRAK1BP1,0,0,CD_3_NBIA,FTLD,1.9806636561792463,5.106142822751423,10.11355151228425,0
YWHAQ,0,0,CD_3_NBIA,FTLD,2.630096221610043,3.8075971163534343,10.014346789134464,0
DCTN3,0,0,CD_3_NBIA,FTLD,4.704000046429448,2.113668259151964,9.942695589187288,0
SMCR8,0,0,CD_3_NBIA,FTLD,1.829851784521313,5.364036328215242,9.815391447421812,0
RAB40B,0,0,CD_3_NBIA,FTLD,2.7606919131305263,3.474827820778118,9.592929064343119,0
GPD2,0,0,CD_3_NBIA,FTLD,2.536194482422707,3.776230044494154,9.577253803204927,0
FADS3,0,0,CD_3_NBIA,FTLD,3.7841625389710067,2.5112301760390117,9.502903158900395,0
TMEM129,0,0,CD_3_NBIA,FTLD,4.450614285712883,2.0651426837981606,9.191153530547538,0
DCP2,0,0,CD_3_NBIA,FTLD,2.6659392953191583,3.3672905720965236,8.976992254909852,0
TOX3,0,0,CD_3_NBIA,FTLD,3.5555199564150923,2.466022649458474,8.767992743121223,0
SCN3B,0,0,CD_3_NBIA,FTLD,3.0152876986850403,2.8821253273079765,8.690437045500337,0
NDUFB7,0,0,CD_3_NBIA,FTLD,4.26648144934011,1.902584081769706,8.117339690680238,0
TUT7,0,0,CD_3_NBIA,FTLD,3.7237484507983414,2.128854312312908,7.927317947450559,0
SMIM11A,0,0,CD_3_NBIA,FTLD,1.574517002847394,4.953231182802181,7.7989467163559425,0
STX3,0,0,CD_3_NBIA,FTLD,3.097290595962276,2.459110901648382,7.616581070103847,0
APBA3,0,0,CD_3_NBIA,FTLD,1.7694275106161839,4.282823310591093,7.578145388868161,0
NXPE3,0,0,CD_3_NBIA,FTLD,2.2379165220507233,3.345453132401567,7.486844838747813,0
FAM131C,0,0,CD_3_NBIA,FTLD,1.5976832190670596,4.616527140312945,7.375747942445633,0
COA3,0,0,CD_3_NBIA,FTLD,2.139740028794153,3.390095695786204,7.253923461716506,0
RAB17,0,0,CD_3_NBIA,FTLD,2.375243536269932,2.988979948258304,7.099555302140971,0
VASH2,0,0,CD_3_NBIA,FTLD,2.174142063466129,3.246575517254588,7.058516394282505,0
DNPEP,0,0,CD_3_NBIA,FTLD,2.6319528584211103,2.6719959514449583,7.032567382095192,0
AP1G1,0,0,CD_3_NBIA,FTLD,3.3358069546747218,2.1003301787157707,7.006296017273269,0
AP2A2,0,0,CD_3_NBIA,FTLD,2.904242274991772,2.3405146199485016,6.797421504490739,0
ADAP1,0,0,CD_3_NBIA,FTLD,4.082202844313586,1.6636778135360495,6.7914703024382685,0
TRPT1,0,0,CD_3_NBIA,FTLD,1.6698650790242842,3.9285884818708228,6.560212715733114,0
NAPSB,0,0,CD_3_NBIA,FTLD,1.7813302558562396,3.681948583988305,6.558766413165406,0
RBFOX1,0,0,CD_3_NBIA,FTLD,2.3982842000563904,2.6259831759148096,6.2978539604103885,0
GABARAP,0,0,CD_3_NBIA,FTLD,3.637195386837847,1.727451129266053,6.283077278354317,0
GK3P,0,0,CD_3_NBIA,FTLD,2.0978321457478835,2.9201978325506057,6.1260848850679555,0
HSPA8,0,0,CD_3_NBIA,FTLD,2.371759714622461,2.5629025425632554,6.078589002955007,0
RAB7A,0,0,CD_3_NBIA,FTLD,2.418445755834522,2.4977446675703106,6.040659990443726,0
AP5Z1,0,0,CD_3_NBIA,FTLD,1.5479842017311385,3.846614428772013,5.9544983658901245,0
DNAAF2,0,0,CD_3_NBIA,FTLD,3.6249651058904124,1.633919002268889,5.922899369076,0
MCCC1,0,0,CD_3_NBIA,FTLD,2.55323903636526,2.2160174007164186,5.658022132773837,0
MAP1LC3B,0,0,CD_3_NBIA,FTLD,3.3113459897117523,1.7038674871945534,5.642094770721925,0
BCKDHA,0,0,CD_3_NBIA,FTLD,3.4116369494328826,1.6512712557981568,5.633538029817429,0
ZNF547,0,0,CD_3_NBIA,FTLD,2.972347611370277,1.8883670045856842,5.612883155470704,0
ZFP92,0,0,CD_3_NBIA,FTLD,2.1382540137418946,2.5624215362941865,5.479108134879716,0
CDK5,0,0,CD_3_NBIA,FTLD,2.1382540137418973,2.5624215362941545,5.479108134879654,0
ARNTL2,0,0,CD_3_NBIA,FTLD,1.871168750772453,2.898673433153358,5.423907146810866,0
SMCO2,0,0,CD_3_NBIA,FTLD,1.8711687507723218,2.898673433153358,5.423907146810486,0
AP1M2,0,0,CD_3_NBIA,FTLD,3.066352759802306,1.7058739916299097,5.230811422109349,0
FAM217B,0,0,CD_3_NBIA,FTLD,1.7214864250438753,3.0360189084417835,5.226465337059055,0
AC048338.1,0,0,CD_3_NBIA,FTLD,3.4248122183484897,1.5190490809861683,5.202457852832474,0
SEC14L5,0,0,CD_3_NBIA,FTLD,2.7268498982349816,1.8902039908954755,5.154302560216683,0
PTPN11,0,0,CD_3_NBIA,FTLD,3.068881585001392,1.6793123885187853,5.153610864590003,0
CTSD,0,0,CD_3_NBIA,FTLD,2.7563436423594028,1.8540299667310853,5.110343711543042,0
RHBDF2,0,0,CD_3_NBIA,FTLD,1.9388325161980071,2.594069256133725,5.029465823061643,0
VAMP2,0,0,CD_3_NBIA,FTLD,2.379831232322586,2.0979328055278628,4.992726013909354,0
CTNS,0,0,CD_3_NBIA,FTLD,3.102737566986325,1.6045234474987033,4.978415177664637,0
ADAR,0,0,CD_3_NBIA,FTLD,2.6872067287877957,1.8435770391379533,4.954072624610189,0
SFXN1,0,0,CD_3_NBIA,FTLD,1.9914517446842566,2.4855140383886574,4.949781268186304,0
KIF2A,0,0,CD_3_NBIA,FTLD,2.6280869873396537,1.871005133178798,4.917164243752895,0
