,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0004793,4.72895178470396e-09,3.6885559516578876,2.454113664041519,4.922998239274256,11,abnormal synaptic vesicle clustering,brain
MP:0009939,3.677422549483683e-08,1.8494814257045782,1.1910857678830462,2.50787708352611,122,abnormal hippocampus neuron morphology,brain
MP:0004769,1.8661144620719368e-06,2.0747314206123733,1.2217733512641553,2.927689489960591,59,abnormal synaptic vesicle morphology,brain
MP:0002882,2.2122029280575726e-06,0.7763332234481712,0.4548492543259658,1.0978171925703766,1654,abnormal neuron morphology,brain
MP:0004753,2.724756914244739e-06,1.6459851170040825,0.9582035893977013,2.3337666446104635,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0000952,4.345028657139388e-06,1.2488565639260312,0.7160680532475053,1.781645074604557,324,abnormal CNS glial cell morphology,brain
MP:0002910,6.857903659850833e-06,1.5748790432534232,0.8886472166734636,2.2611108698333826,141,abnormal excitatory postsynaptic currents,brain
MP:0002916,1.0470242708873413e-05,2.857841230331003,1.5869137634501147,4.128768697211891,15,increased synaptic depression,brain
MP:0004792,1.5800298519014163e-05,2.0526766023264402,1.1207881566469093,2.984565048005971,50,abnormal synaptic vesicle number,brain
MP:0001900,3.261893023843549e-05,1.967302624508421,1.039160670232663,2.895444578784179,54,impaired synaptic plasticity,brain
MP:0021010,4.563213541945999e-05,1.9271891876298737,1.000704912038875,2.8536734632208725,56,impaired synaptic physiology,brain
MP:0004770,0.00016235834959969517,2.3465839906964288,1.1270725769859804,3.566095404406877,23,abnormal synaptic vesicle recycling,brain
MP:0003634,0.00022326514837222504,0.9985865327589085,0.4683432855395647,1.5288297799782522,410,abnormal glial cell morphology,brain
MP:0002885,0.0005457353903972919,2.1231705848321836,0.9195121798387829,3.326828989825584,28,abnormal AMPA-mediated synaptic currents,brain
MP:0002912,0.0006064247511873774,1.4576201962561957,0.6243998299780166,2.290840562534375,104,abnormal excitatory postsynaptic potential,brain
MP:0021009,0.0007685990635248311,0.6802214571579714,0.2838884701056319,1.076554444210311,1059,abnormal synaptic physiology,brain
MP:0004859,0.0008603797178718377,1.5537057104387682,0.6399430196352972,2.467468401242239,79,abnormal synaptic plasticity,brain
MP:0002206,0.0008784536950553027,0.6954342052119706,0.285724948068491,1.1051434623554504,966,abnormal CNS synaptic transmission,brain
MP:0011003,0.001008688050972808,2.5356890884811714,1.0242170827374175,4.047161094224926,13,reduced AMPA-mediated synaptic currents,brain
MP:0003635,0.0016660929943968677,0.6458920198909279,0.24325446527690275,1.0485295745049532,1052,abnormal synaptic transmission,brain
MP:0004494,0.0018829838897540683,2.368527123133937,0.8749338218273082,3.8621204244405662,15,abnormal synaptic glutamate release,brain
MP:0002915,0.002047962941351639,1.305521782726185,0.4756092528510809,2.135434312601289,120,abnormal synaptic depression,brain
MP:0008948,0.002412596986709927,0.8460020770152354,0.29950156915711856,1.3925025848733523,441,decreased neuron number,brain
MP:0003240,0.0024853453032496068,2.294365206273527,0.8078545119663585,3.780875900580696,16,loss of hippocampal neurons,brain
MP:0000937,0.004331307838519862,1.1157235979081204,0.34923108702974803,1.8822161087864928,168,abnormal motor neuron morphology,brain
MP:0008946,0.006260743258750884,0.7367074328181058,0.20853481907493343,1.2648800465612782,525,abnormal neuron number,brain
MP:0000938,0.0067912356194172315,1.627610318749646,0.4491242136560938,2.806096423843198,44,motor neuron degeneration,brain
MP:0009808,0.012941712789332618,1.8419484200837948,0.3893865513235397,3.29451028884405,24,decreased oligodendrocyte number,brain
MP:0003243,0.015387599852709027,1.4489297951070466,0.27695172754555086,2.6209078626685423,52,abnormal dopaminergic neuron morphology,brain
MP:0003224,0.016127688261533293,0.7206268109012228,0.1335964989678431,1.3076571228346026,424,neuron degeneration,brain
MP:0000811,0.017500278504763017,1.7548290983617623,0.30728461732660883,3.202373579396916,26,hippocampal neuron degeneration,brain
MP:0011267,0.019948644170428978,1.3893442168563723,0.21929733154948594,2.559391102163259,55,abnormal excitatory postsynaptic current amplitude,brain
MP:0011448,0.029336485536145995,1.6004624941072159,0.1608378058508968,3.0400871823635347,30,decreased dopaminergic neuron number,brain
MP:0004811,0.029565940491458734,0.5676695885890393,0.05632539188509933,1.0790137852929793,658,abnormal neuron physiology,brain
MP:0008235,0.036665067554836665,1.5313616429203432,0.0949170965118824,2.9678061893288037,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0011270,0.0541741463091863,1.4059825055813508,-0.02520875882609208,2.8371737699887936,36,decreased excitatory postsynaptic current amplitude,brain
MP:0003871,0.058956572951013614,1.120214944392984,-0.04238031061533554,2.282810199401304,71,abnormal myelin sheath morphology,brain
MP:0011452,0.06562277646742264,1.9341677015929513,-0.12499370334457538,3.993329106530478,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0000939,0.07656345346801267,1.0489926529687121,-0.11193734720242965,2.209922653139854,76,decreased motor neuron number,brain
MP:0004191,0.07883705622288663,1.838803585810619,-0.21186053828285045,3.8894677099040886,12,neuronal intranuclear inclusions,brain
MP:0003246,0.07883705622288663,1.838803585810619,-0.21186053828285045,3.8894677099040886,12,loss of GABAergic neurons,brain
MP:0004101,0.10014944449241459,1.194241283133044,-0.22941167572883936,2.6178942419949274,44,abnormal brain interneuron morphology,brain
MP:0002917,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,decreased synaptic depression,brain
MP:0010387,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,abnormal Bergmann glial cell morphology,brain
MP:0001038,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,abnormal cholinergic neuron morphology,brain
MP:0020338,0.1234158712378262,1.5974797036029749,-0.4348563340607208,3.6298157412666705,15,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0004297,0.13960062950727162,1.5284328844991464,-0.49939775934555497,3.5562635283438477,16,abnormal proprioceptive neuron morphology,brain
MP:0014385,0.13960062950727162,1.5284328844991464,-0.49939775934555497,3.5562635283438477,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0011731,0.15630441621802343,1.4638404128341946,-0.5600397844297733,3.4877206100981626,17,decreased myelin sheath thickness,brain
MP:0003244,0.17345137120954457,1.4031618375795638,-0.6172262572401972,3.423549932399325,18,loss of dopaminergic neurons,brain
MP:0003241,0.17345137120954457,1.4031618375795638,-0.6172262572401972,3.423549932399325,18,loss of cortex neurons,brain
MP:0002272,0.17995313247309563,0.48680702411725996,-0.22474842027470776,1.1983624685092278,351,abnormal nervous system electrophysiology,brain
MP:0000136,0.18930557301909945,0.7738584038826737,-0.3816290243776732,1.9293458321430206,99,abnormal microglial cell morphology,brain
MP:0013438,0.19097225326099598,1.3459494673902892,-0.6713294617311352,3.3632283965117136,19,dysmyelination,brain
MP:0014376,0.19097225326099598,1.3459494673902892,-0.6713294617311352,3.3632283965117136,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0000953,0.2009849114216764,0.9238751083993293,-0.49216489588256507,2.339915112681224,57,abnormal oligodendrocyte morphology,brain
MP:0011269,0.20880410601629507,1.291828286859241,-0.7226646898793372,3.306321263597819,20,increased excitatory postsynaptic current amplitude,brain
MP:0000966,0.20998312424766996,0.5730314459882031,-0.32287664695226914,1.4689395389286752,201,decreased sensory neuron number,brain
MP:0008917,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,abnormal oligodendrocyte physiology,brain
MP:0020337,0.2636217948426218,1.1450629174132434,-0.862575423591748,3.152701258418235,23,abnormal pyramidal neuron dendrite morphology,brain
MP:0014380,0.28217952361151144,1.1005571839327164,-0.9051895357733706,3.1063039036388034,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0011723,0.30368515257644324,0.7409586515040036,-0.6709650833393077,2.152882386347315,68,ectopic neuron,brain
MP:0003690,0.3068256869928131,0.601032325562306,-0.5517179558243079,1.75378260694892,117,abnormal glial cell physiology,brain
MP:0006069,0.3241041006859833,-0.49896058328414483,-1.4907315119370366,0.4928103453687468,454,abnormal retina neuronal layer morphology,brain
MP:0004183,0.33817834335426,0.9777929316319494,-1.0231439500918529,2.9787298133557516,27,abnormal sympathetic nervous system physiology,brain
MP:0003861,0.36170561756659325,-0.24377821757220985,-0.7676090652867125,0.28005263014229276,1315,abnormal nervous system development,brain
MP:0003245,0.375486400154051,0.9035769914366636,-1.0947210265611762,2.9018750094345034,29,abnormal GABAergic neuron morphology,brain
MP:0014374,0.39406021888658105,0.8684316832328847,-1.128682264270951,2.8655456307367206,30,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008236,0.4125542125106071,0.8344761402497909,-1.1615320412473686,2.83048432174695,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0002110,0.4259669199888101,-0.4643495053238791,-1.6075407490663998,0.6788417384186416,330,abnormal digit morphology,neg_ctrl
MP:0010160,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,increased oligodendrocyte number,brain
MP:0014375,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0014379,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,decreased excitatory postsynaptic current frequency,brain
MP:0020387,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal radial glial cell number,brain
MP:0006277,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal parasympathetic nervous system physiology,brain
MP:0010050,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,hypermyelination,brain
MP:0005192,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,increased motor neuron number,brain
MP:0021105,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal ventral interneuron 3 morphology,brain
MP:0000954,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,decreased oligodendrocyte progenitor number,brain
MP:0004562,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0003247,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal glutaminergic neuron morphology,brain
MP:0003407,0.4301073902994247,1.1419320061596903,-1.6947260425008221,3.9785900548202027,11,abnormal central nervous system regeneration,brain
MP:0006009,0.43227935169453213,0.46111096649455874,-0.6897411132562188,1.6119630462453363,134,abnormal neuronal migration,brain
MP:0004948,0.4507760523508323,-1.0701548976079955,-3.851489279433199,1.7111794842172081,100,abnormal neuronal precursor proliferation,brain
MP:0020393,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,increased neuronal precursor proliferation,brain
MP:0014382,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0001025,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,abnormal sympathetic neuron morphology,brain
MP:0001045,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,abnormal enteric ganglia morphology,brain
MP:0012205,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,abnormal neuronal stem cell self-renewal,brain
MP:0012203,0.4652847666686579,1.0548666902828074,-1.7766570930261003,3.886390473591715,12,abnormal neuronal stem cell morphology,brain
MP:0003648,0.48541975901232504,0.7090970029107986,-1.2831339478108201,2.7013279536324175,35,abnormal radial glial cell morphology,brain
MP:0014345,0.4991875678093415,0.9747700408124569,-1.8524020817494957,3.8019421633744095,13,abnormal neuron mitochondrial morphology,brain
MP:0011451,0.4991875678093415,0.9747700408124569,-1.8524020817494957,3.8019421633744095,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0002913,0.5032956740521106,0.680055460150891,-1.3113651522666,2.671476072568382,36,abnormal PNS synaptic transmission,brain
MP:0014325,0.5318521655962518,0.9006081239520469,-1.9228286657021862,3.72404491360628,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0009823,0.5318521655962518,0.9006081239520469,-1.9228286657021862,3.72404491360628,14,abnormal sphingomyelin level,brain
MP:0010149,0.5318521655962518,0.9006081239520469,-1.9228286657021862,3.72404491360628,14,abnormal synaptic dopamine release,brain
MP:0010170,0.5318521655962518,0.9006081239520469,-1.9228286657021862,3.72404491360628,14,abnormal glial cell apoptosis,brain
MP:0009967,0.5365172769514066,-0.6216620814329641,-2.5929592517230233,1.349635088857095,129,abnormal neuron proliferation,brain
MP:0002948,0.5633222435002752,0.8315613048482184,-1.9886341946344062,3.651756804330843,15,abnormal neuron specification,brain
MP:0004979,0.5888701116761104,-0.7676416590108008,-3.5514012872895195,2.016117969267918,74,abnormal neuronal precursor cell number,brain
MP:0000940,0.5901920838885312,0.5462539943348919,-1.4417189973860476,2.534226986055831,41,abnormal motor neuron innervation pattern,brain
MP:0012204,0.5936453364034058,0.7669688331832667,-2.0503874786920466,3.58432514505858,16,abnormal neuronal stem cell physiology,brain
MP:0011827,0.5936453364034058,0.7669688331832667,-2.0503874786920466,3.58432514505858,16,impaired neuron differentiation,brain
MP:0010281,0.6308227671091178,-0.6827595956552113,-3.4673417970526805,2.101822605742258,68,increased nervous system tumor incidence,brain
MP:0006276,0.6401474581476068,0.47377125382247165,-1.5125158428925116,2.460058350537455,44,abnormal autonomic nervous system physiology,brain
MP:0000965,0.6692071728736819,-0.1774738249896739,-0.9916421149373241,0.6366944649579763,498,abnormal sensory neuron morphology,brain
MP:0014371,0.6782236321977806,0.5949567072083131,-2.2156637738448453,3.4055771882614714,19,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0021101,0.6782236321977806,0.5949567072083131,-2.2156637738448453,3.4055771882614714,19,abnormal ventral interneuron morphology,brain
MP:0020448,0.7044468761728722,0.5436094506482334,-2.2652120811586154,3.352430982455082,20,increased microglial cell activation,brain
MP:0001081,0.7118652221157447,0.2163581675581927,-0.9317444202558205,1.364460755372206,170,abnormal cranial ganglia morphology,brain
