,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,abnormal hippocampus neuron morphology:-log(OR_p),abnormal hippocampus neuron morphology:log_OR,abnormal hippocampus neuron morphology:num_genes,abnormal hippocampus neuron morphology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,impaired synaptic plasticity:-log(OR_p),impaired synaptic plasticity:log_OR,impaired synaptic plasticity:num_genes,impaired synaptic plasticity:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C275,8.325235113927851,3.6885559516578876,4,EPS15L1 KIF1A SYN1 ZDHHC5,7.4344564652179885,1.8494814257045782,10,ANK3 ATRX CLCN3 DGKB GRIA2 HIVEP2 PIK3R4 SPG11 SYN1 ZDHHC5,5.729061721403208,2.0747314206123733,6,CLCN3 EPS15L1 GDI1 KIF1A SH3GL2 UNC13A,5.655175037180475,0.7763332234481712,46,ANK3 AP4B1 ATG7 ATL1 ATP2B1 ATRX ATXN7 CAMSAP2 CEND1 CHCHD10 CLCN3 CLCN6 DGKB EPS15L1 FIG4 FKRP GDI1 GLRB GRIA1 GRIA2 HIVEP2 KIF1A KLC1 NCOR1 NTRK1 OFD1 OLIG1 PHRF1 PI4K2A PIK3R4 RUFY3 SETX SH3GL2 SLC44A2 SLC9A6 SNCA SOD1 SPG11 SPTAN1 SQSTM1 STXBP1 SYN1 UNC13A VAMP2 WDR45 ZDHHC5,5.564672236694195,1.6459851170040825,9,GRIA1 LRRTM2 SCAMP5 SH3GL2 SLC9A9 SNAP25 SNCA UNC13A VAMP2,5.362007354866302,1.2488565639260312,15,ATG7 ATP2B1 CERS6 CLCN3 FIG4 FKRP GRIA2 HIVEP2 OLIG1 PI4K2A SLC9A6 SNCA SOD1 SPG11 WDR45,5.163808620167276,1.5748790432534232,9,CLCN3 GDI1 GRIA2 GRIK5 LRRTM2 RAB3GAP1 SCAMP5 SH3GL2 UNC13A,4.980043250899695,2.857841230331003,3,RAB3A SH3GL2 SYN1,4.80133470773318,2.0526766023264402,5,EPS15L1 GDI1 KIF1A SH3GL2 UNC13A,4.4865302860659035,1.967302624508421,5,CLCN3 GRIA1 GRIA2 PHRF1 SYP,CD_4_notcateg-ALS systems map,6,7,0.022304832713754646,0.026022304832713755,0.007434944237918215,0.9442379182156134
C288,-0.0,0.0,0,,1.4294279888099102,2.1490464082899274,1,CLCN3,2.2754316551489238,2.8877608599164013,1,CLCN3,1.1529237020677268,1.0195253530551351,4,CAMSAP2 CLCN3 CLCN6 SLC9A6,1.3488224031523817,2.0691041554384517,1,SLC9A9,1.964620968031976,1.9097725221367456,2,CLCN3 SLC9A6,1.283021114749865,2.002176883028004,1,CLCN3,-0.0,0.0,0,,-0.0,0.0,0,,2.3909898772113864,2.97817868759431,1,CLCN3,chloride channel activity,1,1,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C292,-0.0,0.0,0,,-0.0,0.0,0,,2.996811930277996,3.475974259769254,1,GDI1,0.5452357940888684,0.8363421817262289,2,GDI1 GRIA1,1.9364847732962431,2.657319223474466,1,GRIA1,-0.0,0.0,0,,1.8593636685381123,2.5903921576339775,1,GDI1,-0.0,0.0,0,,3.24101275183572,3.645076831455544,1,GDI1,3.1264057660976965,3.5663919736633094,1,GRIA1,COPII-mediated vesicle transport,1,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C339,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C339,1,0,0.25,0.0,0.0,0.75
C276,4.4034571317210185,3.2293894680124495,2,EPS15L1 ZDHHC5,3.231892331643058,1.5933836263809695,5,ATRX HIVEP2 PIK3R4 SPG11 ZDHHC5,0.29125539474457407,0.6643132983634761,1,EPS15L1,1.3652987516881339,0.4659295222951698,22,AP4B1 ATG7 ATP2B1 ATRX ATXN7 CAMSAP2 EPS15L1 FIG4 HIVEP2 NCOR1 NTRK1 OFD1 PHRF1 PI4K2A PIK3R4 RUFY3 SETX SLC44A2 SPG11 SQSTM1 WDR45 ZDHHC5,-0.0,0.0,0,,2.4816259597043633,1.0778349836758032,8,ATG7 ATP2B1 CERS6 FIG4 HIVEP2 PI4K2A SPG11 WDR45,0.08302744750534898,-0.22130541488272826,1,RAB3GAP1,-0.0,0.0,0,,0.3864273983783896,0.833419868769516,1,EPS15L1,0.341051989596209,0.7547332342442488,1,PHRF1,C276,2,2,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.963855421686747
C277,5.152477082960913,3.535768943254938,2,EPS15L1 ZDHHC5,0.7185826825247228,0.939544427572562,2,PIK3R4 ZDHHC5,0.46998833357313685,0.9685473834521279,1,EPS15L1,0.5089971728698873,0.28957388220874414,14,AP4B1 ATG7 CHCHD10 EPS15L1 NTRK1 OFD1 PHRF1 PI4K2A PIK3R4 SLC44A2 SOD1 SQSTM1 WDR45 ZDHHC5,-0.0,0.0,0,,0.7023315685157642,0.6577050339100126,4,ATG7 PI4K2A SOD1 WDR45,-0.0,0.0,0,,-0.0,0.0,0,,0.5817105650100765,1.1376528378717108,1,EPS15L1,0.528602452518557,1.0589666992072537,1,PHRF1,C277,2,3,0.016260162601626018,0.024390243902439025,0.008130081300813009,0.9512195121951219
C279,6.3922854490412995,4.0032312163984525,2,KIF1A SYN1,6.393684740042514,2.389064579735714,5,ANK3 CLCN3 DGKB GRIA2 SYN1,10.293791347945376,3.165631310349389,5,CLCN3 GDI1 KIF1A SH3GL2 UNC13A,7.659335138600579,1.4155475939853535,22,ANK3 ATL1 CEND1 CLCN3 CLCN6 DGKB FKRP GDI1 GLRB GRIA1 GRIA2 KIF1A KLC1 OLIG1 SH3GL2 SLC9A6 SNCA SPTAN1 STXBP1 SYN1 UNC13A VAMP2,15.457124071969563,2.982871561062595,9,GRIA1 LRRTM2 SCAMP5 SH3GL2 SLC9A9 SNAP25 SNCA UNC13A VAMP2,3.620143639294471,1.5744514089323438,6,CLCN3 FKRP GRIA2 OLIG1 SLC9A6 SNCA,12.326998858818108,2.7719977850499493,8,CLCN3 GDI1 GRIA2 GRIK5 LRRTM2 SCAMP5 SH3GL2 UNC13A,9.537654420873045,4.134099320781933,3,RAB3A SH3GL2 SYN1,8.137893623738705,3.08965274764532,4,GDI1 KIF1A SH3GL2 UNC13A,7.782217596824936,3.006057166307891,4,CLCN3 GRIA1 GRIA2 SYP,synaptic vesicle exocytosis,2,2,0.02564102564102564,0.02564102564102564,0.0,0.9487179487179487
C319,-0.0,0.0,0,,6.379362317411069,4.643054536521003,2,ANK3 HIVEP2,-0.0,0.0,0,,1.4675563835794827,1.93530412074755,2,ANK3 HIVEP2,2.842127203647401,3.5739311373009564,1,LRRTM2,1.7583484572951773,2.661146800765569,1,HIVEP2,2.754146133479837,3.507004226271823,1,LRRTM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C319,0,1,0.0,0.2,0.0,0.8
C300,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C300,1,0,0.125,0.0,0.0,0.875
C340,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C340,0,1,0.0,0.25,0.0,0.75
