,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0004753,3.835004104711605e-14,2.1936988731829885,1.6254589484097264,2.7619387979562506,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0002882,1.499409533534233e-09,0.9580286321928053,0.6473786249517848,1.2686786394338259,1654,abnormal neuron morphology,brain
MP:0004770,3.3168002842715247e-09,3.013578231389948,2.0150308221492015,4.012125640630694,23,abnormal synaptic vesicle recycling,brain
MP:0021009,5.008774199882965e-09,1.0554777062889968,0.7016653898213128,1.409290022756681,1059,abnormal synaptic physiology,brain
MP:0002910,8.910402336428605e-09,1.8428160492104286,1.214696562384354,2.470935536036503,141,abnormal excitatory postsynaptic currents,brain
MP:0003635,1.6882490711939744e-08,1.0297942111337317,0.6720080209668394,1.387580401300624,1052,abnormal synaptic transmission,brain
MP:0009939,1.7773934414146572e-08,1.8934771250026428,1.234582153099442,2.5523720969058434,122,abnormal hippocampus neuron morphology,brain
MP:0002916,2.3513670261988017e-08,3.2793437962413563,2.128292466578731,4.430395125903981,15,increased synaptic depression,brain
MP:0002206,7.387952313753592e-08,1.0193025107004594,0.6480664426389565,1.3905385787619622,966,abnormal CNS synaptic transmission,brain
MP:0002272,1.5528793169110942e-07,1.3479895699726345,0.8443826322352487,1.8515965077100205,351,abnormal nervous system electrophysiology,brain
MP:0004792,1.6031169081033178e-07,2.304639258806363,1.4426645794423303,3.1666139381703955,50,abnormal synaptic vesicle number,brain
MP:0000937,2.0987113786174745e-07,1.6526387766352073,1.0285773991956235,2.276700154074791,168,abnormal motor neuron morphology,brain
MP:0002915,3.6147652652887845e-07,1.7931153281010594,1.1024111668940746,2.4838194893080443,120,abnormal synaptic depression,brain
MP:0004811,1.0507485460746396e-06,1.0648027760337815,0.6373093495808126,1.4922962024867503,658,abnormal neuron physiology,brain
MP:0004769,1.1456206799418268e-06,2.1180508474212267,1.264719187658403,2.9713825071840505,59,abnormal synaptic vesicle morphology,brain
MP:0002945,1.2535192756252523e-06,1.9412692686735769,1.156282749535804,2.7262557878113496,81,abnormal inhibitory postsynaptic currents,brain
MP:0000952,1.9991268535796686e-06,1.2937322099267003,0.7603017185846658,1.827162701268735,324,abnormal CNS glial cell morphology,brain
MP:0000938,2.971915839849977e-06,2.2392552596996573,1.3000099623732266,3.178500557026088,44,motor neuron degeneration,brain
MP:0003243,1.5338093772177097e-05,2.052237315344234,1.1219599156208526,2.982514715067616,52,abnormal dopaminergic neuron morphology,brain
MP:0003634,2.267853827457666e-05,1.1147171705705539,0.5990367370777256,1.630397604063382,410,abnormal glial cell morphology,brain
MP:0002912,2.5493215764856643e-05,1.6693785587068106,0.8922716441771705,2.446485473236451,104,abnormal excitatory postsynaptic potential,brain
MP:0004859,2.859060494422146e-05,1.7968021801985934,0.9551861664938593,2.6384181939033273,79,abnormal synaptic plasticity,brain
MP:0003224,0.0001967983609644129,1.0078647170092907,0.4772898752319773,1.538439558786604,424,neuron degeneration,brain
MP:0004793,0.0003946821590894684,2.779131938771041,1.2420011961328352,4.316262681409246,11,abnormal synaptic vesicle clustering,brain
MP:0002885,0.0004215374439568024,2.1659969323705726,0.9620798244490283,3.369914040292117,28,abnormal AMPA-mediated synaptic currents,brain
MP:0000939,0.0004508939629791951,1.6384079528722513,0.7231002466101148,2.5537156591343875,76,decreased motor neuron number,brain
MP:0011448,0.0006397333402725919,2.088927993090187,0.8897473040787847,3.2881086821015892,30,decreased dopaminergic neuron number,brain
MP:0001900,0.0007563143559523248,1.7631115381066653,0.7371850070954664,2.789038069117864,54,impaired synaptic plasticity,brain
MP:0011267,0.0008598979524664303,1.743254890336713,0.7180628089181262,2.7684469717553,55,abnormal excitatory postsynaptic current amplitude,brain
MP:0021010,0.0009744406972283008,1.7237827810874702,0.6992973975262149,2.7482681646487253,56,impaired synaptic physiology,brain
MP:0004494,0.0015580849547950086,2.411191536845525,0.9173913363101014,3.9049917373809486,15,abnormal synaptic glutamate release,brain
MP:0010387,0.0015580849547950086,2.411191536845525,0.9173913363101014,3.9049917373809486,15,abnormal Bergmann glial cell morphology,brain
MP:0011270,0.0018468923446320045,1.8879335333256186,0.6995876314757778,3.0762794351754597,36,decreased excitatory postsynaptic current amplitude,brain
MP:0002913,0.0018468923446320045,1.8879335333256186,0.6995876314757778,3.0762794351754597,36,abnormal PNS synaptic transmission,brain
MP:0014385,0.0020634672937281376,2.3370296519764757,0.8503110727934611,3.8237482311594904,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0011723,0.003515538910060801,1.5154949078558868,0.49779209183094975,2.533197723880824,68,ectopic neuron,brain
MP:0000940,0.003774346079043035,1.746585051383942,0.5647012935848041,2.92846880918308,41,abnormal motor neuron innervation pattern,brain
MP:0003871,0.004599946234919511,1.469523178976944,0.4531416228495735,2.485904735104315,71,abnormal myelin sheath morphology,brain
MP:0014377,0.006472300027828388,2.031378395241325,0.5691457472115593,3.493611043271091,21,abnormal excitatory postsynaptic current frequency,brain
MP:0014380,0.011004213944636545,1.8846131218419133,0.4318385103248519,3.337387733358975,24,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0008946,0.011177711625085619,0.7064758780068132,0.16070674842249144,1.252245007591135,525,abnormal neuron number,brain
MP:0008948,0.01573884820245713,0.7236069565816461,0.1363220570912148,1.3108918560720775,441,decreased neuron number,brain
