,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,increased synaptic depression:-log(OR_p),increased synaptic depression:log_OR,increased synaptic depression:num_genes,increased synaptic depression:gene_ids,abnormal synaptic glutamate release:-log(OR_p),abnormal synaptic glutamate release:log_OR,abnormal synaptic glutamate release:num_genes,abnormal synaptic glutamate release:gene_ids,abnormal excitatory postsynaptic currents:-log(OR_p),abnormal excitatory postsynaptic currents:log_OR,abnormal excitatory postsynaptic currents:num_genes,abnormal excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C195,14.109855908496115,1.3046195031860552,49,ANK2 ANK3 ARHGEF9 ASTN1 ATRN CD81 CETN2 CHN1 CNTN1 CROCC DGKB FKRP GABBR2 GAN GDI1 GDPD5 GIT1 GLRB GRIA2 HTRA2 KIF1A KIF21B KISS1R KLC1 MACF1 MAP1B MAPT MBD1 MEGF8 NBEA NTRK1 OFD1 PAFAH1B1 PCDH9 PHRF1 PI4K2A PLD2 PTPRS SIRT2 SLC17A6 STARD9 STXBP1 SYN1 TBC1D7 TTLL7 TUBB2B TUBB4A VEGFB YWHAZ,7.88840859167577,1.3096735585919994,22,AMPH ARHGAP1 ASTN1 FKRP FKTN GAN GDPD5 GRIA2 HTRA2 KIF1A KLC1 MAPT NOVA1 NTRK1 PAFAH1B1 PTPRS SYN1 SYT1 TUBB2B TUBB4A YWHAE YWHAZ,7.430207970389134,1.124231564804571,29,ANK2 ARHGEF9 CPEB1 DGKB GABBR2 GDI1 GDPD5 GIT1 GRIA2 GRIN2A KIF13A MAPT MBD1 NBEA NELL2 PCDH9 PHRF1 RAB3A RAB3GAP1 RAB6B RALBP1 SCN9A SLC17A6 SNAP25 STXBP1 SYN1 SYP SYT1 YWHAZ,7.299904658347543,1.8212186230551168,10,ARHGAP1 ASTN1 GRIA2 HTRA2 MAPT NOVA1 NTRK1 PAFAH1B1 TUBB2B TUBB4A,7.194646091771066,1.1380825006579194,27,ANK2 ARHGEF9 CPEB1 DGKB GABBR2 GDI1 GDPD5 GIT1 GRIA2 GRIN2A KIF13A MAPT MBD1 NBEA NELL2 PCDH9 RAB3A RAB3GAP1 RAB6B RALBP1 SCN9A SLC17A6 SNAP25 SYN1 SYP SYT1 YWHAZ,6.962185202663847,1.9834344943159383,8,ARHGEF9 GRIA2 MAPT RAB3A RALBP1 SLC17A6 SYN1 SYT1,6.8346721076850585,1.0891314013642184,28,ANK2 ARHGEF9 CPEB1 DGKB GABBR2 GDI1 GDPD5 GIT1 GRIA2 GRIN2A KIF13A MAPT MBD1 NBEA NELL2 PCDH9 RAB3A RAB3GAP1 RAB6B RALBP1 SCN9A SLC17A6 SNAP25 STXBP1 SYN1 SYP SYT1 YWHAZ,6.124800817236028,3.214481155701958,3,RAB3A SYN1 SYT1,6.124800817236028,3.214481155701958,3,GDI1 SLC17A6 SNAP25,5.957568876675629,1.8104495621358367,8,GABBR2 GDI1 GRIA2 GRIN2A NBEA RAB3GAP1 SLC17A6 SYT1,CD_4_notcateg-brain_malform systems map,6,7,0.031578947368421054,0.03684210526315789,0.0,0.9315789473684211
C196,3.3584460867086774,0.8766427970986506,20,CD81 CETN2 CROCC FKRP GAN GIT1 HTRA2 KLC1 MACF1 MBD1 NTRK1 OFD1 PAFAH1B1 PHRF1 PTPRS SIRT2 TUBB2B TUBB4A VEGFB YWHAZ,5.240322055831497,1.3543019551702553,13,ARHGAP1 FKRP FKTN GAN HTRA2 KLC1 NTRK1 PAFAH1B1 PTPRS TUBB2B TUBB4A YWHAE YWHAZ,0.1670315769959025,0.16140566746593876,7,CPEB1 GIT1 MBD1 PHRF1 RAB3GAP1 RALBP1 YWHAZ,4.914114149474996,1.868688153663916,6,ARHGAP1 HTRA2 NTRK1 PAFAH1B1 TUBB2B TUBB4A,0.08433720775517912,0.09401546263171134,6,CPEB1 GIT1 MBD1 RAB3GAP1 RALBP1 YWHAZ,0.1545738382656265,0.38803163979220656,1,RALBP1,0.0027750794664030097,0.0033640793746059217,6,CPEB1 GIT1 MBD1 RAB3GAP1 RALBP1 YWHAZ,-0.0,0.0,0,,-0.0,0.0,0,,0.08412882682338825,0.22438267546597146,1,RAB3GAP1,Recruitment of NuMA to mitotic centrosomes,3,5,0.028037383177570093,0.04672897196261682,0.0,0.9252336448598131
C198,8.287778679760752,1.862431111957056,16,ARHGEF9 ASTN1 ATRN CHN1 CNTN1 DGKB GABBR2 GLRB GRIA2 KISS1R MAPT NBEA PCDH9 SLC17A6 STXBP1 SYN1,4.437242747779163,1.7172102638202489,7,AMPH ASTN1 GRIA2 MAPT NOVA1 SYN1 SYT1,11.395614082739185,2.24463754659525,15,ARHGEF9 DGKB GABBR2 GRIA2 GRIN2A MAPT NBEA NELL2 PCDH9 SLC17A6 SNAP25 STXBP1 SYN1 SYP SYT1,5.330669137287771,2.432453112908556,4,ASTN1 GRIA2 MAPT NOVA1,10.975025590560948,2.2367011293393517,14,ARHGEF9 DGKB GABBR2 GRIA2 GRIN2A MAPT NBEA NELL2 PCDH9 SLC17A6 SNAP25 SYN1 SYP SYT1,12.649695421170422,3.306393896078715,6,ARHGEF9 GRIA2 MAPT SLC17A6 SYN1 SYT1,11.46268502965368,2.2517597509290024,15,ARHGEF9 DGKB GABBR2 GRIA2 GRIN2A MAPT NBEA NELL2 PCDH9 SLC17A6 SNAP25 STXBP1 SYN1 SYP SYT1,7.457883020250007,4.279067080553594,2,SYN1 SYT1,7.457883020250007,4.279067080553594,2,SLC17A6 SNAP25,11.5285777318355,3.136191771828976,6,GABBR2 GRIA2 GRIN2A NBEA SLC17A6 SYT1,excitatory synapse,3,1,0.07142857142857142,0.023809523809523808,0.0,0.9047619047619048
C202,1.4423295849762656,1.0607786596962043,5,GDI1 KIF1A KIF21B STARD9 TBC1D7,0.08390245896986888,0.22714825182620046,1,KIF1A,1.6621127671936824,1.2642493251238154,4,GDI1 KIF13A RAB3A RAB6B,-0.0,0.0,0,,1.870418203379829,1.3617590290807353,4,GDI1 KIF13A RAB3A RAB6B,1.254786916344092,1.9649356931998172,1,RAB3A,1.6767692817151778,1.2713009723608089,4,GDI1 KIF13A RAB3A RAB6B,3.9980144910709474,4.110607701439845,1,RAB3A,3.9980144910709474,4.110607701439845,1,GDI1,1.1015739128711612,1.8012918138043794,1,GDI1,microtubule motor activity,1,0,0.043478260869565216,0.0,0.0,0.9565217391304348
C235,0.5491384224666892,1.2415517964475047,1,GABBR2,-0.0,0.0,0,,0.8662490683331252,1.7218434965059188,1,GABBR2,-0.0,0.0,0,,0.938091065192089,1.819074418040456,1,GABBR2,-0.0,0.0,0,,0.8713575816508974,1.7288758489100662,1,GABBR2,-0.0,0.0,0,,-0.0,0.0,0,,2.9799384188084073,3.7947398448134146,1,GABBR2,C235,1,0,0.25,0.0,0.0,0.75
C211,2.5649312480633606,1.9363406980391638,4,ANK2 ANK3 CNTN1 MAP1B,-0.0,0.0,0,,2.371335654467047,1.974824796974855,3,ANK2 NELL2 SCN9A,-0.0,0.0,0,,2.5679779033518044,2.0722394336706866,3,ANK2 NELL2 SCN9A,-0.0,0.0,0,,2.3852920122300176,1.9818698524838254,3,ANK2 NELL2 SCN9A,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C211,0,1,0.0,0.1,0.0,0.9
C244,2.5380723138122927,3.4401035506397744,3,KIF1A PTPRS TTLL7,3.04286821970906,3.3208158632111964,2,KIF1A PTPRS,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C244,1,0,0.25,0.0,0.0,0.75
C197,0.0015382634327690632,-0.002078007728925968,5,FKRP GAN MACF1 PHRF1 SIRT2,0.3275068981938579,0.42910211502443296,3,FKRP FKTN GAN,0.18778339005059871,0.23647819550963334,4,CPEB1 PHRF1 RAB3GAP1 RALBP1,-0.0,0.0,0,,0.01575037226379365,0.026528566585886537,3,CPEB1 RAB3GAP1 RALBP1,0.5088438302587294,1.0288044736459518,1,RALBP1,0.038865197648905975,-0.06385379992293316,3,CPEB1 RAB3GAP1 RALBP1,-0.0,0.0,0,,-0.0,0.0,0,,0.4058099925110923,0.8651585415870517,1,RAB3GAP1,C197,3,3,0.05263157894736842,0.05263157894736842,0.0,0.8947368421052632
C200,3.031655107880574,1.3782775876164184,8,CD81 CETN2 MBD1 OFD1 PAFAH1B1 TUBB2B TUBB4A YWHAZ,3.429972358812707,1.7555714168172365,5,PAFAH1B1 TUBB2B TUBB4A YWHAE YWHAZ,0.1152157343134436,0.21735930862532982,2,MBD1 YWHAZ,4.382658374905921,2.519108289825285,3,PAFAH1B1 TUBB2B TUBB4A,0.17526398183859937,0.3146884608969316,2,MBD1 YWHAZ,-0.0,0.0,0,,0.11937831582445332,0.2243984954646958,2,MBD1 YWHAZ,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Recruitment of NuMA to mitotic centrosomes,0,2,0.0,0.06896551724137931,0.0,0.9310344827586207
C218,0.21334681330438932,0.5482298059928752,1,MACF1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C218,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
