,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
NYAP1,1,1,PD,AD,8.717087129404007,20.100417534704984,175.21709098742343,2
BRIP1,1,0,PD,AD,15.685867232909205,4.203734637919332,65.9392234127843,1
MFAP3L,1,0,PD,AD,13.945219182899534,4.347469212193623,60.62641105494763,1
TMEM175,1,0,PD,AD,9.665431486792706,5.306204427004831,51.286755344131336,1
PIK3CA,1,0,PD,AD,18.05797399812995,2.785363137007373,50.2980151034288,1
NYAP2,0,0,PD,AD,6.3894149038236225,7.595015994555991,48.52770839039484,0
GRN,1,0,PD,AD,15.58208162412315,2.8080431704702202,43.755157886328526,1
PSEN1,0,1,PD,AD,3.2611516390486055,13.371717835766804,43.60719953700638,1
CTSB,1,0,PD,AD,16.474584270945325,2.3123180898419284,38.094479232332176,1
PXK,1,0,PD,AD,8.534687392953801,4.2936858183520386,36.645266223193666,1
ABCG1,1,0,PD,AD,11.562951525425628,3.1058820770301625,35.913163900388035,1
PICALM,0,1,PD,AD,2.491381189719467,14.182708784330869,35.33453388455097,1
FYN,1,0,PD,AD,13.121505316986772,2.602750577729697,34.15200554447061,1
KCNIP3,1,0,PD,AD,8.353802048068742,3.9366253391848836,32.885788820961984,1
AAK1,1,0,PD,AD,14.24383442230079,2.255105375149644,32.12134756847204,1
TBC1D8,1,0,PD,AD,8.94259014819099,3.4052591549358855,30.451836970966824,1
BIN1,0,1,PD,AD,2.8791681503507154,10.425276147319128,30.016123041972246,1
POLG,1,0,PD,AD,12.146340861757096,2.296719087857756,27.896732904824148,1
GP1BA,1,0,PD,AD,14.160175100309303,1.9549069851951646,27.681825215181295,1
ITPKB,1,0,PD,AD,10.021670506761843,2.6731903695722283,26.789833085701794,1
SORL1,0,1,PD,AD,2.160599476307727,12.26743888841155,26.505022037939042,1
DNAJC6,1,0,PD,AD,11.276401432763482,2.3394481513835115,26.380556486136907,1
ZNF483,0,0,PD,AD,4.363089402211784,6.026764504743502,26.295312340272528,0
HIP1R,1,0,PD,AD,13.405258912010392,1.9594463859723157,26.26688612816194,1
VPS35,1,0,PD,AD,16.795551736564725,1.5453102660703837,25.95433852282973,1
PSEN2,0,1,PD,AD,2.208509729278924,11.695651502842583,25.829960134283517,1
CYLD,1,0,PD,AD,13.696815718450425,1.8665458468917975,25.565734494915933,1
DLK1,1,0,PD,AD,11.387588484573175,2.158164285733097,24.576286768031306,1
BIN3,1,0,PD,AD,13.33387834868284,1.837997065149315,24.507629271937052,1
TMEM150B,0,0,PD,AD,4.759999580062093,5.091397965730825,24.23505217880772,0
BRSK1,0,0,PD,AD,4.759999580062076,5.091397965730824,24.23505217880763,0
SREBF1,1,0,PD,AD,12.883423445794369,1.8705057060776222,24.09851706917259,1
TMCC2,0,0,PD,AD,4.310474512847216,5.525717180210062,23.81846307049746,0
SYNJ1,1,0,PD,AD,14.733791615894472,1.5585650140594076,22.96357213697495,1
ARHGAP30,1,0,PD,AD,11.574486240851947,1.9304149712811733,22.343561524228548,1
VASH2,0,0,PD,AD,4.3723173906505854,4.789326605007434,20.94045600457953,0
ITGA8,1,0,PD,AD,11.72381624381349,1.7839816828165793,20.915073431670738,1
FLRT1,0,0,PD,AD,4.033093738931634,4.9834279961665136,20.098632249755784,0
SPPL2B,1,0,PD,AD,6.95648209459376,2.870759834513657,19.970389386673197,1
AC004997.1,0,0,PD,AD,4.908305131617114,4.0640316714477125,19.947507508021285,0
INPP5D,0,1,PD,AD,1.8683184450355725,10.407875905126422,19.445226527189,1
CRMP1,0,0,PD,AD,3.6551173345586165,5.2477221176840745,19.181040079293712,0
WDR13,0,0,PD,AD,3.730778624484072,4.986924852452331,18.60511264143754,0
TBC1D5,1,0,PD,AD,9.02610372410429,2.025864216115628,18.285660545610888,1
NCKAP1,0,0,PD,AD,3.5537666644349524,5.14026669345095,18.267308421491265,0
PPFIA3,1,0,PD,AD,9.098700890766816,1.9864286319396567,18.07391996287406,1
RSPH10B2,0,0,PD,AD,3.2509186141328135,5.509271480418097,17.910193206002234,0
ARHGAP26,0,0,PD,AD,3.713489594825128,4.818823072459091,17.89464933888009,0
PIK3R1,0,0,PD,AD,3.834811800881643,4.596600797782042,17.62709898327655,0
SORCS3,0,0,PD,AD,3.228840802199563,5.40960731775817,17.466760831454916,0
