Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C575,APOE SEPT3 WBP1L KATNAL2 SMIM11A TMEM127 NEFM PNMA8A TUBA3C DUSP3 NEDD8-MDP1 UNC13A NDUFB9 WDR41 ACTR1A NRN1L CSF2RB KIF3B TMEM159 GRB14 RAB28 ARRDC3 CKMT2 DNPEP BAX ULK1 SPOPL BLVRB MNDA SPOCK3 ISG15 CEP41 HS1BP3 LITAF CHD1 SYT4 MOSPD1 ERC2 SYNGAP1 FIG4 PEG3 SPAST MLLT11 TAPBP RAB12 TDRD7 VTI1A ATP8B2 ZNF579 AIF1 CPEB4 NDRG3 CLPB BAG1 RTL8B KIF5A MAN2B2 LNX2 NCF2 EIF4EBP2 WIPI1 FRAT1 ACYP2 STUB1 TMEM129 DYNC1LI2 CHGB SNX24 ARAF LAMTOR1 AC026464.4 ANO10 SNX25 NAP1L3 C1QTNF2 ATP6AP2 TTPAL GRN RIN2 KRTAP13-2 ZNF329 TOMM20L SNCB CC2D1B SOD1 TNIP3 SRPK1 VPS37D RBMXL1 SEC24D GPR137B RESF1 STMN3 TBKBP1 CTSL DOCK5 ATL1 MMS19 AC004997.1 DMXL2 REEP6 USP15 NLRP4 TRPT1 MAVS FAM131C ZFAND2B KIF5C BRIP1 STX2 KIAA1191 BSN CYFIP2 IGFBP4 CAMKV SHISA7 CD99L2 UNC13B COA3 PURB THRAP3 SLC44A2 DCTN1 NAMPT HLA-DRB4 TSPAN5 APBA1 MT1P3 CDC42BPG RAB39A TOM1 GPI PCBD1 GPR180 PIANP EIF2B2 CHCHD6 MICOS13 ZFYVE1 RGS7 RIPK1 C2orf40 CCDC159 DCTN3 SHISA5 RNF157 MFSD1 RIMS2 CELF3 WDR81 NUPR1 FAM217B PPHLN1 CELF4 RBM47 PTPRN DNM1 RPRML USP11 BLOC1S5 FHIT FAM207A THAP4 INS-IGF2 NAPSB RAB3A EPHA2 KIF4B NLRC3 KIF1A PPFIA3 FAF1 AGTPBP1 FAM222A ZDHHC24 IGLON5 SMCR8 CHGA HNRNPA2B1 BECN1 CRX KLC1 ADCK5 GPC2 ILRUN SYP GABRB1 UBXN2A ABHD14B PLEKHA3 CASP1 ZNF398 TOR4A EFNB3 CCNQ ALS2 GRIA2 YWHAH SPTBN2 WHRN TMEM154 NPVF SELENOK STX1B OTUD5 SH3GL2 PCSK2 MRNIP AP1B1 BMERB1 RBM45 PON1 NPC2 FAM104A MAP1LC3C PARP8 HIVEP3 FGD4 SYBU GABRB3 MCRIP2 FUS GPR101 CHCHD5 BEX1 C9orf72 SLC8B1 DGKB LGALS8 CMTM6 NDUFA11 CLEC7A CCSAP CADPS2 DYNC1I2 TTYH3 INPP1 ZNF670 NUDT22 CDK5R2 KIF16B WDR45 COA6 AKR1B15 B3GALT4 CFD MAPK8IP1 GPCPD1 FAM234A DGKQ GLIPR2 SLAIN1 PLIN2 UBQLN2 CALM1 MICU1 BAGE4 PARM1 STXBP5L DERL1 PITRM1 FHOD3 APBA3 MPZL3 PLCH1 RAB6B SEC24A HLA-DRB1 STARD7 OPTN TBK1 CDK5 OPCML PHPT1 SKAP2 AC048338.1 C2CD4B UBXN8 OTULIN C1QTNF4 PM20D2 TRADD CALM3 LHFPL3 LIMS4 LRRK2 THEMIS2 CDIP1 CD63 ISYNA1 PSEN1 SNAP29 SNCA TNIP1 RAB3C VAMP1 LUC7L IFI30 PRADC1 RNF216 NDUFB10 KITLG DPH1 RBM26 SREK1 KLF13 LRP10 JPH4 EFHD1 AKR1E2 RRAGC NBR1 CADPS NDRG4 CLTC USP3 RIMS1 MICOS10-NBL1 RTL8A GORAB SYNE3 EMC3 PHYH ZNF444 COX19 BNC2 CHRNB2 EPB41L3 ABTB2 TECPR2 MRPS24 TCN2 HLA-DQA1 PCSK1 HLA-DRB3 OGFRL1 TDRKH BBOF1 C1QL4 BAIAP3 C5orf15 ANKH SUSD4 RBM27 CHMP4C HLA-DQA2 SPTBN4 C8orf82 TXNL4B IMMT CMAS CPLX2 PARD6G N4BP1 TRAPPC1 GNPTG OSBPL1A SYN1 DCLK1 GPR65 OSBPL11 SGCB KANSL1L SQSTM1 CYB561D1 CLPSL2 SLAMF6 HINT2 PKN2 CTSS WFDC10B FAM173A RNASEH1P1 RNF135 KIF3C DEFA1B RNF19B TSPAN7 UBXN10 SDCCAG8 ITPRIPL1 SEC31A ATG13 ZFP41 KCTD16 PDLIM1 PXDNL RAB7A GPBP1 PRRC2A ATCAY MIEN1 RNF103-CHMP3 SEZ6 C6orf136 PSD2 SLC30A10 RBM23 PIWIL3 FDCSP PRPH WASHC1 DYNLL2 CCDC13 FAM222B TUBA3D C17orf67 MCCC1 MAPK8IP2 RICTOR MATR3 STX1A HLA-DRB5 ORAI3 GSTT2B NAXE LOC102724985 PELI3 MIEF2 GRIK5 CARNMT1 BBC3 MPND PARP10 HPCAL4 STX3 ATXN1L CHCHD2P9 SESN2 CADM4 AL136295.1 SYT3 LCMT2 CTF1 SYNGR3 NDUFA5 TIMM50 VCP ZFP91 CLDN10 EPDR1 ANGPTL7 FIZ1 TLR1 CASP7 ZNF181 UNC13D CCDC177 GFER PHF20L1 EDEM1 U2AF2 SLC9A9 TRPM4 IFI27 DGKG ODAPH GOLPH3 TMEM158 CHTOP DGKA DYNC1LI1 MAP1LC3A RAB36 HSP90AA2P TRIM16 RNF19A ATG3 SLC25A1 KIFAP3 ZEB2 TXNDC11 HM13 RB1CC1 DCP2 STEAP1B VAMP2 DEFA1A3 TLN2 C2CD4C UNC79 TOMM20 PINK1 ARHGEF33 DOC2A NSG2 CIAO2A RTN3 KIF3A DCTN4 TMBIM1 SYNPO2 COIL RHOBTB1 GRIA1 PRRC2C DCTN5 ZMYM6 STXBP1 KCNB2 RABL6 PPDPF GPR162 CCDC69 TARDBP CLSTN1 DYNC1H1 KIF26A ELAVL4 DEFB115 PELI2 UAP1L1 RGS18 CHCHD10 PTPRN2 CMYA5 SCAMP5 UBAP1 TET2 ATG12 SEMA4A FASTK ESRRA CHCHD4 RBMXL3 SLMAP TCEAL2 SMIM2 UNC13C CCDC134 YME1L1 SND1 NUCB1 DNAAF2 CREG2 CEP112 SLC49A4 BCAS1 MVB12B ZFP92 FSBP NEK3 NACAD FBXO45 PHF10 SPAG7 SCG5 ATP5MD DYNC1I1 BMT2 INA YWHAQ CA4 CYB561A3 ST8SIA3 LAMP5 PCLO NMI RAPGEF3 C2CD4A DCTN2 SERPINB8 CHMP2B SGCG LSM14B MYD88 SFXN1 SNAP25 FLYWCH2 ARHGEF28 ZNF778 IST1 GALP,synaptic vesicle exocytosis,2.9011845782758497e-23,0.3069306930693069,31.0,7,3,3,0.012216404886561954,0.005235602094240838,0.020942408376963352,0.9616055846422339
C576,APOE WBP1L KATNAL2 SMIM11A TMEM127 NEFM DUSP3 NEDD8-MDP1 NDUFB9 WDR41 NRN1L CSF2RB TMEM159 GRB14 ARRDC3 CKMT2 DNPEP BAX ULK1 SPOPL BLVRB MNDA ISG15 HS1BP3 LITAF CHD1 MOSPD1 ERC2 SYNGAP1 FIG4 PEG3 SPAST TAPBP TDRD7 ZNF579 AIF1 CPEB4 NDRG3 CLPB BAG1 RTL8B MAN2B2 LNX2 NCF2 EIF4EBP2 WIPI1 FRAT1 ACYP2 STUB1 TMEM129 ARAF LAMTOR1 AC026464.4 ANO10 C1QTNF2 ATP6AP2 TTPAL GRN RIN2 KRTAP13-2 ZNF329 TOMM20L CC2D1B SOD1 TNIP3 SRPK1 VPS37D RBMXL1 SEC24D GPR137B RESF1 TBKBP1 CTSL DOCK5 MMS19 AC004997.1 DMXL2 REEP6 USP15 NLRP4 TRPT1 MAVS FAM131C ZFAND2B BRIP1 KIAA1191 IGFBP4 CD99L2 COA3 PURB THRAP3 SLC44A2 DCTN1 NAMPT MT1P3 CDC42BPG PCBD1 TOM1 GPI GPR180 EIF2B2 CHCHD6 MICOS13 ZFYVE1 C2orf40 RIPK1 CCDC159 SHISA5 MFSD1 WDR81 NUPR1 FAM217B PPHLN1 RBM47 BLOC1S5 FHIT FAM207A THAP4 INS-IGF2 NLRC3 FAF1 AGTPBP1 FAM222A ZDHHC24 SMCR8 HNRNPA2B1 BECN1 ADCK5 GPC2 ILRUN UBXN2A ABHD14B PLEKHA3 CASP1 ZNF398 TOR4A CCNQ YWHAH WHRN TMEM154 NPVF SELENOK OTUD5 MRNIP AP1B1 BMERB1 RBM45 NPC2 FAM104A MAP1LC3C PARP8 HIVEP3 FGD4 MCRIP2 FUS GPR101 CHCHD5 C9orf72 SLC8B1 LGALS8 CMTM6 NDUFA11 CLEC7A TTYH3 INPP1 NUDT22 WDR45 COA6 AKR1B15 B3GALT4 CFD GPCPD1 GLIPR2 SLAIN1 PLIN2 UBQLN2 MICU1 BAGE4 PARM1 PITRM1 DERL1 FHOD3 APBA3 MPZL3 SEC24A STARD7 OPTN TBK1 PHPT1 SKAP2 UBXN8 OTULIN C1QTNF4 PM20D2 TRADD LRRK2 THEMIS2 CDIP1 CD63 ISYNA1 PSEN1 TNIP1 LUC7L IFI30 PRADC1 RNF216 NDUFB10 DPH1 RBM26 SREK1 KLF13 LRP10 AKR1E2 RRAGC NBR1 CLTC USP3 MICOS10-NBL1 RTL8A GORAB EMC3 PHYH ZNF444 COX19 BNC2 EPB41L3 ABTB2 TECPR2 MRPS24 TCN2 OGFRL1 TDRKH BBOF1 C1QL4 C5orf15 ANKH SUSD4 RBM27 CHMP4C C8orf82 TXNL4B IMMT CMAS N4BP1 TRAPPC1 GNPTG GPR65 OSBPL11 KANSL1L SQSTM1 CYB561D1 CLPSL2 SLAMF6 HINT2 PKN2 CTSS WFDC10B FAM173A RNASEH1P1 RNF135 DEFA1B RNF19B ITPRIPL1 UBXN10 ATG13 ZFP41 PDLIM1 PXDNL GPBP1 PRRC2A MIEN1 RNF103-CHMP3 SEZ6 C6orf136 SLC30A10 RBM23 PIWIL3 FDCSP PRPH WASHC1 CCDC13 FAM222B MCCC1 RICTOR MATR3 ORAI3 GSTT2B NAXE LOC102724985 PELI3 MIEF2 CARNMT1 BBC3 MPND PARP10 ATXN1L CHCHD2P9 SESN2 AL136295.1 LCMT2 NDUFA5 TIMM50 VCP ZFP91 EPDR1 ANGPTL7 FIZ1 TLR1 CASP7 ZNF181 GFER PHF20L1 EDEM1 U2AF2 TRPM4 IFI27 DGKG ODAPH GOLPH3 TMEM158 CHTOP MAP1LC3A HSP90AA2P TRIM16 RNF19A ATG3 SLC25A1 ZEB2 TXNDC11 HM13 RB1CC1 DCP2 DEFA1A3 TLN2 TOMM20 PINK1 ARHGEF33 CIAO2A TMBIM1 SYNPO2 COIL PRRC2C DCTN5 ZMYM6 PPDPF GPR162 CCDC69 TARDBP CLSTN1 DEFB115 PELI2 UAP1L1 RGS18 CHCHD10 CMYA5 UBAP1 TET2 ATG12 SEMA4A FASTK ESRRA CHCHD4 RBMXL3 SLMAP SMIM2 CCDC134 YME1L1 SND1 NUCB1 CEP112 SLC49A4 MVB12B FSBP NEK3 FBXO45 PHF10 SPAG7 ATP5MD BMT2 YWHAQ CYB561A3 NMI SERPINB8 CHMP2B LSM14B MYD88 SFXN1 FLYWCH2 ARHGEF28 ZNF778 IST1 GALP,autophagosome membrane,6.832715498003737e-08,0.19298245614035087,11.0,4,2,2,0.01020408163265306,0.00510204081632653,0.02806122448979592,0.9566326530612245
C579,SEPT3 RNF157 CLDN10 RIMS2 CELF3 JPH4 EFHD1 CADPS NDRG4 NEFM PNMA8A CELF4 PTPRN RIMS1 DNM1 UNC13D UNC13A RPRML CCDC177 SLC9A9 CHRNB2 NAPSB RAB3A KIF1A PPFIA3 SPOCK3 DGKA IGLON5 PCSK1 CHGA CRX SYT4 BAIAP3 SYP GABRB1 MLLT11 CPLX2 VTI1A EFNB3 STEAP1B VAMP2 GRIA2 SYN1 DCLK1 UNC79 SGCB LNX2 DOC2A STX1B NSG2 SH3GL2 RTN3 PCSK2 GRIA1 CHGB TSPAN7 KCNB2 STXBP1 SNX25 NAP1L3 SYBU GABRB3 CLSTN1 BEX1 ELAVL4 DGKB KCTD16 SNCB CCSAP CADPS2 PTPRN2 ZNF670 CDK5R2 SCAMP5 ATCAY MAPK8IP1 TCEAL2 DGKQ STMN3 UNC13C PSD2 CALM1 STXBP5L CREG2 DNAAF2 ATL1 CEP112 PRPH C17orf67 NACAD SCG5 PLCH1 RAB6B KIF5C MAPK8IP2 STX2 INA STX1A BSN OPCML CYFIP2 CAMKV AC048338.1 CA4 SHISA7 GRIK5 UNC13B ST8SIA3 CALM3 LHFPL3 LAMP5 PCLO HPCAL4 RAPGEF3 LIMS4 STX3 APBA1 CADM4 SNAP29 SGCG RAB3C VAMP1 SNAP25 SYT3 PIANP CTF1 SYNGR3 RGS7,calcium-ion regulated exocytosis,3.796132639996154e-26,0.27941176470588236,19.0,1,0,0,0.0078125,0.0,0.0078125,0.984375
C585,DYNLL2 DCTN3 HLA-DQA2 SPTBN4 KIFAP3 DYNC1H1 DYNC1I1 KIF26A HLA-DRB1 HLA-DRB5 SPTBN2 DYNC1I2 RAB7A OSBPL1A ACTR1A BAG1 KIF3B KIF16B DCTN1 HLA-DRB4 KIF3A KIF4B DCTN4 DCTN2 HLA-DQA1 DYNC1LI1 BMERB1 CEP41 HLA-DRB3 KIF3C DYNC1LI2 DCTN5 SDCCAG8 KLC1,COPI-independent Golgi-to-ER retrograde traffic,5.052949923352981e-20,0.22641509433962265,12.0,1,1,1,0.029411764705882353,0.029411764705882353,0.0,0.9411764705882353
C651,APOE TCN2 ANKH PARM1 CA4,C651,,,,0,1,1,0.0,0.2,0.0,0.8
C597,RAB3C SLC30A10 RAB28 RAB36 LRRK2 RAB7A RAB39A RAB6B RAB3A RAB12 MRNIP SYNGR3 REEP6 RABL6,RAB geranylgeranylation,4.845514469722149e-11,0.09375,6.0,0,1,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C577,APOE WBP1L MFSD1 LRP10 EPDR1 WDR81 RRAGC NUPR1 NBR1 CASP7 TLR1 TMEM127 ZNF181 RBM47 DUSP3 USP3 WDR41 CSF2RB GORAB PHF20L1 EMC3 PHYH TMEM159 GRB14 BLOC1S5 BNC2 IFI27 EPB41L3 ABTB2 DGKG FAM207A ARRDC3 BAX TMEM158 NLRC3 ULK1 TECPR2 SPOPL BLVRB MNDA AGTPBP1 FAM222A TCN2 ISG15 HSP90AA2P MAP1LC3A SMCR8 HS1BP3 TRIM16 RNF19A OGFRL1 BBOF1 BECN1 LITAF CHD1 MOSPD1 GPC2 ERC2 C5orf15 ATG3 SYNGAP1 ILRUN ANKH PEG3 CHMP4C PLEKHA3 CASP1 ZNF398 SPAST TAPBP ZEB2 HM13 TDRD7 RB1CC1 DCP2 TOR4A DEFA1A3 TLN2 N4BP1 WHRN TMEM154 AIF1 CPEB4 GPR65 OSBPL11 KANSL1L SQSTM1 PINK1 SLAMF6 MAN2B2 LNX2 PKN2 NCF2 OTUD5 EIF4EBP2 MRNIP WIPI1 CTSS FRAT1 ACYP2 TMBIM1 SYNPO2 RNF135 RNF19B NPC2 ZMYM6 ANO10 MAP1LC3C PARP8 CCDC69 ATP6AP2 FGD4 TTPAL GRN ATG13 C9orf72 RIN2 KRTAP13-2 SLC8B1 LGALS8 UAP1L1 CMTM6 ZNF329 PELI2 RGS18 CLEC7A PDLIM1 CC2D1B TNIP3 TTYH3 GPBP1 PRRC2A INPP1 NUDT22 WDR45 UBAP1 TET2 B3GALT4 ATG12 VPS37D SEMA4A CFD GPR137B RNF103-CHMP3 GPCPD1 RESF1 GLIPR2 SLAIN1 TBKBP1 PLIN2 SLC30A10 MICU1 FHOD3 CTSL DERL1 NUCB1 DOCK5 AC004997.1 SLC49A4 DMXL2 WASHC1 USP15 CCDC13 APBA3 MPZL3 MVB12B NLRP4 FAM222B MAVS NEK3 RICTOR BRIP1 BMT2 KIAA1191 OPTN TBK1 IGFBP4 ORAI3 SKAP2 PELI3 CARNMT1 BBC3 THRAP3 TRADD PARP10 NMI NAMPT LRRK2 SESN2 THEMIS2 MT1P3 CD63 SERPINB8 PSEN1 CHMP2B AL136295.1 TNIP1 MYD88 FLYWCH2 IFI30 CDC42BPG TOM1 GPI RNF216 GPR180 IST1 ZFYVE1 RIPK1,autophagosome membrane,1.3213400619380732e-10,0.19298245614035087,11.0,0,2,2,0.0,0.009615384615384616,0.028846153846153848,0.9615384615384616
C578,TIMM50 CCDC159 RBM26 SREK1 VCP ZFP91 KLF13 AKR1E2 KATNAL2 FAM217B PPHLN1 FIZ1 CASP7 NEFM CHCHD6 NEDD8-MDP1 MICOS10-NBL1 NDUFB9 NRN1L RTL8A GFER U2AF2 COX19 ZNF444 FHIT ODAPH THAP4 FAM207A INS-IGF2 CKMT2 DNPEP CHTOP MRPS24 FAF1 ZDHHC24 TDRKH C1QL4 HNRNPA2B1 ADCK5 MICOS13 UBXN2A SLC25A1 RBM27 ABHD14B SPAST C8orf82 TXNL4B HM13 IMMT CMAS CCNQ ZNF579 TRAPPC1 GNPTG NDRG3 CLPB BAG1 RTL8B TOMM20 NPVF CYB561D1 SELENOK CLPSL2 ARHGEF33 HINT2 CIAO2A WFDC10B FAM173A RNASEH1P1 AP1B1 STUB1 COIL TMEM129 RBM45 ITPRIPL1 PRRC2C UBXN10 FAM104A ARAF LAMTOR1 AC026464.4 PPDPF GPR162 HIVEP3 C1QTNF2 TARDBP MCRIP2 FUS GPR101 CHCHD5 ZFP41 DEFB115 NDUFA11 TOMM20L CHCHD10 PDLIM1 PXDNL SOD1 SRPK1 PRRC2A NUDT22 COA6 MIEN1 AKR1B15 RBMXL1 FASTK CHCHD4 SEZ6 C6orf136 SMIM2 CCDC134 UBQLN2 YME1L1 RBM23 BAGE4 PITRM1 SND1 PIWIL3 CEP112 FDCSP REEP6 PRPH TRPT1 FSBP FAM131C FBXO45 PHF10 SPAG7 ZFAND2B ATP5MD MCCC1 MATR3 STARD7 YWHAQ PHPT1 GSTT2B NAXE MIEF2 LOC102724985 UBXN8 CD99L2 CYB561A3 COA3 OTULIN C1QTNF4 PM20D2 PURB MPND ATXN1L CHCHD2P9 ISYNA1 LSM14B SFXN1 ARHGEF28 LUC7L ZNF778 PCBD1 PRADC1 TOM1 LCMT2 EIF2B2 NDUFA5 GALP NDUFB10,Mitochondrial protein import,3.2468012559913276e-08,0.13636363636363635,9.0,3,0,0,0.018292682926829267,0.0,0.03048780487804878,0.9512195121951219
C643,LSM14B ABTB2 DCTN1 HS1BP3 SLMAP,C643,,,,1,0,0,0.2,0.0,0.0,0.8
C583,GPR162 DPH1 FAM222B SUSD4 C1QTNF2 FIG4 SMIM11A FAM217B DEFB115 EIF2B2 NEDD8-MDP1 CLTC MICOS10-NBL1 TOMM20L MIEF2 NRN1L RTL8A CD99L2 C1QTNF4 CARNMT1 RTL8B NPVF CLPSL2 ODAPH INS-IGF2 SEZ6 CDIP1 RBMXL3 WFDC10B SMIM2 UBQLN2 BAGE4 PARM1 C1QL4 DEFA1B ITPRIPL1 FDCSP MMS19 GALP C2orf40,C583,,,,0,0,0,0.0,0.0,0.025,0.975
