,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0002910,1.2961600790334757e-18,1.981890851179715,1.5407818278892083,2.422999874470222,139,abnormal excitatory postsynaptic currents,brain
MP:0002882,2.788767710848012e-16,0.921250786132406,0.7005724284211039,1.141929143843708,1550,abnormal neuron morphology,brain
MP:0004753,1.406355054249988e-13,1.8323988930490227,1.3467893922802732,2.318008393817772,125,abnormal miniature excitatory postsynaptic currents,brain
MP:0002206,3.2403064224073375e-13,0.9940114903613111,0.7265454145391812,1.261477566183441,890,abnormal CNS synaptic transmission,brain
MP:0004769,5.641093342493315e-13,2.308794516058507,1.6810757122094673,2.9365133199075464,55,abnormal synaptic vesicle morphology,brain
MP:0004792,9.004780375114902e-13,2.409673679230564,1.7486623442540745,3.0706850142070534,47,abnormal synaptic vesicle number,brain
MP:0003635,1.4602793967788615e-12,0.9455780761201442,0.6837465003947987,1.2074096518454898,975,abnormal synaptic transmission,brain
MP:0021009,1.977126031214445e-12,0.9397921439455406,0.678004791602038,1.2015794962890431,980,abnormal synaptic physiology,brain
MP:0000937,3.589670994112849e-12,1.6203512012588668,1.1635590209756705,2.0771433815420632,165,abnormal motor neuron morphology,brain
MP:0011267,5.467525659515068e-10,2.414403841866556,1.651777395209629,3.177030288523483,35,abnormal excitatory postsynaptic current amplitude,brain
MP:0011269,2.7746323747656865e-09,3.3168622800733134,2.2232404833567467,4.41048407678988,13,increased excitatory postsynaptic current amplitude,brain
MP:0004811,1.6274531360442623e-08,0.9172338563898155,0.5989111189010392,1.2355565938785917,631,abnormal neuron physiology,brain
MP:0002915,2.696671950033302e-08,1.5550574570187425,1.0068886629079898,2.1032262511294952,118,abnormal synaptic depression,brain
MP:0003224,5.087793766211386e-08,1.0309500446587077,0.6600716761030947,1.4018284132143206,409,neuron degeneration,brain
MP:0004770,8.517165208522312e-08,2.62333125392425,1.66332146264839,3.5833410452001098,20,abnormal synaptic vesicle recycling,brain
MP:0021010,9.354450145312444e-08,1.982852286228188,1.2549186947592936,2.7107858776970826,49,impaired synaptic physiology,brain
MP:0001900,9.354450145312444e-08,1.982852286228188,1.2549186947592936,2.7107858776970826,49,impaired synaptic plasticity,brain
MP:0000940,1.5303047318147798e-07,2.086880617176331,1.307625923096725,2.8661353112559373,40,abnormal motor neuron innervation pattern,brain
MP:0000938,4.058844973011987e-07,1.997103745498654,1.2244794570220234,2.7697280339752846,43,motor neuron degeneration,brain
MP:0002916,4.3519028725717355e-07,2.7759391771357356,1.699179492305969,3.852698861965502,15,increased synaptic depression,brain
MP:0004859,1.5423445268794417e-06,1.650523437230353,0.9773671896641724,2.3236796847965335,72,abnormal synaptic plasticity,brain
MP:0002885,2.6858832519574233e-06,2.170907269018846,1.2643529459684513,3.0774615920692407,28,abnormal AMPA-mediated synaptic currents,brain
MP:0014062,2.8061936919702826e-06,1.7007255606680456,0.9891559232225512,2.41229519811354,62,nervous system inclusion bodies,brain
MP:0002272,1.8992902447000894e-05,0.9247276219711225,0.5009067748395385,1.3485484691027065,335,abnormal nervous system electrophysiology,brain
MP:0002912,2.028803189099285e-05,1.3733951928450825,0.7417676839870179,2.005022701703147,101,abnormal excitatory postsynaptic potential,brain
MP:0002945,7.856202610715182e-05,1.4073477703177222,0.7088091123081858,2.1058864283272585,80,abnormal inhibitory postsynaptic currents,brain
MP:0009435,0.00012057249426295775,1.566345342206958,0.7679024220116613,2.3647882624022545,54,abnormal miniature inhibitory postsynaptic currents,brain
MP:0009939,0.0001389530829868575,1.2184180439220462,0.5916358399706725,1.84520024787342,116,abnormal hippocampus neuron morphology,brain
MP:0000939,0.0004027061839431744,1.331130466075349,0.5937806513898538,2.068480280760844,76,decreased motor neuron number,brain
MP:0002888,0.0005416882953724014,1.9086891002108937,0.8272508268723215,2.990127373549466,23,abnormal NMDA-mediated synaptic currents,brain
MP:0008946,0.000550436931982791,0.6775211103544159,0.2931668094379714,1.0618754112708604,510,abnormal neuron number,brain
MP:0011003,0.0006070042525806944,2.2615986112623006,0.9687017870671826,3.5544954354574188,13,reduced AMPA-mediated synaptic currents,brain
MP:0002917,0.0013087147533118308,2.079167381294294,0.8112723117248468,3.347062450863741,15,decreased synaptic depression,brain
MP:0008948,0.002080680052809073,0.6604414231398881,0.23995906563833247,1.0809237806414438,427,decreased neuron number,brain
MP:0000136,0.0032439494641880967,1.0953002309983848,0.366012192568006,1.8245882694287636,94,abnormal microglial cell morphology,brain
MP:0003243,0.005555824360654319,1.3155130071559178,0.38567314443933864,2.245352869872497,48,abnormal dopaminergic neuron morphology,brain
MP:0003202,0.007844284014529265,0.7421730646120555,0.1950513038505266,1.2892948253735843,229,abnormal neuron apoptosis,brain
MP:0003871,0.008388167469707034,1.1326181378763014,0.2904848628328476,1.9747514129197552,68,abnormal myelin sheath morphology,brain
MP:0011270,0.011522617985627284,1.5679029445104558,0.3515521018073924,2.784253787213519,23,decreased excitatory postsynaptic current amplitude,brain
MP:0005192,0.01230471238675301,1.959796002061326,0.4253591684876923,3.4942328356349597,11,increased motor neuron number,brain
MP:0004191,0.01230471238675301,1.959796002061326,0.4253591684876923,3.4942328356349597,11,neuronal intranuclear inclusions,brain
MP:0011452,0.01230471238675301,1.959796002061326,0.4253591684876923,3.4942328356349597,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003690,0.014362290295877475,0.9042650017621838,0.1802966108251307,1.628233392699237,112,abnormal glial cell physiology,brain
MP:0004101,0.016425148005605655,1.2686760746332695,0.23231991865137003,2.305032230615169,40,abnormal brain interneuron morphology,brain
MP:0003691,0.02498366221956919,1.050647048240016,0.13202658885603302,1.9692675076239992,61,abnormal microglial cell physiology,brain
MP:0006069,0.027029128739492984,0.5038474623062772,0.05722620058384886,0.9504687240287055,431,abnormal retina neuronal layer morphology,brain
MP:0004494,0.02883649951826767,1.671949424358715,0.172686524992415,3.171212323725015,14,abnormal synaptic glutamate release,brain
MP:0000920,0.04075540095539577,0.6721665864151358,0.02826827041666613,1.3160649024136055,174,abnormal myelination,brain
MP:0008236,0.04323852564230568,1.2309917022299945,0.037412428811052445,2.424570975648937,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0008235,0.049188523427958805,1.1958454931577958,0.0042496586181071105,2.387441327697484,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0003204,0.05317094930071842,0.901116596499115,-0.012319520840227915,1.814552713838458,70,decreased neuron apoptosis,brain
MP:0013438,0.06541057276477152,1.3840479694676198,-0.08828313987548997,2.8563790788107295,18,dysmyelination,brain
MP:0020448,0.06541057276477152,1.3840479694676198,-0.08828313987548997,2.8563790788107295,18,increased microglial cell activation,brain
MP:0003244,0.06541057276477152,1.3840479694676198,-0.08828313987548997,2.8563790788107295,18,loss of dopaminergic neurons,brain
MP:0000952,0.06834027438247832,0.4887328870679095,-0.03678922270905538,1.0142549968448744,311,abnormal CNS glial cell morphology,brain
MP:0000778,0.07131319504934697,0.5637678474000509,-0.048917611001800365,1.1764533058019022,212,abnormal nervous system tract morphology,brain
MP:0002913,0.07772108706362557,1.0664141745007978,-0.11842523444276565,2.2512535834443614,36,abnormal PNS synaptic transmission,brain
MP:0003203,0.07786181022372793,0.6090390988791938,-0.06795432667842038,1.286032524436808,166,increased neuron apoptosis,brain
MP:0002752,0.08289236422879676,0.28668475081582834,-0.03733186626620366,0.6107013678978603,1039,abnormal somatic nervous system morphology,brain
MP:0009937,0.09909770001150452,0.4417398387907223,-0.08322449915730978,0.9667041767387544,325,abnormal neuron differentiation,brain
MP:0000965,0.10098712347866101,0.37267450777663136,-0.07268522525333831,0.818034240806601,487,abnormal sensory neuron morphology,brain
MP:0003424,0.11816934618406175,1.1606849875748768,-0.29524794581257274,2.6166179209623266,22,premature neuronal precursor differentiation,brain
MP:0004980,0.11816934618406175,1.1606849875748768,-0.29524794581257274,2.6166179209623266,22,increased neuronal precursor cell number,brain
MP:0009808,0.13361733662614214,1.1118399582365832,-0.34094852862591596,2.5646284450990824,23,decreased oligodendrocyte number,brain
MP:0003634,0.14912639585421203,0.3629845120183699,-0.13016999692742903,0.8561390209641688,397,abnormal glial cell morphology,brain
MP:0008571,0.16687070035982499,1.0207584406617496,-0.4265451725817333,2.4680620539052325,25,abnormal synaptic bouton morphology,brain
MP:0011448,0.18456637719277458,0.9781439520420445,-0.46675348236107417,2.4230413864451634,26,decreased dopaminergic neuron number,brain
MP:0002110,0.18556960654554677,-0.5997973254042606,-1.4878329081077928,0.28823825729927166,293,abnormal digit morphology,neg_ctrl
MP:0010762,0.28152812210370926,0.7886275362222168,-0.6466884453198507,2.223943517764284,31,abnormal microglial cell activation,brain
MP:0012204,0.3086897684429911,1.0641186771551627,-0.9846880095378423,3.1129253638481678,12,abnormal neuronal stem cell physiology,brain
MP:0001045,0.3086897684429911,1.0641186771551627,-0.9846880095378423,3.1129253638481678,12,abnormal enteric ganglia morphology,brain
MP:0001025,0.3086897684429911,1.0641186771551627,-0.9846880095378423,3.1129253638481678,12,abnormal sympathetic neuron morphology,brain
MP:0011723,0.3154871516172294,-1.4255552675818368,-4.209084855941303,1.3579743207776298,66,ectopic neuron,brain
MP:0011451,0.34827451818711264,0.9770524620749832,-1.064639701358876,3.0187446255088424,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
