,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TARDBP,1,1,ALS,FTLD,24.155190064868105,19.406800190431223,468.7749471507847,2
VCP,1,1,ALS,FTLD,19.1232544304918,19.92705852745688,381.0702102718592,2
FUS,1,1,ALS,FTLD,21.809449193915505,17.472204338019367,381.05915281574346,2
SQSTM1,1,1,ALS,FTLD,17.025588799062028,16.378101161800952,278.8468156902631,2
TBK1,1,1,ALS,FTLD,12.636201013022708,16.119822836551048,203.69332165697293,2
CHMP2B,1,1,ALS,FTLD,16.67877446392461,11.689300014412847,194.9631985815426,2
C9orf72,1,1,ALS,FTLD,14.104158834979108,10.088258230179175,142.2863964467323,2
OPTN,1,1,ALS,FTLD,12.075582962060379,11.34847596732297,137.03946303635695,2
UBQLN2,1,1,ALS,FTLD,10.11408676950163,13.488677137065736,136.42565097007568,2
CHCHD10,1,1,ALS,FTLD,12.215956551975733,11.015506577697638,134.56494975115723,2
GRN,1,1,ALS,FTLD,11.550123395527025,11.060350129540312,127.74840879392393,2
UNC13A,1,1,ALS,FTLD,11.801465126441771,10.769597772127987,127.09703253357344,2
MATR3,1,0,ALS,FTLD,22.353848531495938,3.7437112383159614,83.6863539669741,1
HNRNPA2B1,1,0,ALS,FTLD,26.717153274132155,2.5897339414237277,69.19031865224012,1
CHCHD2P9,0,0,ALS,FTLD,8.17764168184074,7.508124598367761,61.39875266806597,0
TMEM154,0,0,ALS,FTLD,6.0138988040080585,6.801262058913747,40.90210176184677,0
LHFPL3,0,0,ALS,FTLD,5.94063554185459,6.7937500093732615,40.35919276815775,0
ZNF181,0,0,ALS,FTLD,4.6838878224871605,7.548858509605791,35.35800644682114,0
KIF5A,1,0,ALS,FTLD,12.265892818435523,2.823072723415023,34.62750744405754,1
CHCHD5,0,0,ALS,FTLD,5.138077337490688,6.412881220214754,32.94987966560505,0
SLC49A4,0,0,ALS,FTLD,4.801895742735811,6.528555605570211,31.34944336860161,0
DCTN1,1,0,ALS,FTLD,16.334803059920812,1.8682683727605043,30.51779593212156,1
PTPRN2,1,0,ALS,FTLD,13.255627254248138,2.2284784080844546,29.5398791217078,1
NDRG4,0,0,ALS,FTLD,5.06646137090347,5.7586549180870925,29.17600269085154,0
CLPSL2,0,0,ALS,FTLD,4.754887694075491,6.079555050774318,28.907601496381304,0
INS-IGF2,0,0,ALS,FTLD,4.592527697377888,6.200198084605961,28.474581432782205,0
WASHC1,0,0,ALS,FTLD,4.9203418370036776,5.747931196660924,28.28178634314936,0
SCAMP5,0,0,ALS,FTLD,4.349737293598978,6.431494382951588,27.975310971096867,0
BAGE4,0,0,ALS,FTLD,4.7649373668448485,5.862104670538744,27.932561593005772,0
DEFB115,0,0,ALS,FTLD,4.764937366844848,5.862104670538744,27.932561593005765,0
LRRK2,0,1,ALS,FTLD,2.3571452115713303,11.837014952817878,27.9015631153329,1
UNC13C,0,0,ALS,FTLD,6.304474324367301,4.425669000286025,27.901516580451542,0
SOD1,1,0,ALS,FTLD,15.292462563578901,1.8112853842423184,27.69901393048328,1
SMCR8,0,0,ALS,FTLD,4.932266893400737,5.28233065138765,26.053864591835254,0
NRN1L,0,0,ALS,FTLD,4.606641923230448,5.599946676178174,25.79694912633738,0
NUDT22,0,0,ALS,FTLD,4.994986040157337,5.118967468889326,25.56917104712172,0
APOE,0,1,ALS,FTLD,2.458201904339381,10.21478338405306,25.1099999670935,1
RNF157,0,0,ALS,FTLD,4.670786036326954,5.2477094442488745,24.510927994898726,0
FIZ1,0,0,ALS,FTLD,4.354875148717713,5.58374866214538,24.31652828546269,0
C8orf82,0,0,ALS,FTLD,4.963402190846207,4.754564730172217,23.598816998256886,0
PELI2,0,0,ALS,FTLD,4.1841043992730755,5.4479417326790625,22.794756970685846,0
UBXN10,0,0,ALS,FTLD,5.094348832270932,4.397245175126209,22.401100823113197,0
C6orf136,0,0,ALS,FTLD,3.964317321724076,5.561026535614322,22.045673821703087,0
GPR162,0,0,ALS,FTLD,3.9963257553136535,5.420598664991551,21.66247805412454,0
SEZ6,0,0,ALS,FTLD,3.7898573329501293,5.6853429773564,21.546638773070672,0
SMIM11A,0,0,ALS,FTLD,4.764279895762338,4.458771772379653,21.24283671494099,0
ZNF670,0,0,ALS,FTLD,3.920382365332047,5.240854535636381,20.546153700779342,0
COX19,0,0,ALS,FTLD,4.864471329431745,4.215303495267878,20.505222997584013,0
FAM131C,0,0,ALS,FTLD,4.222859005806008,4.830533506619867,20.39866192127738,0
PLCH1,0,0,ALS,FTLD,4.5743006581998085,4.458645636030971,20.395185667576172,0
WFDC10B,0,0,ALS,FTLD,4.166292181773586,4.816586569973296,20.067306969315396,0
UNC79,0,0,ALS,FTLD,4.56666895497511,4.3638523057311565,19.92826884867902,0
RTL8B,0,0,ALS,FTLD,3.858587238878361,5.122972625524007,19.767436797970106,0
ALS2,1,0,ALS,FTLD,11.540623744998213,1.622353572559043,18.722972162257573,1
FGD4,0,0,ALS,FTLD,4.420023100639667,4.2166209374616574,18.637561950221414,0
NLRC3,0,0,ALS,FTLD,3.7668851974130444,4.825357766421653,18.176568742555794,0
