Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C744,AUP1 FPGS DHFR SLC25A21 SERPIND1 MTHFD2 PCCA C11orf54 ACAA2 QRSL1 GMPS GAPDH YKT6 SLC7A10 AMY2B FAHD1 SLC19A3 DDT LYPLA1 CYB5R1 SCPEP1 SARDH LIPH HSD17B8 PEBP1 AL117348.2 ACAD8 DLST OXSM GART GDE1 MTAP SLC2A4 ACOX2 SLC25A12 GK SLC12A6 MMAA SLC38A1 LARS EHHADH ADH5 PEX3 PGD PECR DCAF4 OTC HSPA2 HSD17B10 MIPEP MPC1 IL4I1 MTHFS SDHC ENPP4 SGPL1 CA2 GRID2 TIMM44 ETFA CBR1 ADK MYT1L ACSL5 AC011462.1 ACSS2 NDUFS3 RAB4A ACSM2B EPHX2 AHCY REEP5 P4HB ECHS1 GLDC PEX19 HTRA2 AKR1B1 ALAS1 DDO HSPA1L EEF2 SLC2A14 ABHD14B ALDH18A1 BHMT ATRN CLCN5 OGDH PMPCB SDSL FAHD2A CDY2A AMY1A GCLM ATF5 GNPDA1 SLC25A2 OAT EXOSC10 SPHK2 AARS2 TXNRD3 SLC38A7 BCAT2 TST MDH2 BHMT2 ENTPD5 NDUFS1 BPNT1 PEPD CREG1 SLC33A1 GGH LRBA SQOR PKLR ALDH1A2 SLC25A20 DPAGT1 LDHA BDH2 SLC36A1 GOT2 GCHFR PSAT1 CD302 SUOX SC5D PEX11A SLC36A4 MRPL58 NIPSNAP1 ALDH1A3 SLC23A2 AADAC GPX1 TXNRD2 PCCB IDH1 APRT PRODH BCKDHB OGDHL LCTL FARSB AGMO SEC14L3 CRLS1 BPHL TAT ACOD1 DCAF6 CYP27A1 ALDH8A1 ACSS3 CTPS1 RRM2B ACSL1 IVD RGN MECR ACSM5 HSPA5 TINAGL1 ASL GGTLC2 QPRT GATM ATP1A1 KHK CP ATP5F1D ALDH5A1 HSD17B4 ESRRA CRAT SLC1A4 DHRS4 SCAMP2 TPI1 ITFG1 YARS PCK1 FECH PGRMC1 GSR RARS2 LONP2 PHGDH NME4 ILVBL WARS ACSM4 NME3 PART1 PRPSAP2 MTHFD1 UQCRC1 ERI2 CAT NSDHL AIMP1 AACS CS TTC1 LCMT1 FBP1 POLDIP2 SCGB1D1 ACER3 NDUFV2 NDUFS8 ZAN NNT RNASE4 SCARB1 CA14 SLC9B2 AGPAT2 MGMT DBT DLAT CKB AKR1A1 L3HYPDH SEC61A2 SORD ADI1 RMDN1 CES3 PREPL NAGS SLC39A14 FKBP2 DCXR NDUFAF4 EEF1E1 ECHDC2 ACY3 SLC17A9 ATP6V0B PHB ECI2 GATC SLC5A6 CDY1B HSD17B11 HTATIP2 CYB5R3 SEC63 MYORG CYB5A RIMKLA PEX11B GAA CRYL1 GCDH PAH ACACB DECR2 SLC9A4 ACOX3 SARS2 FH UGP2 BNIP3 NEU1 XYLB SLC7A2 PRDX3 HIBCH CNDP2 ATP6V0C AARS ACSM1 CTSL ACY1 GLYAT GYS2 AGXT2 VSIG2 SCLY LDHB DECR1 SLC20A2 MTHFR SHMT1 PHB2 CDY2B BCAT1 HMGCL STEAP3 SUMO1 SLC36A2 MAT2A KYNU RIDA PHYH PRDX5 ERMP1 THNSL2 SLC25A11 HMGCLL1 TALDO1 PIPOX ETFB LIPT1 DLGAP3 SLC7A11 SLC44A4 GCSH PYCR3 NDUFS7 HSPA1A C19orf12 ACSS1 PGK1 SMPDL3A FAAH2 MTR PCK2 YARS2 NDUFAB1 ABITRAM TGDS ALDH1L2 HLCS NPL SLC27A2 IDH3B MRPS35 ECHDC1 MMACHC MARC2 ACADS ALDH3A2 HNF4A ELOVL2 FADS2 SPTLC1 NFU1 ACSL3 TYMS ADHFE1 SOD1 GFPT1 CHDH MCEE TM2D1 ASS1 TDH ACSF2 ALDOA PYCR1 ACSM6 ETHE1 PODXL ECH1 UQCRFS1 GUSB PEMT DPYD ACOT8 SLC7A6 OPLAH ACMSD MPI ASNS MAT1A SLC9A7 ACAD10 SLC22A5 HSPD1 MLEC CYP4F12 L2HGDH SCCPDH GOLT1B AMY1B GARS ETNPPL PAPSS1 GPD1L DHRS1 DNAJA3 PDHX PKM ALDH4A1 MCAT SUPT7L AUH ABHD14A TCN2 PDK2 SLC7A1 ALDH1A1 OXA1L QDPR TMSB4XP2 PEX2 NIT2 SLC7A3 ACACA HADHA HSD17B14 ASRGL1 CTDSP2 ACADM ABAT AHCYL1 UPB1 SLC37A2 ALDH1L1 MRI1 ATP1A3 SRR DLD ATP5PF ACSF3 NARS TPH1 IMPDH2 AZIN2 BDH1 ALDH9A1 VAC14 THNSL1 ASMT ATIC IDH3A NADSYN1 IMPA2 PYCR2 PYGB TP53TG1 HYI CKMT1B ACAA1 GBE1 HMGCS2 PYGL G6PD MCCC2 PGAM4 ACADL NIT1 GRHPR SDHB ARMCX4 ABHD10 TMEM70 CRYZ RETSAT HPD HSPA6 ISOC1 EARS2 SIRT4 LAP3 SOAT2 CTPS2 BABAM2 RMRP ALDH1B1 PGRMC2 AADAT FASN ACAD9 ACOXL GLO1 KYAT3 PPCS ARSF IDH3G PNPO NARS2 CARS2 HEXA LMBRD1 GLB1 FANCA DNAJC19 ACO1 AMACR ACOX1 FXYD4 ARG2 ACADSB TDO2 FTO NTHL1 KYAT1 TMEM104 AGL CARNS1 GALE AIFM1 FAM216A FXYD1 SBDS TARBP2 PDIA5 MANBA FTCD CARS ADSSL1 ALDH3A1 SPTLC2 YIPF3 IDH2 ABCD3 GMPR2 PCDHB11 VWA8 COMT ENOSF1 HACL1 AC008982.1 GPT2 GHITM OXCT1 PCBD1 DDC DPYS GGT1 PCDHB16 PIGP PFKM TINAG PDK4 SHMT2 DHCR24 METRN SLC1A5 HADH ATP1B1 DHODH FLAD1 CKMT1A MTHFD2L SLC25A13 PRKAG1 FAXDC2 AMY1C SELENBP1 LARS2 ETFDH AASS GSTZ1 COX10 GCAT GNPNAT1 AKR7A2 HSDL2 CRYZL1 SLC38A10 GORASP2 ACAD11 NDUFAF1 MMADHC DNAJC11 GLUL SUCLG1 TARS PM20D1 SLC38A2 DHTKD1 RARS SERPINA1 ACLY TXNRD1 LIPT2 PGM1 IARS PDIA4 HSPA8 PFKP ACOT9 GLB1L3 DHRS7B RIMKLB LGSN SLC18A1 MGST3 GRID1 PLOD3 EPRS BCKDK CCDC28A ARSE LIAS ACADVL HPDL SUCLA2 DMGDH SLC22A18 ADH4 DDR2 GANC CLPX SDF2 ALDH2 BCKDHA COX7A2L GLS2 SLC20A1 NFS1 DNPEP NDUFB5 PFKL FDX1 ISCA2 UAP1L1 UQCRC2 CBS UBA1 MCCC1 MRPL53 CPT2 PRAP1 IMMP2L SUCLG2 HPN SH2B2 GK5 BTD ARHGEF9 LACTB2 ADH1B ACCS HSP90B2P HSPH1 SLC3A2 ALAD SLC9A1 MARC1 TARS2 ENO3 HSPA4 DNPH1 TMLHE PDHA1 ADH6 UROD C15orf40 HADHB APOE NDUFB4 CBR4 GRPEL1 GLB1L2 HSPA9 POLG GANAB PRDX2 ALDH3B2 ALDH7A1 SYPL1 ECI1 ASPG NAT8 MMUT PALM2 IARS2 HIBADH ACO2 NDUFV1 N4BP2L1 HGD HSPA4L MT-TP OXLD1 ACSL4 MAT2B ALDH6A1 TOMM20L ENO2 MGST2 TMEM222 SLC7A7 SLC9A6 SLC12A4 MTHFD1L GATD3A FDPS SLC1A3 ERI3 TARSL2 DNAJC30 MSMO1 PCYT2 PFAS MLYCD SOD2 SDHD TTC38 ACAT1 DARS DNAJC6 ENO1 MDH1 ACSM3 SH3YL1 XPOT MAOB TPRA1 MKKS PEX7 SLC38A6 AMY2A MARS HAAO COASY SLC25A3 CMAS DNAJB1 MPST TH SLC39A5 PDHB AMT GPR158 NME1-NME2 HSD17B12 VNN1 RBKS SLC7A5 ATP5PB PCBD2 XPNPEP3 CHAT ADSS SDHA MAOA CDY1 EPHX1 SLC36A3 ASPA PPA1 GFPT2 INSIG1,Biosynthesis of amino acids,3.230121812047936e-40,0.6621621621621622,49.0,65,34,34,0.08748317631224764,0.04576043068640646,0.0,0.8667563930013459
C768,OXSM LIAS C15orf40 HLCS LIPT2 LIPT1 GCSH,Biosynthesis of cofactors,4.945210788044211e-06,0.026143790849673203,4.0,2,0,0,0.2857142857142857,0.0,0.0,0.7142857142857143
C770,ADSSL1 ASNS ASPG ASPA ASS1 ACY3 ASRGL1,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",9.351733088105067e-08,0.0625,4.0,2,1,1,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714
C772,MARS PHGDH CARS XPOT WARS GARS ATF5,C772,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C775,DNPEP SLC5A6 MLEC SCAMP2 PLOD3 AUP1 ETHE1,C775,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C784,PEX3 ABITRAM PEX11B PEX2,peroxisomal membrane,2.9038816345947966e-06,0.04477611940298507,3.0,3,0,0,0.75,0.0,0.0,0.25
C802,DNAJB1 DNAJC19 DNAJC6 DNAJC30,C802,,,,1,0,0,0.25,0.0,0.0,0.75
C745,ACMSD LONP2 ACAD10 SLC22A5 CYP4F12 L2HGDH SERPIND1 ACSM4 PCCA PART1 ETNPPL ACOT9 C11orf54 RIMKLB ACAA2 DHRS1 ERI2 SLC18A1 ALDH4A1 NSDHL AACS MCAT ABHD14A TCN2 FBP1 PDK2 SLC19A3 ALDH1A1 ARSE CYB5R1 ACADVL HPDL SARDH DMGDH SLC22A18 HSD17B8 ADH4 ZAN AL117348.2 QDPR RNASE4 SCARB1 ALDH2 ACAD8 BCKDHA AGPAT2 MGMT DBT AKR1A1 ACOX2 HSD17B14 L3HYPDH GK UAP1L1 SORD ABAT UPB1 SLC37A2 EHHADH CES3 ALDH1L1 CPT2 NAGS DCXR PRAP1 ECHDC2 ACSF3 PECR ACY3 IMMP2L DHTKD1 HPN SLC17A9 OTC TPH1 BTD HSD17B10 BDH1 SH2B2 AZIN2 ALDH9A1 ADH1B VAC14 ACCS CDY1B ASMT ALAD IL4I1 MTHFS MARC1 DNPH1 ADH6 CYB5A CBR1 RIMKLA HYI APOE GCDH ACAA1 CRYL1 CBR4 MYT1L HMGCS2 ACSL5 PAH AC011462.1 ALDH3B2 ACSS2 ALDH7A1 MCCC2 ACACB DECR2 ECI1 ACSM2B ACOX3 EPHX2 ACADL NIT1 NAT8 ECHS1 XYLB GRHPR AKR1B1 DDO RETSAT HPD ACSM1 HIBADH ACY1 GLYAT ABHD14B BHMT N4BP2L1 HGD AGXT2 MT-TP SIRT4 SOAT2 FAHD2A CDY2A ALDH6A1 MGST2 SLC25A2 CDY2B AADAT FASN ACAD9 ACOXL KYAT3 HMGCL STEAP3 ARSF TST PNPO KYNU BHMT2 ENTPD5 HMGCLL1 PEPD MSMO1 FANCA ACO1 AMACR ACOX1 PIPOX ETFB PKLR PCYT2 TDO2 SLC25A20 MLYCD KYAT1 TTC38 ACAT1 SLC44A4 OPLAH BDH2 C19orf12 GCHFR CARNS1 ACSS1 FXYD1 ACSM3 SUOX SC5D PEX11A AADAC NIPSNAP1 MAOB SLC23A2 GPX1 FTCD FAAH2 TXNRD2 PCK2 ALDH3A1 SPTLC2 TGDS ALDH1L2 PRODH BCKDHB OGDHL NPL SLC27A2 AGMO HAAO COMT ENOSF1 HACL1 AC008982.1 PCBD1 TAT BPHL DDC DPYS GGT1 CYP27A1 MMACHC MARC2 ACADS HNF4A ALDH8A1 ACSS3 TINAG PDK4 ELOVL2 DHCR24 MPST FADS2 TH METRN ACSL1 IVD SLC39A5 RGN MECR ACSM5 TINAGL1 AMT GPR158 GGTLC2 ADHFE1 CHDH VNN1 QPRT TDH ASS1 FAXDC2 RBKS SELENBP1 GATM KHK CP ALDH5A1 AASS GSTZ1 ACSM6 ACSF2 CRAT ETHE1 GNPNAT1 AKR7A2 HSD17B4 GCAT PCBD2 CHAT CDY1 ACAD11 MAOA DHRS4 EPHX1 ECH1 ASPA PEMT ACOT8 PM20D1 INSIG1 PCK1 SERPINA1,fatty acid beta-oxidation,4.042597211748306e-43,0.4473684210526316,34.0,26,16,16,0.0931899641577061,0.05734767025089606,0.0,0.8494623655913979
C746,GOLT1B CAT AUH TTC1 CCDC28A LYPLA1 SUCLA2 NNT TMSB4XP2 CLPX COX7A2L PEX2 NDUFB5 GDE1 SLC25A12 CTDSP2 UQCRC2 ACADM PREPL ADH5 PEX3 DLD ATP5PF NARS ARHGEF9 LACTB2 HTATIP2 ENPP4 HSPA4 SEC63 HADHB HSPA9 SYPL1 RAB4A BNIP3 REEP5 PEX19 SDHB MMUT ALAS1 PRDX3 HIBCH IARS2 CRYZ ISOC1 MAT2B DECR1 PGRMC2 OAT SUMO1 PHYH ERMP1 LMBRD1 LRBA ACOX1 ACADSB SDHD DLGAP3 MDH1 PCCB IDH1 NDUFAB1 PEX7 ABCD3 PCDHB11 MRPS35 ECHDC1 GHITM DCAF6 ALDH3A2 PIGP CMAS HADH SPTLC1 NFU1 ACSL3 SOD1 PRKAG1 TM2D1 ATP5PB CRYZL1 ADSS ITFG1 UQCRFS1 MMADHC FECH RARS PGRMC1,peroxisomal membrane,2.292754210030222e-12,0.14925373134328357,10.0,9,4,4,0.10227272727272728,0.045454545454545456,0.0,0.8522727272727273
C747,SLC39A14 SLC9A7 ATP1A3 CLCN5 SLC38A6 SLC20A2 SLC5A6 SLC7A7 SLC9A6 SLC38A7 SLC12A4 SLC9A1 SLC36A2 SLC1A3 SLC1A5 YKT6 SLC7A10 ATP1B1 SLC7A1 TP53TG1 ACER3 FXYD4 SLC7A5 ATP1A1 SLC7A11 TMEM104 SLC9A4 SLC9B2 SLC20A1 SLC1A4 SLC38A10 SLC36A1 SLC7A3 GORASP2 REEP5 FXYD1 SLC36A3 SLC36A4 SLC7A2 SLC12A6 SLC38A1 SLC38A2 SLC7A6,L-amino acid transmembrane transporter activity,1.2785251191808178e-38,0.32786885245901637,20.0,6,2,2,0.13953488372093023,0.046511627906976744,0.0,0.813953488372093
