,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
MCCC2,1,0,CD_all,generalIEM,17.022119580291058,4.893740341417495,83.301833286503,1
DLAT,1,0,CD_all,generalIEM,24.09954776475164,3.390954823556167,81.72047773840683,1
DLD,1,0,CD_all,generalIEM,22.84617804621066,3.144617756153589,71.84249714436035,1
PDHB,1,0,CD_all,generalIEM,21.656685902465963,2.9581573337798575,64.06388422774654,1
AGL,0,1,CD_all,generalIEM,3.890144159559439,15.676238139444939,60.98282624202465,1
PCCB,1,0,CD_all,generalIEM,19.028643210204393,3.076894047721453,58.54911902969314,1
GLB1,1,0,CD_all,generalIEM,13.299640606476192,4.356691390222156,57.942429723283794,1
HSD17B4,1,0,CD_all,generalIEM,17.62637770374455,3.2305745021265078,56.94332637456832,1
GYS1,0,1,CD_all,generalIEM,3.3823166359732424,15.690287913328497,53.069521832460865,1
SLC39A14,1,0,CD_all,generalIEM,12.376037181553883,4.251278204040658,52.613977122336806,1
ASL,1,0,CD_all,generalIEM,15.446614118029666,3.3906166297907374,52.37354670255177,1
ATP7A,1,0,CD_all,generalIEM,15.349255310948534,3.1104725347933644,47.743437074236596,1
MCCC1,1,0,CD_all,generalIEM,14.976245840856498,3.1756507044346507,47.55932565430245,1
GLDC,1,0,CD_all,generalIEM,15.574621733867668,3.0251341261693643,47.115319709302156,1
GCDH,1,0,CD_all,generalIEM,17.123452768500375,2.678648249679088,45.86770678680606,1
COASY,1,0,CD_all,generalIEM,19.284343346935863,2.2827677160962994,44.02167641850165,1
PRDX1,1,0,CD_all,generalIEM,21.84171207229763,1.9650162787912493,42.919319778736195,1
NHLRC1,1,0,CD_all,generalIEM,11.015501115940562,3.863194626598984,42.55502472039669,1
ATP7B,1,0,CD_all,generalIEM,12.472928044930946,3.3727501784141753,42.068070288888016,1
DPAGT1,1,0,CD_all,generalIEM,14.592502009224122,2.8758497296953394,41.96584295880589,1
GYG1,0,1,CD_all,generalIEM,3.6221567684290634,11.401976693529836,41.29974705393953,1
DBT,1,0,CD_all,generalIEM,17.488788434652374,2.3485084131096885,41.07256677387652,1
PYGL,0,1,CD_all,generalIEM,3.289318666296096,12.390223250019275,40.75539261586428,1
CYP27A1,1,0,CD_all,generalIEM,13.993199992981795,2.9005697090725726,40.588252032637534,1
MOGS,0,1,CD_all,generalIEM,3.0364222167430266,13.268645234120179,40.289209174963986,1
CBS,1,0,CD_all,generalIEM,17.569413442294287,2.23139259001746,39.204258966088624,1
GPT2,0,1,CD_all,generalIEM,3.847331451514448,10.03917428478592,38.624030973091934,1
