z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,1053,470.76,18.542448597744585,9.99562824537373e-217,2.236808564873821
2,1.5,651,268.84,16.683956365322945,2.0318335406031208e-116,2.421514655557209
2,2.0,280,119.73,9.804952830075216,2.3292838389522602e-60,2.338595172471394
3,1.0,845,361.25,15.366440706943166,7.920283712350043e-218,2.339100346020761
3,1.5,622,251.21,14.720254753230327,2.636785845305547e-140,2.4760160821623343
3,2.0,280,119.63,9.887016739138252,1.8132282038460695e-59,2.3405500292568755
4,1.0,632,262.48,13.40483494862954,1.4161223577487538e-167,2.407802499238037
4,1.5,519,213.06,12.375637357324267,3.1680189327773096e-135,2.4359335398479303
4,2.0,280,120.88,10.519771860644127,5.472837854374776e-52,2.3163467902051624
5,1.0,469,194.45,13.09914119322332,7.702538943274302e-98,2.411931087683209
5,1.5,412,168.09,13.754341132893279,1.1598261024933425e-70,2.451067880302219
5,2.0,262,111.97,10.699957943842582,5.753645072602635e-45,2.3399124765562203
9,1.0,156,75.42,7.874236470922118,7.026863343250603e-25,2.0684168655529036
9,1.5,135,63.21,7.419292419092267,1.9043984805269234e-22,2.135738016136687
9,2.0,111,52.03,7.050468069568147,3.031765095048223e-17,2.1333845858158753
12,1.0,94,47.34,6.494951885887994,3.38403011847982e-13,1.9856358259400082
12,1.5,76,39.4,6.25939294181153,2.499395363292486e-09,1.9289340101522843
12,2.0,59,31.28,5.56970376231986,3.230110623807924e-07,1.8861892583120203
