,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
DLD,1,0,CD_all,mitochondrial,22.84617804621066,7.940713736270862,181.4149598328348,1
DLAT,1,0,CD_all,mitochondrial,24.09954776475164,6.905602734622147,166.421902947426,1
LRPPRC,1,0,CD_all,mitochondrial,21.45706977858647,7.518685943587055,161.3289689348247,1
PDHA1,1,0,CD_all,mitochondrial,21.489080452362952,6.0657718252643384,130.34785875878183,1
PDHB,1,0,CD_all,mitochondrial,21.656685902465963,5.956301657475537,128.9937541362851,1
EIF2B3,1,0,CD_all,mitochondrial,23.437164899646366,5.120996067051139,120.02162927391804,1
PCCB,1,0,CD_all,mitochondrial,19.028643210204393,5.6445841431064725,107.40877772915036,1
SUCLA2,0,1,CD_all,mitochondrial,5.664595656898087,18.948031328281157,107.33293596895034,1
EIF2B1,1,0,CD_all,mitochondrial,23.18062524053882,4.319972532891223,100.1396643343727,1
SDHB,0,1,CD_all,mitochondrial,4.9933502655307915,19.37637836487183,96.75304405325784,1
PRDX1,1,0,CD_all,mitochondrial,21.84171207229763,4.189230184810223,91.49995950120308,1
MMADHC,1,0,CD_all,mitochondrial,20.722732452161463,4.377478333263089,90.71331231534468,1
SLC25A13,1,0,CD_all,mitochondrial,19.130354167605265,4.699074112620399,89.89495203425366,1
PDHX,1,0,CD_all,mitochondrial,20.803092741395027,4.306627939940589,89.59118043726708,1
IDH2,0,1,CD_all,mitochondrial,4.735248839572927,17.793334646526848,84.25586723709901,1
TBCE,1,0,CD_all,mitochondrial,15.782411185330094,5.313116821222227,83.85379434822315,1
NDUFS1,0,1,CD_all,mitochondrial,5.056288966302302,16.573544198481326,83.80062866330465,1
COASY,1,0,CD_all,mitochondrial,19.284343346935863,4.129092474980441,79.62683699877199,1
NDUFV2,0,1,CD_all,mitochondrial,4.403697842431063,17.781257894069036,78.30328702382212,1
GCDH,1,0,CD_all,mitochondrial,17.123452768500375,4.4771587534729465,76.664416452172,1
POLR1C,1,0,CD_all,mitochondrial,18.18115542337791,4.130539707887373,75.09798441153433,1
ACO2,0,1,CD_all,mitochondrial,4.158674928156216,18.051937552728212,75.07214010517251,1
MPV17,0,1,CD_all,mitochondrial,4.778005428911901,15.66414541903304,74.84337185140535,1
EIF2B5,1,0,CD_all,mitochondrial,22.892670449013906,3.1339312189188053,71.74405460458466,1
DBT,1,0,CD_all,mitochondrial,17.488788434652374,4.049194288517114,70.81550224267855,1
ATP5PO,0,1,CD_all,mitochondrial,3.7450685046476786,18.859681572764572,70.63079946584479,1
IARS2,0,1,CD_all,mitochondrial,3.9237699391970753,17.780529403136843,69.76670677503806,1
MCCC2,1,0,CD_all,mitochondrial,17.022119580291058,4.069301566898406,69.26813788001044,1
SLC25A1,0,1,CD_all,mitochondrial,3.756742831168636,18.271626783080297,68.64180293112575,1
