Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C1398,ZNF735 CTPS1 BCAP31 LSM12 PIGP LIPT1 MT-ND3 ARSI THYN1 ATAD1 COX7B SLC44A3 ATP6V0C COX11 TARS UBA1 GCSH SLC28A3 PRDX1 UFC1 MTR TECR GLB1L3 GART SAR1B MT-CO1 FUCA2 NHLRC1 NDUFC2 ZMPSTE24 TIMM23B PRDX5 FARSA BPHL IVD SLC39A5 CLPX TCP1 GCHFR PGM1 NDUFAF3 SMIM24 HEATR9 ATP5PO ACSM1 TXNRD2 LACTB2 ACSL3 CHCHD5 TOMM40 PAICS SLC20A1 INSIG1 ROMO1 CPQ TAF10 ENTPD5 LARS HSDL2 SLC51A CPT2 SLC25A4 XRCC5 PITRM1 IDH3G TOMM20 GNPTG DTD1 BCKDHA ISCA1 NME3 ICMT PIGK CYGB TMEM104 EDEM2 SDR39U1 CRAT SOD1 GSTK1 RETREG3 HMGCLL1 OXCT1 ALDH6A1 SLC25A17 SLC7A7 SDHD TTC38 MAP4K2 NFS1 MT-ND6 PHYH ALDH2 PPIF MGST3 SLC7A2 FER1L6 DDX41 KHK OS9 FPGS AKR1B1 DBT HTRA2 CRYZL1 CCT7 WRB ERP29 CP CAT ENTPD6 PEX11B TMEM214 NDUFAF4 ETFB CLN3 NDUFA1 NADK2 CA2 RUVBL2 RABEPK EIF2B2 DNPH1 CCS NDUFA11 MAOA PREPL THNSL1 ALDH3A1 MMUT CRYZ SYPL1 NANS CTPS2 CYB5A ENPP4 FANCA MRPL15 ALDH7A1 PEX10 MMAA COQ10B LARS2 SUMF2 L2HGDH SEC61A1 ALDH3A2 DPAGT1 GTF3C3 CBR1 NBPF20 ATP5F1D FCGRT SLC39A11 GK ALAD SLC25A21 COX20 G6PD HSPA1L MLH3 ALG5 CLN6 ALDH1L2 HDHD5 VARS ACADL EIF2B5 HARS ENO3 IDH1 ECHDC1 MGST2 ATP5MC2 TFB2M SLC25A22 COQ2 DCPS ATP5IF1 ACADSB QRSL1 SLC25A6 ATP6AP2 QPRT SLC31A1 CERS2 ANP32E MRPL49 GGT1 MFSD10 SQLE PRNP ARMCX4 TASP1 HPN FASN SSBP1 SARS2 ACADS ZNF727 ZNF730 SUMO1 VSIG2 PRPSAP2 MRPL40 DEXI RIMKLA RFC3 ARSF PPP1R3C AHCY YME1L1 AGPAT1 MAOB PRDX3 OGDHL NPM3 PREB EPRS ATPAF1 CAPNS1 EIF5 PRXL2A PDK2 HIBCH ECHDC2 ADI1 COPS6 GOLGA8H TXN PHGDH HEXB TYMS TPRA1 HOMER2 POMGNT1 TXNL1 PKLR SRP72 ALAS1 SQOR NOMO2 ISCA2 ASPA NIPSNAP2 TIMM44 NFU1 MAN1B1 ALDH5A1 OSGEP COX6A1 LAP3 AC139530.2 NDUFA9 COX6B1 KIAA0408 COX5B THNSL2 GDE1 FAHD1 FAR2 PRAMEF2 FTH1 P2RX4 ASRGL1 DECR2 STEAP3 CTSK AIMP1 TAT AARS2 CCT5 ACY3 LCTL PXMP4 HADHB IREB2 EEF2 SLC33A1 ESRRA ACP2 DHCR7 OST4 NDST1 AL117348.2 SLC3A2 GARS FIS1 SMIM10 DLST OXA1L MCCC1 IDH3A ZDHHC16 ALDOA TMEM59 FTCD UROS GLS2 GYS2 TARBP2 SLC25A34 ERI2 HCCS FDX1 SDSL NDUFV1 PLOD1 SDHB SLC35B3 AC010422.3 ABCE1 RSAD1 COX7A2 XPNPEP3 EHHADH ABCD3 SUPV3L1 FUNDC2 NTRK1 MPV17 SLC25A13 SEC11A SOD2 GMPS SSR1 MPI HMGCL TXNRD1 VWA8 SNX17 GATM PEX7 SLC36A3 GRID1 SLC1A5 ARSA ATP7A CLIC1 TKFC OPA3 MPG GNS ESD POLR3B GANAB ACAA1 PEMT CNPY2 EIF2B3 COPS4 PIGC B3GALNT2 SLC7A10 SCAMP2 GABARAP WWTR1 NDUFB5 AZIN1 SCARB1 ANAPC13 SHMT1 ABHD10 ZPLD1 RNPEP COX15 TMEM147 EBAG9 ECHS1 ARG2 PEX3 ACCS PYCR3 ALDH1A3 ATP6V0D1 PGF POTEM TMEM230 GRPEL1 ASNA1 SSNA1 MRPL23 MRPS18B MRPS15 GTF2H5 ATIC KCNJ18 MRPS7 SGSH MRPS17 GRID2 AARS POTEB3 PIPOX PDHX NAT8 LANCL1 DUS1L RPE VKORC1 ACOT4 MT-ND2 GPHN ATP1A1 MAIP1 ACADM SIDT2 FASTKD5 GPD1 ACOT8 CPT1A FLAD1 ATP5MC3 HMOX1 AQP10 SLC7A11 CREG1 AGL SELENOK EIF6 ATP6V1B2 IMPA1 TANGO2 ATP6V1E1 LAMP2 GCAT EI24 ASL UROD ASMTL SCGB1D1 ETFA DPYD TSPY8 SCLY MLEC IL4I1 LPGAT1 PXMP2 ADSSL1 IMMP2L SLC25A12 MRPL4 CYB5B TK2 COX5A RIDA GLDC POLR2I PNPO PYGM CNIH1 ACOT2 ACSS1 HSPA4L OXLD1 HSPE1 AASS PSMC2 ZNF90 NDUFA13 RER1 SLC36A4 RFC5 ACLY STOML2 BDH1 ITPA LBR LETMD1 MTRNR2L1 MAT2A GNPDA1 ATP6V1E2 BCAT2 HAAO NDUFA6 NUDC MRPL12 COX18 ETNPPL ALDH1A1 PCDHB16 ALDH8A1 MDH2 UAP1L1 GPT2 SLC25A46 GSTZ1 REEP5 RGN TMED1 MLH1 AIMP2 ITFG1 ATP5F1A MTO1 TBCE MFSD9 HSD17B3 CDK2AP2 SLC25A10 GLOD4 COQ9 BABAM2 ACACB MPST NIT2 C11orf58 KARS AIG1 FNDC4 HSD17B10 RRBP1 LETM1 HPRT1 PCK1 DCAF6 NDUFV3 NME2 NARS2 GLO1 ALDH1B1 LDHB PPT1 ABCF2 C4orf51 TSFM MTHFD1 GCLC GPD1L EMC7 COX7C MGMT ALDH4A1 MRI1 DDX49 COG5 FKBP3 ASPG CHDH TOMM20L SDF2 PAPSS1 SLC25A1 FBP1 SLC38A10 WARS IVNS1ABP PCDHB11 NBPF9 NAA38 NUTM2A NINJ1 COQ7 B3GAT3 TDO2 MMADHC FOXRED1 C19orf24 SLC25A3 CLPB ARSJ PARL PDIA3 CARS2 B3GALT4 HSP90B2P RETSAT DMGDH TSR1 TMBIM6 FASTKD1 SLC38A7 DNAJC19 UNC50 PGRMC2 FAM173A SUOX OTC SLC36A1 PYGB ADAMTS10 GOLT1B LYPLA1 SLC15A3 COX4I1 PNKP ALDH9A1 FAM216A TSTA3 LIAS MRPL19 ACAD8 PGRMC1 ATP5PF POLG2 SUCLG1 HIBADH TMEM70 NDUFA5 GAA NDUFB11 MTCH1 ADH5 TST PCBD1 IMPA2 ATG7 BSG AMDHD2 ARSH SPPL2A AL162231.3 POLB LMAN2 IDH3B UPB1 RTCA LMBRD1 NEU1 HPD QDPR RRM1 PEPD ACAD10 SOAT2 GHITM PGAM4 MAT2B ACSM4 COX17 SLC39A9 CARS CDK5RAP1 AACS MRPS31 ATP6V0E1 MAN2A1 CYB5R1 NAAA DNAJA2 MRPL44 DHCR24 ATP5F1B POLRMT AKR1A1 CUTA ERP44 MRPS27 NDUFS4 AHSA1 TCTA PCBD2 MEA1 POLDIP2 NDUFS8 SLC2A4 SUPT20HL2 KYNU ADSL GATD3A ANAPC15 PMVK RENBP TMEM246 TFRC ACOD1 COA1 TMCO1 NUBPL ACBD5 BCS1L SLC17A9 ACOXL FBXO6 POLG GPAT4 VAMP8 COQ3 RRM2B SCO2 ALDH1L1 EIF2B1 SRPRB TUBG1 ELAC1 HEPHL1 UQCRB ATP5PD MRS2 C6orf120 ENO1 SLC39A3 RFC2 FDFT1 AMY2B PINK1 PARK7 GOLGA8J YARS STUB1 WDR45 DDR2 SIL1 DLGAP3 AMACR NUTF2 PFKM POLR2H SLC22A3 ECI1 ACSM2B EIF3G ATAD3B MCCC2 BCKDK DNM1L HSPD1 MT-CYB CKMT1B SEC31A RBKS ALG6 MT-TP ABHD14A UBC PFKL KYAT3 GPN1 DPM2 CCPG1 SLC39A8 SC5D HINT2 CCT6A PEX19 ELOVL1 PM20D1 SLC40A1 AP2S1 GGH MARC1 ATP5F1C CYB5R3 HSD17B12 PSMC3 PEX2 ACSS3 TATDN3 PSMD6 GLB1 UMPS PLEKHD1 ACOT13 TRIM49B SBDS C16orf47 SCPEP1 ALDH18A1 ETFDH TMBIM1 ACSS2 ETHE1 NUCB1 GOT2 MFSD14B IARS PEX12 LGSN TREH GFM1 VDAC2 ACOX3 PSMB4 NDUFB8 COMT ABITRAM NSF DLAT SERINC3 VNN1 ATP6V1C1 SLC31A2 CTSL DLD MRPL53 SORD TUBB4B TSPAN31 SDHC AUH TSPO IDH2 PDXK ACSM6 EIF2S2 MECR DDO DHRS7B B4GALNT1 PDCD11 GSR CRYL1 GNPTAB GMPR2 NDUFB7 NDUFS5 SPTLC2 SLC1A4 MCAT GRHPR PTS ADK TXNDC5 FAM98A LTA4H YKT6 EIF3B MRPL48 SDHA GGCX AGXT2 AUP1 CT83 TRIM77 CYP27A1 SLC1A3 HDDC2 RMRP NME1-NME2 UQCRC1 AGPAT2 AMY2A NDUFB4 NCOA4 PALM2 ACSL4 MT-ND5 AK2 PAH SAMM50 ACAA2 ACOT7 AC011462.1 ACBD4 SUCLA2 DERA COX6C MT-ND4L POLR1C PPA1 GYS1 APRT HSPA8 SMIM20 PGLS SLC7A3 ABAT CCT2 TMLHE HEMK1 NDUFAF1 KDELR2 PMPCB HMGCR AADAC COPB2 PCCA ZNF706 HSPA1A PRDX4 UGCG BABAM1 DHODH GOLGA6L10 C16orf58 PGM5 ACOX2 GPX1 DHRS1 TMEM106B ATP7B HGD RMDN1 GUF1 SIRT4 NPL ARL2 NARS PHB2 CES1 NAXD GANC TINAGL1 MARC2 ZNF878 ADH6 MICU2 NIPSNAP1 RBX1 NDUFS1 NDUFAF7 SGPL1 NSDHL TH G6PC2 GTPBP6 NME4 ECSIT C3orf33 POLD2 HPDL FKBP2 UBA5 PSMD14 NDUFA8 DCXR SLC11A2 OXSM GFPT1 SUMF1 TMEM11 FCSK MAT1A DNAJA3 MRPL3 MICU1 SLC25A5 PEBP1 ATP2A2 NDUFAB1 MKKS GGCT ACADVL ANXA11 COX7A2L SLC38A6 ATRN LONP2 PCK2 FTL NAXE ADH4 MRPL46 PCYT2 SARDH SLC39A1 RARS2 ERGIC3 G6PC3 EIF2B4 ASS1 ARL6IP4 MDH1 SLC23A2 NDUFA2 ATP5MC1 AGPS AFG3L2 CKMT1A IDS PRDX2 BTD TMEM107 SH3D19 VDAC1 PTGS2 ERI3 PLGRKT MTRR FASTKD2 DHTKD1 LAMTOR5 GALNS OAT AHCYL1 BHMT ARSD PSMD1 ATP6V1F PPIB ADSS MT-ATP8 PTGES2 ATOX1 CALU TMCO3 MOCS2 ECI2 H6PD FLJ44635 MLYCD SDF4 GYG1 CBR4 SUCLG2 FARSB GRN RPLP0 PRKAG1 CHCHD7 PFAS GLB1L2 DDOST APOOL ALG12 TTC37 TDH CCT4 FASTKD3 P4HB NIT1 SEC61A2 LRRC47 GLYAT APEX1 SHMT2 PGK1 TIGAR YARS2 MRPS22 PDIA4 MLST8 ACSF2 GFPT2 CTAGE15 GFM2 CA14 LRPAP1 HSPA2 MPDU1 FAHD2A AGMO CLUH DDC CTDSP2 EIF3D RNASEH1P1 GALE HFE LRPPRC GLRX C1orf210 HSPA6 COX10 MAEA UGP2 PGD TIMM13 GBE1 SRR XPOT LIPH TOMM70 MOGS PIH1D1 MICOS10 PGM3 TARS2 NUP93 A4GALT CBWD1 DHRS4 SLC25A45 FAF2 NAPRT FDPS AZIN2 HSPH1 AIFM1 TMEM189 ACY1 DRG2 TMEM135 PSAT1 MCEE PIN1 M6PR RNASEH2A GNPNAT1 MAP1LC3B2 PDIA6 NDUFS3 ENO2 RXYLT1 PFKP ACSL1 LMAN1 TBCA ACOX1 RARS DPM1 ABCD1 IQCJ PTCD3 HSPA4 HSD17B8 SLC25A39 HSPE1-MOB4 SLC38A2 GAPDH ILVBL NAGA FIBP CRLS1 COA3 GPR179 RFC4 COASY CCT3 NUBP2 TMEM177 COQ4 ISOC1 NDUFS2 PSMC5 MTHFD2 CYCS EPHX1 SLC39A14 PYGL AC008982.1 TMEM14A TIMP2 ATF5 YIPF3 AC006538.2 NAGPA PRPSAP1 NAE1 APEH DNPEP FASTK MARS NDUFA12 SEC63 ZADH2 PPCS MAN2B2 SUGCT MT-CO3 CNDP2 GDF15 AKR1B10 FKBP4 PSMC4 COA4 SLC20A2 TM9SF2 SLC35A5 TARSL2 SLC7A6 PCNA ATP6V1D SLC18A1 DHFR SLC22A5 TMEM222 DECR1 TMEM14B ECH1 AMT GATC DUT ACACA CYC1 HADHA TPI1 ACSM3 ABHD14B ATRAID SLC22A18 SLC27A2 SLC25A40 HSPBP1 PCCB CLNS1A EARS2 KYAT1 PDSS1 DCTN3 BIVM-ERCC5 TMEM251 ALDH1A2 GSTT2 HSPA5 MTCH2 SRP54 HSD17B11 PODXL OGDH SREBF2 THOC7 DIMT1 PDHB EEF1E1 MT-ND4 HMGN3 RITA1 PARS2 HTATIP2 SLC25A20 MTHFR FAM136A PPP1CA IDE PRODH TMX2 ADHFE1 ENOSF1 LRBA CTSA ATAD3A RAI1 TYW1 SPTLC1 DOLK PPA2 CYP4F12 VDAC1P5 EPHX2 DNASE2 ERCC1 MTX1 GNPAT HMBS ATP5MF ACAT1 PHB TMED10 MRPL39 MOGAT1 FH ATP5MG BCAT1 NADSYN1 NUDT6 HSPA9 ACO1 HMGCS2 MPC1 CPOX OPLAH DDT ACSM5 MTHFD1L IBA57 ATP6V0B MVP SLC36A2 PMM1 TTC1 SCO1 ACAD9 LDHA B3GALT2 IMMT CALR CMAS POLE4 TUFM NME6 TPH1 PKM FXN SRI HADH ACO2 MPC2 TGDS TALDO1 STARD7 DARS BDH2 HSD17B4 CANX PLOD3 SELENBP1 TMEM25 COX8A NDUFB3 TMEM141 PDHA1 TMEM183B IMPDH2 SIAE ASNS CLCN7 GMPPB ACSL5 GCLM SCAMP3 MFSD8 THOP1 GEMIN2 AKR7A2 ACSF3 DNAJA1 RPL36A-HNRNPH2 EXOSC10 GTF3A PECR SLC30A9 SLC7A5 SLC38A1 BHMT2 NAGS TM7SF2 CCDC28A UQCRC2 FTO MRPS35 MT-ATP6 WDR61 HEXA BLVRB RNASE4 NDUFS7 SLC12A4 PHKB HLCS NNT DNAJC3 SCCPDH XYLB DNAJC11 CBS UQCRFS1 TACO1 HNRNPAB PHKG2 SLC7A1 CKB PYCR1 CS SEPHS2 NIF3L1 MRPS16 MRPL16 MIPEP GLUL ATP5PB SLC22A20P SMPDL3A BCKDHB CLN5 GPD2 MRPL58 SLC30A1 DPP3 GK5 MTX2 GCDH MRPS36 ATP6V1B1 NDUFV2 PEX14 CISD3 SLC25A11 DMAC2L PYCR2 HACL1 DCTD NDUFA4 POLD4 TMSB4XP2 GYG2 FECH ZHX1-C8orf76 PDIA5 TMEM208 SPATA20 TOMM40L GALT YIF1A TMEM218 ATP1B1 SLC5A6 C12orf10 MSH2 MRPS28 SNU13 DNAJC30 HSP90B1 ALG1L2 DPYS SIGMAR1 MFSD1 NTHL1 ACP5 RAB4A BNIP3 ATP6V1A IARS2 HACD3 SURF1 AADAT,proton motive force-driven mitochondrial ATP synthesis,1.567069765600808e-46,0.7611940298507462,51.0,100,150,150,0.0715307582260372,0.1072961373390558,0.0,0.821173104434907
C1408,GYS1 AC010422.3 AMY2A GYG1 GLB1L3 TREH PGM1 GPD1 LCTL MAP4K2 XYLB PPP1R3C NHLRC1 GANC GYG2 GAA G6PC2 PYGB AGL GYS2 GLB1L2 PYGL PHKG2 UGP2 AMY2B GALT PGM5 GBE1 GANAB DCPS ATP6V1E2 PYGM,glycogen metabolic process,5.2303114348161316e-24,0.16666666666666666,14.0,1,7,7,0.03125,0.21875,0.0,0.75
C1410,FDPS SLC25A10 HMGCR DHCR24 SC5D SLC22A5 SQLE NSDHL ACLY SCARB1 CYB5B ADAMTS10 DHCR7 SH3D19 FDFT1 PCYT2 LBR FASN ACOT7 TM7SF2 INSIG1 FAF2 SREBF2,secondary alcohol biosynthetic process,3.863939833706653e-23,0.19672131147540983,12.0,1,1,1,0.043478260869565216,0.043478260869565216,0.0,0.9130434782608696
C1411,SLC38A2 SLC38A7 SLC7A7 SLC36A2 SLC36A3 SLC7A6 SLC12A4 SLC7A3 SLC23A2 SLC38A6 SLC7A10 SLC36A4 SLC7A11 SLC1A4 SLC36A1 SLC7A2 TMEM104 SLC20A2 SLC7A5 SLC20A1 SLC1A3,L-amino acid transmembrane transporter activity,1.3373755110548966e-35,0.26229508196721313,16.0,1,2,2,0.047619047619047616,0.09523809523809523,0.0,0.8571428571428572
C1420,SLC39A5 SLC39A1 AC006538.2 SLC39A8 SLC30A1 SLC39A9 SLC39A3 SLC39A11 LMAN1 HOMER2 SLC39A14,transition metal ion transport,1.5163472528913302e-15,0.08,8.0,1,0,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C1424,MRPS17 MRPS36 PTCD3 MRPL49 TSFM MRPL44 MRPL48 MRPL53,Mitochondrial translation elongation,8.570172252013082e-15,0.08045977011494253,7.0,0,2,2,0.0,0.25,0.0,0.75
C1425,PFKM GPD2 PFKL AQP10 PFKP GK GK5,carbohydrate catabolic process,5.260142938908784e-10,0.03468208092485549,6.0,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C1426,ACBD5 ABITRAM PEX12 PEX2 PEX11B PEX14 PEX3,peroxisomal membrane,1.29713413781044e-13,0.08955223880597014,6.0,5,1,1,0.7142857142857143,0.14285714285714285,0.0,0.1428571428571428
C1427,ACOT13 GTF2H5 NIT2 PPCS PLGRKT MGST2 MPC1,C1427,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C1429,BABAM2 MPV17 GPHN MICU1 FTO,C1429,,,,1,2,2,0.2,0.4,0.0,0.3999999999999999
