,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
DLD,1,0,CD_all,nonCD_IEMs,22.84617804621066,9.457234395364075,216.06166082123508,1
DLAT,1,0,CD_all,nonCD_IEMs,24.09954776475164,8.66403325430422,208.79928324750117,1
PDHB,1,0,CD_all,nonCD_IEMs,21.656685902465963,8.025143728435378,173.79801704886958,1
PCCB,1,0,CD_all,nonCD_IEMs,19.028643210204393,7.714490282512741,146.79628313452383,1
EIF2B3,1,0,CD_all,nonCD_IEMs,23.437164899646366,6.031964058019229,141.37213629653672,1
LRPPRC,1,0,CD_all,nonCD_IEMs,21.45706977858647,6.538365494236787,140.29416464774076,1
PDHA1,1,0,CD_all,nonCD_IEMs,21.489080452362952,6.196391755183892,133.15476094150512,1
SUCLA2,0,1,CD_all,nonCD_IEMs,5.664595656898087,22.54939254209574,127.73319105964566,1
MCCC2,1,0,CD_all,nonCD_IEMs,17.022119580291058,7.230428985711383,123.07722681158174,1
EIF2B2,1,0,CD_all,nonCD_IEMs,20.802528911281296,5.425442045980156,112.86291501798334,1
GCDH,1,0,CD_all,nonCD_IEMs,17.123452768500375,6.470110863443648,110.79063777713849,1
SDHB,0,1,CD_all,nonCD_IEMs,4.9933502655307915,22.01337665765853,109.92050017874854,1
OAT,0,1,CD_all,nonCD_IEMs,5.244475020111417,20.1159509342966,105.49760218070543,1
NDUFS1,0,1,CD_all,nonCD_IEMs,5.056288966302302,20.83094570643909,105.32728093311027,1
DBT,1,0,CD_all,nonCD_IEMs,17.488788434652374,5.894239141200322,103.08310132369954,1
MMUT,1,0,CD_all,nonCD_IEMs,17.853810524960394,5.740434178321443,102.48862415075776,1
PDHX,1,0,CD_all,nonCD_IEMs,20.803092741395027,4.858880276626412,101.07973701399436,1
IDH2,0,1,CD_all,nonCD_IEMs,4.735248839572927,20.933989262532542,99.12764836303934,1
NDUFV2,0,1,CD_all,nonCD_IEMs,4.403697842431063,22.246348140201636,97.96619530697623,1
PRDX1,1,0,CD_all,nonCD_IEMs,21.84171207229763,4.449591918635766,97.18670552606478,1
AHCY,0,1,CD_all,nonCD_IEMs,3.9723380686194902,24.399478223067458,96.9229761999431,1
COASY,1,0,CD_all,nonCD_IEMs,19.284343346935863,5.015769349696629,96.725818288587,1
ACO2,0,1,CD_all,nonCD_IEMs,4.158674928156216,21.945946849632616,91.26605893821606,1
DPAGT1,1,0,CD_all,nonCD_IEMs,14.592502009224122,6.169104842398124,90.02267480780888,1
MPV17,0,1,CD_all,nonCD_IEMs,4.778005428911901,18.70995408233309,89.39626218007989,1
DPM1,1,0,CD_all,nonCD_IEMs,20.52354982998127,4.352419054404885,89.32708934403863,1
EIF2B4,1,0,CD_all,nonCD_IEMs,21.94976161163113,4.0574777982033,89.06067041504839,1
MCCC1,1,0,CD_all,nonCD_IEMs,14.976245840856498,5.904527972562428,88.42766249130891,1
PHGDH,0,1,CD_all,nonCD_IEMs,3.822222234096473,23.011822293581044,87.95629881760236,1
BCKDHA,1,0,CD_all,nonCD_IEMs,16.936506464327167,5.165415903405639,87.48409983896795,1
ASNS,0,1,CD_all,nonCD_IEMs,4.335061615188157,20.020800289367408,86.7914028397846,1
IARS2,0,1,CD_all,nonCD_IEMs,3.9237699391970753,22.061759110885028,86.56526720509787,1
ATP5PO,0,1,CD_all,nonCD_IEMs,3.7450685046476786,22.53693436904043,84.40236309680512,1
ASL,1,0,CD_all,nonCD_IEMs,15.446614118029666,5.429038788263448,83.86026719412084,1
MMADHC,1,0,CD_all,nonCD_IEMs,20.722732452161463,4.039031413420431,83.69976734618714,1
EIF2B5,1,0,CD_all,nonCD_IEMs,22.892670449013906,3.571461738075778,81.7602965910312,1
SLC25A13,1,0,CD_all,nonCD_IEMs,19.130354167605265,4.226365282657155,80.8518646989025,1
NNT,0,1,CD_all,nonCD_IEMs,3.9638874609989867,20.24660375357216,80.25525874659971,1
ALDH7A1,0,1,CD_all,nonCD_IEMs,4.932206331962511,16.150794265615176,79.65904974309097,1
EIF2B1,1,0,CD_all,nonCD_IEMs,23.18062524053882,3.4288752473210873,79.48347210470999,1
PEX7,0,1,CD_all,nonCD_IEMs,5.1557881263817436,15.233992825619543,78.5432393277139,1
