z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,763,391.74,16.202234413808483,1.6799361770461165e-116,1.947720426813703
2,1.5,498,214.83,11.89710468979743,1.6077907773684838e-125,2.3181119955313503
2,2.0,295,106.77,9.584210974305606,3.548251513916953e-86,2.762948393743561
3,1.0,648,299.38,13.97052611750896,9.669946875443755e-138,2.164473244705725
3,1.5,485,206.11,11.218640737629492,1.020167860107743e-136,2.353112415700354
3,2.0,295,106.69,9.585087375710248,3.118808676885244e-86,2.7650201518417847
4,1.0,530,224.59,14.589102097113447,1.3093046120504578e-97,2.359855737120976
4,1.5,439,176.43,10.664197109956286,3.704945047995467e-134,2.488238961627841
4,2.0,295,106.22,10.030533385618133,2.5632388985381538e-79,2.7772547542835624
5,1.0,426,170.89,11.25423920129655,4.6458171570249046e-114,2.4928316460881272
5,1.5,381,143.44,12.163321914674462,3.00167096904328e-85,2.6561628555493586
5,2.0,285,100.84,10.879080843527177,1.4009824162677021e-64,2.8262594208647362
9,1.0,177,66.91,7.79114240660508,1.2381061106057937e-45,2.645344492602003
9,1.5,163,59.26,6.9521507463518075,1.1852830941913102e-50,2.75059061761728
9,2.0,145,49.69,6.335132200672691,1.87085562023322e-51,2.918092171463071
12,1.0,118,41.29,6.1956355606184585,1.649847406699036e-35,2.857834826834585
12,1.5,108,36.05,5.734762418792953,2.0828386077273746e-36,2.995839112343967
12,2.0,99,30.28,5.095252692457951,9.318769071960235e-42,3.2694848084544255
