,z
UBE2Q1,1.1410441455677314
RNF14,1.1586324151349028
UBE2Q2,-1.4772388569075066
TMCO1,2.3149654546768863
UBAC1,-0.1686294115446207
RAB4A,1.9853190857735354
ZNF706,3.25166253353063
MIB2,-1.9001818839167472
RNF114,-0.49580527249924444
RNF115,-0.48245346065418204
RNF111,-0.6003899161621082
EEF1AKNMT,0.8811533364464628
UNKL,-1.475263597354814
MMAB,1.0989108830266339
UBE4A,0.24879817994607015
DDX41,3.081347145580665
ATMIN,-0.8637540718261737
TSG101,0.3910191635282927
FBXW11,-1.8988826887239856
UBE2D4,1.8022509303708705
RPS27A,0.7690384806851264
UBE2D2,3.331152795225402
ATP6V1H,0.24683367917668583
UBE2D1,2.926990541796999
MFSD11,-1.286610388966111
CCT3,2.8080083061159575
LNX1,-0.8929708356042388
MRFAP1L1,1.2043935487401012
GTF2B,0.5153298489779116
FBXL13,-1.7570073381104596
FBXL12,-1.8159676763857937
FBXL15,0.12289354717141768
FBXL14,-1.9056937020435616
FBXL16,-1.7946664422559946
FBXL19,-2.1725074633146284
FBXL18,-2.4282514427945823
CCDC51,1.2555055389710041
PPP1R11,0.9374443195529493
AKTIP,0.4879702106602933
RNF41,0.07704991690246693
ANAPC1,-1.2604094833368062
ANAPC2,0.9032697221487235
ANAPC5,-0.5277278076721434
ANAPC4,0.7581266559262934
ANAPC7,-0.35780447317092595
ZNRF1,-0.7818579899658116
LRR1,-1.3591311606064882
ZNRF2,-0.0599201821828767
FBXO30,-1.5183870003122053
FBXO5,-1.977392292811414
FBXO32,-2.050125221976682
EMC7,2.5994873351491177
KLHL25,-0.4027967133496877
KLHL21,-0.6737615644910573
KLHL20,-0.6933507691001431
KLHL22,-0.9958211216915588
MKRN1,-0.5411767034439007
SPSB2,-1.5404751000343977
SPSB1,-2.006787423260083
TRIM50,0.5171603420149968
SPSB4,-1.7061667546150188
ARF1,0.8530414797033349
CDC34,0.451919884231275
AREL1,1.33725097105094
LONRF1,-0.7299679814765684
CIAO2B,0.5860381100595977
RNF25,0.4941324517124697
UBE2V1,-1.240612777435033
UBE2V2,-0.027678207740841444
RNF26,2.434081891681103
PSMD8,0.6588108150840705
LMO7,-2.720449007331337
MGRN1,-0.8653717384319891
DHX8,-0.004522299707665125
SPCS1,0.461562959543459
ITCH,0.7656776139507455
PSMD4,0.21596251931132904
FLAD1,3.782801115011772
CBLL2,-3.1377945119583224
ARIH2,-1.3637649982469802
TRIP12,-0.7033922151095273
MEX3C,-1.8375159294639647
E2F6,-0.36750986666674307
SNW1,-0.60781062592701
PRCC,-1.6469064117445895
C3AR1,1.6273124822870504
BTRC,-1.6948273042266224
TRIM11,-0.04635287932287029
HUWE1,0.4119745226533157
UFC1,1.5295613720923342
LRRC41,-1.4486036645835314
USP25,1.2758782122259098
MOAP1,2.2468349968877708
ASB2,-1.9960193893162244
ASB1,-0.8891788245343403
ASB6,-2.330861034439261
ASB7,-1.936572667365966
ASB4,-3.0832876276082053
ASB5,-1.3333542076865907
ASB8,-1.934528276458367
ASB9,-2.0063752542788467
PIP4K2C,-1.8635238341931675
ZMPSTE24,3.1639187895028704
MRPL34,0.5489905888323547
UBE2R2,-0.6562056156245888
IMPA1,1.5228710479360406
RNF19B,-1.5963897202312134
RNF19A,-1.6594501772401764
RFX5,0.3636713128533888
TRAIP,-1.6110992102427848
UBA52,0.8587856569499449
KAT7,-1.6340729218621919
EXOSC7,0.6228794519593203
ADAR,19.994312769036135
STK24,-1.2234991754721367
