,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
MMUT,1,0,CD_all,peroxisomal,17.853810524960394,4.2755422880981016,76.33472190315914,1
ACOX1,1,0,CD_all,peroxisomal,13.140203052659418,5.200398688992894,68.33429472815045,1
DLAT,1,0,CD_all,peroxisomal,24.09954776475164,2.7536383358474206,66.36143860160614,1
PEX11B,1,0,CD_all,peroxisomal,12.131858322570038,5.465190095598947,66.30291194571943,1
PEX12,1,0,CD_all,peroxisomal,10.121744634593425,6.254518947053842,63.306643594305136,1
PEX13,1,0,CD_all,peroxisomal,15.815187670700444,3.924922626275982,62.07338792753312,1
PEX3,1,0,CD_all,peroxisomal,17.63910392070029,3.492020341430611,61.596109695693855,1
PEX14,1,0,CD_all,peroxisomal,11.203628718226904,5.458690793235645,61.15714493501567,1
HSD17B4,1,0,CD_all,peroxisomal,17.62637770374455,3.420016108963521,60.28249568948179,1
GCDH,1,0,CD_all,peroxisomal,17.123452768500375,3.5200715801739,60.27577944484826,1
PEX2,1,0,CD_all,peroxisomal,16.494891420237174,3.5483529952285275,58.52969737696792,1
PDHB,1,0,CD_all,peroxisomal,21.656685902465963,2.617882479753918,56.694658593599314,1
GPHN,1,0,CD_all,peroxisomal,12.549950274404303,4.333342697067062,54.383235370144654,1
PEX7,0,1,CD_all,peroxisomal,5.1557881263817436,9.831083414429536,50.68698313758429,1
DLD,1,0,CD_all,peroxisomal,22.84617804621066,2.1618752849306495,49.39058767322802,1
PEX5,1,0,CD_all,peroxisomal,10.447345682421199,4.690193915435605,49.00007715214435,1
GCSH,1,0,CD_all,peroxisomal,17.43346261670764,2.7973842288809747,48.768093378764,1
MMADHC,1,0,CD_all,peroxisomal,20.722732452161463,2.3021032893734334,47.7058705429265,1
HIBCH,1,0,CD_all,peroxisomal,13.150216829338085,3.570434274506601,46.951984884662224,1
PEX1,1,0,CD_all,peroxisomal,15.723807192302964,2.8816484443746484,45.310484535346745,1
CLN5,1,0,CD_all,peroxisomal,12.522386842963474,3.5935638526291336,44.999996707512196,1
