,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal synaptic vesicle clustering:-log(OR_p),abnormal synaptic vesicle clustering:log_OR,abnormal synaptic vesicle clustering:num_genes,abnormal synaptic vesicle clustering:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,decreased susceptibility to neuronal excitotoxicity:-log(OR_p),decreased susceptibility to neuronal excitotoxicity:log_OR,decreased susceptibility to neuronal excitotoxicity:num_genes,decreased susceptibility to neuronal excitotoxicity:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,decreased neuron apoptosis:-log(OR_p),decreased neuron apoptosis:log_OR,decreased neuron apoptosis:num_genes,decreased neuron apoptosis:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal synaptic vesicle number:-log(OR_p),abnormal synaptic vesicle number:log_OR,abnormal synaptic vesicle number:num_genes,abnormal synaptic vesicle number:gene_ids,abnormal synaptic vesicle recycling:-log(OR_p),abnormal synaptic vesicle recycling:log_OR,abnormal synaptic vesicle recycling:num_genes,abnormal synaptic vesicle recycling:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C228,4.6286419099842995,1.9890353799196419,5,ATP13A2 NEFL SORCS1 SORL1 TMEM175,4.276711051000565,1.4913838373398196,8,ATP8A2 ATP8B1 CASP3 CTSD DNM2 NFKB1 SCARB2 SYNJ2,3.8231488399029185,2.9748737967858023,2,AP1S2 EPS15L1,3.8231488399029185,2.9748737967858023,2,PLA2G4A SNCG,3.629353176416772,2.2490874373816077,3,PLA2G4A SNCG TMEM175,3.012352970359455,1.210180983950373,8,EPHB2 FYN ITPR3 ITSN2 LRP2 SOX3 TMEM175 WASL,2.918194931891662,1.6820451422265084,4,CASP3 PLA2G4A SNCG TMEM175,2.4302753316534926,0.9102824954333588,11,ATP13A2 ATP2B1 BID CTSB CTSD HEXA SCARB2 SMPD3 STAM VPS13A WASL,2.408520176766316,1.7301211625807742,3,AP1S2 EPS15L1 UNC13A,2.375308719265597,2.1269304974777405,2,AP1S2 UNC13A,AD-PD systems map,7,8,0.03286384976525822,0.03755868544600939,0.004694835680751174,0.9248826291079812
C229,5.541900086500815,2.458086030782611,4,ATP13A2 NEFL SORCS1 SORL1,3.619941903728773,1.706636870760601,5,ATP8A2 ATP8B1 CASP3 CTSD NFKB1,-0.0,0.0,0,,5.519139608847488,3.678454936778053,2,PLA2G4A SNCG,3.1702669305399125,2.507313822037947,2,PLA2G4A SNCG,0.08920978016956524,-0.23650831052170318,1,SOX3,3.302334843962366,2.08291569499241,3,CASP3 PLA2G4A SNCG,1.7150452694073315,0.99037209563825,6,ATP13A2 ATP2B1 BID CTSB CTSD HEXA,-0.0,0.0,0,,-0.0,0.0,0,,Ion transport by P-type ATPases,4,5,0.037383177570093455,0.04672897196261682,0.009345794392523364,0.9065420560747663
C230,1.068260029777218,1.7500824083880673,1,TMEM175,2.9120760389879146,1.9404418461458768,3,DNM2 SCARB2 SYNJ2,7.64738318311607,4.443584527673315,2,AP1S2 EPS15L1,-0.0,0.0,0,,1.8575710660076272,2.5251418054853643,1,TMEM175,3.785928267933473,1.9799306715591163,4,ITSN2 LRP2 TMEM175 WASL,1.015135902341648,1.6901492928172726,1,TMEM175,1.0829819450440648,1.0366366830212694,3,SCARB2 STAM WASL,3.772585067193078,2.767527038949696,2,AP1S2 EPS15L1,2.221039238341837,2.835723559810729,1,AP1S2,Cargo recognition for clathrin-mediated endocytosis,2,1,0.0392156862745098,0.0196078431372549,0.0,0.9411764705882353
C232,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.34534710058203,2.1375381251437258,3,EPHB2 FYN ITPR3,-0.0,0.0,0,,0.13166321125974967,0.33945851721830245,1,SMPD3,1.8078951487182275,2.48075262560078,1,UNC13A,2.8076333470951633,3.282970355411079,1,UNC13A,Inositol phosphate metabolism,0,2,0.0,0.06060606060606061,0.0,0.9393939393939394
C237,5.9583304421423735,3.7336223233774284,2,SORCS1 SORL1,-0.0,0.0,0,,5.11118912800603,4.830657654846755,1,AP1S2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.7232900609706885,3.2393451633031516,1,AP1S2,3.8964151264609463,4.041561588904033,1,AP1S2,Golgi Associated Vesicle Biogenesis,1,0,0.0625,0.0,0.0,0.9375
C238,2.4302780308662606,3.0249709562815177,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.5228438514575258,3.8000267653549225,1,TMEM175,1.0761109898961967,1.7928362433172342,1,TMEM175,2.3528463165185833,2.9650382516249802,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C238,1,1,0.06666666666666667,0.06666666666666667,0.0,0.8666666666666667
C241,6.477435355150347,3.974944452760888,2,SORCS1 SORL1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,O-linked glycosylation of mucins,1,0,0.07692307692307693,0.0,0.0,0.9230769230769231
C243,-0.0,0.0,0,,1.5570249924037227,2.3052174510103596,1,SYNJ2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.557667164574214,2.827206031418406,2,EPHB2 FYN,-0.0,0.0,0,,0.749579251412042,1.4084411654529223,1,VPS13A,-0.0,0.0,0,,-0.0,0.0,0,,C243,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C281,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C281,1,0,0.25,0.0,0.0,0.75
C250,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C250,1,0,0.125,0.0,0.0,0.875
