Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C345,IFI30 VPS41 ATP8B1 QPRT GUF1 ACADM PINK1 ATP6V0A1 ATP6V1B1 MT-ND5 CTSD AC023055.1 ALDH8A1 CTSS FAF2 CSF1R FGD6 SIAE LRPAP1 AC007192.1 SLC1A3 EIF2S2 TCN2 HEXA VAMP8 HPN HAAO ATG2A NDUFAF3 DPYS ATP8A1 TRADD SNX1 CDY1B ECSIT KIAA1147 DNASE2 FTL DCUN1D2 GAA SLC52A2 MVP ACSM3 TBCEL OSBPL11 POT1 IFIT1 GM2A IMMP2L APP MT-CO1 CHIT1 CCDC144NL ATP5F1B CPTP PCDHB10 VDAC1 SPG11 BHMT2 ATP8B4 PRG2 ECHDC2 SLC39A3 NEMP2 SLC39A9 HPSE SLC39A8 MT-ND6 SRP54 MAFB UVSSA BIN3 FUCA1 COPB2 AC138894.1 SORT1 VPS13A TMEM106B ECI1 IL10RB SYNJ1 TMEM246 CYB5R3 AC006538.2 SSNA1 ETFA DOCK3 GPR155 ACADS SLC11A2 TDO2 CTSH STXBP3 MCEE CYGB SLC39A11 SLC20A2 AL691442.1 PLD3 SOD1 FMR1 ITFG1 LONP2 SLC23A2 POLG TMEM9 SNX4 CHCHD5 OSBPL9 YWHAB FAM8A1 ACMSD TOMM20L ZNF181 ENPP2 TRIP13 STAMBPL1 GCH1 RAB1A SPHK2 SDF2 ALDH5A1 SNCB VCP ALDH1L1 TMEM175 PGAM4 TGOLN2 LGMN CDY2B NDUFA5 CTSC TBC1D20 LRBA RAB4A MEX3B CTSL TMBIM1 HSPA6 IRF2BP1 NAGA KIAA1191 ECHDC1 CCPG1 HIBADH ATP2B1 SPTLC2 DNAJA3 FAM53A MR1 GATC SPTLC1 SEC31A CTSB SLC5A6 PCYT1A HSPA4 SEC11A CDY2A ATP6V1C1 FAM173A ANXA11 NDUFAF7 ATP10D ASAH2 PRNP PKM RELCH HOMER2 NDUFV1 RSAD1 KIFAP3 MINDY1 MT-ND4 CFL1 PLA2G6 ATP13A2 KDELR2 VAMP2 HSPA1A ATL1 SLC31A2 DYNC1I2 ST3GAL1 FARP1 SCPEP1 ALDH6A1 SNAP23 ASAH2B LANCL1 MT-ND2 GRINA PEX11B SLC35A1 LITAF NME4 GPD2 FUNDC2 SLC39A14 SQSTM1 LAMP1 C19orf18 KYNU ACP5 TMEM222 EXT3 NINJ1 ECI2 TMEM208 PARP4 MANBA C5orf15 PTPN18 CKB MOGS EVI2A TMEM147 ACBD4 FAM111B SH3GL2 PACSIN2 AUH CAP1 ALDH4A1 GRN NDUFB8 C11orf54 CRIPAK IKBKB CCSAP BHMT TXNDC11 MTCH1 UBC SMPD3 MCOLN1 SMIM20 ACER2 PDZD11 DMGDH IGF2R TFRC FIS1 BLVRB ATP11B PMM1 VAMP3 MT-ND3 AC108488.2 TMEM134 C3orf33 STXBP6 PARK7 GRHPR FLVCR1 YIF1A CADM2 GDPD5 CTSF CDY1 OPLAH HMOX1 SCAMP3 TERF2 PDK4 APOE SURF2 CLCN3 VCY1B AP2A2 FDFT1 MOGAT1 NCSTN PLOD3 CAPG GPX1 ACADSB SERINC3 SLC39A1 STK10 SNAP25 SERTM1 EHHADH B3GAT3 OXCT1 MTERF2 SNX10 COMT CHI3L1 UBE3C GBA CD68 PAH DGKA EIF2B2 MTX1 KDSR IFIT3 SLC39A5 CTSZ DUS1L SKAP2 ACSM5 NME7 MSMO1 CTSA M6PR TOM1 TOMM40 DHFR SNX2 SPNS1 TMEM230 IRF2 ATP7A GNS ASS1 HLA-DMA DNAJC6 P2RX4 NDUFA11 APOC1 SCARB2 CD164 KIAA0408 TIMP2 LOC403312 CCDC92 MAN2B1 CLCN7 TARP NPC2 COQ9 ATP8B3 RDH11 TCIRG1 ATP6AP2 GAS2 ATP6V0C,Lysosome,8.58616437627042e-25,0.26717557251908397,35.0,19,24,24,0.05604719764011799,0.07079646017699115,0.029498525073746312,0.8436578171091446
C386,DNAJC6 DNASE2 AC023055.1 CTSZ KIAA0408,trans-Golgi Network Vesicle Budding,2.6142148297444198e-06,0.041666666666666664,3.0,0,0,0,0.0,0.0,0.2,0.8
C414,NAGA HPSE SPTLC2 KDSR,C414,,,,1,1,1,0.25,0.25,0.0,0.5
C366,SLC39A9 SLC39A1 SLC39A14 SLC39A11 SLC39A5 SLC39A8 SLC20A2 FLVCR1 SLC39A3 AC006538.2 C3orf33,transition metal ion transport,1.113466423033467e-15,0.08080808080808081,8.0,1,0,0,0.09090909090909091,0.0,0.0,0.9090909090909091
C404,KIAA1147 TGOLN2 ANXA11 NCSTN,C404,,,,0,1,1,0.0,0.25,0.0,0.75
C373,ASAH2B GBA FGD6 ACER2 SMPD3 ASAH2 SPHK2,Sphingolipid metabolism,1.1237383319104724e-10,0.09259259259259259,5.0,0,0,0,0.0,0.0,0.14285714285714285,0.8571428571428572
C346,MT-ND4 CFL1 SSNA1 ATP8B1 VPS41 PLA2G6 QPRT ATP13A2 GUF1 ETFA VCY1B DOCK3 ACADM PINK1 KDELR2 AP2A2 FDFT1 VAMP2 ATP6V0A1 HSPA1A ATL1 GPR155 DYNC1I2 ACADS PLOD3 ATP6V1B1 TDO2 MT-ND5 STXBP3 MCEE AC023055.1 ALDH8A1 ALDH6A1 ACADSB SNAP23 CYGB LANCL1 MT-ND2 FAF2 PEX11B SLC35A1 NME4 SLC20A2 SERINC3 AC007192.1 AL691442.1 SLC1A3 GPD2 FUNDC2 SOD1 EIF2S2 FMR1 ITFG1 VAMP8 C19orf18 SNAP25 LONP2 SLC23A2 SERTM1 EHHADH HPN POLG B3GAT3 TMEM222 EXT3 HAAO TMEM9 SNX4 ECI2 ATG2A OXCT1 NDUFAF3 CHCHD5 MTERF2 SNX10 TMEM208 OSBPL9 PARP4 YWHAB FAM8A1 COMT DPYS ACMSD UBE3C ATP8A1 TOMM20L ZNF181 C5orf15 TRIP13 SNX1 CDY1B CKB ECSIT STAMBPL1 MOGS PAH TMEM147 GCH1 ACBD4 EIF2B2 SH3GL2 PACSIN2 AUH FAM111B FTL KIAA1147 RAB1A MTX1 DCUN1D2 SLC52A2 CAP1 ACSM3 ALDH4A1 TBCEL SDF2 KDSR NDUFB8 ALDH5A1 SNCB OSBPL11 VCP ALDH1L1 C11orf54 POT1 TMEM175 CRIPAK PGAM4 IKBKB TGOLN2 IMMP2L CDY2B APP MT-CO1 CCSAP BHMT NDUFA5 TBC1D20 CCDC144NL LRBA RAB4A ATP5F1B CPTP DUS1L PCDHB10 SKAP2 UBC MEX3B ACSM5 NME7 MSMO1 VDAC1 SPG11 M6PR HSPA6 TOMM40 BHMT2 DHFR IRF2BP1 SNX2 ATP8B4 SMIM20 PDZD11 DMGDH IGF2R TFRC FIS1 ECHDC2 TMEM230 IRF2 KIAA1191 ECHDC1 ATP7A CCPG1 NEMP2 HIBADH ATP11B PMM1 ATP2B1 SPTLC2 VAMP3 MT-ND6 DNAJA3 ASS1 FAM53A MT-ND3 SRP54 GATC AC108488.2 DNAJC6 SPTLC1 SEC31A NDUFA11 SLC5A6 SCARB2 TMEM134 UVSSA BIN3 CD164 PCYT1A KIAA0408 HSPA4 COPB2 SEC11A STXBP6 PARK7 LOC403312 CDY2A ATP6V1C1 GRHPR FAM173A CCDC92 FLVCR1 YIF1A CADM2 TARP NDUFAF7 GDPD5 ATP10D SORT1 PRNP PKM CDY1 RELCH VPS13A TMEM106B HOMER2 OPLAH COQ9 ATP8B3 ECI1 SCAMP3 RDH11 TERF2 PDK4 NDUFV1 SYNJ1 ATP6AP2 KIFAP3 RSAD1 TMEM246 MINDY1 GAS2 CYB5R3 SURF2 CLCN3,"mitochondrial electron transport, NADH to ubiquinone",1.0531699390267437e-08,0.19607843137254902,10.0,7,19,19,0.02857142857142857,0.07755102040816327,0.02857142857142857,0.8653061224489795
C350,IFI30 SLC31A2 MOGAT1 NCSTN ST3GAL1 SLC11A2 CTSH CTSD SCPEP1 CAPG GPX1 LANCL1 CTSS SIAE GRINA CSF1R FGD6 LITAF LRPAP1 PLD3 SQSTM1 LAMP1 TCN2 HEXA VAMP8 STK10 KYNU ACP5 NINJ1 SNX10 CHI3L1 MANBA GBA TRADD ENPP2 PTPN18 CD68 EVI2A DGKA DNASE2 FTL GAA MVP GRN IFIT3 IFIT1 TMEM175 GM2A LGMN IKBKB CHIT1 CTSC CTSZ MTCH1 CTSL TMBIM1 CTSA TOM1 MCOLN1 NAGA PRG2 GNS BLVRB HPSE MR1 HLA-DMA P2RX4 CTSB APOC1 MAFB FUCA1 TIMP2 MAN2B1 ANXA11 AC138894.1 CTSF NPC2 HMOX1 IL10RB TCIRG1 APOE ATP6V0C,Lysosome,2.2644211685283435e-35,0.22137404580152673,29.0,11,6,6,0.13414634146341464,0.07317073170731707,0.036585365853658534,0.7560975609756098
C402,GRHPR PDZD11 EIF2B2 SDF2,C402,,,,1,0,0,0.25,0.0,0.0,0.75
C372,COQ9 FAF2 FUNDC2 RDH11 PEX11B FIS1 GRHPR CYB5R3,C372,,,,1,0,0,0.125,0.0,0.0,0.875
