Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C347,C1D MAN2B1 OCEL1 FLOT2 SLC38A10 ADAM10 TLR2 DENND5A ETS2 LDLRAD2 HLA-DRA SH3BGRL PILRA SH3TC1 NUMB CYB5R1 PKD2L2 LMBR1L CD302 IGF2R STAMBPL1 PEX19 TMEM165 SLCO2B1 CTSS OSBPL2 SPNS1 CTSK KIRREL2 PTPRK ADGRL2 PLEKHO2 CTSD AIF1 LGALS8 PRAMEF8 CLIP1 HLA-DPA1 DDX11L8 EVA1B CTSB HYOU1 NR1H3 ZYX GM2A CLCN7 GRN CD68 TNFSF13 PLD3 SLC2A8 TMEM51 VAMP3 CAPN1 CYBA PCYT1A IQSEC1 SH3GLB2 KLF3 IFNGR1 AREL1 DNM2 VPS9D1 HCLS1 IFIT3 LGALS1 GIT2 LRPAP1 DDAH2 MEGF9 ZNF276 UBXN11 HLA-DPB1 NPL DOCK10 SHKBP1 LILRA5 HLA-DMA HFE ADAP2 ARHGAP26 SLC35A1 GGCX SLC39A11 CD1D ATP13A1 PSD4 CUL3 CD74 ZBTB17 NAGPA ATP7A SKAP2 SIAE PLXDC2 APOE IGFBP4 DOLK C1RL AL162231.3 ST18 LAMP1 PROS1 TMEM53 SHB USF2 CD99 C1QB THEMIS2 MAGED2 PRXL2C ZNF395 CASP3 MPO GLIPR1 RNPEPL1 TMEM175 ENC1 TNS3 IGSF6 S100A4 RASSF7 SORT1 PTPN12 SLC12A9 NOTCH4 PXDC1 CHI3L1 IL17RA PRRT2 TSPAN14 ANKRD11 NOTCH3 TLR1 ORAI3 TREM2 CCDC92 CPPED1 CTSA SREBF1 TCN2 PSEN2 SLC31A2 TMEM176A EMP3 SLC15A3 PSEN1 CHI3L2 TGFBI INPP1 CBWD3 LAMP2 CCS LGALS3 C3AR1 DHRS3 TGOLN2 PTGDS TCIRG1 ABCA2 SUSD6 BIN3 PTPN18 MCOLN1 PKD1L1 HOMER2 CHIT1 MKNK1 GPNMB PCSK9 SERPINA1 ANXA6 B3GAT3 ANTXR2 ARHGAP36 RABEP2 ERGIC3 METTL7A SMCO4 FES TGM2 DYSF CD14 SLC24A4 BNIP3L FTL SLC7A7 CHN2 DAB2 STIM1 KIAA0513 PLA2G7 PARVG MS4A6A STXBP2 UNC93B1 PICALM EHBP1L1 DUSP3 NCSTN PRKCH ART3 TRAM2 CTNNBIP1 TAFA4 KCNIP3 AOAH CSK VWA5A PCDH8 M6PR BEX3 MAPK1 RELCH MS4A4A LAPTM5 LIME1 ACP5 FCER1G HLA-DMB MPPE1 PLAAT3 PRNP GPM6B MYCBP2 CAPG CYBB SIRPA CPVL CASP7 TXNDC11 FXYD5 WDTC1 RPS6KA1 SPIC CD164 CAVIN2 MAN2C1 GALE SIPA1 CD300C TRAF6 STK10 INPP5A ZDHHC7 SRI HLA-DRB1 FAM3B PARVB AZU1 TRPC3 PNPLA6 IDUA TPCN1 CLU SUMF2 APOC1 G6PC3 CLN3 SH2B1 INF2 HLA-A APOD GINM1 TNFRSF1A AC138894.1 ATP2B1 FAM3A MYZAP SCGB1D1 VLDLR FKBP15 GLT1D1 DNASE2 TNFRSF10C CD58 APLP2 TIMP2 ITGB2 NOTCH2 HEXA SEL1L3 MAP3K11 SLC38A7 ERLIN2 CTSH EVI2A ZNF224 TAFA3 MMP3 CD44 OGA CD163 RIN2 RBMS2 MAN1B1 POMGNT2 SLC8B1 GNS LGALS9 PLAUR TRPV6 IFI30 APBB3 B2M FAM160B2 GMIP SNX1 GNPTAB CFB MANBA ZNF274 CD55 SCARB2 NPC1 HLA-DQA1 MSN SLC1A3 UCP2 ATP1B1 RILPL2 CYB561 ENPP4 HPS1 ABCA7 HAVCR2 ARHGAP17 TNFRSF14 ARAP1 CIDEB NAAA IRF1 PBXIP1 IGFBP2 ABCG1 LY96 NPEPL1 TAPBP GIMAP8 GSN SOAT1,antigen processing and presentation of peptide antigen,7.107287471641967e-17,0.27941176470588236,19.0,12,8,8,0.03519061583577713,0.02346041055718475,0.0,0.9413489736070382
C348,C1D BNIP3L CHN2 SUMF2 CUL3 ADAM10 ATP7A SKAP2 KIAA0513 DENND5A ETS2 SIAE LDLRAD2 APOD SH3BGRL GINM1 AL162231.3 NUMB CYB5R1 LAMP1 ATP2B1 MYZAP CD302 IGF2R STAMBPL1 VLDLR GLT1D1 PEX19 TMEM165 PICALM PRXL2C CASP3 DUSP3 NCSTN APLP2 OSBPL2 PRKCH ART3 KIRREL2 TRAM2 NOTCH2 PTPRK ADGRL2 ENC1 SORT1 PTPN12 TAFA4 KCNIP3 NOTCH4 ERLIN2 LGALS8 PRAMEF8 CLIP1 PCDH8 ZNF224 TAFA3 OGA RBMS2 NOTCH3 M6PR BEX3 GNS MAPK1 CPPED1 PSEN2 HLA-DMB MPPE1 PLAAT3 SNX1 GNPTAB PRNP PSEN1 MANBA CD55 ZNF274 MYCBP2 GPM6B SCARB2 SLC2A8 NPC1 VAMP3 CASP7 INPP1 PCYT1A KLF3 SPIC CD164 CBWD3 LAMP2 ATP1B1 IFNGR1 AREL1 RILPL2 CYB561 DNM2 ENPP4 TGOLN2 GIT2 GALE MEGF9 TRAF6 SUSD6 HOMER2 CIDEB INPP5A ZDHHC7 SRI FAM3B AZU1 ANTXR2 ARHGAP36 NAAA SMCO4 IGFBP2 ABCG1 ARHGAP26 GGCX SLC24A4 SLC39A11 SOAT1 CLU,amyloid precursor protein catabolic process,1.7270961466073464e-08,0.16071428571428573,9.0,4,5,5,0.03305785123966942,0.04132231404958678,0.0,0.9256198347107438
C349,FTL SLC7A7 CD74 APOC1 TLR2 PLA2G7 HLA-A HLA-DRA PLXDC2 APOE PILRA MS4A6A SCGB1D1 C1QB THEMIS2 SLCO2B1 CD58 CTSS CTSK ITGB2 GLIPR1 PLEKHO2 IGSF6 S100A4 SEL1L3 AOAH AIF1 CHI3L1 CTSH HLA-DPA1 EVI2A CD163 RIN2 TREM2 TLR1 LGALS9 LAPTM5 MS4A4A ACP5 CTSB TCN2 IFI30 FCER1G B2M SLC31A2 NR1H3 GM2A TMEM176A HLA-DMB CD68 CFB TNFSF13 CHI3L2 SLC15A3 TMEM51 CAPG CYBB SIRPA HLA-DQA1 CPVL CYBA SLC1A3 LGALS3 C3AR1 HAVCR2 HCLS1 IFIT3 PTGDS CD300C CHIT1 MKNK1 HLA-DPB1 NPL GPNMB HLA-DRB1 SERPINA1 LILRA5 IRF1 HLA-DMA LY96 HFE ADAP2 GIMAP8 TGM2 DYSF CD14 SLC39A11 CD1D,antigen processing and presentation of peptide antigen,1.2443210046066509e-18,0.20588235294117646,14.0,1,2,2,0.011363636363636364,0.022727272727272728,0.0,0.9659090909090909
C350,MAN2C1 TNFRSF14 TCIRG1 SIPA1 ABCA2 PSD4 OCEL1 STIM1 APBB3 BIN3 FLOT2 FAM160B2 USF2 PTPN18 SLC38A10 ZBTB17 ZNF276 CLCN7 GMIP RNPEPL1 UBXN11 ARAP1 SH2B1 INF2 RASSF7 SH3TC1 ARHGAP17 SLC12A9 MAP3K11 SHKBP1 SLC38A7 CAPN1 CSK B3GAT3 TMEM53 FAM3A LMBR1L IQSEC1 PNPLA6 RPS6KA1 STXBP2 UNC93B1 SH3GLB2 TSPAN14 WDTC1 RABEP2 PBXIP1 IDUA CCS NPEPL1 LIME1 MAN1B1 DNM2 ORAI3 CCDC92 HPS1 ABCA7 VPS9D1 TPCN1 SLC8B1 EHBP1L1 ATP13A1,C350,,,,1,1,1,0.016129032258064516,0.016129032258064516,0.0,0.967741935483871
C358,TRPC3 TMEM175 TRPV6 PRRT2 MCOLN1 PKD2L2 PKD1L1,calcium channel activity,2.492691724206765e-08,0.029585798816568046,5.0,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C375,C1D MAN2B1 LDLRAD2 GSN LGALS9,C375,,,,1,0,0,0.2,0.0,0.0,0.8
C379,ERLIN2 CLN3 PCSK9 SREBF1,C379,,,,1,0,0,0.25,0.0,0.0,0.75
C383,SLC24A4 ATP2B1 SLC8B1 TPCN1,calcium ion transmembrane transporter activity,6.132465835919216e-07,0.0213903743315508,4.0,0,1,1,0.0,0.25,0.0,0.75
C384,TAFA3 MANBA GALE AL162231.3,C384,,,,1,0,0,0.25,0.0,0.0,0.75
C370,PLAAT3 ARHGAP36 SUMF2 APOD CLU,C370,,,,0,1,1,0.0,0.2,0.0,0.8
