z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,658,343.56,17.292379824651086,3.4721529213538117e-74,1.915240423797881
2,1.5,346,174.71,11.340454135527377,7.58160476078242e-52,1.98042470379486
2,2.0,117,68.66,7.4420696046194035,4.1377681470501724e-11,1.7040489367899796
3,1.0,476,243.02,14.095375128034018,1.1376648705067454e-61,1.9586865278577894
3,1.5,312,162.17,12.449140532582962,1.1579809832040855e-33,1.9239070111611274
3,2.0,117,66.25,7.233774948116647,1.1439968209903007e-12,1.7660377358490567
4,1.0,314,165.8,11.590513362228613,9.775879188884887e-38,1.8938480096501809
4,1.5,247,128.13,11.372471147468346,7.14063755521227e-26,1.9277296495746508
4,2.0,117,67.83,8.514757776942336,3.854977351143289e-09,1.7249004865103936
5,1.0,202,112.22,9.331216426597337,3.244913294321349e-22,1.8000356442701835
5,1.5,169,96.7,9.112079894294167,1.0565363132260452e-15,1.747673216132368
5,2.0,103,63.02,7.881598822574008,1.9623433696430822e-07,1.6344017772135828
9,1.0,67,34.15,5.5305967128330735,1.4278549462353882e-09,1.9619326500732066
9,1.5,51,29.07,5.442894450565802,2.7994656192158983e-05,1.7543859649122806
9,2.0,40,24.92,5.231978593228378,0.0019740762826281665,1.6051364365971106
12,1.0,38,18.55,4.226996569669769,2.0985463159437703e-06,2.048517520215633
12,1.5,27,14.95,3.5871297718370885,0.0003907975446465989,1.8060200668896322
12,2.0,19,13.53,3.3954528416692815,0.053592253284120886,1.4042867701404287
