,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
GRN,0,1,CD_1A_lyso,FTLD,4.33777009812177,11.060350129540312,47.977256066677214,1
APOE,0,1,CD_1A_lyso,FTLD,3.5168459741015554,10.21478338405306,35.92381982052647,1
CHCHD5,0,0,CD_1A_lyso,FTLD,4.635055366431979,6.412881220214754,29.724059514047255,0
CHMP2B,0,1,CD_1A_lyso,FTLD,1.9480852612982849,11.689300014412847,22.771753072971496,1
NPC2,1,0,CD_1A_lyso,FTLD,9.959787219256405,2.1196509360523392,21.111272302178964,1
MCOLN1,1,0,CD_1A_lyso,FTLD,9.267838108784913,2.2157509055569613,20.535220682095485,1
CLN6,1,0,CD_1A_lyso,FTLD,12.436536860999354,1.5846398808624607,19.707432289755616,1
CTSA,1,0,CD_1A_lyso,FTLD,10.06638175833526,1.8776933743718076,18.901578331523343,1
MAN2B1,1,0,CD_1A_lyso,FTLD,10.019647674998053,1.6809962904805744,16.84299057359404,1
LGMN,0,0,CD_1A_lyso,FTLD,4.621121362647688,3.3606018696527777,15.529749091206213,0
HLA-DQA2,0,1,CD_1A_lyso,FTLD,1.6198191685739312,9.432427668623726,15.278827143823827,1
GM2A,1,0,CD_1A_lyso,FTLD,8.441860663351704,1.6942146376259395,14.30232390464908,1
EDEM2,0,0,CD_1A_lyso,FTLD,3.4060365948567184,4.164806925419739,14.185484798492325,0
CTSB,0,0,CD_1A_lyso,FTLD,4.797419033457247,2.8792631768454533,13.813031966930957,0
NAGLU,1,0,CD_1A_lyso,FTLD,7.24726042074637,1.7722028455413532,12.843615540025942,1
FUCA1,1,0,CD_1A_lyso,FTLD,8.464480453485262,1.511079150988222,12.79049993720891,1
SELENOK,0,0,CD_1A_lyso,FTLD,5.4067539547553425,2.3297172075261696,12.59620772525369,0
CTSH,0,0,CD_1A_lyso,FTLD,3.8205039447338462,3.246355709610428,12.402714794575886,0
ODAPH,0,0,CD_1A_lyso,FTLD,3.053518987414032,3.9195382893355197,11.968384588382323,0
SLC40A1,0,0,CD_1A_lyso,FTLD,4.339992902053366,2.7371291643021647,11.879121145074656,0
CTSF,0,0,CD_1A_lyso,FTLD,3.6962339731340514,3.0825383335773093,11.393782912056476,0
CTSL,0,0,CD_1A_lyso,FTLD,4.022492825743982,2.6983139901130464,10.853948666834349,0
ATG3,0,0,CD_1A_lyso,FTLD,2.524178104342799,4.269894789990433,10.777974936741245,0
SUSD4,0,0,CD_1A_lyso,FTLD,3.6690579586246805,2.896805275811471,10.628546451802041,0
TMEM176A,0,0,CD_1A_lyso,FTLD,2.9466134126576446,3.3973754098410143,10.010751950470794,0
LAMC1,0,0,CD_1A_lyso,FTLD,2.4239116027041208,3.8390177979928133,9.305439783542404,0
ATP8B4,0,0,CD_1A_lyso,FTLD,2.5077197413032715,3.6966820224890418,9.270242485116674,0
CTSS,0,0,CD_1A_lyso,FTLD,2.881827569183902,3.1990250626900787,9.21903862017053,0
SCPEP1,0,0,CD_1A_lyso,FTLD,3.8625971943883948,2.323949168549518,8.976479538340612,0
SEC11A,0,0,CD_1A_lyso,FTLD,2.6006158091026914,3.435653070768698,8.934813690433284,0
MAN2B2,0,0,CD_1A_lyso,FTLD,4.633653192914972,1.9251003520286425,8.920247392859256,0
PTPRN,0,0,CD_1A_lyso,FTLD,2.7414439425494943,3.1637832984388616,8.673334559044477,0
LAMP1,0,0,CD_1A_lyso,FTLD,5.205255050634099,1.6436679780500103,8.555711044310353,0
CTSC,0,0,CD_1A_lyso,FTLD,3.7085034950951012,2.300364969985342,8.530911531184978,0
TRIM3,0,0,CD_1A_lyso,FTLD,3.4417907516694926,2.4035054985624718,8.272362996539089,0
NINJ1,0,0,CD_1A_lyso,FTLD,3.3733947140633083,2.4074570623889966,8.121302928597421,0
TOM1,0,0,CD_1A_lyso,FTLD,3.7274654663589306,2.1521184909885838,8.02194735467244,0
