,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0011975,9.821267351188706e-09,3.912147997616297,2.574869647965842,5.249426347266752,11,neuronal cytoplasmic inclusions,brain
MP:0000136,0.0009019143528841281,1.7173670687541183,0.7033537370630034,2.731380400445233,100,abnormal microglial cell morphology,brain
MP:0004769,0.0011463829313826813,1.9459101490553135,0.773082119143605,3.118738178967022,60,abnormal synaptic vesicle morphology,brain
MP:0002912,0.0014380042205324108,1.6466094720955162,0.6339379382707826,2.65928100592025,107,abnormal excitatory postsynaptic potential,brain
MP:0014062,0.0019926641690298235,1.8455044044129298,0.6754158707173674,3.015592938108492,66,nervous system inclusion bodies,brain
MP:0002206,0.002075799281743125,0.8230769110779761,0.299168713471772,1.3469851086841802,995,abnormal CNS synaptic transmission,brain
MP:0004859,0.005327251541317739,1.6572071474694265,0.491584011597177,2.822830283341676,79,abnormal synaptic plasticity,brain
MP:0003635,0.006141658853682801,0.7320175859696896,0.2084172929277095,1.2556178790116697,1083,abnormal synaptic transmission,brain
MP:0021009,0.006642176082322668,0.7250809817583512,0.2015030139720304,1.248658949544672,1090,abnormal synaptic physiology,brain
MP:0002910,0.00855730605342213,1.352198643064586,0.3442080839369306,2.3601892021922417,142,abnormal excitatory postsynaptic currents,brain
MP:0003224,0.010163996152697299,0.943783001660881,0.22407984750649157,1.6634861558152705,429,neuron degeneration,brain
MP:0004793,0.014351963961365928,2.5761003874372896,0.5138533075674068,4.638347467307172,11,abnormal synaptic vesicle clustering,brain
MP:0004792,0.02034799475852607,1.6849880961734183,0.2614091073069782,3.1085670850398586,51,abnormal synaptic vesicle number,brain
MP:0003243,0.021855670215318933,1.6647317047866323,0.24170352297250997,3.0877598866007547,52,abnormal dopaminergic neuron morphology,brain
MP:0011451,0.02189004266420479,2.393671683959422,0.3470064141108349,4.440336953808009,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011003,0.02189004266420479,2.393671683959422,0.3470064141108349,4.440336953808009,13,reduced AMPA-mediated synaptic currents,brain
MP:0001081,0.024504753094421038,1.1538688278426577,0.14834683835891127,2.159390817326404,172,abnormal cranial ganglia morphology,brain
MP:0001900,0.02506920076833836,1.6254036148481106,0.20341407196842698,3.047393157727794,54,impaired synaptic plasticity,brain
MP:0009823,0.026275985075582188,2.313575398638468,0.27293481249855356,4.354215984778383,14,abnormal sphingomyelin level,brain
MP:0011267,0.02854961682253605,1.5875558985490077,0.1665287346888713,3.0085830624091443,56,abnormal excitatory postsynaptic current amplitude,brain
MP:0021010,0.02854961682253605,1.5875558985490077,0.1665287346888713,3.0085830624091443,56,impaired synaptic physiology,brain
MP:0003203,0.029187838514345706,1.1184532888563865,0.11332341572205329,2.1235831619907195,178,increased neuron apoptosis,brain
MP:0002917,0.031056300397507876,2.2394138459666113,0.20395146698915445,4.274876224944068,15,decreased synaptic depression,brain
MP:0004494,0.031056300397507876,2.2394138459666113,0.20395146698915445,4.274876224944068,15,abnormal synaptic glutamate release,brain
MP:0002752,0.03151552951552031,0.6090054031164449,0.05395887565225488,1.164051930580635,1055,abnormal somatic nervous system morphology,brain
MP:0000952,0.03321088122667599,0.8960952911007407,0.07135042018606497,1.7208401620154166,334,abnormal CNS glial cell morphology,brain
MP:0002882,0.0353321444463828,0.5102821654483538,0.0350529493280447,0.9855113815686629,1681,abnormal neuron morphology,brain
MP:0002915,0.038365711176940764,1.2235599376012427,0.06555941011149824,2.3815604650909874,120,abnormal synaptic depression,brain
MP:0003244,0.0476080161196623,2.0450970727438573,0.02156417716642478,4.068629968321289,18,loss of dopaminergic neurons,brain
MP:0014385,0.0476080161196623,2.0450970727438573,0.02156417716642478,4.068629968321289,18,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0014376,0.05380608798016723,1.987885066899823,-0.032543502369904775,4.00831363616955,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0004753,0.061763455480099684,1.1021234333961267,-0.05426506899672501,2.2585119357889782,135,abnormal miniature excitatory postsynaptic currents,brain
MP:0011269,0.06711917744517326,1.8824173586167472,-0.1327228815894408,3.897557598822935,21,increased excitatory postsynaptic current amplitude,brain
MP:0004811,0.07570855993469426,0.6156814249209148,-0.06371779002630451,1.295080639868134,663,abnormal neuron physiology,brain
MP:0003871,0.07806961798708416,1.2714003339955955,-0.14284572011576957,2.6856463881069605,76,abnormal myelin sheath morphology,brain
MP:0002888,0.08154007065907841,1.7869999746956804,-0.22380310698958583,3.7978030563809466,23,abnormal NMDA-mediated synaptic currents,brain
MP:0004770,0.08154007065907841,1.7869999746956804,-0.22380310698958583,3.7978030563809466,23,abnormal synaptic vesicle recycling,brain
MP:0014383,0.08912417281444066,1.7424946057563968,-0.2664198345577664,3.75140904607056,24,decreased miniature inhibitory postsynaptic current frequency,brain
MP:0002945,0.09790056200136388,1.1931162118779248,-0.21975271260367157,2.6059851363595214,82,abnormal inhibitory postsynaptic currents,brain
MP:0014380,0.1049602832756718,1.6590057754587502,-0.3465803370495646,3.664591887967065,26,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0000921,0.11227581399562891,1.1441109361185262,-0.2679485738077978,2.55617044604485,86,demyelination,brain
MP:0003202,0.11495053758712104,0.8060377839646531,-0.1961688357680358,1.808244403697342,241,abnormal neuron apoptosis,brain
MP:0003634,0.118298479208683,0.6560777003455165,-0.1671779477055133,1.4793333483965463,421,abnormal glial cell morphology,brain
MP:0002885,0.12158756584420823,1.5819375014663706,-0.4208090068473993,3.5846840097801405,28,abnormal AMPA-mediated synaptic currents,brain
MP:0008571,0.13889509665433034,1.510371293127859,-0.4899240458911063,3.5106666321468243,30,abnormal synaptic bouton morphology,brain
MP:0000937,0.13894428528808475,0.8711025066619467,-0.28270601574058607,2.024911029064479,169,abnormal motor neuron morphology,brain
MP:0014374,0.1477719222255346,1.4764161149606778,-0.5227752176634468,3.4756074475848022,31,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008235,0.15678155618992173,1.4435726627702312,-0.5545853376404994,3.441730663180962,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0000920,0.16457707566493163,0.8178180054665543,-0.3354747077589779,1.9711107186920864,178,abnormal myelination,brain
MP:0002272,0.16820124158685412,0.6316831253502322,-0.26677131573673984,1.530137566437204,358,abnormal nervous system electrophysiology,brain
MP:0014381,0.203448867025956,1.2937727388118745,-0.7000739485879326,3.2876194262116814,37,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0011270,0.203448867025956,1.2937727388118745,-0.7000739485879326,3.2876194262116814,37,decreased excitatory postsynaptic current amplitude,brain
MP:0010050,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,hypermyelination,brain
MP:0004562,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010160,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,increased oligodendrocyte number,brain
MP:0021105,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal ventral interneuron 3 morphology,brain
MP:0014373,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0003407,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal central nervous system regeneration,brain
MP:0020874,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal nervous system dopamine level,brain
MP:0000954,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,decreased oligodendrocyte progenitor number,brain
MP:0011452,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0006277,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal parasympathetic nervous system physiology,brain
MP:0014372,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0014378,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,increased excitatory postsynaptic current frequency,brain
MP:0003247,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,abnormal glutaminergic neuron morphology,brain
MP:0005192,0.21895566006555955,1.7805718825074681,-1.0583029507188124,4.619446715733749,11,increased motor neuron number,brain
MP:0001105,0.2324077196738733,1.2135690826146934,-0.7782181551901088,3.2053563204194955,40,abnormal PNS glial cell morphology,brain
MP:0012205,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,abnormal neuronal stem cell self-renewal,brain
MP:0014375,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,increased miniature excitatory postsynaptic current frequency,brain
MP:0012203,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,abnormal neuronal stem cell morphology,brain
MP:0001045,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,abnormal enteric ganglia morphology,brain
MP:0014379,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,decreased excitatory postsynaptic current frequency,brain
MP:0001025,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,abnormal sympathetic neuron morphology,brain
MP:0014382,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0003246,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,loss of GABAergic neurons,brain
MP:0020387,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,abnormal radial glial cell number,brain
MP:0020393,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,increased neuronal precursor proliferation,brain
MP:0004191,0.24147146762536986,1.6935069307408313,-1.1402376535484238,4.527251515030086,12,neuronal intranuclear inclusions,brain
MP:0002110,0.2435945294714671,-1.653173551526029,-4.431924613811445,1.1255775107593862,335,abnormal digit morphology,neg_ctrl
MP:0003690,0.2739306260593486,0.7854979027440709,-0.6216953905166136,2.1926911960047555,122,abnormal glial cell physiology,brain
MP:0000938,0.28159871201580966,1.0926727897078905,-0.8963026737299404,3.0816482531457217,45,motor neuron degeneration,brain
MP:0010149,0.28567000884262383,1.539249092748019,-1.2864148537284303,4.364913039224469,14,abnormal synaptic dopamine release,brain
MP:0010387,0.28567000884262383,1.539249092748019,-1.2864148537284303,4.364913039224469,14,abnormal Bergmann glial cell morphology,brain
MP:0010170,0.28567000884262383,1.539249092748019,-1.2864148537284303,4.364913039224469,14,abnormal glial cell apoptosis,brain
MP:0008946,0.30369347902053634,-0.7338170219477025,-2.132156199528632,0.6645221556332268,538,abnormal neuron number,brain
MP:0014345,0.3072799416735149,1.470202637871905,-1.3522225760877946,4.292627851831605,15,abnormal neuron mitochondrial morphology,brain
MP:0002948,0.3072799416735149,1.470202637871905,-1.3522225760877946,4.292627851831605,15,abnormal neuron specification,brain
MP:0001038,0.3072799416735149,1.470202637871905,-1.3522225760877946,4.292627851831605,15,abnormal cholinergic neuron morphology,brain
MP:0014325,0.3072799416735149,1.470202637871905,-1.3522225760877946,4.292627851831605,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0002916,0.3072799416735149,1.470202637871905,-1.3522225760877946,4.292627851831605,15,increased synaptic depression,brain
MP:0009937,0.30844523865478757,-1.0235099841266067,-2.9931346944480426,0.9461147261948295,360,abnormal neuron differentiation,brain
MP:0003861,0.309104823760297,-0.39526148682487516,-1.1569335140163977,0.36641054036664733,1333,abnormal nervous system development,brain
MP:0012204,0.32853258430692567,1.4056105304738384,-1.4139777410662808,4.225198802013958,16,abnormal neuronal stem cell physiology,brain
MP:0004297,0.32853258430692567,1.4056105304738384,-1.4139777410662808,4.225198802013958,16,abnormal proprioceptive neuron morphology,brain
MP:0003240,0.32853258430692567,1.4056105304738384,-1.4139777410662808,4.225198802013958,16,loss of hippocampal neurons,brain
MP:0020338,0.3494140303789658,1.3449323195252667,-1.4721503952114308,4.162015034261964,17,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0011827,0.3494140303789658,1.3449323195252667,-1.4721503952114308,4.162015034261964,17,impaired neuron differentiation,brain
MP:0003241,0.3699157811356838,1.2877203136812305,-1.5271333673660834,4.1025739947285444,18,loss of cortex neurons,brain
MP:0011731,0.39003348536930005,1.2335994975346143,-1.5792582878869732,4.046457282956202,19,decreased myelin sheath thickness,brain
MP:0021101,0.39003348536930005,1.2335994975346143,-1.5792582878869732,4.046457282956202,19,abnormal ventral interneuron morphology,brain
MP:0003648,0.3908040020172763,0.8689387136147424,-1.1156424360188768,2.8535198632483616,56,abnormal radial glial cell morphology,brain
MP:0009435,0.41048797170200835,0.8331132253952465,-1.1508504008353122,2.817076851625805,58,abnormal miniature inhibitory postsynaptic currents,brain
MP:0013438,0.42911453191292936,1.1334088406069434,-1.6760241111457228,3.9428417923596095,21,dysmyelination,brain
MP:0014551,0.42911453191292936,1.1334088406069434,-1.6760241111457228,3.9428417923596095,21,impaired neuronal migration,brain
MP:0020448,0.42911453191292936,1.1334088406069434,-1.6760241111457228,3.9428417923596095,21,increased microglial cell activation,brain
MP:0004858,0.42911453191292936,1.1334088406069434,-1.6760241111457228,3.9428417923596095,21,abnormal nervous system regeneration,brain
MP:0014371,0.42911453191292936,1.1334088406069434,-1.6760241111457228,3.9428417923596095,21,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0008948,0.43556289792031755,-0.556475624264829,-1.9552973478120368,0.8423460992823788,453,decreased neuron number,brain
MP:0014377,0.4480822978388953,1.0868352214770898,-1.7211175337343039,3.8947879766884834,22,abnormal excitatory postsynaptic current frequency,brain
MP:0014489,0.4480822978388953,1.0868352214770898,-1.7211175337343039,3.8947879766884834,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0020394,0.4480822978388953,1.0868352214770898,-1.7211175337343039,3.8947879766884834,22,decreased neuronal precursor proliferation,brain
MP:0004980,0.4666738430732851,1.0423298525378062,-1.7642707372659983,3.8489304423416106,23,increased neuronal precursor cell number,brain
MP:0003691,0.47838826485123465,0.716905399337401,-1.2651996754428831,2.699010474117685,65,abnormal microglial cell physiology,brain
MP:0003424,0.4848948085112028,0.9997166288767652,-1.8056439036033263,3.8050771613568566,24,premature neuronal precursor differentiation,brain
MP:0001046,0.5027516323331069,0.9588410222401578,-1.845378173341833,3.7630602178221486,25,abnormal enteric neuron morphology,brain
MP:0008917,0.5027516323331069,0.9588410222401578,-1.845378173341833,3.7630602178221486,25,abnormal oligodendrocyte physiology,brain
MP:0020337,0.5027516323331069,0.9588410222401578,-1.845378173341833,3.7630602178221486,25,abnormal pyramidal neuron dendrite morphology,brain
MP:0009808,0.5027516323331069,0.9588410222401578,-1.845378173341833,3.7630602178221486,25,decreased oligodendrocyte number,brain
MP:0000811,0.5202513334334471,0.9195666940961136,-1.8835985474238757,3.722731935616103,26,hippocampal neuron degeneration,brain
MP:0004183,0.5374013404556353,0.88177274824778,-1.920416256574574,3.683961753070134,27,abnormal sympathetic nervous system physiology,brain
MP:0000778,0.5611920838756284,-0.5843711178403641,-2.5554638534089413,1.3867216177282133,234,abnormal nervous system tract morphology,brain
MP:0006092,0.570683253174114,0.8102065399092666,-1.9902311197227576,3.610644199541291,29,abnormal olfactory sensory neuron morphology,brain
MP:0011448,0.5868309845141922,0.7762513617420872,-2.02339783532238,3.575900558806554,30,decreased dopaminergic neuron number,brain
MP:0003245,0.5868309845141922,0.7762513617420872,-2.02339783532238,3.575900558806554,30,abnormal GABAergic neuron morphology,brain
MP:0009452,0.5868309845141922,0.7762513617420872,-2.02339783532238,3.575900558806554,30,abnormal synaptonemal complex,brain
MP:0008236,0.6026605222264243,0.7434079095516406,-2.0555034925455575,3.5423193116488387,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0020551,0.6181798026244619,0.7116055789933444,-2.086613963771667,3.509825121758356,32,abnormal postsynaptic density morphology,brain
MP:0009967,0.624159059292541,-0.6954629313861478,-3.477465410401261,2.0865395476289654,130,abnormal neuron proliferation,brain
MP:0009939,0.6440041195254218,-0.655972669186788,-3.438187564688957,2.126242226315381,125,abnormal hippocampus neuron morphology,brain
MP:0001044,0.6483189252223096,0.6508736840594462,-2.1460837926337133,3.4478311607526058,34,abnormal enteric nervous system morphology,brain
MP:0010762,0.6629541411708018,0.6218325063118364,-2.1745478363502477,3.4182128489739205,35,abnormal microglial cell activation,brain
MP:0000966,0.665521461251852,-0.4349040941098412,-2.4066624462358224,1.5368542580161402,202,decreased sensory neuron number,brain
MP:0000965,0.6747412572370579,-0.24560785024778475,-1.392713055040294,0.9014973545447245,501,abnormal sensory neuron morphology,brain
MP:0002913,0.6773098048458029,0.5936079855932839,-2.202227176757937,3.3894431479445046,36,abnormal PNS synaptic transmission,brain
MP:0004100,0.6773098048458029,0.5936079855932839,-2.202227176757937,3.3894431479445046,36,abnormal spinal cord interneuron morphology,brain
MP:0000940,0.7451444225713678,0.4632865954125265,-2.3302203830006945,3.2567935738257474,41,abnormal motor neuron innervation pattern,brain
MP:0004948,0.7559041295552469,-0.4414866237234385,-3.225013529002597,2.34204028155572,101,abnormal neuronal precursor proliferation,brain
MP:0000968,0.7777670626459738,-0.4008617769554057,-3.184670392934202,2.3829468390233908,97,abnormal sensory neuron innervation pattern,brain
MP:0006276,0.7829306088432275,0.3925080364892999,-2.39985530597565,3.18487137895425,44,abnormal autonomic nervous system physiology,brain
MP:0002751,0.8007304460412897,-0.358535029522864,-3.142649557782562,2.425579498736834,93,abnormal autonomic nervous system morphology,brain
MP:0004101,0.8070098352724376,0.3479489317114055,-2.4437346374897593,3.1396325009125703,46,abnormal brain interneuron morphology,brain
MP:0006069,0.8277233242481431,0.11083399646897796,-0.8873657930272131,1.109033785965169,473,abnormal retina neuronal layer morphology,brain
MP:0008947,0.8374256623609795,-0.291520848758946,-3.076146915220055,2.493105217702163,87,increased neuron number,brain
MP:0004981,0.8636385327164717,0.24449628953742497,-2.5457205395832645,3.0347131186581144,51,decreased neuronal precursor cell number,brain
MP:0005423,0.8702746435251554,-0.2320630517249338,-3.0171724991527276,2.55304639570286,82,abnormal somatic nervous system physiology,brain
MP:0006006,0.8849674766500106,0.20592262615919132,-2.5837848152742855,2.995630067592668,53,increased sensory neuron number,brain
MP:0000939,0.9127401305619501,-0.15575452940923284,-2.9415278546322807,2.630018795813815,76,decreased motor neuron number,brain
MP:0004979,0.9201681266180982,-0.14245554355374956,-2.928349825210231,2.643438738102732,75,abnormal neuronal precursor cell number,brain
MP:0000953,0.944883032203447,0.09835487895086459,-2.6900311760442968,2.886740933946026,59,abnormal oligodendrocyte morphology,brain
MP:0010055,0.9509610679284135,-0.0874322995326633,-2.873844420350458,2.6989798212851315,71,abnormal sensory neuron physiology,brain
MP:0003204,0.9589413766983895,-0.07319391988156987,-2.859744731419822,2.7133568916566824,70,decreased neuron apoptosis,brain
MP:0011723,0.9752580335623311,-0.04409890235473135,-2.8309393106709444,2.7427415059614817,68,ectopic neuron,brain
MP:0010281,0.9752580335623311,-0.04409890235473135,-2.8309393106709444,2.7427415059614817,68,increased nervous system tumor incidence,brain
MP:0006009,0.9855251536013401,-0.018274620243483142,-1.9925090668989407,1.9559598264119744,134,abnormal neuronal migration,brain
